#漢字	音標	解釋
□	pfʰa1	(~街的)
□	kʰa1	(~倒了)
□	ȵia1	(~niŋ:煎饼的俗称)
□	aŋ3	(他的棉衣~了个窟窿)
□	xəŋ5	(他把钢笔~了)
㞘	tu1	
䜺	tʂʰai3	(豆~子)
䝋	tɕyŋ5	(~猪子)
䝼	tɕʰiŋ2	(~受财产)
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uan5	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ5	
下	ɕia5	
不	pu1	
不	pu3	
与	y2	
丐	kai5	
丑	tʂʰou3	
專	pfan1	
且	tɕʰiə1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
叢	tɕʰyŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丢	tiou1	
兩	liaŋ3	
嚴	ian2	
喪	saŋ1	
喪	saŋ5	
个	kə5	
丫	ia1	
中	pfəŋ1	
中	pfəŋ5	
丰	fəŋ1	
串	pfʰan5	
臨	lən2	
丸	uan2	
丹	tan1	
爲	uei2	
爲	uei5	
主	pfu3	
麗	li5	
舉	tɕy3	
乃	lai3	
久	tɕiou3	
義	i5	
之	tʂʅ1	
烏	u1	
乎	xu1	
乏	fa2	
樂	luə1	
樂	ye1	
乒	pʰiŋ1	
乓	pʰa1	
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰəŋ2	
乙	i1	
九	tɕiou3	
乞	tɕʰi1	
也	iə3	
習	ɕi2	
鄉	ɕiaŋ1	
書	fu1	
買	mai3	
亂	luan5	
乳	vu2	
乾	tɕʰian2	
了	liau3	
爭	tʂəŋ1	
事	ʂʅ5	
二	ɭə5	
于	y2	
虧	kʰuei1	
雲	yn2	
互	xu1	
五	u3	
井	tɕiŋ3	
亘	kən5	
些	ɕiə3	
亡	uaŋ2	
亢	kʰaŋ5	
交	tɕiau1	
亥	xai2	
亦	i5	
產	tʂʰan3	
亨	xəŋ2	
亨	tʰiŋ2	
畝	mu3	
享	ɕiaŋ2	
京	tɕiŋ1	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰiŋ5	
人	ʐən2	
什	ʂʅ2	
什	ʂən2	
仁	ʐən2	
僅	tɕin3	
仆	pʰu1	(前~后继)
仆	pʰu3	
仇	tɕʰiou2	(姓)
仇	tʂʰou2	
今	tɕin1	
介	tɕiai5	
仍	ʐəŋ3	
从	tɕʰyŋ2	
仑	luən2	
倉	tsʰaŋ1	
仔	tsɿ3	
仕	ʂʅ5	
他	tʰa3	
仗	tʂaŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	liŋ3	
令	liŋ5	
以	i1	
仨	sa1	
儀	i2	
們	mən5	
仰	iaŋ3	
仲	pfəŋ5	
件	tɕian5	
價	tɕia5	
任	ʐən2	(姓)
任	ʐən5	
份	fən5	
仿	faŋ3	
企	tɕʰi2	
伉	kʰaŋ5	
伎	tɕi5	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	pfəŋ5	
優	iou1	
伙	xuə3	
會	kʰuai5	
會	xuei5	
傘	san3	
偉	uei3	
傳	pfʰan2	(~授)
傳	pfan5	
傷	ʂaŋ1	
倫	luən2	
僞	uei5	
伯	pei1	
估	ku3	
伶	liŋ2	
伸	ʂən1	
伺	tsʰɿ2	
似	sɿ5	
佃	tian5	
但	tan5	
位	uei5	
低	ti1	
住	pfu5	
佐	tɕye5	
體	tʰi3	
何	xə2	
佘	ʂə3	
余	y2	
佛	fə2	
佝	kou1	
佞	ȵiŋ2	
你	ȵi3	
佣	yŋ1	
佣	yŋ5	
佩	pʰei5	
佬	lau3	
佯	iaŋ2	
佳	tɕia3	
使	ʂʅ3	
侃	kʰan3	
侄	tʂʅ2	
侈	tʂʰʅ2	
例	li5	
供	kuŋ5	
依	i1	
俠	ɕia2	
侶	lu3	
僥	tɕiau3	
偵	tʂəŋ1	
側	tʂʰei1	
僑	tɕʰiau2	
儈	kʰuai5	
侮	u1	
侯	xou2	
侵	tɕʰin2	
便	pian1	(~宜)
便	pian5	
促	tɕʰy1	
俄	ə2	
俊	tsuən5	
俏	tɕʰiau5	
俗	ɕy2	
俘	fu2	
保	pau3	
俞	y2	
信	ɕin5	
儼	ian2	
倆	lia3	
倆	liaŋ3	
儉	tɕian3	
修	ɕiou1	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
俺	an3	
倌	kuan1	
倍	pei5	
倒	tau3	
倒	tau5	
倔	tɕye2	
倘	tʰaŋ3	
候	xou5	
倚	i3	
借	tɕiə5	
倡	tʂʰaŋ5	
倦	tɕyan5	
倪	ȵi2	
倮	kuə3	
債	tʂai5	
值	tʂʅ2	
傾	tɕʰyŋ1	
假	tɕia3	
偎	uei1	
偏	pian1	
做	tɕye5	
停	tʰiŋ2	
健	tɕian5	
偶	ou1	
偷	tou1	
償	tʂʰaŋ2	
傀	kʰuei2	
傅	fu5	
傍	paŋ1	
儲	pfʰu2	
催	tɕʰyei1	
傲	au5	
傻	ʂa3	
像	ɕiaŋ5	
僚	liau2	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pi5	(~静)
儒	vu3	
儡	lei3	
兒	ɭə2	
允	yn3	
元	yan2	
兄	ɕyŋ1	
充	pfʰəŋ1	
兆	tʂau5	
先	ɕian1	
光	kuaŋ1	
克	kʰə1	
克	kʰei1	
免	mian3	
兑	tuei5	
兔	tʰu5	
兗	ian2	
黨	taŋ3	
兜	tou1	
兢	tɕiŋ1	
入	vu1	
全	tsuan2	
八	pa1	
公	kuŋ1	
六	liou5	
蘭	lan2	
共	kuŋ5	
關	kuan1	
興	ɕiŋ1	
興	ɕiŋ5	
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tian3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕian1	
獸	ʂou5	
冀	tɕi5	
内	nei5	
岡	kaŋ3	
册	tʂʰei1	
再	tsai5	
冒	mau5	
冗	vəŋ2	
寫	ɕiə3	
軍	tɕyn1	
農	nuŋ2	
冠	kuan5	
冢	pfəŋ1	
冤	yan1	
冥	miŋ2	
冬	tuŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	pfʰəŋ1	
冲	pfʰəŋ5	
決	tɕye1	
况	kʰuaŋ5	
冶	iə1	
冷	ləŋ3	
凍	tuŋ5	
淨	tɕiŋ5	
凄	tɕʰi1	
準	pfən3	
涼	liaŋ2	
凋	tiau1	
凌	liŋ2	
減	tɕian3	
湊	tsʰou5	
凜	lən3	
凝	ȵiŋ2	
几	tɕi3	
凡	fan3	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰai3	
凰	xuaŋ2	
凳	təŋ5	
凶	ɕyŋ1	
凸	tʰu1	
出	pfʰu1	
擊	tɕi1	
函	xan2	
鑿	tɕye2	
刀	tau1	
刁	tiau1	
刃	ʐən5	
分	fən1	
分	fən5	本~
切	tɕʰiə1	
刊	kʰan3	
刎	uən3	
刑	ɕiŋ2	
划	xua2	(~船)
划	xua5	
列	liə1	
劉	liou2	
則	tsei1	
剛	kaŋ1	
創	pfʰaŋ5	
初	pfʰu1	
删	ʂan1	
判	pʰan5	
刨	pʰau2	
刨	pau5	
利	li5	
别	piə2	
