#漢字	音標	解釋
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uan5	
丈	tʃaŋ5	
三	san1	
上	ʃaŋ5	
下	ɕia5	
与	y3	给与
丐	kai5	
丑	tʃʰou3	
專	tʃuan1	
專	tʃuan3	文
專	pfan1	白
且	tɕʰiə3	
丕	pʰi1	
丘	tɕʰiou1	
丙	piŋ3	
業	iə1	
叢	tsʰuŋ1	文
叢	tɕʰyŋ1	白
東	tuŋ1	
絲	sɿ1	
丞	tʃʰəŋ2	
丢	tiou1	
兩	liaŋ3	
嚴	ian2	
喪	saŋ5	丧失
喪	saŋ1	婚丧
个	kə5	
丫	ia1	
中	pfəŋ5	射中，白
中	tʃuŋ5	射中文
中	pfəŋ1	当中，白
中	tʃuŋ1	当中文
丰	fəŋ1	
串	tʃʰuan5	文
串	pfʰan5	白
臨	lin1	文
臨	lən1	白
丸	uan1	
丹	tan1	
爲	uei1	
爲	uei5	为什么
主	tʃu3	文
主	pfu3	白
麗	li5	
舉	tɕy3	
乃	nai3	
久	tɕiou3	
義	i5	
之	tʃʅ1	
乍	tʃa5	
乎	xu2	
乏	fa2	
樂	lə2	文
樂	luə2	白
樂	yə2	音乐
喬	tɕʰiau2	
乖	kuai1	
乘	ʃəŋ2	万乘
乘	tʃʰəŋ2	乘车
乙	i1	
九	tɕiou3	
乞	tɕʰi1	
也	iə3	文
也	iai3	白
習	ɕi2	
鄉	ɕiaŋ3	
書	ʃu1	文
書	fu1	白
買	mai3	
亂	luan5	文
亂	lan5	白
乳	ʒu5	文
乳	vu5	白
乾	tɕʰian1	
爭	tʃəŋ1	
二	ɭə2	
于	y1	
虧	kʰuei1	
云	yən1	
互	xu5	
井	tɕiŋ3	
亞	ia5	
些	ɕiə1	
亡	uaŋ1	
交	tɕiau1	
亥	xai5	
亦	i5	
產	tʃʰan3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tɕʰin1	亲人
親	tɕʰiŋ5	亲家
人	ʒən1	
億	i5	
什	ʃʅ2	
仁	ʒən1	
僅	tɕin3	
仆	tʃəŋ5	
仆	pʰu1	仆倒
仆	pʰu2	仆人
仇	tʃʰou2	
仇	tɕʰiou2	姓
今	tɕin1	
介	tɕiə5	文
介	tɕiai5	白
仍	ʒəŋ2	
从	tsʰuŋ1	文
从	tɕʰyŋ1	白
仑	luən2	
倉	tsʰaŋ1	
仕	ʃʅ5	
他	tʰa1	文
他	tʰə1	白
仗	tʃaŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	liŋ5	
以	i3	
儀	i2	
們	mən5	
仰	iaŋ3	
仲	tʃuŋ5	文
仲	pfəŋ5	白
件	tɕian5	
價	tɕia5	
任	ʒən5	任务
任	ʒən1	姓
份	fən5	
仿	faŋ3	仿效
企	tɕʰi3	
伊	i1	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	tʃuŋ5	文
衆	pfəŋ5	白
優	iou1	
伙	xuə3	
會	kʰuai5	会计
會	xuei5	开会
傘	san3	
偉	uei3	
傳	pfʰan2	传达白
傳	tʃʰuan2	传达文
傳	pfan5	传记白
傳	tʃuan5	传记文
傷	ʃaŋ1	
倫	luən2	
僞	uei5	
伯	pə1	文
伯	pai1	白
估	ku3	
伴	pan5	
伶	liŋ2	
伸	ʃən1	文
伸	tʃʰən1	白
伺	tsʰɿ5	
似	sɿ5	
佃	tian5	
但	tan5	
低	ti1	
住	tʃu5	文
住	pfu5	白
何	xə2	
余	y1	
余	ʃə2	
佛	fə2	
作	tsuə1	文
作	tɕyə5	白
佞	niŋ5	
你	ni3	
你	nei1	白
佩	pʰei5	
佳	tɕia1	
使	ʃʅ3	
侈	tʃʰʅ3	
侉	kʰua3	
例	li5	
侍	ʃʅ5	
供	kuŋ1	供给
供	kuŋ5	供养
依	i1	
僥	tɕiau3	
偵	tʃən1	
側	tsʰə5	
僑	tɕʰiau2	
儂	nuŋ1	
侮	u3	
侯	xou2	
侵	tɕʰin1	
便	pʰian2	便宜
便	pian5	方便
促	tsʰu5	文
促	tɕʰy5	白
俄	ɣə2	
俊	tɕyən5	文
俊	tsuən5	白
俏	tɕʰiau5	
俗	su2	文
俗	ɕy2	白
俘	fu1	
保	pau3	
俟	sɿ5	
信	ɕin5	
儼	ian3	
儉	tɕian1	
修	ɕiou1	
俱	tɕy1	
俸	fəŋ5	
俺	ɣan3	
倍	pei5	
倒	tau5	倒水
倒	tau3	打倒
倔	tɕyə2	
倘	tʰaŋ3	
候	xou5	
倚	i3	
借	tɕiə5	
倡	tʃʰaŋ5	
倦	tɕyan5	
倪	ni2	
倭	uə1	
債	tʃai5	
值	tʃʅ2	
傾	tɕʰiŋ1	文
傾	tɕʰyŋ1	白
假	tɕia5	放假
假	tɕia3	真假
偏	pʰian1	
做	tsuə5	文
做	tɕyə5	白
停	tʰiŋ2	
偢	tɕʰiau5	
健	tɕian5	
偷	tʰou1	
償	tʃʰaŋ2	
傀	kʰuei3	
傅	fu5	
傍	paŋ5	
儲	tʃʰu2	文
儲	pfʰu2	白
催	tsʰuei2	文
催	tɕʰyei2	白
傲	ɣau5	
傻	ʃa3	
像	ɕiaŋ5	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi5	
儒	ʒu2	文
儒	vu2	白
儡	lei3	
兒	ɭə1	
允	yən1	
元	yan2	
兄	ɕyŋ1	
充	tʃʰuŋ1	文
充	pfʰəŋ1	白
兆	tʃau5	
先	ɕian1	
光	kuaŋ1	
克	kʰə5	
免	mian3	
兑	tuei5	
兔	tʰu5	
兗	ian3	
兜	tou1	
兢	tɕiŋ5	
入	ʒu1	文
入	vu1	白
全	tɕyan2	文
全	tsʰuan2	白
八	pa1	
公	kuŋ1	
六	liou5	
兮	ɕi2	
蘭	lan1	
共	kuŋ5	
共	kʰuŋ5	
關	kuan1	
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tian3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕian1	
獸	ʃou5	
内	nei5	
岡	kaŋ1	
冉	ʒan3	
册	tsʰə1	文
册	tʃʰei1	白
再	tsai5	
冒	mau5	
冗	ʒuŋ3	文
冗	vəŋ3	白
寫	ɕiə3	
軍	tɕyən1	
農	nuŋ1	
冠	kuan5	冠军
冠	kuan1	衣冠
冢	tʃuŋ3	文
冢	pfəŋ3	白
冤	yan1	
冬	tuŋ1	
馮	fəŋ2	姓
冰	piŋ1	
冲	tʃʰuŋ1	文
冲	pfʰəŋ1	白
決	tɕyə1	
况	kʰuaŋ5	
冷	ləŋ3	
凍	tuŋ5	
淨	tɕiŋ5	
準	pfən3	
準	tʃuən3	
涼	liaŋ1	
凌	liŋ2	
減	tɕian3	
湊	tsʰou5	
凝	niŋ2	
几	tɕi1	几乎
几	tɕi3	茶几
凡	fan2	
凭	pʰiŋ2	
凱	kʰai3	
凳	təŋ5	
凶	ɕyŋ1	
出	tʃʰu1	文
出	pfʰu1	白
擊	tɕi1	
擊	tɕi5	
函	xan2	
鑿	tsau2	文
鑿	tsuə2	白
刀	tau1	
刁	tiau1	
刃	ʒən5	
分	fən1	分开
切	tɕʰiə5	
刊	kʰan1	
刎	uən3	
划	xua2	
列	liə5	
劉	liou1	
則	tsə1	文
則	tsei1	白
剛	kaŋ1	
創	tʃʰuaŋ5	文
創	pfʰaŋ5	白
初	tʃʰu1	文
初	pfʰu1	白
删	ʃan1	
判	pʰan5	
刨	pʰau2	
利	li5	
别	piə1	
刮	kua3	
到	tau5	
刷	ʃua1	文
刷	fa1	白
券	tɕʰyan5	文
券	tsʰuan5	白
刺	tsʰɿ5	
刻	kʰə5	文
刻	kʰei1	白
劊	kuei5	
刴	tuə5	
劑	tɕi5	
剃	tʰi5	
削	ɕyə3	文
削	suə3	白
前	tɕʰian2	
劍	tɕian5	
剔	tʰi1	
剖	pʰou3	
剜	uan1	
剝	pə1	
劇	tɕy2	
剩	ʃəŋ5	
剪	tɕian3	
副	fu5	
割	kə3	文
割	ka3	白
剿	tɕiau3	
劈	pʰi5	
劐	xuə5	
力	li5	
勸	tɕʰyan5	文
勸	tsʰuan5	白
辦	pan5	
功	kuŋ1	
加	tɕia1	
務	u5	
劣	liə2	
助	tʃu5	文
助	pfu5	白
努	nu3	
劫	tɕiə1	
勁	tɕin5	劲头
勁	tɕiŋ5	劲敌
勞	lau1	
勃	pə2	
勇	yŋ3	
勉	mian3	
勒	lə1	
勒	lei5	
勘	kʰan5	
募	mu5	
勺	ʃau2	
勾	kou1	
勿	u5	
包	pau1	
化	xua5	
北	pei1	
匙	ʃʅ2	
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	ɕia2	
匹	pʰi1	
區	tɕʰy1	
醫	i1	
匾	pian3	
匿	ni5	
十	ʃʅ2	
千	tɕʰian1	
升	ʃəŋ1	
半	pan5	
華	xua2	中华
華	xua5	华山
協	ɕiə2	
卑	pei1	
卒	tsu1	
卓	tʃuə1	文
卓	pfə1	白
單	tan1	
單	ʃan5	姓
賣	mai5	
南	nan1	
博	pə1	
占	tʃan1	占卜
占	tʃan5	占线
盧	lu1	
卤	lu3	
卦	kua5	
臥	uə5	
衛	uei1	
卯	mau3	
印	in5	
危	uei1	
即	tɕi5	
卻	tɕʰyə5	
卵	luan3	
卷	tɕyan3	动词
卷	tɕyan5	名词
卸	ɕiə5	
卿	tɕʰiŋ1	
廠	tʃʰaŋ3	
廳	tʰiŋ1	
历	li5	
厲	li5	
壓	ia1	
厭	ian5	
厘	li1	
厚	xou5	
廂	ɕiaŋ1	
厦	ʃa5	
厦	ɕia5	
廚	tʃʰu2	文
廚	pfʰu2	白
厮	sɿ1	
去	tɕʰy5	文
去	tɕʰi5	白
参	tsʰɿ1	(参加)
参	ʃən1	人参
参	tsʰan1	参加
又	iou5	
叉	tʃʰa1	
及	tɕi2	
友	iou3	
雙	ʃuaŋ1	文
雙	faŋ1	白
反	fan3	
