#漢字	音標	解釋
□	xən1	~嘟:他总爱~嘟人
□	kən3	~脚:这路不平,可~脚
□	pai2	不要,今天早上~吃饭
□	tʰiɛ2	中,厉害:他这人真人
□	nan3	以舌裹食:他~了一嘴饭
□	tʰən5	傻:你咋那~
□	ɕyɛ5	大吃,他~了一嘴
□	luo3	寂寞:出去走走,太~了
□	kʰuo3	干脆,他办事很~利
□	niau2	快,这陀螺转哩可~
□	pei3	怕让人知道。他做事情,总好~着人
□	ʐou1	打,这小孩再不听话,~他
□	tʰei3	打~,一种击木游戏
□	uəŋ3	推:慢点儿,别把我~倒了
□	tʂaŋ2	放,菜点多~盐
□	nuŋ1	烂糊,面条在锅里煮久了,都~了
□	pia1	用泥等物击人:~他一脸泥
□	kʰən2	移动:~里点儿
□	tʂuai3	穿着讲究,她穿哩可~了
□	tuən3	绷:他~着脸
□	tʂʰau5	跨:小心水沟,快~过来
㪗	tʰou3	展开
䖳	tʂa5	
䝼	tɕʰiŋ2	~受
七	tɕʰi1	
万	uan5	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ5	~山
上	ʂaŋ5	~面
下	ɕia5	
不	pu1	
与	y2	给~
丐	kai5	
丑	tʂʰou3	
專	tʂuan1	
且	tɕʰiɛ1	
丕	pʰei1	
世	ʂʅ5	
世	tɕi5	
丘	tɕʰiou1	
丙	piŋ3	
業	iɛ1	
叢	tsʰuŋ1	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丢	tiou1	
兩	liaŋ3	~个
兩	liaŋ3	几两几钱
嚴	ian2	
喪	saŋ5	~失
喪	saŋ1	婚~
个	kɤ5	(~人、一~)
丫	ia1	
中	tʂuŋ1	(当~)
中	tʂuŋ5	(射~)
丰	fəŋ1	
串	tʂʰuan5	
臨	lin2	
丸	uan2	
丹	tan1	
爲	uei5	(作~)
爲	uei5	
主	tʂu3	
麗	li5	美~
舉	tɕy3	
乃	nai3	
久	tɕiou3	
義	i5	
之	tʂʅ1	
烏	u1	
乎	xu1	
乏	fa2	
樂	lɤ1	
樂	yɛ1	音~
喬	tɕʰiau2	
乘	tʂʰəŋ2	
乙	i3	
九	tɕiou3	
乞	tɕʰi3	
也	iɛ3	(~是)
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	luan5	
乳	ʐu3	
乾	tɕʰian2	~坤
了	liau3	(~结)
爭	tʂəŋ1	
事	ʂʅ5	
二	ɚ5	
于	y2	~此
虧	kʰuei1	
云	yn2	
互	xu5	
五	u3	
井	tɕiŋ3	
亞	ia5	
些	ɕiɛ3	
亡	uaŋ2	
交	tɕiau1	
亥	xai5	
亦	i5	
產	tʂʰan3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰiŋ5	~家
人	ʐən2	
仁	ʐən2	
僅	tɕin3	
仆	pʰu3	
仆	pʰu1	~倒
仇	tɕʰiou2	(姓)
仇	tʂʰou2	
今	tɕin1	
介	tɕiɛ5	
仍	ʐəŋ2	
从	tsʰuŋ2	(~容)
从	tsʰuŋ2	(跟~)
倉	tsʰaŋ1	
仕	ʂʅ5	
他	tʰa3	
仗	tʂaŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	liŋ5	
以	i3	
儀	i2	
仰	iaŋ3	
仲	tʂuŋ1	
件	tɕian5	
價	tɕia5	
任	ʐən2	姓
任	ʐən5	责~
份	fən5	
仿	faŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	tʂuŋ5	
優	iou1	
伙	xuo3	
會	kʰuai5	(~计)
會	xuei5	(开~,不~)
傘	san3	
偉	uei3	
傳	tʂuan5	(~记)
傳	tʂʰuan2	~达
傷	ʂaŋ1	
倫	luən2	
僞	uei3	
伯	pai1	
估	ku1	(~计)
伴	pan5	
伸	ʂən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tian5	
但	tan5	
位	uei5	
低	ti1	
住	tʂu5	
佐	tsuo3	
體	tʰi3	
何	xɤ2	
佘	ʂɤ2	(姓)
余	y2	
佛	fu2	
作	tsuo1	(~坊)
作	tsuo1	
你	ni3	
佩	pʰei5	
佳	tɕia1	
使	ʂʅ3	
侄	tʂʅ2	
侈	tʂʰʅ3	(奢~)
侉	kʰua3	
例	li5	
侍	ʂʅ5	
供	kuŋ5	(~给)
供	kuŋ5	(上~)
偵	tʂən1	
側	tʂʰai1	
僑	tɕʰiau2	
侮	u1	
侯	xou2	
侵	tɕʰin3	
便	pʰian2	(~宜)
便	pian5	(方~)
促	tsʰu1	
俄	ɤ2	
俊	tɕyn5	
俏	tɕʰiau5	
俗	ɕy2-	
俗	su2=	
俘	fu2	~虏
保	pau3	
俟	ʂʅ5	
信	ɕin5	
儼	ian3	(~然)
儉	tɕian3	
修	ɕiou1	
俯	fu2	
俱	tɕy5	
俸	fəŋ5	
俾	pi3	
倍	pei5	
倒	tau5	(~水)
倒	tau3	
倔	tɕyɛ2	~强
倔	tɕyɛ5	脾气~
倘	tʰaŋ3	~使
候	xou5	
倚	i3	
借	tɕiɛ5	
倡	tʂʰaŋ5	
倦	tɕyan5	
倪	ni2	
倭	uo1	
債	tʂai5	
值	tʂʅ2	
傾	tɕʰyəŋ1-	
傾	tɕʰiŋ1=	
假	tɕia5	(放~)
假	tɕia3	
偏	pʰian1	
做	tsu5-	(白)
做	tsuo5=	
停	tʰiŋ2	
健	tɕian5	
偶	ou3	(配~)
偶	ou3	(~然)
偷	tʰou1	
償	tʂʰaŋ2	
傀	kʰuei2	
傀	lei3	
傅	fu5	
傍	paŋ5	
傢	tɕia1	(~具)
儲	tʂʰu3	
催	tsʰuei1	
傲	au5	
像	ɕiaŋ5	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi1	
儒	ʐu3	
儡	kʰuei2	
儡	lei3	
兒	ɚ2	
允	yn3	
元	yan2	
兄	ɕyəŋ1	
充	tʂʰuŋ1	
先	ɕian1	
光	kuaŋ1	
克	kʰɤ1	
免	mian3	
兑	tuei5	
兔	tʰu5	
黨	taŋ3	
兜	tou1	
入	ʐu1	
全	tɕʰyan2	~家
八	pa1	
公	kuŋ1	
六	liou5	
兮	ɕi1	
蘭	lan2	
興	ɕiŋ1	~旺
興	ɕiŋ5	高~
兵	piŋ1	
兵	tsu2	
其	tɕʰi1	
具	tɕy2	
典	tian3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕian1	
獸	ʂou5	
冀	tɕi5	
内	nei5	
岡	kaŋ1	
册	tʂʰai1	
再	tsai5	
冒	mau5	
冗	yəŋ1	(~长)
寫	ɕiɛ3	
軍	tɕyn1	
農	nuŋ2	
冠	kuan1	(衣~)
冠	kuan5	(~军)
冤	yan1	
冬	tuŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tʂʰuŋ1	
決	tɕyɛ2	
况	kʰuaŋ5	
冷	ləŋ3	
凍	tuŋ5	
淨	tɕiŋ5	
涼	liaŋ2	
減	tɕian3	
湊	tsʰou5	
凝	niŋ2	
几	tɕi1	(茶~,~乎)
几	tɕi3	(~个)
凡	fan2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰai3	
凳	təŋ5	
凶	ɕyəŋ1	(吉~)
凶	ɕyəŋ1	
出	tʂʰu1	
擊	tɕi1	
擊	kuŋ1	
函	xan2	
鑿	tsau2	
刀	tau1	
刁	tiau1	
刃	ʐən5	
分	fən1	
切	tɕʰiɛ1	(~开)
刈	i5	
刊	kʰan1	
刎	uən3	
刑	ɕiŋ2	
划	xua2	(~船)
划	xua5	
列	liɛ1	
劉	liou2	
則	tsai1	
剛	kaŋ1	
創	tʂʰuaŋ5	
初	tʂʰu1	
删	ʂan1	
判	pʰan5	
刨	pʰau2	(~地)
刨	pau5	(~床)
别	piɛ2	(区~)
别	piɛ2	(离~)
刮	kua1	(~风)
到	tau5	
制	tʂʅ5	
刷	ʂua1	
券	tɕʰyan5	
刺	tsʰɿ5	
刻	kʰɤ1	(时~)
刻	kʰɤ1	(用刀~)
劊	kuei5	
刴	tuo5	
劑	tɕi5	(~药)
剃	tʰi5	
削	ɕyɛ1	
前	tɕʰian2	
剮	kua3	
劍	tɕian5	
剔	tʰi1	
剖	pʰau1	
剜	uan1	
剝	po1	
劇	tɕy2	~烈
劇	tɕy2	戏~
剩	ʂəŋ5	
剪	tɕian3	
副	fu5	
割	kɤ1	
剿	tɕiau3	
劈	pʰi1	
力	li1	
勸	tɕʰyan5	
辦	pan5	
功	kuŋ1	
加	tɕia1	
劣	lyɛ1-	(白)
劣	liɛ1=	(文)
動	tuŋ5	
助	tʂu5	
努	nu3	
劫	tɕiɛ2	
勵	li5	
勁	tɕin5	
勁	tɕiŋ5	~敌
勞	lau2	
勢	ʂʅ5	
勃	po2	
勇	yəŋ3	
勉	mian3	
勳	ɕyn1	
勒	lei1	
勒	lai3	
勘	kʰan1	
募	mu1	
勤	tɕʰin2	
勺	ʂau2	(~子)
勺	ʂuo2	
勾	kou1	(~当)
勾	kou1	
勿	u5	
匀	yn2	
包	pau1	
匆	tsʰuŋ1	
化	xua5	
北	pei1	
匙	tʂʰʅ2	汤~
匠	tɕiaŋ5	
匡	kʰuaŋ5	
匣	ɕia2	
匪	fei3	
匹	pʰi2	(马~)
區	tɕʰy1	
醫	i1	
匾	pian3	
匿	ni2	
十	ʂʅ2	
升	ʂəŋ1	
午	u3	
半	pan5	
華	xua2	(中~、姓)
華	xua2	(~山)
卑	pei1	
卒	tsu2	
單	tan1	(~独)
單	ʂan5	(姓)
賣	mai5	
南	nan2	
博	po2	
占	tʂan1	
盧	lu2	
卤	lu3	
臥	uo5	
衛	uei5	
卯	mau3	
印	in5	
危	uei3	
卻	tɕʰyɛ1	
卵	luan3	
卷	tɕyan5	
卷	tɕyan3	~起
卸	ɕiɛ5	
卿	tɕʰiŋ1	
廠	tʂʰaŋ3	
历	li1	
壓	ia1	
厭	ian5	
廁	tʂʰai1	(~所)
厘	li2	
厚	xou5	
原	yan2	
廂	ɕiaŋ1	
厥	tɕyɛ2	
厦	ɕia5	(~门)
廚	tʂʰu2	
