#漢字	音標	解釋
□	zɔ4	1踩踏
□	zɔ6	2踩踏
□	pʰoʔ7	~肉:肥肉
□	ɡuᴇ4/ɡuɛ4	一~一~:形容走路一瘸一拐
□	bei4	一~:一捧
□	dzᴇ4/dzɛ4	上坡;上樓梯
□	hu3	不小心撒出去
□	ȵioʔ8	兩手揉搓東西
□	tʰiŋ5	剩下來
□	tʃʰɔ1	勺子
□	dei4	匆忙、急忙地
□	ɡəŋ4	卡住
□	ɦiᶽ4	又
□	ɦy6	又
□	dʒɑ̃2	只有
□	ʃɑ̃5	吃(貶義):只知道~
□	tsaʔ7	壓緊
□	ziᴀ2	奔跑
□	dʒᴀ4	將就地做某事
□	kuɵ1/kuɤ1	小~:小孩兒
□	dzᴀ2	小便，排泄
□	dʑyɵ4/dʑyɤ4	弄亂;弄錯
□	ɡei4	形容人呆傻
□	təŋ1	待著
□	hei3	急促地喘氣
□	tʰəɯ5	扒下
□	tsʰəɯ1	把口袋束好、把洞補好
□	dʑiŋ2	把房間隔開
□	tsʰəŋ3	把細碎的東西抖灑出來
□	liɪ4/lie4	把碗端在手裡
□	tʃəŋ1	投擲、扔
□	tᴇ1/tɛ1	抬起頭;抬著頭
□	zei6	抱怨
□	ȵiŋ2	捨不得花錢
□	həŋ1	掀開
□	tsʰɵ1/tsʰuɤ1	排泄;~屁:放屁
□	ȵiᶽ1	揉眼睛
□	siã1	摻
□	dzã2	擠兌
□	tsəŋ3	擠、搓出來
□	ləɯ4	攀爬
□	dɔ6	攪拌
□	pʰã5	敲打;~門:用力敲門
□	sɔ5	東西賣得好
□	kʰəŋ5	死皮、皮膚上的污泥
□	ɦuei4	比劃
□	pʰu5	洗東西遍數
□	toʔ7	淋雨
□	ɕiɪ1/ɕie1	炫耀
□	tsʰiɪ1/tsʰie1	熨燙
□	ɔ5	爭論，鬥嘴，固執的樣子
□	kʰəʔ7	物體倒放
□	lei4	玩弄、做
□	nᴇ2/nɛ2	現在
□	kʰã5	用身子蹭
□	boʔ8	用熱油燙蔬菜
□	huᴇ5/huɛ5	甩
□	nəŋ4	第二人稱單數代詞:你
□	kʰəŋ1	翻找
□	tsei1	脾气不好
□	tɕʰiəɯ1	脾氣不好;天氣不好
□	nəŋ1	腳點地腿上下抖動
□	kʰɔ5	舀
□	ləʔ8	衣裳~直
□	ɕɔ1	被風掀起來
□	ɕiɔ1	被風掀起來
□	tᴇ1/tɛ1	贈送、有過程的給予動作
□	tsoŋ5	跳躍
□	ᴀ1	身體貼近
□	ei5	身體靠近;頭貼近;夠得著
□	bɵ6/buɤ6	躲、藏
□	hei3	迅速把碗裡的少量飯菜吃掉
□	dʒei6	遞
□	əʔ7	遮蓋
