#漢字	音標	解釋
□	tɕiəu3	扭
□	tsʰən3	羞
㪗	tʰəu3	
䠍	kʰa2	跨
一	i2	
丁	tin1	
七	tɕʰi2	
万	uãⁿ5	
丈	tsaŋ5	
三	sãⁿ1	
上	saŋ5	
下	xa5-	
下	ɕia5	
不	puᶹ2	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tsuãⁿ1	
且	tɕʰi3	
丕	pʰei3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	ni2	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰən2	
丢	tiəu1	
兩	niaŋ3	
嚴	niɛ̃ⁿ2	
喪	saŋ1	
喪	saŋ5	
个	ko5	
丫	ia1	
中	tsoŋ1	
中	tsoŋ5	
丰	foŋ1	
串	tsʰuãⁿ5	
臨	nin2	
丸	uãⁿ2	
丹	tãⁿ1	
爲	uei2	
爲	uei5	
主	tsuᶹ3	
麗	ni5	
舉	tɕy3	
乃	nai3	
久	tɕiəu3	
義	ni5	
之	tsɿ1	
烏	vuᶹ1	
乎	fuᶹ1	
乏	fa2	
樂	no2	
喬	tɕʰiɑo2	
乖	kuai1	
乘	tsʰən2	
乙	i2	
九	tɕiəu3	
乞	tɕʰi2	
也	i3	
習	ɕi2	
鄉	ɕiaŋ1	
書	suᶹ1	
買	mai3	
亂	nuãⁿ5	
乳	zuᶹ3	
乾	tɕʰiɛ̃ⁿ2	
了	niɑo2	
了	niɑo3	
予	y3	
爭	tsən1	
事	se5-	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
云	yn2	
互	fuᶹ5	
五	vuᶹ3	
井	tɕin3	
亞	ia5	
些	ɕi1	
亡	uaŋ2	
交	tɕiɑo1	
亥	xai5	
亦	i3	
產	tsʰãⁿ3	
亨	xən1	
畝	moŋ3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	niaŋ5	
親	tɕʰin1	
親	tɕʰin5	
人	zən2	
億	i5	
什	sɿ2	
仁	zən2	
仄	tse2	
僅	tɕin3	
仆	pʰuᶹ2	
仇	tsʰəu2	
今	tɕin1	
今	tsən1-	~年子
介	kai5	
仍	zən2	
从	tsʰoŋ2	
倉	tsʰaŋ1	
他	tʰa1	
仗	tsaŋ5	
付	fuᶹ5	
仙	ɕiɛ̃ⁿ1	
代	tai5	
令	nin5	
以	i3	
儀	i5	
仰	niaŋ3	
仲	tsoŋ5	
件	tɕiɛ̃ⁿ5	
價	tɕia5	
任	zən2	
任	zən5	
份	fən5	
仿	faŋ3	
企	tɕi1	
伊	i1	
伍	vuᶹ3	
伎	tɕi5	
伏	fuᶹ2	
伐	fa2	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	xuei5	
傘	sãⁿ3	
偉	uei3	
傳	tsʰuãⁿ2	
傳	tsuãⁿ5	
傷	saŋ1	
僞	uei5	
伯	pe2	
估	kuᶹ3	
伴	pãⁿ5	
伸	sən1	
似	sɿ5	
佃	tiɛ̃ⁿ5	
但	tãⁿ5	
位	uei5	
低	ti1	
住	tsuᶹ5	
佑	iəu5	
體	tʰi3	
何	xo2	
佘	se2	
余	y2	
佛	fuᶹ2	
作	tso2	
你	ni3	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	tsɿ2	
侍	sɿ5	
供	tɕioŋ1-	
供	koŋ5	
供	koŋ1=	
依	i1	
俠	ɕia2	
侶	nuei3	
僥	tɕiɑo3	
偵	tsən1	
側	tse2	
僑	tɕʰiɑo2	
侮	vuᶹ3	
侯	xəu2	
侵	tɕin1	
侵	tɕʰin1	
便	pʰiɛ̃ⁿ2	
便	piɛ̃ⁿ5	
促	tsʰuᶹ2	
俄	o2	
俊	tɕyn5	
俏	tɕʰiɑo5	
俗	suᶹ2	
俗	ɕiu2	
俘	fuᶹ2	
保	pɑo3	
信	ɕin5	
儼	niɛ̃ⁿ2	
倆	niaŋ3	
儉	tɕiɛ̃ⁿ3	
修	ɕiəu1	
俯	fuᶹ3	
俱	tɕy5	
俸	foŋ5	
俾	pei5	
倍	pei5	
倒	tɑo3	
倒	tɑo5	
倔	tɕʰiu2	
倘	tʰaŋ3	
候	xəu5	
倚	i1	
借	tɕi5	
倡	tsʰaŋ1	
倦	tɕyɛ̃ⁿ5	
倪	ni2	
倭	o1	
債	tsai5	
值	tsɿ2	
傾	tɕʰin3	
假	tɕia3	
偏	pʰiɛ̃ⁿ1	
做	tsuᶹ5	
停	tʰin2	
健	tɕiɛ̃ⁿ5	
偷	tʰəu1	
償	saŋ3	
傅	fuᶹ5	
傍	pʰaŋ2	
儲	tsʰuᶹ3	
催	tsʰuei1	
傲	ŋɑo5	
傻	sa3	
像	tɕʰiaŋ5	
僧	sən1	
僵	tɕiaŋ1	
僻	pʰi2	
儒	zuᶹ2	
儡	nuei3	
兒	ɚ2	
允	yn3	
元	yɛ̃ⁿ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsɑo5	
先	ɕiɛ̃ⁿ1	
光	kuaŋ1	
克	kʰe2	
免	miɛ̃ⁿ3	
兑	tuei5	
兔	tʰuᶹ5	
黨	taŋ3	
兜	təu1	
入	zuᶹ2	
全	tɕʰyɛ̃ⁿ2	
八	pa2	
公	koŋ1	
六	nuᶹ2	
兮	ɕi1	
蘭	nãⁿ2	
共	koŋ5	
關	kuãⁿ1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɛ̃ⁿ3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiɛ̃ⁿ1	
獸	səu5	
岡	kaŋ1	
冉	zãⁿ3	
册	tsʰe2	
再	tsai5	
冒	mɑo5	
冗	zoŋ2	
寫	ɕi3	
軍	tɕyn1	
農	noŋ2	
冠	kuãⁿ1	
冠	kuãⁿ5	
冢	tsoŋ3	
冤	yɛ̃ⁿ1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
冲	tsʰoŋ5	
決	tɕy2	
冶	i3	
冷	nən3	
凍	toŋ5	
淨	tɕin5	
準	tsuən3	
凇	soŋ2	
凌	nin2	
凌	nin5	
減	tɕiɛ̃ⁿ3	
湊	tsʰəu5	
凜	nin3	
几	tɕi1	
几	tɕi3	
凡	fãⁿ2	
鳳	foŋ5	
凭	pʰin2	
凱	kʰai3	
凳	tən5	
凶	ɕioŋ1	
出	tsʰuᶹ2	
擊	tɕi2	
函	xãⁿ2	
鑿	tsʰo2	
刀	tɑo1	
刁	tiɑo1	
刃	zən3	
分	fən1	
切	tɕʰi2	
刊	kʰãⁿ1	
刎	uən3	
刑	ɕin2	
划	xua2	
划	xua5	
列	ni2	
劉	niəu2	
