#漢字	音標	解釋
□	lœ2	tʰœ11~牯:膝蓋
□	ki3	tʰɐi11~:大家
□	kʰiɛ1a	ziɔŋ22~:梯子
□	tʰœ2	~lœ11牯:膝蓋
□	tʰɐi2	~ki35:大家
□	kʰi6	~伏:門檻,原文作“地”
□	ziɔŋ6	~kʰiɛ53:梯子
□	pi1a	~麻:芝麻
□	ka1b	你~阿誰:你是誰
□	pʰin5	厚
□	liɛn3	哪
□	hɔ2	在
□	hiaŋ1b	地方
□	lɐi1b	完成體標記
□	tsʰɐi1b	完成體標記
□	lɐi1b	我~:我們
□	pʰau2	挑
□	kiap7b	澀
□	zau5	稀
□	lai1b	細tɐi55~:小孩
□	tɐi1b	細~lai55:小孩
□	li1b	這
□	ŋai6	雁
㪗	hɐu3	
㿭	tsʰak7b	
一	zit7a	
丁	tɐŋ1b	
七	tʰit7b	
丈	tsʰiɔŋ6	
三	sam1a	
上	siɔŋ5	~去
上	siɔŋ6	~面
下	ha6	
不	pit7a	
丑	tsʰiu3	
且	tsiɛ3	
丕	pʰɐi1b	
世	sɐi5	
丘	ziu1a	
丙	piaŋ3	
丞	sɐŋ2	
丢	tiu1a	
並	pʰɐŋ5	
丫	ŋa1b	
中	tsoŋ1b	~秋
中	tsoŋ5	射~
串	tsʰyɛn5	
丸	zyɛn3	
丹	tan1a	
主	tsy3	
乃	lai5	
久	kiu3	
之	tsi1a	
乎	fu2	
乏	fat8	
乖	kai1a	
乘	sɐŋ2	
乙	zyɛt7b	
九	kiu3	
乞	hɐt7a	
乞	ŋɐt7a	老派音
也	za5	
乳	zy5	
乾	kʰin2	~坤
乾	kɔn1b	~濕
亂	lɔn6	
了	liau5	
予	zy5	
事	sy6	
二	ŋi6	
云	vin2	
互	vu6	
五	m̩3	
井	tiaŋ3	
些	siɛ1b	
亞	ŋa5	
亡	mɔŋ2	
交	kau1a=	~通
交	kiau3-	打~
亥	hɔi6	
亦	zek8	
亨	hɐŋ1a	
享	hiɔŋ3	
京	kɐŋ1b	
亭	tʰɐŋ2	
亮	liɔŋ6	
人	ŋin2	
什	tsɐp8	
仁	ŋin2	
仄	tsɐk7a	
仇	siu2	
今	kim1a	
介	kai5	
仍	zɐŋ2	
仔	tɔi3	
仕	si6	
他	tʰa1b	
仗	tsiɔŋ3	
付	fu6	
仙	siɛn1a	
代	tɔi6	
令	lɐŋ6	
以	zi5	
仰	ziɔŋ5	
仲	tsoŋ6	
件	kʰiɛn6	
任	zim6	
份	fin6	
企	kʰi5	
伊	zi1b	
伍	m̩3	
伏	fok8=	三~
伏	pʰok8-	地~
伐	fat8	
休	ziu1b	
伙	fɔ3	
伯	pak7b	
估	ku3	
伴	pɔn6=	~随
伴	pʰɔn3-	有~
伶	lɐŋ2	
伸	sin1a	
伺	si5	
似	tʰi5	
但	tan6	
佈	pu5	
位	vi6	
低	tɐi1a	
住	tsʰy6	
佐	tsɔ6	
佔	tsiam5	
何	hɔ2	
佘	siɛ2	
余	zy2	
佛	fit8	
作	tsɔk7b	
佞	lɐŋ6	
你	ŋi5	
你	ni5	老派音
佢	ky5	
佢	ki5	他
佢	kʰy5	他
佩	pʰɔi6	
佳	kai1a	
併	pʰɐŋ5	
使	sɐi3	
侄	tsit8	
來	lɔi2	
侈	tsʰi3	
侉	kʰa1a	
例	lɐi6	
侍	sy6	
侖	lyn2	
供	koŋ1a	
依	zi1a	
侮	mu5	
侯	hɐu2	
侵	tsʰim1a	
便	pʰiɛn2	~宜
便	piɛn6	方~
促	tsʰok7a	
俄	ŋɔ2	
俊	tsyn5	
俗	tsok8	
俘	fu1b	
保	pau3	
俞	zy2	
俠	hap8	
信	syn5	
修	siu1a	
俯	fu3	
俱	ky6	~備
俱	kʰy1a	~樂部
俳	pʰai2	老派音
俸	foŋ6	
倉	tsʰɔŋ1a	
個	kɔ5=	一~
個	kɔi3-	那
倍	pʰɔi5	
倒	tau5	~車
倒	tau3	打~
倔	kʰit8	
候	hɐu6	
倚	zi3	
借	tiɛ5	
倡	tsʰiɔŋ1b	
倣	fɔŋ3	
倫	lyn2	
倭	vɔ1b	
值	tsɐk8	
假	ka5	放~
假	ka3	真~
偉	vi5	
偏	pʰiɛn1a	
偕	hai2	
做	ty5	
停	tʰɐŋ2	
健	kiɛn6	
側	tsɐk7a	
偵	tsɐŋ1a	
偶	ŋɐu5	
偷	hɐu1a-	~嘢
偷	tʰɐu1a=	~渡
僞	ŋɐi6	
傅	tsyɛn3	水滸~
傍	pʰɔŋ2	
傑	kiɛt8	
傘	san5	
備	pi6	
傢	ka1b	
催	tsʰy1a	
傲	ŋau6	
傳	tsʰyɛn2	~達
債	tsai5	
傷	siɔŋ1a	
傻	sɔ2	
傾	kʰɐŋ1a	
僅	kin3	
像	tsiɔŋ6	
僑	kʰiau2	
僕	pok8	
僕	pʰok7b	
僚	liau2	
僥	hiau3	
僧	tsɐŋ1b	
僵	kiɔŋ1a	
價	ka5	
僻	pʰɐk7a	
儀	ŋi2	
億	zɐk7a	
儉	kiam6	
儒	zy2	
償	siɔŋ2	
優	ziu1b	
儲	tsʰy5	
儼	ziam2	
允	vin5	
元	zyɛn2	
兄	hɐŋ1a	
充	tʰoŋ1a	
兆	siau6	
兇	hoŋ1a	
先	siɛn1a	
光	kɔŋ1a	
克	hɐk7a	
兑	tɔi5	
免	miɛn5	
兒	ŋi2	
兔	tʰɐu5	
兜	tɐu1a	
入	zip8	
内	lɔi6	
全	tsʰyɛn2	
兩	liɔŋ3	
八	pat7b	
公	koŋ1a	
六	lok8	
共	koŋ6	
兵	pɐŋ1a	
其	kʰi2	
具	ky6	
典	tiɛn3	
兼	kiam1a	
册	tsʰak7b	
再	tsɔi5	
冒	mau6	
冠	kɔn5	~軍
冠	kɔn1b	衣~
冤	zyɛn1a	
冬	toŋ1a	
冰	pɐŋ1a	
冷	laŋ5	
准	tsyn3	
凍	toŋ5	
凜	lɐm5	
凝	zi2	
几	ki1a	
凡	fan2	
凰	vɔŋ2	
凱	hɔi3	
凱	ɔi3	老派音
凳	tɐŋ5	
凶	hoŋ1a	
凸	tyt8	
出	tsʰyt7a	
函	ham2	
刀	tau1a	
刁	tiau1a	
刃	zin3	
分	fin1a	
切	tʰiɛt7b	
刊	hɔn1b	
刎	min5	
刑	zɐŋ2	
划	vak8	
列	liɛt8	
初	tsʰɔ1a	
判	pʰɔn5	
别	pʰiɛt8	
刨	pʰiau2	
利	li6	
删	san1a	
刮	kat7b	
到	tau5	
制	tsɐi5	
刷	tsʰat7b	
券	kyɛn5	
刺	tsʰi5=	~刀
刺	tʰi5-	有~
刻	hɐk7a	
剃	hiɛ5	
則	tsɐk7a	
削	siɔk7b	
前	tʰiɛn2	
剔	tʰɐk7b	
剖	fɐu3	
剖	pʰɐu3	老派音
剛	kɔŋ1b	
剝	mɔk7a	
剩	sɐŋ6	
剪	tiɛn3	
副	fu5	
割	kat7b	
創	tsʰɔŋ5	
劃	vak8	
劄	tsat7b	
劇	kʰiak7b=	~烈
劇	kʰiak8-	戲~
劈	pʰiak7b	
劉	liu2	
劍	kiam5	
劑	tsɐi1a	
力	lɐk8	
功	koŋ1a	
加	ka1a	
劣	lyɛt8	
助	tsɔ6	
努	lɐu3	
劫	kiap7b	
勁	kɐŋ6	
勃	pɔt8	
勇	zoŋ5	
勉	miɛn5	
勒	lɐk8	
動	toŋ6	
勘	hɐm1a	
務	mu6	
勝	sɐŋ5	
勞	lau2	
募	mu6	
勢	sɐi5	
勤	kʰin2	
勳	fin1a	
勵	lɐi6	
勸	hyɛn5	
匀	vin2	
勾	ŋɐu1a	
勿	mit8	
包	pau1a	
匈	hoŋ1a	
化	fa5	
北	pɐk7a	
匙	si2	
匠	tiɔŋ2	
匡	hɔŋ1a	
匪	fi3	
匯	vɔi6	
匹	pʰit7b	
