#漢字	音標	解釋
□	pʰɔ1	(吃过某些东西后)口淡
□	lia1	(用伞等)遮挡
□	xam1	(脸、眼)肿胀
□	siu4	(车、飞机等)很快经过
□	tʰĩ4	(数量上)加上,补上
□	tʰuaʔ7a	(洗手脚或洗澡时)搓
□	muĩʔ7a	(没牙的人)咀嚼
□	kʰiu2	1动词,蜷曲,收缩;2(衣服、布料)缩水;3抽筋;4形容词,卷曲,不舒展;5形容生活节俭
□	kɔŋ3	1凸出、鼓出;2鼓出感,鼓出的样子
□	lun5	1(虫)蠕动;2赖着不动,因不情愿而动作慢或不行动
□	ɡaʔ7a	a3~,大约
□	tsua4	ka5~,蟑螂
□	leʔ7a	lak7b~,邋遢
□	ləʔ7a	liʔ7a~,喜欢捉弄别人
□	kiauʔ7a	liauʔ7a~,指女性或小孩好玩,话多,太过活泼外向,略带贬义
□	tʰo2	tʰit7b~,游玩,玩耍
□	am2	~buei2,青蛙
□	nŋ̍3	~懒,邋遢,不爱干净
□	un3	~痀,驼背
□	tsĩ3	~生sĩ1,这样
□	xĩ3	~生sĩ1,那样
□	sãu4	~念,唠叨个没完,原文作“骚”
□	pʰun5	~骹,笨
□	bun5	~虫,蛔虫,原文作“蝒”
□	kʰap8	~着,动不动就……
□	kit8	~~走,跑来照去
□	kiak8	~~叫,形容人大声地喋喋不休
□	pʰut8	~~跳,高兴或气愤时跳脚
□	peʔ7a	~腹,担心,原文作“憋”
□	tsəʔ7a	~脱,浪费;小孩夭折,原文作“仄”
□	tʰiuʔ7a	~皮,受伤脱皮
□	liuʔ7a	~落来,下来
□	liauʔ7a	~kiauʔ7a,指女性或小孩好玩,话多,太过活泼外向,略带贬义
□	mŋʔ7a	~sŋʔ7a,东西
□	tʰit7b	~tʰo2,游玩,玩耍
□	lau3	ɡɔ1~,清高,孤僻
□	saŋ2	“相同”的合音
□	te4	“第一”的合音,相当于“最”
□	luai4	“落来”的合音,下来
□	tuai5	“倒来”的合音,回来
□	xɔŋ5	“xɔ5人”的合音,表示被动
□	tsʰuaiʔ7a	“出来”的合音
□	tsʰiaŋ3	一瘸一拐的的样子
□	sĩa3	一~仔,一点点
□	tʰui2	不尖利,秃
□	buan3	不要,“无按”的合音
□	tsʰua5	不由自主地排泄(大小便)
□	xam5	不实在,不靠谱,原文作“譀”
□	mãi5	不要,“伓爱”的合音
□	tsʰiauʔ7a	不停地大声说话
□	xiɔŋ1	丑,难看;脏,原文作“凶”
□	pʰin2	东西随意摆放;(酒醉或其他原因)东倒西歪
□	uãiʔ7a	东西不牢固,摇晃,一般叠用;扭动
□	lu1	乌~~,叠音后缀,形容很黑
□	sam3	买卖中掺杂掺假的欺骗行为,要带指人宾语或补语
□	lɯ2	乱,原文作“茹”
□	tsim1	亲
□	kau4	从一定的高度掉下或摔下
□	su5	从小孔洞喷射液体
□	pɔ̃ʔ7a	从高处摔下来
□	in1	代词,他们,他们的
□	xe2	代词,那,原文作“奚”
□	tsĩu3	代词,这样
□	tuã3	代词,哪里
□	xə5	代词,那里
□	xɔ5	仰头;凸出,一般指五官
□	ke4	价钱低
□	lun1	伸出,缩进
□	lam3	体质虚弱,东西不牢固
□	tĩ5	假装
□	am1	傻,笨
□	mɔ̃4	傻,多出于喜爱的情感
□	bam3	儿语,吃
□	iʔ7a	儿语,站起来
□	kiɛn2	凝固,原文作“虔”
□	nãʔ7a	凹陷进去
□	tsʰɔk7b	出去,出门
□	ui1	刀及其他坚硬物品用久磨损
□	kʰiɛt7b	划擦(火柴、打火机)
□	baŋ1	别,不可以,“伓通”的合音
□	tak7b	剁、砍
□	bɔŋ2	副词,表示姑且、尝试
□	kuaŋ2	副词,可能是“佫通”的合音,表示放任或激将等意思
□	tsʰim3	副词,刚刚;正要,原文作“寝”
□	xiɛn5	副词,就,马上
□	koʔ7a	副词,再,还
□	tsiaʔ7a	副词,才,原文作“则”
□	tsuaʔ7a	副词,这么,常写“拙”字
□	tsʰam4	劝说
□	tʰɔ3	加在数词之后表概数,原文作“吐”
□	ŋĩau1	动词,挠痒;形容词,痒
□	siou2	动作缓慢迟钝,略带贬义
□	sɔŋ2	动作迟钝,笨手笨脚,原文作“庸”
□	kʰɔŋ2	动词,统计,估计;副词,大概,大约,表猜测、推测
□	lin2	动量词,圈
□	tau3	动量词,次,回,原文作“捣”
□	xɔ5	动词,给;介词,给,被,原文作“互”
□	tsʰik8	动词,抖
□	tsʰui1	勒,拉紧
□	la5	卜~,要做什么
□	teʔ7a	压;种植
□	uat8	反倒,越
□	laŋ1	叠用,吃肥肉等油油的肥腻腻的感觉
□	liau2	叠用,放在动词前表示慢慢来
□	kʰɔk7b	叠音后缀,硬~~
□	tiau3	口音不正,一般叠用
□	nã5	只,仅
□	kaʔ7a	叫,使唤
□	kʰat7b	台阶;借为量词
□	kʰueiʔ7a	合眼
□	kuʔ7a	吸
□	sĩuʔ7a	吸鼻涕
□	tiau4	呆住,愣住
□	saʔ7a	咬,尤指狗等凶猛地咬
□	kʰɔ̃ʔ7a	咳嗽
□	pʰãi1	哭
□	kap8	啰嗦,礼数太多
□	xiɔk7b	喜欢,爱好
□	bu5	喷或吐(液体等)
□	tsʰu5	喷射液体等,原文作“澍”
□	tsʰuʔ7a	喷,从小孔洞猛力喷气或水;用电棒电击
□	kim4	嘴闭合
□	ke4	噎住
□	pu4	因浸泡而膨胀
□	xuat8	土路被踩实的样子
□	un1	在地上(不起来),赖着,原文作“蝹”
□	nã5	在,呆在
□	tə5	地方,原文作“带”
□	lam1	垂下
□	kə3	垫;挡
□	kam3	埋
□	tʰueiʔ7a	塞进缝隙使稳固、密实
□	tsuei5	多,与少相对
□	xai1	大
