#漢字	音標	解釋
丁	tin1	
万	uan5	
三	san1	
上	saŋ5	
下	ɕia5	
不	pu2	
与	y3	
丐	kɛ5	
丑	tsʰou3	
專	tsuan1	
且	tɕʰiɛ1	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiou1	
丙	pin3	
業	iɛ1	
叢	tsʰuŋ2	
東	tuŋ1	
丢	tiou1	
兩	liaŋ3	
喪	saŋ1	
喪	saŋ5	
个	kɤ5	
丫	ia1	
中	tsuŋ1	
中	tsuŋ5	
丰	xuŋ1	
串	tsʰuan5	
臨	lin2	
丸	uan2	
丹	tan1	
爲	uei2	
爲	uei5	
主	tsu3	
麗	li2	
舉	tɕy3	
乃	nɛ3	
久	tɕiou3	
義	i5	
烏	u1	
乍	tsa5	
乎	fu1	
乏	fa2	
樂	yo1	
乓	pʰaŋ1	
乖	kuɛ1	
九	tɕiou3	
也	iɛ3	
習	ɕi2	
買	mɛ3	
亂	luan5	
乳	zu3	
乾	tɕʰian2	
了	liau3	
予	y3	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fu5	
五	u3	
亞	ia5	
些	ɕiɛ3	
亡	uaŋ2	
交	tɕiau1	
亥	xɛ5	
產	tsʰan3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰin5	
人	zən2	
仁	zən2	
仄	tsɛ5	
僅	tɕin3	
仆	pʰu1	
仇	tɕʰiou2	
今	tɕin1	
介	tɕiɛ5	
仍	zəŋ2	
从	tsʰuŋ2	
仑	lən2	
倉	tsʰaŋ1	
他	tʰa3	
付	xu5	
仙	ɕian1	
令	lin5	
儀	i2	
們	mən2	
仰	iaŋ3	
仲	tsuŋ5	
價	tɕia5	
任	zən2	
任	zən5	
份	xuən5	
仿	xuaŋ3	
企	tɕʰi3	
伊	in3	
伍	u3	
伐	xua2	
休	ɕiou1	
衆	tsuŋ5	
優	iou1	
伙	fo3	
會	kʰuɛ5	
會	fei5	
傘	san3	
傳	tsʰuan2	
伢	ia2	
傷	saŋ1	
倫	lən2	
僞	uei3	
伯	pɛ1	
估	ku3	
伸	sən1	
伺	tsʰɿ5	
佃	tʰian2	
但	tan5	
位	uei5	
低	ti1	
住	tsu5	
佐	tsuo3	
佑	iou5	
體	tʰi3	
何	xɤ2	
佘	sɛ1	
余	y2	
佛	fo2	
作	tsuo2	
佞	nin5	
你	n̩3	
佩	pʰei5	
佳	tɕia2	
使	sɿ3	
侄	tsɿ2	
侈	tsʰɿ3	
例	li5	
供	kuŋ5	
依	i1	
僑	tɕʰiau2	
儂	nuŋ2	
侯	xou2	
侵	tɕʰin2	
便	pʰian2	
便	pian5	
係	ɕi5	
促	tsʰu5	
俄	ɣɤ2	
俊	tɕyn5	
俏	tɕʰiau5	
俗	su2	
保	pau3	
信	ɕin5	
儼	ian3	
倆	lia3	
儉	tɕian3	
修	ɕiou1	
俯	xu3	
俸	xuŋ5	
俺	ɣan3	
倍	pei5	
倒	tau3	
倒	tau5	
倔	tɕyɛ5	
倘	tʰaŋ3	
候	xou5	
倚	i3	
借	tɕiɛ5	
倡	tsʰaŋ5	
倦	tɕyan5	
倪	ni2	
倭	uo1	
債	tsɛ5	
傾	tɕʰyŋ3	
假	tɕia3	
偏	pʰian1	
偕	ɕiɛ2	
做	tsuo5	
停	tʰin2	
偶	ɣou3	
偷	tʰou1	
傀	kʰuei2	
傅	xu5	
傍	paŋ5	
傢	tɕia1	
儲	tsʰu2	
催	tsʰuei1	
傲	ɣau5	
傻	sa3	
像	ɕiaŋ5	
僚	liau2	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi5	
儒	zu2	
儡	lei3	
兒	ɭ̩2	
允	yn3	
元	yan2	
兄	ɕyŋ1	
充	tsʰuŋ1	
先	ɕian1	
光	kuaŋ1	
克	kʰiɛ1	
免	mian3	
兑	tei5	
兔	tʰu5	
黨	taŋ3	
兜	tou1	
入	zu1	
全	tɕʰyan2	
公	kuŋ1	
六	liou5	
蘭	lan2	
共	kuŋ5	
興	ɕin5	
典	tian3	
養	iaŋ3	
兼	tɕian1	
獸	sou5	
内	nei5	
岡	kaŋ1	
冉	zan3	
再	tsɛ5	
冒	mau5	
冗	zuŋ3	
寫	ɕiɛ3	
軍	tɕyn1	
農	nu2	
冠	kuan1	
冠	kuan5	
冢	tsuŋ3	
冤	yan1	
冬	tuŋ1	
馮	xuŋ2	
冰	pin1	
冲	tsʰuŋ1	
冲	tsʰuŋ5	
况	kʰuaŋ5	
冷	ləŋ3	
凍	tuŋ5	
凄	tɕʰi1	
準	tsuən3	
涼	liaŋ2	
凋	tiau1	
減	tɕian3	
湊	tsʰou5	
凜	lin2	
凝	nin2	
几	tɕi3	
