#漢字	音標	解釋
㔶	kʰɐm3	
㗇	ha1	欺負
㚻	ki1	
㞘	tʊk7a	
㢥	tʊŋ6	
㤿	jim1	
㨃	ty3	
㨃	tɵy3	~冧
㨮	tɐu1	
㪗	tʰɐu3	展開
㬹	tɕaŋ1	
㳌	ʔɐp7a	
㴶	kɔk7b	
㷠	lɐn2	
㷫	hɪŋ5	
㷫	hɪŋ6	
㷹	tɕau5	油炸
㿭	tɕʰak7b	皴,爆㿭
䀇	ku3	
䁽	lap7b	
䂻	tɕaŋ6	
䂿	tɐp8	
䅺	piu1	
䊆	kɐu6	
䍇	tʰap7b	
䎺	tɕɐi5	
䑜	tiɐp7a	
䖢	ɕa1	
䘆	hyn3	
䞘	kɐt8	
䟕	tɕʰa5	
䨻	paŋ2	
一	jɐt7a	
一	ʔɐt7a	
丁	tɪŋ1	
七	tʰɐt7a	
万	mæt6	
丈	tɕœŋ6	
三	ɬam1	數名,二加一
上	ɕœŋ6	上午
上	ɕœŋ4	上山
下	ha6	下山
下	ha4	一下
不	pɐt7a	
丐	kʰɔi5	
丑	tɕʰɐu3	
且	tʰiɐ3	
世	ɕɐi5	
丘	jɐu1	
丙	pɪŋ3	
丢	tiu1	
並	pʰɪŋ4	
丫	ŋa1	
中	tɕʊŋ1	中間
中	tɕʊŋ5	命中
丰	fʊŋ1	
串	tɕʰun5	
丸	jun2	
丹	tæt1	
主	tɕy3	
乃	nai4	
久	kɐu3	
之	tɕi1	
乍	tɕa5	
乎	fu2	
乏	fæt8	
乖	kʷai1	
乘	ɕɪŋ2	
乙	jut7b	
乜	mɐt7a	
九	kɐu3	
乞	hɐt7a	
也	ja4	
乳	ȵɵy4	
乸	na3	
乾	kɔn1	乾燥
乾	kʰin2	乾坤
亂	lun6	
了	liu4	了結
予	jy2	我也又姓
予	jy4	給予,賜也又賦
事	ɕi6	
二	ȵi6	
于	jy1	
云	wɐn2	說話引文,文言助詞
互	wu6	
五	ŋ̍4	
井	tɪŋ3	
些	ɬiɐ1	
亞	ʔa5	
亡	mɔŋ2	
交	kau1	
交	kiɐu1	
亥	hɔi4	
亦	jɪk8	
亨	hɐŋ1	
亨	haŋ1	又讀
享	hœŋ3	
京	kɪŋ1	
亭	tʰɪŋ2	
亮	lœŋ6	
人	ȵɐn2	
仁	ȵɐn2	
仆	pʰʊk7a	
