#漢字	音標	解釋
䝼	tɕʰiŋ2	䝼受
一	iəʔ7	
丁	tiŋ1	
七	tɕʰiəʔ7	
万	vã5	
丈	tʂaŋ5	
三	sã1	
上	ʂaŋ5	上山
上	ʂaŋ5	上面
下	ɕiɔ5	下降
下	ɕiɔ5	底下
不	puəʔ7	
与	y3	及,給與
丐	kai5	乞丐
丑	tʂʰou3	
專	tʂuã1	
且	tɕʰiəʔ7	
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piŋ3	
業	iɤ5	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰeŋ2	
丢	tiəu1	
兩	liaŋ3	兩個
兩	liaŋ3	幾兩幾錢
嚴	iã2	
喪	saŋ5	喪失
喪	saŋ5	婚喪
个	kɤ5	個人,一個
丫	iɔ1	丫頭
中	tʂoŋ1	射中
中	tʂoŋ1	當中
丰	feŋ1	
串	tʂʰuã5	
臨	liən2	
丸	vã2	肉丸,彈丸
丹	tã1	
爲	vei2	作爲
爲	vei5	爲什麽
主	tʂu3	
麗	li5	美麗
舉	tɕy3	
乃	nai3	
久	tɕiəu3	
麽	mɤ1	么二三
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂɔ5	
乎	xu1	
乏	fɔ2	
樂	ləʔ7	
樂	yəʔ7	音樂
喬	tɕʰiao2	
乖	kuai1	
乘	ʂeŋ5	
乙	iəʔ7	
九	tɕiəu3	
乞	tɕʰi3	
也	iɤ3	者也,也是
習	ɕiəʔ7	
鄉	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	luã5	
乳	ʐu3	
乾	tɕʰiã2	乾坤
了	liao2	了結
爭	tʂeŋ1	
事	ʂʅ5	
二	ɚ5	
于	y2	
虧	kʰuəi1	
云	yn2	
互	xu5	
五	u3	
井	tɕiŋ3	
亞	iɔ5	
些	ɕiɤ1	
亡	maŋ2	
交	tɕiao1	
亥	xai5	
亦	i5	
產	tʂʰã3	
亨	xeŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tɕʰiən1	
親	tɕʰiən1	親家
人	ʐen2	
億	i5	
什	ʂen2	什物
仁	ʐen2	
僅	tɕiən3	
仆	pʰu2	
仆	pʰu2	倒
仇	tʂʰou2	
仇	tɕʰiəu2	姓
今	tɕiən1	
介	tɕiɤ5	
仍	ʐeŋ1	
从	tsʰoŋ2	從容
从	tsʰoŋ2	跟從
仑	luən2	
倉	tsʰaŋ1	
仕	ʂʅ5	
他	tʰɤ3	
仗	tʂaŋ5	
付	fu5	
仙	ɕiã1	
代	tai5	
令	liŋ5	
以	i3	
儀	i5	
仰	iaŋ3	
仲	tʂoŋ5	
件	tɕiã5	
價	tɕiɔ5	
任	ʐen5	姓
任	ʐen2	責任
份	fen5	一份两份
仿	faŋ3	倣效
仿	faŋ3	彷彿
仿	faŋ3	相似
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fu2	
伐	fɔ2	
休	ɕiəu1	
衆	tʂoŋ5	
優	iəu1	
會	xuəi5	會計
會	xuəi5	會不會
會	xuəi5	開會
傘	sã3	
偉	vei3	
傳	tʂʰuã2	傳達
傳	tʂuã5	傳記
伢	iɔ2	小孩子
傷	ʂaŋ1	
倫	luən2	
僞	vei3	
伯	pɤ2	
估	ku1	估計
伴	pã5	
伶	liŋ2	
伸	tʂʰen1	
伺	sɿ1	
似	sɿ5	
佃	tiã5	
但	tã5	
位	vei5	
低	ti3	
住	tʂu5	
佐	tsuɤ3	
佑	iəu5	
體	tʰi3	
何	xɤ2	
佘	ʂɤ1	姓
余	y2	
佛	fɤ2	
佛	fu2	彷彿
作	tsuəʔ7	作坊,工作
佞	niŋ2	
你	ni3	
佩	pʰei5	
佳	tɕiɔ1	
使	ʂʅ3	
侄	tʂʅ2	
侈	tʂʰʅ1	奢侈
侉	kʰuɔ3	
例	li5	
侍	ʂʅ5	
供	koŋ5	供給,供不起
供	koŋ5	供養,上供
依	i1	
