#漢字	音標	解釋
一	i2	
七	tɕʰi2	
三	ʂan1	
上	ʂaŋ5	
下	ɕia5	
世	ʂʅ5	
丟	tiəu1	
中	tʂuəŋ1	
主	tʂu3	
九	tɕiəu3	
亂	nan5	
事	ʂʅ5	
二	ær5	
五	u3	
井	tɕin3	
交	tɕiɔu1	
亮	niaŋ5	
人	ʐən2	
付	fu5	
件	tɕian5	
任	ʐən5	
休	ɕiəu1	
位	uei5	
低	ti1	
住	tʂu5	
余	y2	
佛	fu2	
作	tʂuo2	
使	ʂʅ3	
侄	tʂʅ2	
來	nai2	
便	pian5	
俊	tɕin5	
修	ɕiəu1	
倉	tʂʰaŋ1	
個	kɤ5	
借	tɕie5	
假	tɕia3	
做	tʂəu5	
停	tʰin2	
健	tɕian5	
側	tʂʰe2	
偸	tʰəu1	
傑	tɕie2	
傘	ʂan3	
傳	tʂʰuan2	
傳	tʂuan5	
傷	ʂaŋ1	
像	ɕiaŋ5	
僧	ʂən1	
優	iəu1	
兄	ɕyəŋ1	
充	tʂʰuəŋ1	
兇	ɕyəŋ1	
先	ɕyan1	
光	kuaŋ1	
兒	ær2	
入	ʐu2	
全	tɕʰyan2	
兩	niaŋ3	
八	pa2	
公	kuəŋ1	
六	nəu2	
共	kuəŋ5	
兵	pin1	
典	tian3	
冤	yan1	
冬	təŋ1	
冰	pin1	
冷	nən3	
准	tʂuən3	
凍	təŋ5	
凳	tən1	
出	tʂʰu2	
刀	tɔu1	
分	fən1	
切	tɕʰie1	
列	nie2	
初	tʂʰəu1	
判	pʰan5	
別	pie2	
刮	kua2	
制	tʂʅ5	
刷	ʂua1	
刺	tʂʰʅ5	
刻	kʰe2	
刻	kʰe5	
剃	tʰi5	
削	ɕyo1	
前	tɕʰian2	
剝	po1	
剩	ʂən5	
剪	tɕian3	
副	fu5	
割	kɤ1	
劃	xua5	
劇	tɕy5	
劈	pʰi1	
劍	tɕian5	
力	ni2	
勁	tɕin5	
動	təŋ5	
勤	tɕʰin2	
勸	tɕʰyan5	
勺	ʂuo2	
勻	yn2	
包	pɔu1	
包	pʰɔu1	
化	xua5	
北	pe2	
匠	tɕiaŋ5	
匹	pʰi1	
區	tɕʰy1	
十	ʂʅ2	
升	ʂən1	
半	pan5	
卒	tʂəu2	
協	ɕie2	
南	nan2	
南	naŋ2	
占	tʂan5	
印	in5	
危	uei3	
卷	tɕyan3	
厚	xəu5	
原	yan2	
厭	ian5	
去	tɕʰy5	
去	kʰɯ5	
參	ʂən1	
及	tɕi2	
反	fan3	
叔	ʂəu2	
取	tɕʰy3	
口	kʰəu3	
古	ku3	
句	tɕy5	
叫	tɕiɔu5	
可	kʰɤ3	
台	tʰai2	
右	iəu5	
吃	tʂʰʅ1	
各	kɤ2	
吉	tɕi2	
名	min2	
向	ɕiaŋ5	
