#漢字	音標	解釋
□	tʂʰʅ1	~手:伸手
□	pi1	~~:汽车喇叭声
□	tɕʰia1	~土:铁锈
□	dʱɤ1	~回:以后
□	lɤ1	~子:砻
□	tsɤ1	~猪:瘟猪
□	tʰiə1	~天:第二天
□	liəu1	~一餐:打一顿
□	kʰuã1	~子:钹
□	dzʱõ1	~头:肛门
□	ɣɛ̃2	~时:能力
□	pa3	~~:伯伯
□	ye3	~嘴巴:翘着嘴
□	ʐɛ̃3	~么:软弱
□	pʰən3	~糜:很烂
□	pa5	~饭:用有限的菜多下饭
□	tɕyo5	~倒:侧着
□	tʰiɛ̃5	~门:经常
□	iɔ̃5	~光:光滑
□	ʑya7	~更:筢子
□	iə7	~泥坑
□	ɕiɛ̃7	~子:打毛衣的针
□	pʰa1	一~:一段时间
□	tɕʰiɛ̃5	一层一层地贴:~鞋底
□	tɕi1	伤心:~死哩
□	ko1	倒出
□	xa3	划拔
□	tɔ7	刺扎手:~人
□	mõ1	双手捧着:~碗饭
□	ʂɤ1	反复说
□	iɛ̃3	叹词,表应答
□	ɣã7	叹词
□	lia3	吐出:~舌子
□	ɣɔ2	因伙食差而心慌
□	ka7	大便,小儿语
□	kɔ1	寻~哩:找遍了
□	y5	小~:小便
□	ɕyo5	差劲
□	ɕiɛ̃7	慢
□	tiɔ̃5	戳;~背心:戳脊梁骨
□	ʑia7	打~:腿从人头上横过
□	ya5	扔掉
□	ɕyɛ̃5	扔掉
□	tsɤ7	扛
□	tən7	抖动
□	pən7	抱
□	kõ5	捕鱼工具
□	kua3	接头词;~糜:煮得很烂
□	lən5	推
□	sã3	搂,抱
□	tsʰɔ5	搅和
□	pʰia3	枪声
□	kʰua5	树枝
□	lən7	梳头发分出的道道
□	tʰiɛ̃5	比赛
□	tɕia1	涩;菜淡,没咸味:~淡
□	lia3	溜:~肩
□	tia1	牵着手
□	tʂʰʅ3	理睬
□	tʂɤ1	瓮
□	tɕʰya1	用绳子系,捆绑
□	liə1	用棍子挑
□	pʰæ3	用扁担等的一头挑物
□	lɔ5	用毒药害死
□	ɕya7	甩掉尾巴
□	i1	瘪
□	tsʰɤ1	稍微动一动
□	kõ3	稻草
□	liə1	聒耳
□	liɛ̃7	肉:小孩语
□	lõ7	脚后跟
□	tʰin3	脱下:~裤
□	põ5	藏
□	in7	被人搔痒的感觉
□	ɕy7	说悄悄话
□	lia1	趿拉鞋子
□	tɕiɔ̃5	踩
□	tɕiɔ̃5	逗小孩语
□	tɕʰyo5	遗失
□	bʱæ3	陷入泥中
□	a5	颠倒的
□	tɕʰya1	骗
□	ɕiɛ̃7	龇牙
㖿	ie2	叹词
㝩	kʰã1	
㞎	pa3	~~:大便。小儿语
㧸	pʰõ1	轰开:~鸡
㪗	tʰiə3	抻~:平直
㫰	lõ5	晾,《集韵>去声宕韵郎宕切:“~,暴也。”
㷮	tsɔ1	干而脆
㸊	læ5	烫
㼭	tʰie1	器不平用物衬之
㽹	fɤ3	呕吐
㿸	mã1	油~
䁊	ua1	眼睛下陷
穇	tsʰã3	~子:龙爪稷
䇏	tɤ3	整批地买进
䋎	tsã5	缝:~被
䏧	ia5	~腮:好
䐬	dzʱɔ2	肚~:肚饿
䘆	ɕiɛ̃3	
䠍	ʑia1	跨
䵋	fɤ3	褪色
䵙	ia2	粘贴
一	i1-	
一	i7=	
丁	tin1	
七	tɕʰi1	
万	uã5	
丈	dʑʱyõ1	~人公:岳父
丈	dʑʱyõ3	一~
三	sã1	
上	ʑyõ1-	~前天
上	ʑyõ3	~课
上	ʑyõ5=	~级
下	ɣa1	
下	ɡʰa3	
下	ʑia7	
不	pu7	
与	y3	
丐	kæ5	
丑	tɕʰiəu3	
專	tɕyɛ̃1	
丕	pʰɤ1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
業	iɛ̃7	
叢	dzʱən2	
東	tən1	
絲	sɿ1	
丞	dʐʱən2	
丢	tiəu1	
兩	liɔ̃3	
嚴	iɛ̃2	
喪	sõ5	
个	ko5	
丫	a1	(嘴巴)张开
丫	ia1	
中	tɕyn1	
中	tɕyn5	
中	tən1-	~间
丰	fən1	
串	tɕʰyɛ̃5	
臨	lin2	
丸	yɛ̃2	
丹	tã1	
爲	uɤ2	
主	tɕy3	
麗	li5	
舉	tɕy3	
乃	læ3	
久	tɕiəu3	
麽	mo3	
義	in5	
之	tʂʅ1	
烏	u1	
乏	fã5	
樂	lo7	
樂	yo7	音~
乒	pʰin1	
喬	dʑʱiə2	
乖	kuæ1	
乘	dʐʱən2	
乙	ie7	
九	tɕiəu3	
乞	tɕʰi5	
也	ia3	
習	ɕi7	
鄉	ɕyõ1	
書	ɕy1	
買	mæ3	
亂	lõ1-	
亂	lõ5=	
乳	y3	
乾	dʑʱiɛ̃2	~坤
了	liə3	~结
予	y3	
爭	tsõ1-	
爭	tsən1=	
事	ʂʅ5	
二	ɤ1-	
二	ɤ5=	
于	y2	
虧	kʰuɤ1	
云	yn2	
互	vu5	
五	u3	
井	tɕiɔ̃3-	
井	tɕin3=	
亞	ia5	
些	ɕie3	
亡	õ2	
交	tɕiə1	
亥	ɣæ5	
亦	i7	
產	tsʰã3	
亨	xən1	
畝	miə3	
享	ɕyõ3	
京	tɕin1	
亭	dʱin2	
亮	liɔ̃5	
親	tɕʰin1	
親	tɕʰin5	
人	n̩2-	
人	ʐən2=	
億	i5	
仁	ʐən2	
仄	tɕie7	
僅	tɕin3	
仆	pʰu7	~人
仇	ʑiəu2	
今	tɕin1	
介	kæ5	
仍	ʐən2	
从	dzʱən2	
倉	tsʰõ1	
仔	tsæ5	名词后缀
仕	ʂʅ5	
他	tʰa1	
仗	tɕyõ5	
付	fu5	
仙	ɕiɛ̃1	
代	dʱæ5	
令	lin5	
令	lin1	形容词前缀;~尖:非常尖锐
以	i3	
儀	in2	
們	min2	
仰	yõ3	
仲	dʑʱyn5	
件	dʑʱiɛ̃3	
價	tɕia5	
任	ʐən5	
份	fən5	
仿	xõ3	
企	dʑʱi5	
伍	u3	
伏	pʰu5-	
伏	fu7=	
伐	fa7	
休	ɕiəu1	
衆	tɕyn5	
優	iəu1	
伙	xo3	
會	vɤ5	
會	vɤ1	~来
會	kʰuæ5	~计
傘	sã3	
偉	uɤ3	
傳	dʑʱyɛ̃2	
傳	dʑʱyɛ̃5	~记
伢	a2	
傷	ɕyõ1	
倫	lin2	
伯	pɤ7	
估	ku1	
伴	bʱõ3-	
伴	bʱõ5=	
伴	pʰõ5	一~鸡:一群鸡
伶	lin2	
伸	ʂən1	
伺	sɿ5	
似	sɿ5	
佃	dʱiɛ̃5	
但	dʱã5	
位	uɤ5	
低	ti1	
住	dʑʱy1-	
住	dʑʱy5=	
佐	tso5	
佑	iəu5	
體	tʰi3	
何	ɣo2	
余	y2	
佛	fu7	
作	tso7	
你	li3=	
你	n̩3-	第二人称
佣	yn5	
佩	pʰɤ5	
佮	kua1	合,结交,~朋友
佳	tɕia1	
佸	kua1	~老屋:做棺材
佻	dʱiə1	自由地下垂
使	ʂʅ3	
侄	tʂʅ7	
侈	tʂʰʅ3	
例	li5	
侍	ʐʅ1	护~
供	kən1	
供	kən5	
依	i1	
俠	ɕia7	
侶	liəu3	
僥	tɕiə3	
偵	tʂən1	
側	tɕʰie7	
僑	dʑʱiə2	
侯	ɣɤ2	
侵	tɕʰin1	
便	bʱiɛ̃2	
便	bʱiɛ̃5	
促	tsʰəu7	
俄	o2	
俊	tsən5	
俏	tɕʰiə5	
俐	li5	
俗	səu7	
俘	fu1	
保	pɔ3	
信	ɕin5	
儼	iɛ̃7	~像
儉	dʑʱiɛ̃5	
修	ɕiəu1	
俯	fu3	
俱	tɕy1	
倌	kõ1	
