#漢字	音標	解釋
一	i1	
七	tsʰi1	
万	van5	
三	san1	
上	ʂaŋ5	
下	ɕia5	
世	ʂʅ5	
業	iɛ1	
東	tuəŋ1	
絲	sɿ1	
丢	tiou1	
兩	liaŋ3	
嚴	ian2	
个	kə5	
中	tʂuəŋ1	
丰	fəŋ1	
舉	tɕy3	
義	i5	
烏	u1	
九	tɕiou3	
習	si2	
書	ʂʯ1	
買	mai3	
亂	lyan5/luan5	
爭	tsəŋ1	
事	sɿ5	
二	ɯ5	
虧	kʰuei1	
云	yən2	
五	u3	
井	tsiəŋ3	
交	tɕiɔ1	
產	tʂʰan3	
亮	liaŋ5	
親	tsʰiən1	
人	ʐən2	
倉	tsʰaŋ1	
付	fu5	
件	tɕian5	
任	ʐən5	
休	ɕiou1	
優	iou1	
會	xuei5	
傘	san3	
傳	tʂʰuan2	~下来
傳	tʂuan5	~记
傷	ʂaŋ1	
位	uei5	
低	ti1	
余	y2	
佛	fu2/fuə2	
作	tsuə1	
使	sɿ3	
侄	tʂʅ2	
側	tsʰai1	
便	pian5	
俊	tsuən5	
修	siou1	
借	tsiɛ5	
假	tɕia3	
做	tsuə	
停	tʰiəŋ2	
健	tɕian5	
偷	tʰou1	
像	siaŋ5	
僧	səŋ1	
兒	ɯ2	
兄	ɕyəŋ1	
充	tʂʰuəŋ1	
先	sian1	
光	kuaŋ1	
黨	taŋ3	
入	ʐu1	
全	tsʰyan2	
八	pa1	
公	kuəŋ1	
六	lu1	
蘭	lan2	
共	kuəŋ5	
關	kuan1	
興	ɕiəŋ5	
兵	piəŋ1	
典	tian3	
寫	siɛ3	
軍	tɕyən1	
冤	yan1	
冬	tuəŋ1	
冰	piəŋ1	
冲	tʂʰuəŋ1	
決	tɕyɛ1/tɕyə1	
冷	ləŋ3	
凍	tuəŋ5	
準	tʂuən	
減	tɕian3	
湊	tsʰou5	
几	tɕi3	
鳳	fəŋ5	
凳	təŋ5	
凶	ɕyəŋ1	
出	tʂʰu1	
擊	tɕi1	
刀	tɔ1	
分	fən1	
切	tsʰiɛ1	
划	xua5	
列	liɛ1	
初	tʂʰʯ1	
判	pʰan5	
别	piɛ2	
刮	kua1/kua3	
制	tʂʅ5	
刷	ʂuan1	
刺	tsʰɿ5	
刻	kʰai1/kʰə1	
剃	tʰi5	
削	syə1	
前	tsʰian2	
劍	tsian5	
剝	puə1	
劇	tɕy5	
剩	ʂəŋ5	
剪	tsian3	
副	fu5	
割	kə1	
劈	pʰi1	
力	li1	
勸	tɕʰyan5	
辦	pan5	
動	tuəŋ5	
勁	tɕiən5	
勤	tɕʰiən2	
勺	ʂuə2	
匀	yən2	
包	pɔ1	
化	xua5	
北	pei1	
匠	tsiaŋ5	
匹	pʰi1	
區	tɕʰy1	
十	ʂʅ2	
升	ʂəŋ1	
半	pan5	
華	xua1	
協	ɕiɛ2	
卒	tsu2	
單	tan1	
賣	mai5	
南	nan2	
占	tʂan5	
衛	uei5	
印	iən5	
危	uei1	
卷	tɕyan3	
廠	tʂʰaŋ3	
廳	tʰiəŋ1	
历	li1	
厭	ian5	
厚	xou5	
原	yan2	
去	tɕʰy5	
縣	ɕian5	
参	sən1	
及	tɕi1	
雙	ʂuaŋ1	
反	fan3	
发	fa1	
叔	ʂu3	
變	pian5	
口	kʰou3	
古	ku3	
句	tɕy5	
叫	tɕiɔ5	
可	kʰə3	
台	tʰai2	
右	iou5	
葉	iɛ1	
號	xɔ5	
吃	tʂʰʅ1	
各	kə5	
吉	tɕi1	
名	miəŋ2	
后	xou5	
向	ɕiaŋ5	
呂	ly3	
吞	tʰən1/tʰuən1	
含	xan2	
聽	tʰiəŋ1	
吳	u2	
吸	ɕi1	
吹	tʂʰuei1	
味	vi5	
命	miəŋ2	
咸	ɕian2	
品	pʰiən3	
響	ɕiaŋ3	
啞	ia2	
哭	kʰu1	
脣	tʂʰuən2	
唱	tʂʰaŋ5	
善	ʂan5	
喊	xan3	
喜	ɕi3	
嘴	tsuei3	
器	tɕʰi5	
四	sɿ5	
回	xuei2	
園	yan2	
困	kʰuən5	
圍	uei2	
國	kuə1	
圖	tʰu2	
圓	yan2	
圈	tɕʰyan1	
土	tʰu3	
地	ti5	
均	tɕʰyən1	
壞	xuai5	
坐	tsuə5	
坑	kʰəŋ1	
塊	kʰuai5	
墳	fən2	
垂	tʂʰuei2	
墊	tian5	
埋	mai2	
城	tʂʰəŋ2	
塔	tʰa1	
塞	sei1/sai5	
墨	mei1	
墩	tuən1	
壁	pi5	
壯	tʂuaŋ5	
聲	ʂəŋ1	
殼	kʰə2	
壺	xu2	
夏	ɕia5	
外	uai5	
多	tuə1	
夜	iɛ5	
够	kou5	
大	ta5	
天	tʰian1	
失	ʂʅ1	
頭	tʰou2	
夾	tɕia1	
奪	tuə2	
契	tɕʰi5	
女	ȵy3	
奴	nu2	
奸	tɕian1	
好	xɔ3	
如	ʐʯ1	
婦	fu1	
妹	mei5	
姐	tsiɛ3	
姓	siəŋ5	
姜	tɕiaŋ1	
姨	i2	
娘	ȵiaŋ2	
婆	pʰuə2	
婚	xuən1	
嫁	tɕia5	
嫂	sɔ3	
嫌	ɕian2	
嫩	luən5/nuən5	
子	tsɿ3	
孔	kʰuəŋ3	
字	tsɿ5	
孫	suən1	
孝	ɕiɔ5	
季	tɕi5	
學	ɕyə2	
孽	ȵiɛ5	
安	ɣan1	
宋	suəŋ5	
完	uan2	
官	kuan1	
定	tiəŋ5	
寶	pɔ3	
實	ʂʅ2	
客	kʰai1	
宮	kuəŋ1	
害	xai5	
容	ʐuəŋ2	
寬	kʰuan1	
宿	sy1/su1	
寄	tɕi5	
密	mi1	
富	fu5	
寸	tsʰuən5	
對	tuei5	
寺	sɿ5	
尋	siən2	
壽	ʂou5	
封	fəŋ1	
射	ʂʅə5	
小	siɔ3	
尖	tsian1	
嘗	tʂʰaŋ2	
尺	tʂʰʅ1	
尾	i3/uei3	
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
屋	u1	
屬	ʂu2	
山	san1	
歲	suei5	
巖	ian2	
岸	ɣan5	
州	tʂou1	
左	tsuə3	
幣	pi5	
市	sɿ5	
布	pu5	
師	sɿ1	
希	ɕi1	
帶	tai5	
席	si2	
幫	paŋ1	
帽	mɔ5	
平	pʰiəŋ2	
年	ȵian2	
幼	iou5	
慶	tɕʰiəŋ5	
牀	tʂʰuaŋ2	
店	tian5	
廟	miɔ5	
府	fu3	
延	ian2	
建	tɕian5	
開	kʰai1	
弄	nuəŋ5	
式	ʂʅ5	
引	iən	
弟	ti5	
張	tʂaŋ1	
彎	uan1	
弱	ʐuə1	
彈	tʰan2	
形	ɕiəŋ2	
影	iəŋ3	
律	ly5	
徐	sy2	
得	tai1	
心	siən1	
忙	maŋ2	
快	kʰuai5	
念	ȵian5	
懷	xuai2	
急	tɕi2	
怪	kuai5	
恨	xən5	
恩	ɣən1	
恭	kuəŋ1	
息	si1	
恶	ɣə1	
惜	si1	
慣	kuan5	
想	siaŋ3	
愁	tʂʰou2	
意	i5	
感	kan3	
慌	xuaŋ1	
慢	man5	
憋	piɛ1	
懂	tuəŋ3	
懶	lan3	
戲	ɕi5	
戒	tɕiɛ5	
或	xuai5/xuə5	
戰	tʂan5	
截	tsiɛ2	
戶	xu5	
房	faŋ2	
所	ʂuə3	
扁	pian	
扇	ʂan5	
手	ʂou3	
扎	tsa1	
打	ta3	
托	tʰuə1	
扮	pan5	
找	tsɔ3	
抄	tsʰɔ1	
把	pa3	
抓	tʂua1	
抖	tou3	
折	tʂʅə1	
搶	tsʰiaŋ3	
抱	pu5/pɔ	
抽	tʂʰou1	
拆	tsʰai1	
拉	la1/la2	
拍	pʰai1	
拐	kuai3	
拖	tʰuə1	
拜	pai5	
擁	yəŋ1	
撥	puə1	
擇	tsai2	
挂	kua5	
指	tsɿ3	
挖	va1	
挺	tʰiəŋ3	
捏	ȵiɛ1	
換	xuan5	
排	pʰai2	
接	tsiɛ1	
插	tsʰa1	
握	uə1	
搬	pan1	
搭	ta1	
摆	pai3	
摇	iɔ2	
摘	tsai1	
摸	muə1	
撞	tʂʰuaŋ5/tʂuaŋ5	
撤	tʂʰə5	
擦	tsʰa1	
改	kai3	
放	faŋ5	
敢	kan3	
敲	tɕʰiɔ1	
整	tʂəŋ3	
料	liɔ5	
斜	siɛ2	
斷	tuan5	
新	siən1	
方	faŋ1	
族	tsu2	
日	ʐʅ1	
舊	tɕiou5	
早	tsɔ3	
時	sɿ2	
旺	vaŋ5	
明	miəŋ2	
星	siəŋ1	
春	tʂʰuən1	
顯	ɕian3	
曬	sai5	
晚	van3	
暖	nuan3	
暗	ɣan5	
曲	tɕʰy1	
更	kəŋ1	
月	yɛ1	
有	iou3	
朋	pʰəŋ2	
服	fu1	
朝	tʂʰɔ2/tʂɔ2	
木	mu1	
末	muə1	
本	pən3	
殺	ʂa1	
雜	tsa2	
權	tɕʰyan3	
杉	san1	
李	li3	
村	tsʰuən1	
杜	tu5	
條	tʰiɔ2	
來	lai2	
杯	pei1	
杰	tɕiɛ2	
松	suəŋ1	
松	syəŋ1	
板	pan3	
極	tɕi2	
林	liən2	
果	kuə3	
柄	piəŋ3	
染	ʐan3	
櫃	kuei5	
柴	tsʰai2	
柿	sɿ5	
樹	ʂʯ5	
栗	li1	
校	ɕiɔ5	
樣	iaŋ5	
根	kən1	
格	kai1/kə1	
桂	kuei5	
桃	tʰɔ2	
桌	tʂuə1	
橋	tɕʰiɔ2	
樁	tʂuaŋ1	
桶	tʰuəŋ3	
梗	kəŋ3	
夢	məŋ5	
梨	li2	
梯	tʰi1	
棉	mian2	
棋	tɕʰi2	
棒	paŋ5	
棚	pʰəŋ2	
樓	lou2	
橫	xuəŋ2/xəŋ2	
橘	tɕy1	
欠	tɕʰian5	
歡	xuan1	
歇	ɕiɛ1	
歌	kə1	
正	tʂəŋ5	
步	pu5	
歪	uai1	
死	sɿ3	
母	mu3	
毒	tu2	
比	pi3	
毛	mɔ2	
毯	tʰan3	
民	miən2	
气	tɕʰi5	
水	ʂuei3	
永	yəŋ3	
汁	tʂʅ1	
漢	xan5	
汗	xan5	
江	tɕiaŋ1	
池	tʂʰʅ2	
湯	tʰaŋ1	
沉	tʂʰən2	
沙	sa1	
河	xə2	
油	iou2	
治	tʂʅ5	
法	fa1	
泥	ȵi2	
潑	pʰuə1	
洗	si1	
洞	tuəŋ5	
活	xuə2	
派	pʰai5	
流	liou2	
淺	tsʰian3	
漿	tsiaŋ5	
測	tsʰai1	
濃	nuəŋ2	
浪	laŋ5	
浮	fu2	
浴	y5	
海	xai3	
浸	tsʰiən5	
淡	tan5	
深	tʂʰən1/ʂən1	
添	tʰian1	
清	tsʰiəŋ1	
渠	tɕʰy2	
溫	uən1	
渴	kʰə1	
溪	ɕi1	
滑	xua2	
滚	kuən1	
滿	man3	
潭	tʰan2	
火	xuə3	
滅	miɛ1	
燈	təŋ1	
灰	xuei1	
