#漢字	音標	解釋
□	ʯa3	1、大口吃。2、容器等的口向外敞开，成喇叭状:~口碗
□	soŋ3	
□	tsʰɿ1	《广韵》取私切平脂清。注视:~倒人。
□	xu7	《广韵》户骨切，入没晓。果核:桃~
□	tsɿ3	一缕:一~头发
□	tsan6	上厕所的委婉说法:打~
□	tsʰən3	丑:~货
□	tsa1	两腿叉开:~倒胯。
□	tʰən5	两人抬
□	ma5	乳汁，乳房
□	ʯa2	人惊叫:~得怕死人
□	lau5	偷东西
□	kʰua3	划破:刺把腿~掉一块皮
□	pie1	变成扁状
□	to7	叠:一~碗
□	xo1	吹捧
□	so5	唆使别人做坏事: 人家这样做都是小王~的
□	tʰəu7	器物接榫处相脱离:把桌子腿~下来
□	tsʰan5	地上滚
□	kʰu6	埋怨:莫~
□	xaŋ2	大声哭
□	tsɿ2	小孩淘气而哭
□	ȵiaŋ6	就，依据:~粉做粑
□	kʰuan3	帽~
□	kʰəu2	弯身貌
□	kʰuei3	弯曲膝盖用力抵压住某物:~倒
□	taŋ6	慢走:~下儿
□	tʰiaŋ6	慢慢地走:~到街上去
□	se7	打闪:~霍
□	pʰie3	折断:把棍子~断
□	kʰa1	抱:~捆柴
□	ue6	拉长声音吆喝飞禽
□	ŋaŋ1	拟声词，哭叫的样子:哭~~
□	tɕia5	按等分切分:~豆腐
□	xaŋ5	掀动重物:这块石头哪个也~不动
□	tʰai3	推迟:作业要及时做，莫~
□	xo1	未器未刨光时的毛边
□	kʰaŋ6	架起:莫把筷子~倒碗高头。
□	nie6	歪:~嘴
□	tʰən3	气味难闻:煤油~人
□	ti7	浇(肥):~粪
□	xa3	物品质次或人能力、品行等低劣
□	kaŋ2	狗叫
□	tɕʰia7	狠劲吃:三口就~掉一个大挑子
□	ȵio7	瓦坯子烧制成瓦时走了样子:~瓦
□	tʂʰʯ1	用力塞:~不进去
□	xa1	用手或其它物品拨弄:~火，~痒等
□	lən1	用手指搓揉
□	tsan3	用力刺
□	kʰuaŋ3	用手触:这东西一~就坏
□	mo5	用刀杀人
□	ke5	用刀来回割断
□	tsʰa6	用水冲洗:~粪桶 上可作柴火用树丫
□	tsɿ7	用嘴吮吸果汁等
□	tsa7	用缝纫机缝:~几条缝
□	xo7	皮肤接触毛毛虫获植物芒刺等让人不舒服的感觉:~人。
□	tiau1	稻穗
□	liau2	简洁
□	kʰe5	箍的很紧，使人喘不过气:领口太小，好~人。
□	lia7	糊:鞋高头~得黑麻麻的。
□	ȵia5	细嚼慢咽:半天没~下去一碗饭
□	ŋa6	缝隙:墙壁~
□	kʰua7	聊天
□	kʰuan2	肢体弯曲:~腿
□	tsau6	虫蛀叫~
□	xəu1	蛇蜕:蛇~
□	tsʰa3	象猪那样吃食:一会功夫就~掉一大盆
□	kuan6	跌倒: 往地上一~
□	tʰia3	踩:莫乱~
□	ʯe2	轻声唠叨
□	tʰaŋ1	遭遇:~煞
□	ŋa5	量词，近于“瓣”:一~西瓜
□	kʰua7	鞋底帮子
□	tsʰəu2	鸡舍
㞘	təu7	器物的部:碗~厾用针~个眼
㦿	kʰan3	窗子， 《广韵》苦减切，上豏溪
㧸	pʰaŋ6	
㪗	tʰəu3	把缠在一起的线或绳子之类打散开
㫰	laŋ6	
㱟	pʰi1	《广韵》敷羁切，平支滂。剖肉:~肉，~树丫。
㸺	sa1	雌性的(牛):~牛
㿭	tsʰe7	
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
三	san1	
上	saŋ6	
下	xa6	
不	pu7	
与	ʯ6	书面词语
丐	kai5	书面词语
丑	tsʰəu3	
專	tʂʯan1	
且	tɕʰie3	书面词语
丕	pʰi3	书面词语
世	sɿ5	
世	ɕiɛn5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰən2	
丢	tiəu1	
兩	liaŋ3	
兩	tʰo7	
嚴	ȵiɛn2	
嚴	ŋan2	封盖得紧:把门关~
喪	saŋ1	~事
喪	saŋ5	书面词语~气
个	ko5	
丫	ŋa1	
中	tsoŋ1	
中	tsoŋ5	
丰	foŋ1	
串	tʂʰʯan5	
臨	lin2	
丹	tan1	
爲	tɕʰiaŋ1	
爲	uei2	
爲	uei6	
主	tʂʯ3	
丽	li6	
舉	tʂʯ3	
乃	nai3	书面词语
久	tɕiəu3	
麼	iau1	
麼	mo3	
義	ȵi6	
之	tsɿ1	
烏	u1	
乎	xu1	
樂	lo7	
樂	io7	
喬	tɕʰiau2	
乖	kuai1	
乘	tsʰən2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	书面词语
也	ie3	
習	ɕi3	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	lan6	
乳	ʯ3	书面词语
乾	kan1	
乾	tɕʰiɛn2	
了	liau3	
爭	tsən1	
事	sɿ6	
二	ɚ6	
于	ʯ2	
虧	kʰuei1	
雲	ʯən2	
五	u3	
井	tɕin3	
亞	ia5	书面词语
些	ɕie1	
亡	uaŋ2	
交	tɕiau1	
亥	xai6	
產	tsʰan3	
畝	mau3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ6	
親	tɕʰin1	
人	ʯən2	
人	tʰo7	
億	i5	
什	sən2	
什	sɿ6	
仁	ʯən2	
僅	tɕin3	
仆	pʰu2	
仇	tsʰəu2	
今	tɕin1	
介	kai5	
从	tsʰoŋ2	
倉	tsʰaŋ1	
仕	sɿ6	书面词语
他	tʰa1	
仗	tsaŋ5	
付	fu5	
仙	ɕiɛn1	
代	tai6	
令	lin6	
以	i3	
儀	ȵi2	
仰	ȵiaŋ3	
件	tɕiɛn6	
價	tɕia5	
任	ʯən6	
份	fən6	
仿	faŋ3	
企	tɕʰi3	
伊	i1	书面词语
伍	u3	
伏	fu7	三~
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	xuei6	
會	kʰuai5	~计
傘	san3	
偉	uei3	
傳	tʂʰʯan2	
傳	tʂʯan6	水浒~
伢	ŋa2	
傷	saŋ1	
僞	uei3	
伯	pe7	
估	ku3	
伴	pʰan5	
伶	lin2	
伸	sən1	
伸	tʰo7	
似	sɿ6	
伽	tɕʰie6	无精打采的样子:个~蓝儿菩萨样儿
但	tan6	
佈	pu5	
位	uei6	
住	tʂʯ6	
佐	tso3	
體	tʰi3	
體	xuaŋ6	
佔	tsan5	
何	xo2	
佘	se1	
余	ʯ2	
佛	fu7	
作	tso7	工~，~揖
你	ƞ3	您老人家
佣	ioŋ6	
佩	pʰi5	
佬	lau3	
佮	ko7	~不得人:不能眼人相处
佳	tɕia1	
使	sɿ3	
侉	kʰua3	~子
例	li6	
侍	sɿ6	
供	koŋ1	~销社
供	koŋ5	~桌
依	i1	
偵	tsən1	
側	tsʰe7	书面词语
僑	tɕʰiau2	书面词语
侮	u3	书面词语
侯	xəu2	
侵	tɕʰin1	
便	pʰiɛn2	~宜
便	piɛn6	方~
促	tsʰəu7	
俄	ŋo2	书面词语
俏	tɕʰiau5	
俗	səu7	
俘	fu2	
保	pau3	
信	ɕin5	
儉	tɕiɛn6	
修	ɕiəu1	
俱	tʂʯ6	书面词语
俸	foŋ6	书面词语
倍	pi6	
倒	tau3	
倒	tau5	
倔	tʂʯe7	
倘	tʰaŋ3	
候	xəu6	
借	tɕie5	
倡	tsʰaŋ5	书面词语
倦	tʂʯan6	
倪	ȵi2	
債	tsai5	
值	tsɿ6	
傾	tɕʰin1	
假	tʂʯaŋ1	
假	tɕia3	放~，~话
偏	pʰiɛn1	
做	tsəu5	
停	tʰin2	
健	tɕiɛn6	
偶	ŋəu3	
偷	tʰəu1	
傀	kʰuei3	书面词语
傅	fu5	
儲	tʂʰʯ2	
催	tɕʰi1	
傲	ŋau6	
傻	sa3	
像	tɕiaŋ6	相~
僧	tsən1	
僵	tɕiaŋ1	
僻	pʰi7	书面词语
儒	ʯ2	
兒	ɚ2	
兀	u6	
允	ʯən3	
元	ʯan2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau6	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰe7	
免	miɛn3	
兌	ti5	
兔	tʰəu5	
黨	taŋ3	
兜	təu1	
入	ʯ7	
全	tɕʰiɛn2	
八	pa7	
公	koŋ1	
六	nəu7	
蘭	lan2	
共	koŋ6	
關	kuan1	
興	ɕin5	
興	ɕin1	~菜
兵	pin1	
其	tɕʰi2	
具	tʂʯ6	
具	ʯ6	
典	tiɛn3	
兹	tsɿ1	书面词语
養	iaŋ3	
兼	tɕiɛn2	
獸	səu5	
冀	tɕi5	书面词语
內	li6	
內	tsaŋ6	~藏
冇	mau6	
岡	kaŋ5	
册	tsʰe7	
再	tsai5	
冒	mau5	感~
寫	ɕie3	
冚	kʰan3	盖
軍	tʂʯən1	
冠	kuan1	
冤	ʯan1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
冲	tsʰoŋ5	气味~鼻子
決	tʂʯe7	
況	kʰuaŋ5	
冶	ie3	书面词语
冷	lən3	
凍	toŋ5	
淨	tɕin6	
準	tʂʯən3	
涼	liaŋ2	
凌	lin2	
減	tɕiɛn3	
湊	tsʰəu5	
几	tɕi3	
几	tɕi1	~乎
凡	fan2	
鳳	foŋ6	
凭	pʰin2	
凱	kʰai3	书面词语
凰	xuaŋ2	
凳	tən5	
凶	ɕioŋ1	
凹	ŋau1	
出	tʂʰʯ7	
擊	tɕi7	
凼	taŋ6	坑:小水~
函	xan2	
鑿	tso6	~子
刀	tau1	
刁	tiau1	
分	fən1	
切	tɕʰie7	
刊	kʰan1	
刑	ɕin2	
划	xua2	
划	xua6	
列	nie7	
劉	liəu2	
則	tse7	书面词语
剛	kaŋ1	
創	tsʰaŋ5	
初	tsʰəu1	
删	san1	
判	pʰan5	
刨	pʰau2	
利	li6	
别	pie6	
刮	kua7	
到	tau5	
到	kəu5	
制	tsɿ5	
刷	ʂʯa7	
券	tʂʯan5	书面词语
刹	sa7	
刺	tsʰɿ5	
刻	kʰe7	
剁	tsan1	
剁	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕio7	
前	tɕʰiɛn2	
劍	tɕiɛn5	
剔	tʰi1	
剖	pʰo3	
剝	po7	
劇	tʂʯ5	
剩	sən6	
剪	tɕiɛn3	
副	fu5	
割	ko7	
剿	tɕiau3	
劁	ɕiau1	
劗	tsan1	
力	li7	
勸	tʂʰʯan5	
辦	pan6	
功	koŋ1	
加	tɕia1	
務	u6	
劣	nie7	书面词语
助	tsəu6	
努	nəu3	
劫	tɕie7	
勵	li6	书面词语
勁	tɕin5	
勞	lau2	
勢	sɿ5	
勇	ioŋ3	
勉	miɛn3	书面词语
勒	le7	
務	u6	
募	moŋ6	
勤	tɕʰin2	
勺	so2	
勾	kəu1	
勻	ʯən2	
勻	kan5	
勻	iɛn6	
包	pau1	
匆	tsʰoŋ1	
匈	ɕioŋ1	书面词语
匐	pʰu6	趴: ~在桌上。 集韵屋韵步木切
化	xua5	
北	pe7	
匙	tsʰɿ2	
匠	tɕiaŋ6	
匪	fei3	
匹	pʰi2	
區	tʂʰʯ1	
醫	i1	
匾	piɛn3	
十	sɿ6	
千	tɕʰiɛn1	
升	sən1	
午	u3	
半	pan5	
華	xua2	
協	ɕie7	书面词语
卒	tsəu7	
單	tan1	
單	san6	
賣	mai6	
南	lan2	
博	po7	书面词语
卜	pʰu2	
卜	pu3	
占	tsan1	~卦
卡	kʰa6	~倒出不来
卡	kʰa3	关~
盧	nəu2	
卦	kua5	
衛	uei6	
卯	mau3	
印	in5	
危	uei2	
即	tɕi7	书面词语
卻	tɕʰio7	书面词语
卵	lan3	
卷	tʂʯan3	
卷	tʂʯan5	
卸	ɕie5	
廠	tsʰaŋ3	
廳	tʰin1	
历	li7	
厲	li6	
壓	ia7	
厭	iɛn5	
廁	sɿ1	茅~
厚	xəu6	
原	ʯan2	
廂	ɕiaŋ1	
厦	ɕia6	
廚	tʂʰʯ2	
去	tɕʰi5	
去	tʂʰʯ5	书面词语
縣	ɕiɛn6	
参	tsʰan1	
参	sən1	
又	iəu6	
叉	tsʰa1	
及	kəu5	
及	tɕi7	书面词语
友	iəu3	
雙	ʂʯaŋ1	
反	fan3	
发	fa7	散~
发	fa7	量词:一~子弹
叔	səu7	
取	tɕʰi3	
受	səu6	
變	piɛn5	
叛	pʰan5	
叟	səu3	
疊	tie7	
口	tɕʰie2	
口	kʰəu3	
古	ku3	
句	tʂʯ5	
另	lin6	
叩	kʰəu5	书面词语
只	tsɿ7	
叫	tɕiau5	
召	tsau1	书面词语~开
叮	tin1	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu6	
右	tʰo7	
葉	ie7	
號	xau6	
號	xau2	大声哭但不出泪:干~
司	sɿ1	
嘆	tʰan5	
吃	tɕʰi7	
各	ko7	
吆	ŋau1	
合	xo6	
吉	tɕi7	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	xəu6	
吏	li6	
吐	tʰəu3	~气
吐	tʰəu5	~血
向	ɕiaŋ5	
吕	ʯ3	
