#漢字	音標	解釋
□	tʂʰɑ1	~呱:交谈
□	xo1	~奉:吹捧
□	lɛ1	~汰:懒散,不洁
□	iɛ1	~~:蛤蜊、河蚌
□	kuei1	~腰:弯腰
□	ʂɔ1	~瓜:夏季产的长形黄皮菜瓜
□	tʂʅ2	~僵:物品僵硬
□	mi2	~量:比划
□	xɑ2	~斯:颤抖
□	kʰɛ2	~奸:不合作、暗中破坏
□	tɪ3	~合,抖抖合合,颤抖的样子
□	pʰɑ3	~牯
□	kiɛ3	~古:脾气怪
□	xiɛ3	~拉:态度生硬地拉扯摇晃
□	iɛ3	~老将:下棋时出将
□	tʂoŋ3	~火:使死火复燃
□	ku5	~拥:微动
□	tʂɛ5	~子:手脚上的鸡眼
□	təɯ5	~巧:碰巧
□	pæ̃5	~嘴:争吵
□	kuɑŋ5	~脸
□	ʂəŋ5	~牛:公牛
□	tʂiɛ3	丁儿:萝卜~子
□	ʂoŋ3	三嘲二~
□	xəŋ5	丢掉
□	lɑ5	两腿分开
□	kʰəŋ1	低:头~着
□	xu1	依靠:~靠
□	pɪ1	偷着跟踪
□	xuɑ2	全、都:地上~是水
□	kʰəɯ2	凶、厉害:这人太~
□	kɑ2	划:~火柴
□	pɑ1	占:吃碟~碗
□	pʰɛ1	双腿瘫痪:~了,~子
□	ko2	发~:发呆
□	xoŋ1	变软:~柿子
□	kiɛ1	叫~子:蝈蝈
□	æ̃2	叹词,表示惊异
□	tʰu1	吞:鸭子吃食,整~
□	kɑŋ5	呛:香烟太~
□	tei3	咳嗽
□	tʂʰæ̃1	啄:鸡~米
□	ʂo2	围屯:用䇽子~麦子
□	tɕiŋ1	土经:大土坯
□	xɛ1	在人多的地方偷窃:~逮手
□	tɛ3	在:~这块
□	tʰəŋ3	在泥水里踩:~烂泥
□	xɛ3	坏了、糟了:弄~得了
□	iɛ2	坐在地上挪
□	kʰuɑŋ3	坟坑
□	kʰəŋ5	垢:茶~
□	kɑŋ5	垫高、夯实
□	ʂɑŋ3	塞:~满了口袋
□	pɑ2	婴儿
□	tʂʰɛ1	嫁接:~树。杂交:~驴
□	ɪ1	小声哼哼
□	tɕiəɯ1	小~:小孩
□	piẽ1	小~~:蓖麻
□	tʂu3	平着铲起:~土
□	æ̃3	应答声,是,对
□	kɑŋ3	很、非常:~好了
□	ɕyəˀ7	很:~绿
□	təɯ5	急~:着急,激动
□	lei1	打~~:赶牛时的吆喝号子
□	tʰiŋ5	打:~一顿
□	ʐəɯ1	扔:~过来
□	iəɯ1	扔
□	tɕʰiəɯ3	折:~树枝
□	ʂuæ̃5	抽选:~草缮屋
□	pei3	拨:~面鱼子
□	tu5	拽~:态度生硬地拉扯摇晃
□	kiɛ5	挎:~着书包
□	iẽ2	挤、夹:手叫门~着了
□	tʂʰæ̃2	捣:~蒜
□	kʰɛ5	推诿:两人~起来了
□	tʂʰɔ5	摩擦:在沙里~~锨
□	ɕiŋ2	改嫁:~人了
□	mi5	故意留下别人的东西
□	ɕɪ3	敞:~怀
□	ʂiɛ3	无能:~子,这人太~
□	pʰəŋ5	正在:~干活
□	mɔ1	淮阴~子
□	tʰɛ3	清闲自在:透~
□	iɪˀ7	渐渐变小、变薄
□	ʂɑ5	渗水
□	pəŋ1	溅:~一身水
□	tʂəŋ5	澄清:~水
□	tʰuəˀ7	烫:水~手
□	ɑŋ3	焚烧:草垛~了
□	ʐəɯ1	照:~头~棍
□	tɑ1	父亲
□	kuɑ2	牵扯:衣服叫树枝~了个口子
□	tʂʰuɑ1	猛地抓住:~个蝴蝶
□	ʐəɯ1	理采:不~他
□	tɔ1	用筷子夹:~菜
□	tʂʰɔ1	用筷子从锅里~面条
□	kʰɑŋ3	用头抵:~人
□	tʂɛ5	用清水冲洗:~碗
□	pɛ3	略洗一下:~手、~水果
□	mɑ2	皮~:调皮
□	lɑŋ5	皱纹:一脸~子
□	kiɛ1	碰、打、接触:别~他
□	tʂiɛ3	筋~的:肌肉或食物结实有弹性
□	tɕy1	粘住,靠紧,攀牢
□	təˀ7	紧:挤~~的
□	ʐɑŋ2	累:走~了
□	kʰɑ2	翻扣:~碗
□	tɕi2	老~:鬼怪,吓唬小孩用语
□	kɐˀ7	老~子:小儿子
□	ʂɔ5	耳~子:耳垢
□	tʰɐˀ7	脱漏
□	tʂʰuɑŋ1	脸~黄:脸色很黄
□	məŋ1	腐朽:木头一淋就~了
□	uɑ3	舀:~饭
□	məŋ2	藏~~:捉迷藏
□	pɑŋ1	补:~一块
□	ɕiɑ1	被偷
□	ɛ2	被:~他拿去了
□	tʂʰəɯ1	让风吹干:衣服挂在外边~~
□	kʰo2	踡起腿,用另一条腿跳
□	tʂuɑ2	轻轻地扫:~地
□	ʂuæ̃3	选:把好的~出来
□	kʰu5	金属农具上用来安装柄的口:锄~、锨~
□	tʂʰæ̃1	钉:~鞋
□	tʂɛ5	钉:~鞋,钉子:鞋~子
□	kɑŋ3	钻:~过去
□	koŋ3	钻:从洞口~过去
□	tɕʰiɑŋ3	铲:~锅
□	liəˀ7	锅盖~子:锅盖
□	ʂɑ5	锯:~树枝
□	tu1	长时间煮:~豆腐
□	iẽ5	门~后:门背后
□	tɕʰiɑ2	靠武力抢夺:东西给他~去了
㓠	tɕiẽ1-	
㓠	tʂẽ1	轻剁:~肉
㓱	tʰəɯ2	用细棍通:~炉子
㚘	põ5	比
㞎	pɑ1	屎
㞚	ʂɑ1	木~子
㞞	ʂoŋ2	
㞞	ɕioŋ2	
擓	kʰiɛ3	
㪗	tʰəɯ3	弄散:这捆给弄~了
㷒	əɯ3	~狼烟
㾹	tʂʰɛ2	枯、硬:手挺~
䝼	tɕʰiŋ2	
䠊	pʰɛ3	踢:~一脚
一	iɪˀ7	
丁	tiŋ1	
七	tɕʰiɪˀ7	
万	uæ̃5	
丈	tʂɑŋ5	
三	ʂæ̃1	
上	ʂɑŋ5	
下	ɕiɑ5	
不	pəˀ7	
与	y3	
与	y5	参~
丐	kɛ5	
丑	tʂʰəɯ3	
專	tʂõ1	
且	tɕʰɪ3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiəɯ1	
丙	piŋ3	
業	iɪˀ7-	
業	iəˀ7	
叢	tʂʰoŋ2	
東	toŋ1	
絲	ʂʅ1	
丞	tʂʰəŋ2	
丢	tiəɯ1	
兩	liɑŋ3	
嚴	iẽ2	
喪	ʂɑŋ1	~事
喪	ʂɑŋ5	~失
个	ko5	
丫	iɑ1	
中	tʂoŋ1	~心
中	tʂoŋ5	~计
丰	fəŋ1	
串	tʂʰõ5	
臨	liŋ2	
丸	õ2	
丹	tæ̃1	
爲	uei2	
爲	uei5	~什么
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	lɛ3	
久	tɕiəɯ3	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂɑ5	
乎	xu1	
乏	fɐˀ7	
樂	luəˀ7	欢~
樂	yəˀ7	音~
乒	pʰiŋ1	
喬	tɕʰiɔ2	
乖	kiɛ1	
乘	tʂʰəŋ2	~法
乘	ʂəŋ5	史~
乙	iɪˀ7	
九	tɕiəɯ3	
乞	tɕʰiɪˀ7	
也	iɛ3	新派
也	i3	老派
也	ɪ3	老派
習	ɕiɪˀ7	
鄉	ɕiɑŋ1	
書	ʂu1	
買	mɛ3	
亂	lõ5	
乳	ʐu3	
乳	lu3-	豆腐~
乾	tɕʰiẽ2	
了	liɔ3	
予	y2	我
予	y3	给~
爭	tʂəŋ1	
事	ʂʅ5	
二	ɛ5	新派
二	ɑ5	老派
于	y2	
虧	kʰuei1	
云	ioŋ2	
互	xu5	
五	u3	
井	tɕiŋ3	
亞	iɑ5	
