#漢字	音標	解釋
□	va1	(揉成团儿或弄零散了)
□	tsʰa1	(~化头,乞丐)
□	ʐa1	(~上了:传染上了)
□	tsʰa2	(堵)
□	kuəŋ2	(物体相撞的声音)
□	kʰuəŋ2	(闹着玩儿)
□	ɕyəŋ2	(皱着眉头,对不会说话的小孩儿发出哼的声音,表示不准他那样)
□	tsa3	(剁馅儿或和泥的动作)
□	tə3	(~儿:吆喝骡马停止前进,念时带颤音)
□	pʰa5	(鞭炮声)
□	pfʰa5	(~~:尿尿声)
□	ta5	(~圈:给猪配种)
□	ta5	(~~,吆喝牛向右)
□	ta5	(~:吆喝牛向前进)
□	tsa5	(耳朵~起:耳朵竖起,有贬义)
□	tsʰa5	(~子)
□	tsʰa5	(拍钹声)
□	sa5	(~麻:收割麻撒把米面散落在地上)
□	sa5	(~~,骤雨刚下来时的声音)
□	uəŋ5	(砚~,砚台)
□	luã1	[ku1]~:玉茭面做的一种圆形的带馅的面食
□	lyã3	[ku1]~子,四周有墙里面没房子的空场
□	pʰia1	~了一枝儿:折了一枝儿
□	ɕia1	~个,……样的
□	tɕʰie1	~灰:灰尘
□	sɿ1	~气了,馊了
□	u1	~惜,爱惜
□	tɕy1	~着了,憋着气干活儿累伤了
□	pfai1	~人:非要人家要东西
□	ŋao1	~住了:硬说人伤了自己
□	pã1	~子,银制的戒子
□	mã1	~圪瘩:非亲生的小孩(有贬义)
□	yã1	~子:柳条编制的盛粮的用具,又名“篮”
□	tɕʰiəŋ1	~的:撒娇
□	xə2	~夜儿:天刚黑
□	tsʰɿ2	~溜:一闪而过
□	tɕʰi2	~子:面条儿
□	tɕʰi2	~~:拂晓
□	tʂʰʅ2	~磨:凿修磨盘
□	ku2	~[lyã2]子:四面有墙中间没房子的空场
□	tʂao2	~啊:对啊
□	ŋã2	~滚水:蒸馍水
□	vən2	~早儿:趁早儿(有贬义)
□	v̩2	~子:嫦螂
□	v̩2	~子:瘊子
□	lie3	~~:吆喝牛向左
□	ʐʅ3	~儿:风呼啸的声音或子弹飞过的声音
□	ʐʅ3	~儿:子弹飞过时的声音
□	piao3	~皮袄:缝纫皮袄
□	tʂəu3	~的:高傲骄矜
□	iəu3	~~:叫狗
□	miã3	~~:羊叫声
□	ȵien3	~被子
□	tuəŋ3	~了,把财产挥霍了
□	tuəŋ3	~下了,闹下乱子了
□	tʰuəŋ3	~子:没挂面儿的皮袄料儿
□	lə5	~起
□	ŋə5	~住了:发生梦魇
□	tʂʰe5	~了:雨后地面干了一层皮或饭放凉后表面有一层皮
□	tʰie5	~犊:母畜受了精
□	ɕie5	~牛:母牛
□	tɕye5	~断
□	ye5	~子:辘转
□	tɕʰy5	~凡:活扣儿
□	mei5	~儿:经线的长度单位
□	kuei5	~刀子:把刀在布条上或缸沿上磨
□	tʂao5	~了:得到好处
□	ʂəu5	~上:用绳或禾秆捆东西
□	tã5	~刀,长刀子
□	ɕyã5	~子:烙饼
□	v̩5	~草:给铡刀下面送草供铡
□	tsə1	“怎么”的合音
□	ʂə1	“什么”的合音
□	pao2	“不要”的合音
□	ȵia3	“人家”的合音
□	tɕiã5	“家院”的合音
□	liəu1	一~子:一道子
□	pfʰã1	一种肚子大口儿小的陶器,常用于盛酒醋
□	mi5	一~儿房子:一排房子
□	pia1	不经心地粘帖
□	uai1	不好
□	tsʰã1	不~子:喂猪狗的半截子缸
□	ləu2	不~干:不够平
□	lã3	不~子:针线盘;骂人不务正业
□	tʂəu3	举、打着
□	liao1	俏气(有贬义)
□	sao5	倒着向后退
□	mən3	加水慢慢浸透梦
□	tsʰao1	半步(一步是两~儿)
□	vən2	又粘又脏
□	vã1	口里吐出的黏液
□	liao3	叫幼儿学站
□	pao5	吃草~粪:吃草拉粪
□	y5	吆喝骡马向左
□	tei5	吆喝骡马前进
□	kʰao5	吆喝马向右
□	tai5	吓唬人的声音
□	tsʰəŋ5	咬瓜菜的声音
□	ȵie1	圪~:打嗝
□	tsao1	圪~儿:发髻
□	lən2	圪~:田梗
□	pfai3	圪~圪~的,肥人走路的样子
□	liao3	圪~:木板等弯曲了
□	lã3	圪~:翻晒谷物柴草□把生柿子泡在温水里徐徐加热,除去涩味□~盘,大盘子
□	lã3	圪~:一种圆形的食品,上面有用石子压下的小窝儿
□	lən5	圪~:沉重物体落地或撞击的声音
□	ɕie5	外~:外边
□	ku3	头~:牲口
□	pai1	女阴
□	ɕien5	娇惯
□	tʂə5	容纳
□	pəŋ5	弦索断了的声音
□	tɕʰiə3	心情急切地迅速奔来或奔去
□	ɕi5	我~:我们
□	tʂəu5	手~:手铐
□	kəŋ1	打~哩:在一定距离外用瓦片打立着的另一片瓦的一种游戏
□	nao3	扛
□	uai3	扭伤,折
□	tsʰei5	扶
□	pie1	把汤、水溅在别的东西上,或把带水的东西甩干
□	mao1	把(介词,~门关上)
□	tsʰao1	把菜或面等盛到碗或碟子里
□	xao1	把淘过的麦子摊开晒
□	tɕʰiəu1	把灵柩暂放在背静的地方。
□	ȵien3	把颗状物压碎
□	mie5	把什物用火烤后用力使它变直或变弯
□	pfʰã5	把热水从一个碗里倒在另一个碗里,使水很快冷了
□	tʰã5	把锹、锄、刀、斧的头儿从木柄上脱下来
□	tʂao2	投,掷
□	tsʰã5	投打
□	tɕʰia1	抱
□	tsʰɿ1	抹、擦
□	lie5	拧
□	tɕien1	拴
□	tsə5	捣乱、瞎害
□	pʰã3	掘
□	tɕʰien1	搀、续
□	ʐã5	搀在泥或灰里面的短麦秸或麦糠
□	pʰia5	摔东西声
□	kʰua5	摔东西声
□	pu1	放屁声
□	tsʰã5	散开了
□	tsə2	有~会子:有多少时间了
□	tsʰuə2	有系的筐子
□	ka5	枪声
□	tʂao5	正直
□	tʰən5	沉重物体落地的声音
□	tʂã1	没打净的麦秸
□	nã5	泥泞
□	xua5	泼水声
□	tsʰai1	牛羊用角顶人
□	ŋəu3	物体燃着后只冒烟,不发光;~了:焦了,糊了
□	tɕʰien3	狗~到地下了
□	kʰuə1	用秆儿打
□	tʰuən1	用拳捅
□	nã3	用嘴直接吃(有贬义)
□	tɕʰien3	用锨顺地皮起走菜等
□	tʂʰe5	用鞭子抽打
□	tsʰei5	用锹把泥土等起走或取来
□	liəu5	用棍子打
□	tã5	用手箩把面粉再箩一遍
□	tɕʰiəu2	男性生殖器
□	ŋəu1	眉~的,皱眉头
□	ʐən1	眼~,喜爱、眼热
□	tsʰã1	禽兽叫
□	tsɿ5	称、测度
□	əŋ5	答应
□	m̩5	答应(口头答应:心里并不同意)
□	n̩5	答应(表示同意)
□	ŋ̍5	答应(不仅同意,且有几分高兴)
□	pfʰã1	粮~:盛粮食等器物
□	suəŋ2	精液,讥讽人软弱。
□	ʐã2	纠缠
□	uə1	脚~了
□	tsã1	腌~
□	pã1	腿~:腿岔
□	uei2	臂部擦着地面挪动
□	lya3	薅揪
□	ei2	表示惊异
□	əŋ2	表示问对方竟敢这样
□	xã5	表示发问,如“~,你去吆?”
□	ləŋ5	表示疑问语气
□	xəŋ5	表示极端蔑视
□	nə1	裤子没提起系紧
□	ɕyən5	讥风嘲笑
□	ɕyən5	赖着想吃
□	liã5	赤背~:光膀子
□	xe2	跳痛
□	xəu1	蹲
□	ua5	那
□	tɕʰi5	馍~子:做馍的面团儿
□	tɕyã3	骂
□	tuəŋ5	骨~:把几种东西乱搅在一起,也指不正当的男女关系
䵚	tʰao3	
一	i2	
丁	tie1	~村
丁	tiəŋ1	壮~
七	tɕʰi5	
万	vã5	
万	uã5	
丈	tʂəŋ5	~人,一~
丈	tʂʰəŋ5	一~
三	sã1	
上	ʂə5	~楼,~头
上	ʂəŋ5	在~,~山
上	pʰei2	萝~
下	xa5	(~山,底~)
下	ɕia5	~山,底~
不	pu1	
与	y5	参~
丏	miã3	把衣服料往里
丐	kai5	
丑	tʂʰəu3	
專	pfã1	
且	tɕʰie5	
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piəŋ3	
業	ȵie5	
叢	tsʰuəŋ1	
東	tuən1	
東	tuəŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丢	tiəu1	
兩	lie3	~个
兩	liə3	²几~几钱
兩	lə3	¹几~
兩	liəŋ3	几~,~个
嚴	ȵiã2	
嚴	ŋã2	严密
喪	səŋ5	~失
喪	səŋ1	婚~
个	kə5	
丫	ia1	~头
中	pfəŋ1	
中	pfən1	~了:成了,行了
中	pfəŋ1	~了:行了、成了
中	pfəŋ5	射~了
中	pfən1	当~里:当中间
丰	fəŋ1	
串	pfʰã5	
臨	lien2	
丸	uã2	
丹	tã1	
爲	uei5	~什么
爲	uei2	行~
主	pfu3	
麗	li5	
舉	tɕy3	
乃	nai3	
久	tɕiəu3	
麽	mə5	(什~)
義	ȵi5	~泉村(村名)
義	i5	仁~
之	tsɿ1	
烏	u1	
乎	xu1	
乏	fa2	
樂	lə5	快乐
樂	iə5	音~
喬	tɕʰiao2	
乖	kuai1	疲倦
乘	tʂʰəŋ2	
乙	i5	
九	tɕiəu3	
乞	tɕʰi5	
也	ia3	
也	ie3	
習	ɕi2	
鄉	ɕiəŋ1	
買	mai3	
亂	luã5	
乳	v̩5	
乾	tɕʰiã2	~坤
了	la5	(来~)
了	liao3	~结
了	lao5	吃~
予	y5	
爭	tsəŋ1	
事	sɿ5	
二	ɚ5	
于	y1	
虧	kʰuei1	
云	yən2	
互	xu5	
五	u3	
井	tɕie3	
井	tɕiəŋ3	
亘	kəŋ3	
亞	ia3	
些	ɕie1	
些	ɕia1	一~个,许多
亡	vəŋ2	
交	tɕiao1	
亥	xai5	
亦	i5	
產	tsʰã3	
亨	xəŋ1	
畝	mu3	
享	ɕiəŋ3	
京	tɕiəŋ1	
亭	tʰiəŋ2	
亮	liəŋ5	
親	tɕʰien1	~爱
親	tɕʰien5	~家
褻	ɕie5	
人	ʐən1	
億	i5	
什	ʂʅ2	~物
仁	ʐən1	
僅	tɕien3	~~
仆	pʰu3	
仇	tʂʰəu2	
今	tɕien1	
介	tɕie5	
仍	ʐəŋ2	
从	tsʰuəŋ1	~容
仑	lyən2	
倉	tsʰəŋ1	
仕	sɿ1	
他	tʰa1	
仗	tʂəŋ5	
付	fu5	
仙	ɕiã1	
代	tai5	
令	liəŋ5	
以	i5	
儀	ȵi2	~容
們	mən2	
仰	ȵiəŋ2	~合
仰	i5	~扬顿挫
仰	ȵiə2	等脑~起,把头抬起
仲	pfəŋ5	
件	tɕiã5	
件	tɕʰiã5	
價	tɕia5	
任	ʐən1	姓
任	ʐən5	责任
份	fən5	一~儿
仿	fəŋ3	~效,~佛
企	tɕʰi2	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiəu1	
衆	pfəŋ5	
優	iəu1	
伙	xuə3	
會	xuei5	
會	kʰuai5	~计
會	xu5	多~,什么时侯
傘	sã3	
傳	pfʰã2	~达
傳	pfã5	~记
傷	ʂə1	~了,因过度而厌烦
傷	ʂəŋ1	~了
倫	lyən2	
僞	uei3	
伯	pai5	
伯	pei5	
估	ku3	
伴	pã5	
伴	pʰã5	
伶	liəŋ2	
伸	ʂən3	
伺	tsʰɿ5	~侯
伺	sɿ5	~机
似	sɿ5	
佃	tiã5	
但	tã5	
位	uei5	
低	ti1	
佐	tsə3	
佐	tsuə3	
體	tʰi3	
何	xə2	
佘	ʂʅ2	
余	y2	
佛	fu2	
佛	fu5	
作	tsə5	
佞	ȵiəŋ5	
你	ȵi1	
僉	tɕʰiã1	
佩	pʰei5	
佬	lao3	圪~(柳罐):汲水的工具
佳	tɕia1	
使	sɿ3	
侃	kʰã3	
侄	tʂʅ2	
侄	tʂʰʅ2	
侈	tʂʰʅ3	
例	lie5	
例	li5	
侍	sɿ5	~奉
供	kuəŋ1	(~养,~给)
依	ȵi1	~靠
俠	ɕia2	
僥	tɕiao3	
偵	tʂən1	
側	tɕʰie5	(旧)
側	tsʰei5	
僑	tɕʰiao2	
侮	v̩5	
侯	xəu1	
侵	tɕʰien2	
便	pʰiã2	~宜
便	piã5	方~
促	tsʰəu5	
促	tʂʰəu5	~织织:蟋蟀
俊	tɕyən5	
俏	tɕʰiao5	
俗	ɕy2	
俘	fu2	
保	pao3	
俟	sɿ5	
信	ɕien5	
信	ɕien5	~虎,鸱枭
儼	ȵiã3	
儉	tɕiã3	
修	ɕiəu1	
俯	fu3	
俱	tɕy1	
俸	fəŋ5	
俾	pi3	
