#漢字	音標	解釋
□	liᴀ3	舔
一	i2	
丁	tɪn1	
七	tɕʰi2	
万	uæ̃5	
丈	tsᴀŋ5	
三	sæ̃1	
上	sᴀŋ5	
下	ɕiᴀ5	
与	yi3	
丐	kæ̃5	
丑	tsʰɐu3	
專	tsuɤɯ1	
且	tɕʰieɪ3	
世	sɿ5	
丘	tɕʰiu1	
丙	pɪn3	
業	ieɪ2	
叢	tsʰoŋ2	
東	toŋ1	
絲	si1	
丞	tsʰən2	
兩	liᴀŋ3	
嚴	ieɪ2	
喪	sᴀŋ1	
个	kou5	
丫	iᴀ1	
中	tsoŋ1	
中	tsoŋ5	射~
丰	foŋ1	
串	tsʰuɤɯ5	
臨	lɪn2	
丸	uæ̃2	
丹	tæ̃1	
爲	uɐi2	
爲	uɐi5	
主	tsu3	
麗	li5	
舉	tɕyi3	
久	tɕiɐu3	
義	i5	
之	tsɿ1	
烏	u1	
乏	fᴀ2	
樂	lɔ2	
樂	iou2	
喬	tɕʰiɔ2	
乖	kuæ̃1	
乘	tsʰən2	
乙	i2	
九	tɕiɐu3	
乞	tɕʰi2	
也	ieɪ3	
習	ɕi2	
鄉	xiᴀŋ1	
書	su1	
買	mæ̃3	
亂	luɤɯ5	
乳	zu3	
乾	tɕʰieɪ2	
了	liɔ3	
爭	tsən1	
事	sɿ5	
二	ɤɯ5	
于	yi2	
虧	kʰuɐi1	
云	yn2	
互	xu5	
五	u3	
井	tɕien3	
亞	iᴀ5	
些	ɕieɪ1	
亡	uᴀŋ2	
交	tɕiɔ1	
產	tsʰæ̃3	
亨	xən1	
京	tɕien1	
亭	tʰɪn2	
亮	liᴀŋ5	
親	tɕʰien1	
親	tɕʰien5	~家
人	zən2	
什	sən2	~么
仁	zən2	
僅	tɕien3	
仆	pʰu2	
仇	tsɐu2	
仇	tsʰɐu2	
今	tɕien1	
介	tɕieɪ5	
介	kæ̃5	
仍	zən2	
从	tsʰoŋ2	
倉	tsʰᴀŋ1	
他	tʰᴀ1	
仗	tsᴀŋ5	
付	fu5	
仙	ɕieɪ1	
代	tæ̃5	
令	lɪn5	
以	i3	
儀	i2	
仰	iᴀŋ3	
仲	tsoŋ5	
件	tɕieɪ5	
任	zən5	
份	fən5	
仿	fᴀŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fu2	
伐	fᴀ2	
休	ɕiɐu1	
衆	tsoŋ5	
優	iɐu1	
會	kʰuɐi5	~计
傘	sæ̃3	
偉	uɐi3	
傳	tsʰuɤɯ2	
傳	tsuɤɯ5	~记
傷	sᴀŋ1	
倫	luən2	
僞	uɐi3	
估	ku3	
伴	pɤɯ5	
伸	sən1	
似	sɿ5	
佃	tei5	
但	tæ̃5	
位	uɐi5	
低	ti1	
住	tsu5	
佐	tsou5	
體	tʰi3	
佔	tsæ̃5	
何	xou2	
余	yi2	
作	tsɔ2	
你	ni3	
佩	pʰɐi5	
佳	tɕiᴀ1	
併	pɪn5	
使	sɿ3	
例	li5	
供	koŋ5	
依	i1	
偵	tsən1	
側	tsʰɤɯ2	
僑	tɕʰiɔ2	
侯	xɐu2	
侵	tɕʰien1	
便	pei5	
便	pʰei2	~宜
促	tsʰu2	
俄	ŋou2	
俊	tɕyn5	
俏	tɕʰiɔ5	
俗	su2	
俘	fu1	
保	pɔ3	
信	ɕien5	
儉	tɕieɪ3	
修	ɕiu1	
俯	fu3	
俸	foŋ5	
倍	pɐi5	
倒	tɔ3	
倒	tɔ5	
候	xɐu5	
借	tɕieɪ5	
倡	tsʰᴀŋ5	
倦	tɕyẽ5	
債	tsæ̃5	
值	tsɿ2	
假	tɕiᴀ3	
偏	pʰei1	
做	tsɐu5	
停	tʰɪn2	
偶	ŋɐu3	
偷	tʰɐu1	
傅	fu1	
傢	tɕiᴀ1	
儲	tsʰu2	
催	tsʰuɐi1	
傲	ŋɔ5	
像	ɕiᴀŋ5	
僧	sən1	
僵	tɕiᴀŋ1	
僻	pʰi2	
億	i5	
儒	zu3	
償	tsʰᴀŋ2	
兒	ɤɯ2	
允	ioŋ3	
元	ʏei2	
兄	ɕioŋ1	
充	tsʰoŋ1	
先	ɕieɪ1	
光	kuᴀŋ1	
免	mei3	
兑	tuɐi5	
兔	tʰu5	
黨	tᴀŋ3	
兜	tɐu1	
入	zu2	
全	tɕʰyẽ2	
八	pᴀ2	
公	koŋ1	
六	lu2	
共	koŋ5	
關	kuæ̃1	
興	ɕien1	
興	ɕien5	高~
兵	pɪn1	
其	tɕʰi2	
具	tɕyi5	
典	tei3	
養	iᴀŋ3	
兼	tɕieɪ1	
獸	sɐu5	
冀	tɕi5	
内	nɐi5	
岡	kᴀŋ1	
冉	zɤɯ3	
册	tsʰɤɯ2	
再	tsæ̃5	
冒	mɔ5	
寫	ɕieɪ3	
軍	tɕyn1	
農	noŋ2	
冠	kuɤɯ5	
冤	ʏei1	
冬	toŋ1	
馮	foŋ2	
冰	pɪn1	
冲	tsʰoŋ1	
決	tɕyẽ2	
况	kʰuᴀŋ5	
冷	lən2	
凍	toŋ5	
準	tsuən3	
涼	liᴀŋ2	
涼	liᴀŋ5	
凌	lɪn2	
減	tɕieɪ3	
湊	tsɐu5	
凝	nən2	
几	tɕi3	
凡	fæ̃2	
鳳	foŋ5	
凭	pʰɪn2	
凱	kʰæ̃3	
凶	ɕioŋ1	
出	tsʰu2	
擊	tɕi2	
函	xæ̃2	
刀	tɔ1	
刁	tiɔ1	
分	fən1	
切	tɕʰieɪ2	
刊	kʰæ̃1	
划	xuᴀ5	
列	lei2	
劉	liu2	
則	tsɤɯ2	
剛	kᴀŋ1	
創	tsʰuᴀŋ1	
初	tsʰu1	
删	suæ̃1	
判	pʰɤɯ5	
刨	pʰɔ2	
利	li5	
别	pei2	
到	tɔ5	
制	tsɿ5	
刷	suᴀ2	
券	tɕyẽ5	
刺	tsʰɿ5	
刻	kʰɤɯ2	
刴	tʰou5	
劑	tɕi5	
剃	tʰi5	
削	ɕiɔ2	
前	tɕʰieɪ2	
剮	kuᴀ3	
劍	tɕieɪ5	
剖	pʰou5	
剝	pɔ2	
剩	sən5	
剪	tɕieɪ3	
副	fu5	
割	kɔ2	
剿	tɕiɔ3	
劈	pʰi2	
力	li2	
勸	tɕʰyẽ5	
辦	pæ̃5	
功	koŋ1	
加	tɕiᴀ1	
務	u5	
劣	lei2	
動	toŋ5	
助	tsu5	
努	nu3	
劫	tɕieɪ2	
勁	tɕien5	
勞	lɔ2	
勢	sɿ5	
勃	pɔ2	
勇	ioŋ3	
勉	mei3	
勳	ɕyn1	
勒	lɤɯ2	
勘	kʰæ̃1	
募	mu5	
勤	tɕʰien2	
勾	kɐu1	
勿	u2	
匀	yn2	
包	pɔ1	
化	xuᴀ5	
北	pɤɯ2	
匙	sɿ2	
匡	kʰuᴀŋ1	
匣	ɕiᴀ2	
匪	fɐi3	
匹	pʰi2	
區	tɕʰyi1	
醫	i1	
匿	ni2	
十	sɿ2	
千	tɕʰieɪ1	
升	sən1	
午	u3	
半	pɤɯ5	
華	xuᴀ2	
協	ɕieɪ2	
卒	tsu2	
卓	tsɔ2	
單	tæ̃1	
賣	mæ̃5	
南	næ̃2	
博	pɔ2	
盧	lu2	
卦	kuᴀ5	
衛	uɐi5	
印	ien5	
卻	tɕʰiou2	
卵	luɤɯ3	
卷	tɕyẽ5	
廠	tsʰᴀŋ3	
廳	tʰɪn1	
历	li2	
厲	li2	
厲	li5	
壓	iᴀ5	
厭	ieɪ5	
厚	xɐu5	
原	ʏei2	
厥	tɕyẽ2	
厦	sᴀ3	
廚	tsʰu2	
去	tɕʰyi5	
去	kʰɤɯ5	
縣	ɕieɪ5	
参	tsʰən1	~差
参	sən1	人~
又	iɐu5	
叉	tsʰᴀ1	
及	tɕi2	
友	iɐu3	
雙	suᴀŋ1	
反	fæ̃3	
发	fᴀ2	
叔	su2	
取	tɕʰyi3	
受	sɐu5	
變	pei5	
敍	ɕyi5	
叛	pʰɤɯ5	
疊	tei2	
口	kʰɐu3	
古	ku3	
句	tɕyi5	
另	lɪn5	
叩	kʰɐu5	
只	tsɿ1	
只	tsɿ3	
叫	tɕiɔ5	
可	kʰou3	
台	tʰæ̃2	
史	sɿ3	
右	iɐu5	
葉	ieɪ2	
號	xɔ5	
司	si1	
嘆	tʰæ̃5	
吃	tsʰɿ2	
各	kɔ2	
合	xou2	
吉	tɕi2	
同	tʰoŋ2	
名	mɪn2	
后	xɐu5	
吏	li5	
吐	tʰu3	
向	ɕiᴀŋ5	
呂	lyi3	
君	tɕyn1	
吞	tʰuən1	
吠	fɐi5	
否	fɐu3	
含	xæ̃2	
聽	tʰɪn1	
啓	tɕʰi3	
吳	u2	
吵	tsʰɔ3	
吸	ɕi2	
吹	tsʰuɐi1	
吻	uən3	
吼	xɐu3	
呈	tsʰən2	
告	kɔ5	
嘔	ŋɐu3	
員	ʏei2	
周	tsɐu1	
味	uɐi5	
呼	xu1	
命	mɪn5	
和	xou2	
和	xou5	~面
咒	tsɐu5	
咨	tsɿ1	
咬	ŋɔ3	
咸	ɕieɪ2	
哀	ŋæ̃1	
品	tɕien1	
品	pʰɪn3	
啞	iᴀ3	
哪	nᴀ3	
哭	kʰu2	
哲	tsɤɯ2	
唆	sou1	
脣	tsʰuən2	
唐	tʰᴀŋ2	
喚	xuɤɯ5	
售	sɐu5	
唯	uɐi2	
唱	tsʰᴀŋ5	
商	sᴀŋ1	
善	sɤɯ5	
喉	xɐu2	
喊	xæ̃3	
喘	tsʰuæ̃3	
喜	ɕi3	
喝	xou1	
喝	xou5	~彩
喧	ɕyẽ1	
噴	pʰən1	
喻	yi5	
嗅	ɕiɐu5	
嗉	su5	
嗓	sᴀŋ3	
嗜	sɿ5	
嗤	tsʰɿ1	
嗽	sɐu5	
嘉	tɕiᴀ1	
嘘	ɕyi1	
囑	tsu2	
嘴	tsuɐi3	
器	tɕi5	
囂	ɕiɔ1	
嚷	zᴀŋ3	
囚	tɕʰiɐu2	
四	sɿ5	
回	xuɐi2	
因	ien1	
团	tʰuɤɯ2	
園	ʏei2	
困	kʰuən5	
囱	tsʰoŋ1	
圍	uɐi2	
固	ku5	
國	kuɤɯ2	
圖	tʰu2	
圓	ʏei2	
圈	tɕʰyẽ1	
圈	tɕyẽ5	猪~
土	tʰu3	
聖	sən5	
在	tsæ̃5	
地	ti5	
場	tsʰᴀŋ2	
址	tsʰɿ3	
均	tɕyn1	
坍	tʰæ̃1	
坎	kʰæ̃3	
壞	xuæ̃5	
坐	tsʰou5	
坑	kʰən1	
塊	kʰuɐi5	
堅	tɕieɪ1	
坛	tʰæ̃2	
壩	pᴀ5	
墳	fən2	
墜	tsuɐi5	
坡	pʰou1	
坤	kʰuən1	
坦	tʰæ̃3	
坪	pʰɪn2	
坯	pʰɐi1	
坳	ŋɔ5	
垂	tsʰuɐi2	
壠	loŋ3	
型	ɕien2	
垒	lɐi3	
墾	kʰən3	
墊	tei5	
垮	kʰuᴀ3	
埋	mɐi2	
城	tsʰən2	
域	yi2	
培	pʰɐi2	
基	tɕi1	
堂	tʰᴀŋ2	
堆	tuɐi1	
堡	pɔ3	
堤	tʰi2	
堪	kʰæ̃1	
堰	ieɪ5	
堵	tu3	
塌	tʰᴀ2	
塑	su5	
塔	tʰᴀ2	
塗	tʰu2	
塘	tʰᴀŋ2	
塞	sɤɯ2	
填	tʰei2	
境	tɕien5	
墓	mu5	
牆	tɕʰiᴀŋ2	
