#漢字	音標	解釋
一	iɛʔ7	
七	tɕʰiɛʔ7	
万	uæ5	
三	sæ1	
上	ʂɔ5	~头
上	xɔ5	拿~
下	xa5	
世	ʂʅ5	
業	iɛʔ8	
東	tuə̃ŋ1	
絲	sɿ1	
丢	tiəɯ1	
兩	liɔ3	
嚴	ŋiɛ2	白。盖~
嚴	iɛ2	文。~格
个	kɔ5	~~
个	kuəʔ7	一~
中	tsuə̃ŋ1	
丰	xuə̃ŋ1	
主	tsʮ3	
舉	tɕy3	
義	i5	
烏	u1	
九	tɕiəɯ3	
習	ɕiɛʔ8	
書	sʮ1	
買	mɛe3	
亂	luə5	
爭	tsə̃ŋ1	
事	sɿ5	
二	ər5	
虧	kʰuei1	
云	yə̃ŋ2	
五	uəʔ8	
井	tɕi3	白。一口~
井	tɕiə̃ŋ3	文。~冈山
交	tɕiou1	
產	tsʰæ3	
亮	liɔ5	
親	tɕʰiə̃ŋ1	
人	ʐə̃ŋ2	
倉	tsʰɔ1	
付	xu5	
件	tɕiɛ5	
任	ʐə̃ŋ5	
休	ɕiəɯ1	
優	iəɯ1	
會	xuɛe5	
傘	sæ3	
傳	tsʰuə2	
傳	tsuæ5	
傷	ʂɔ1	
位	uei5	
低	ti1	
住	tsʮ5	
余	y2	
佛	xuəʔ8	
作	tsɑʔ7	
使	sɿ3	
侄	tʂʰəʔ8	
側	tʂɑʔ7	白。~棱
側	tsʰɑʔ7	文。~面
便	piɛ5	
俊	tɕyə̃ŋ5	
修	ɕiəɯ1	
借	tɕia5	
假	tɕia3	
做	tsuəʔ7	
停	tʰi1	白。~~地
停	tʰiə̃ŋ2	文。~下
健	tɕiɛ5	
偷	tʰəɯ1	
像	ɕiɔ5	
僧	sə̃ŋ1	
兒	ər2	
兄	ɕy1	
充	tsʰuə̃ŋ1	
先	ɕiɛ1	
光	kuə1	
黨	tɔ3	
入	ʐuəʔ8	
全	tɕʰyɛ2	
八	pɑʔ7	
公	kuə̃ŋ1	
六	liəɯ5	
蘭	læ2	
共	kuə̃ŋ5	
關	kuæ1	
興	ɕiə̃ŋ5	
兵	piə̃ŋ1	
典	tiɛ3	
寫	ɕia3	
軍	tɕyə̃ŋ1	
冤	yɛ1	
冬	tuə̃ŋ1	
冰	piə̃ŋ1	
冲	tsʰuə̃ŋ1	
決	tɕyɛʔ7	
冷	lia3	白。~水
冷	lə̃ŋ3	文。~静
凍	tuə̃ŋ5	
準	tsuə̃ŋ3	
減	tɕiɛ3	
湊	tsʰəɯ5	
几	tɕi3	
