#漢字	音標	解釋
个	|ko|	
亂	|ron|	
亂	|ron|	
京	|kin|	
亭	|tin|	
亰	|kin|	
個	*ko*	
儂	|non|	
凳	|ton|	
凴	|ton|	
叭	|ha|	
司	|su|	
呀	|ya|	
咊	*o(wo)*	
和	*o(wo)*	
哎	ai	
哥	|ko|	
啊	a	
喇	|ra|	
嗎	ma	
團	*ton*	
團	*ton*	
埠	hu	
堆	|tui|	
賣	|mai|	
外	|ui|	
婆	|ho|	
子	*su*	
孟	|man|	
對	*tui*	
對	*tui*	
庫	*ku*	
怎	|somo|	
怎	|samu|	
恁	|in|	
打	*da*	
拂	|hotu|	
抹	|mo|	
拂	|hotu|	
挼	sui	
推	|tui|	
搥	tui	
敦	|tui|	
明	|min|	
暖	|non|	
朙	|min|	
杏	|an|	
櫈	|ton|	
櫺	|ren|	
欞	|ren|	
殟	|un|	
浪	|ran|	
清	|sin|	
溫	|un|	
湯	|tan|	
溫	|un|	
火	|ko|	
灮	|ko|	
灯	|tin|	
灰	|kui|	
烏	|u|	
燈	|ton|	
瓈	ri	
瓶	*bin*	
甁	*bin*	
甚	somo	
痲	ma	
磬	|kin|	
秉	|hin|	
竹	|situ|	
筭	|son|	
箇	|ko|	
算	|son|	
納	*na*	
經	|kin|	
經	|kin|	
綾	|rin|	
緞	don	
縀	don	
羮	|kan|	
羹	|kan|	
胡	|u|	
腳	*kya*	
茴	|ui|	
茶	*sa*	
菠	|ho|	
蓷	|tui|	
蔴	*ma*	
薐	|rin|	
行	*an*	
裰	|totu|	
訓	|kin|	
話	*wa*	
話	*wa*	
請	*sin*	
賣	|mai|	
踋	*kya*	
輕	|kin|	
輕	|kin|	
鈴	*rin*	
頭	|zyuu(dyuu)|	
餡	|an(amu)|	
馬	|ma|	
鸚	|in|	
麻	*ma*	
龢	*o(wo)*	
