#漢字	音標	解釋
□	tsa1	~嘴
□	tʂa1	~开: 分开义
□	pia1	~上: 贴上
□	pʰia1	~拖鞋, 穿
□	nia1	~声~气, 形容娘娘腔
□	ɕia1	~腰: 弯着腰
□	pɛ1	~~: 车的总称
□	mɛ1	~~羊: 小羊
□	no1	~~: 睡觉
□	lo1	~□(xɛ³³): 种牛, 种猪
□	pai1	~~,瘸腿
□	mɑŋ1	~~, 饭
□	nɑŋ1	~瓜, ~猪, 形容人不聪明
□	u2	~弯: 掰弯
□	tsa2	~奶: 婴儿吮吸母乳
□	tsʰa2	~破: 蹭破
□	tʂa2	~塘: 水塘
□	pʰɛ2	~麻麻呢: 形容话多
□	mɛ2	~包谷: 剥玉米粒
□	tɕiɛ2	~羊: 公羊
□	xo2	~呢, 对义
□	tɕio2	~子: 沉淀物
□	luei2	~细, 研磨
□	ʂɑo2	~子, 一种农作物
□	lən2	~眼, 瞪眼
□	loŋ2	~火, 加柴旺火
□	soŋ2	~样, 形容人不聪明, 不机灵
□	pʰia3	~气, 俗
□	lia3	~皮: 调皮
□	mɛ3	~着了: 没反应过来
□	pʰiɛ3	~下来: 掰断
□	tʂoŋ3	~脖子: 吃饭
□	u5	~热
□	ʂa5	~松毛: 用工具从地上抓取松树叶
□	tɕʰia5	~过去, 跨过去
□	mo5	~不开: 腾不出时间
□	kʰo5	~马: 母马
□	kuan5	~跤, 摔跤义
□	lən5	~脚
□	kɑŋ5	~脚: 硌脚
□	tʂʰoŋ5	~菜
□	tʂʰua3	①~~, 形容试试; ②~水, ~泥巴, 形容进入流体中
□	sɛ1	□po³³~,做法事的人, 用于形容不正经
□	xɛ1	□(luo) ~: 种牛, 种猪
□	tsʰɑo5	□lᴀ³¹~: 形容人勤快、 懂事
□	tʂa3	一~: 五指伸开,从大拇指指尖到中指指尖的长度, 常用于衡量长度
□	pʰɑŋ3	不要~, 触碰义
□	nai2	以手指或关节按压
□	ua5	停下
□	ʂua1	动词, 用手握住枝条用力扯, 把花、 叶等物带下来
□	xo1	动词, 哄骗; 安慰
□	luei1	动词, 用尖锐的东西戳
□	xa2	动词, 盖
□	tʂua2	动词, 踢
□	tʂʰua2	动词, 踩在一边, 另外一边翘起来
□	tsʰo3	动词, 安慰、 忽悠
□	pʰai3	动词, 伸展
□	iɛ1	叔叔
□	toŋ2	受伤
□	loŋ3	合在一起, 陪着
□	ta2	哪~: 哪里义
□	tʂʰoŋ5	头朝下
□	tsʰən3	害羞
□	loŋ1	形容动作慢
□	uai3	形容质量不好
□	pʰiɛ5	形容质量差
□	xu1	把粘稠物抹到器物或墙壁上
□	tei3	拟声词, 吓人
□	poŋ3	拟声词, 爆炸音
□	ka1	指示词, 相当于“这”
□	nɑŋ3	推
□	tʂʰua3	撕
□	tʂa2	水冷
□	piɛ2	漏气
□	moŋ1	猜
□	i5	磨~了: 磨得平整、 光滑或没了
□	ua2	老~: 乌鸦
□	tʂʰuai5	耍赖
□	mɑŋ1	胖
□	tʰa1	衣物等往下掉落
