#漢字	音標	解釋
一	jaʔ7	
七	tʃʰaʔ7	
万	mɛŋ5	
三	ʃaŋ1	
上	ʃøŋ5	
下	ha5	
世	ʃoe5	
業	jit8	
東	toŋ1	
絲	ʃɐi1	
丢	tiu1	
兩	løŋ3	
嚴	jin2	
个	ko5	
中	tʃoŋ1	
丰	foŋ1	
主	tʃy3	
舉	kɵ3	
義	ji5	
烏	wu1	
九	kau3	
習	tʃap8	
書	ʃy1	
買	mai4	
亂	lun5	
爭	tʃɛŋ1	
事	ʃɐi5	
二	ji5	
虧	kʰwoe1	
雲	wɐn2	
五	n̩4	
井	tʃøŋ3	
井	tʃəŋ3	
交	kau1	
產	tʃʰɛŋ3	
亮	løŋ5	
親	tʃʰɐn1	
人	jɐn2	
倉	tʃʰɔŋ1	
付	fu5	
件	kin5	
任	jɐm5	
休	hau1	
優	jau1	
會	wi5	
傘	ʃɛŋ5	
傳	tʃʰun2	
傳	tʃun3	
傷	ʃøŋ1	
位	woe5	
低	toe1	
住	tʃy5	
余	jy2	
佛	faʔ8	
作	tʃo5	
使	ʃoe3	
使	ʃi3	
使	ʃi5	
侄	tʃaʔ8	
側	tʃaʔ7	
便	pin5	
俊	tʃɐn5	
修	ʃau1	
借	tʃø5	
假	ka3	
做	tʃɐu5	
停	tʰəŋ2	
健	kun5	
偷	tʰau1	
像	tʃøŋ5	
僧	tʃɐn1	
兒	ji2	
兄	həŋ1	
充	tʃʰoŋ1	
先	ʃin1	
光	kwɔŋ1	
黨	tɔŋ3	
入	jap8	
全	tʃʰun2	
八	pe4	
公	koŋ1	
六	lok8	
蘭	lɛŋ2	
共	koŋ5	
關	kwɛŋ1	
興	həŋ5	
兵	pəŋ1	
典	tin3	
寫	ʃø3	
寫	ʃe3	
軍	kwɐn1	
冤	jun1	
冬	toŋ1	
冰	pəŋ1	
冲	tʃʰoŋ1	
決	kʰut8	
冷	lɛŋ4	
凍	toŋ5	
準	tʃɐn3	
減	kaŋ3	
湊	tʃʰau5	
几	kɐi3	
鳳	foŋ5	
凳	tɐn5	
凶	hoŋ1	
出	tʃʰaʔ7	
擊	kək7	
刀	tɐu1	
分	fɐn1	
切	tʃʰit8	
划	weʔ8	
列	lit8	
初	tʃʰo1	
判	pʰun5	
别	pit8	
刮	kwe5	
制	tʃoe5	
刷	tʃʰe5@	
刺	tʃʰɐi5	
刺	tʃʰi5	
刻	haʔ7	
剃	tʰoe5	
削	ʃø5	
前	tʃʰin2	
劍	kin5	
剝	mɔʔ8	
劇	kʰøʔ8	
剩	ʃəŋ5	
剪	tʃin3	
副	fu5	
割	kwut8	
劈	pʰe4	
劈	pʰək7	
力	lək8	
勸	hun5	
辦	pɛŋ5	
動	toŋ5	
勁	kəŋ5	
勤	kʰɐn2	
勺	tʃø5	
勻	wɐn2	
包	pau1	
化	fa5	
北	paʔ7	
匠	tʃøŋ5	
匹	pʰaʔ7	
區	kʰɵ1	
十	ʃap8	
升	ʃəŋ1	
半	pun5	
華	wa2	
協	hit8	
卒	tʃaʔ7	
單	tɛŋ1	
賣	mai5	
南	naŋ2	
占	tʃin5	
衛	woe5	
印	jɐn5	
危	ŋoe2	
卷	kun3	
廠	tʃʰɔŋ3	
廳	tʰøŋ1	
历	lək8	
厭	jin5	
厚	hau5	
原	jun2	
去	hɵ5	
縣	jun2	
参	ʃɐm1	
及	kʰap8	
雙	ʃoŋ1	
雙	ʃøŋ1	
反	fɛŋ3	
发	fe5	
叔	ʃok7	
取	tʃʰɵ3	
變	pin5	
口	hau3	
古	kwu3	
句	kɵ5	
叫	kiu5	
可	ho3	
台	tʰɵ2	
右	jau5	
葉	jit8	
號	hɐu5	
吃	ŋaʔ7	
各	ko5	
吉	kaʔ7	
名	møŋ	
名	məŋ2	
后	hau5	
向	høŋ5	
吕	lɵ5	
吞	tʰɐn1	
含	hɐm2	
听	tʰøŋ1	
听	tʰəŋ5	
吴	n̩2	
吸	kʰap7	
吹	tʃʰɵ1	
味	mɐi5	
命	møŋ5	
命	məŋ5	
咸	haŋ2	
品	pʰɐn3	
響	høŋ3	
啞	ŋa3	
哭	hok7	
脣	ʃɐn2	
唱	tʃʰøŋ5	
善	ʃin5	
喊	haŋ5	
喜	hɐi3	
嘴	tʃɵ3	
器	hɐi5	
四	ʃɐi5	
回	wi2	
園	jun2	
困	kʰwɐn5	
圍	woe2	
國	kwo5	
圖	tʰɐu2	
圓	jun2	
圈	hun1	
土	tʰɐu3	
地	tɐi5	
均	kwɐn1	
壞	wai5	
坐	tʃʰo4	
坐	tʃo5	
坑	hɛŋ1	
塊	fai5	
墳	fɐn2	
垂	ʃɵ2	
墊	tin5	
埋	mai2	
城	ʃøŋ2	
城	ʃəŋ2	
塔	tʰa5	
塞	ʃaʔ7	
墨	maʔ8	
墩	tɐn1	
壁	pək7	
壯	tʃɔŋ5	
聲	ʃøŋ1	
聲	ʃəŋ1	
殼	ho5	
壺	fu2	
夏	ha5	
外	wi5	
多	to1	
夜	jø5	
够	kau5	
大	tai5	
大	ta5	
天	tʰin1	
失	ʃaʔ7	
頭	tʰau2	
夾	ka5	
奪	tut8	
契	kʰoe5	
女	nɵ4	
奴	nɐu2	
奸	kɛŋ1	
好	hɐu3	
如	jy2	
婦	pʰɐu4	
婦	fu5	
妹	mɵ5	
姐	tʃø3	
姓	ʃəŋ5	
姜	køŋ1	
姨	ji2	
娘	nøŋ2	
婆	pʰo2	
婚	fɐn1	
嫁	ka5	
嫂	ʃɐu3	
嫌	hin2	
嫩	nun5	
子	tʃɐi3	
孔	kʰoŋ3	
字	tʃɐi5	
孫	ʃun1	
孝	hau5	
季	kwoe5	
學	hɔʔ8	
孽	jit8	
安	wun1	
宋	ʃoŋ5	
完	jun2	
官	kwun1	
定	tøŋ5	
定	təŋ5	
寶	pɐu3	
實	ʃaʔ8	
客	he4	
宮	koŋ1	
害	fi5	
容	joŋ2	
寬	fun1	
宿	ʃok7	
寄	kɐi5	
密	maʔ8	
富	fu5	
寸	tʃʰun5	
對	tɵ5	
寺	tʃɐi5	
尋	tʃʰɐm2	
壽	ʃau5	
封	foŋ1	
射	ʃɵ5	
小	ʃiu3	
尖	tʃin1	
嘗	ʃøŋ2	
尺	tʃʰø5	
尾	mɐi4	
局	kʰok8	
屁	pʰɐi5	
層	tʃʰɐn2	
屋	lok7	
屬	ʃok8	
山	ʃɛŋ1	
歲	ʃɵ5	
岩	ŋaŋ2	
岸	wun5	
州	tʃau1	
左	tʃo3	
幣	poe5	
市	ʃi4	
布	pɐu5	
師	ʃi1	
希	hɐi1	
帶	tai5	
席	tʰo1	
席	tʃək8	
幫	pɔŋ1	
帽	mɐu5	
平	pʰøŋ2	
平	pʰəŋ2	
年	nin2	
幼	jau5	
慶	həŋ5	
牀	tʃʰɔŋ2	
店	tin5	
廟	miu5	
府	fu3	
延	jin2	
建	kun5	
開	fi1	
弄	loŋ5	
式	ʃək7	
引	jɐn4	
弟	toe5	
張	tʃøŋ1	
彎	wɛŋ1	
弱	jøʔ8	
彈	tʰɛŋ2	
形	jəŋ2	
影	jəŋ3	
律	ŋaʔ8	
徐	tʃʰɵ2	
得	taʔ7	
心	ʃɐm1	
忙	mɔŋ2	
快	fai5	
念	nin5	
懷	wai2	
急	kap7	
怪	kwai5	
恨	hɐn5	
恩	jɐn1	
恭	koŋ1	
息	ʃək7	
恶	ŋo5	
惜	ʃək7	
慣	kwɛŋ5	
想	ʃøŋ3	
愁	ʃau2	
意	ji5	
感	kaŋ3	
慌	fɔŋ1	
慢	mɛŋ5	
憋	pʰit8	
懂	toŋ3	
懶	lɛŋ4	
戲	hɐi5	
戒	kai5	
或	we5	
戰	tʃin5	
截	tʃit8	
戶	fu5	
房	fɔŋ2	
所	ʃo3	
扁	pin3	
扇	ʃin5	
手	ʃau3	
扎	tʃe5	
打	ta3	
托	tʰo5	
扮	pɛŋ5	
找	tʃau3	
