#漢字	音標	解釋
一	jʌt7a	
七	tʃʰʌt7a	
三	ʃaŋ1	
上	ʃɛŋ5	
下	ha6	
下	ha5	
世	ʃɔi5	
丢	tiu1	
中	tɤŋ1	
中	tʃɤŋ1	
主	tʃi3	
九	kɔu3	
亂	lin6	
事	ʃɐi6	
二	ji6	
五	ŋ̍5	
井	tʃɛŋ3	
交	kau1	
亮	lɛŋ6	
人	jʌn2	
付	fu6	
件	kin6	
任	jʌŋ6	
休	hɔu1	
位	vɔi6	
低	tɔi1	
住	tʃi6	
佛	fʌt8	
作	tʃok7b	
使	ʃɔi3	
使	fi3	
侄	tʃʌt8	
來	lui2	
便	pin6	
俊	tʃʌn5	
修	ʃɔu1	
倉	tʃʰoŋ1	
個	ku5	
借	tʃɛ5	
假	ka3	
做	tʃɐu5	
停	tʰɛŋ2	
健	kin6	
側	tʃʌk8	
偷	tʰɔu1	
傑	kit8	
傘	ʃaŋ5	
傳	tʃʰin2/tʃin6	
傷	ʃɛŋ1	
像	tʃɛŋ6	
僧	tʃʌŋ1	
優	jɔu1	
兄	hɐŋ1	
充	tʃʰɤŋ1	
先	ʃin1	
光	kwoŋ1	
兒	ji2	
入	jʌk8	
全	tʃʰin2	
兩	lɛŋ3	
八	pa5	
公	kɤŋ1	
六	lɤk8	
共	kɤŋ6	
兵	pɐŋ1	
典	tin3	
冤	jin1	
冬	tɤŋ1	
冰	pɐŋ1	
冷	laŋ5	
准	tʃʌn3	
凍	tɤŋ5	
凳	tʌŋ5	
凶	hɤŋ1	
出	tʃʰʌt7a	
刀	tɐu1	
分	fʌn1	
切	tʃʰit7b	
列	lit8	
初	tʃʰu1	
判	pʰɤk5	
别	pit8	
刮	kwa5	
制	tʃɔi5	
刷	tʃʰa5@	
刺	tʃʰɐi5	
刺	tʃʰi5	
刻	hʌk7a	
剃	tʰɔi5	
削	ʃɛ5	
前	tʃʰin2	
剝	mok7a	
剩	ʃɐŋ6	
剪	tʃin3	
副	fu6	
割	kwɤk7b	
劃	vak8	
劇	kʰɛk8	
劈	pʰɛk7a	
劍	kin5	
力	lɐk8	
勁	kɐŋ6	
動	tɤŋ6	
勤	kʰʌn2	
勸	hin5	
勺	ʃɛk8	
匀	vʌn2	
包	pau1	
化	fa5	
北	pʌk7a	
匠	tʃɛŋ6	
匹	pʰʌt7a	
區	kʰui1	
十	ʃʌk8	
升	ʃɐŋ1	
半	pɤŋ5	
卒	tʃʌt7a	
協	hit8	
南	naŋ2	
占	tʃin7b	
印	jʌn5	
危	ŋɔi2	
卷	kin3	
厚	hɔu5	
原	jin2	
厭	jin6	
去	hui5	
參	ʃʌŋ1	
及	kʰʌk8	
反	faŋ3	
叔	ʃɤk7a	
取	tʃʰui3	
口	hɔu3	
古	kwu3	
句	kui5	
叫	kiu6	
可	hu3	
台	tʰui2	
右	jɔu6	
吃	ŋʌk7a	
各	kok7b	
吉	kʌt7a	
名	mɛŋ7a	
名	mɐŋ2	
向	hɛŋ5	
吞	tʰʌn1	
含	hʌŋ2	
吳	ŋ̍2	
吸	kʰʌk7a	
吹	tʃʰui1	
呂	lui5	
味	mɐi6	
命	mɛŋ6	
命	mɐŋ6	
品	pʰʌn3	
哭	hɤk7a	
唱	tʃʰɛŋ5	
問	mʌn6	
啞	ŋa3	
善	ʃin6	
喊	haŋ5	
喜	hɐi3	
單	taŋ1	
嘗	ʃɛŋ2	
嘴	tʃui3	
器	hɐi5	
嚴	jin2	
四	ʃɐi5	
回	vui2	
困	kʰwʌn5	
圈	hin1	
國	kwok7b	
圍	vɔi2	
園	jin2	
圓	jin2	
圖	tʰɐu2	
土	tʰɐu3	
地	tɐi6	
均	kwʌn1	
坐	tʃʰu5	
坑	haŋ1	
垂	ʃui2	
埋	mai2	
城	ʃɛŋ2	
城	ʃɐŋ2	
塊	fai5	
