#漢字	音標	解釋
一	jak7	
七	tʃʰak7	
万	bɛŋ6	
三	ʃaŋ1	
上	ʃiu6	
上	ʃøŋ5	
下	ha6	
世	ʃoe5	
業	jit8	
東	toŋ1	
絲	ʃɐi1	
丢	tiu1	
兩	ɡiu3	
嚴	jin2	
个	ko5	
中	tʃoŋ1	
丰	foŋ1	
主	tʃi3	
舉	kui3	
義	ji5	
烏	wo1	
九	kau3	
習	tʃɔk8	
書	ʃi1	
買	bai5	
亂	ɡon6	
爭	tʃɛŋ1	
事	ʃɐi6	
二	ji6	
虧	kʰwoe1	
雲	wɐn2	
五	m̩5	
井	tʃiu3	
井	tʃəŋ3	
交	kau1	
產	tʃʰɛŋ3	
亮	ɡiu6	
親	tʃʰɐn1	
人	jun2	
倉	tʃʰɔŋ1	
付	fo6	
件	kin6	
任	jɐm6	
休	hau1	
優	jau1	
會	wɐi6	
傘	ʃɛŋ6	
傳	tʃʰon2	
傳	tʃon6	
傷	ʃøŋ1	
位	woe6	
低	toe1	
住	tʃi6	
余	ji2	
佛	fak8	
作	tʃɔ5	
使	ʃoe3	
使	ʃi3	
侄	tʃak8	
側	tʃak7	
便	pin6	
俊	tʃɐn6	
修	ʃau1	
借	tʃe5	
假	ka3	
做	tʃɐu5	
停	tʰəŋ2	
健	kon5	
偷	tʰau1	
像	tʃiu6	
僧	tʃɐn1	
兒	ji2	
兄	həŋ1	
充	tʃʰoŋ1	
先	ʃin1	
光	kwɔŋ1	
黨	tɔŋ3	
入	jɔk8	
全	tʃʰon2	
八	pe5	
公	koŋ1	
六	ɡok8	
蘭	ɡɛŋ2	
共	koŋ6	
關	kwɛŋ1	
興	həŋ5	
兵	pəŋ1	
典	tin3	
寫	ʃe3	
軍	kwɐn1	
冤	jon1	
冬	toŋ1	
冰	pəŋ1	
冲	tʃʰoŋ1	
決	kʰoit8	
冷	ɡɛŋ5	
凍	toŋ5	
準	tʃɐn3	
減	kaŋ3	
湊	tʃʰau5	
几	kɐi3	
鳳	foŋ6	
凳	tɐn5	
凶	hoŋ1	
出	tʃʰak7	
擊	kək7	
刀	tɐu1	
分	fɐn1	
切	tʃʰit8	
划	wek8	
列	ɡit8	
初	tʃʰo1	
判	pʰon5	
别	pit8	
刮	kwe5	
制	tʃoe6	
刷	tʃʰe5@	
刺	tʃʰɐi5	
刺	tʃʰi6	
刻	hak7	
剃	tʰoe5	
削	ʃe5	
前	tʃʰin2	
劍	kin5	
剝	bɔk7	
劇	kʰek8	
剩	ʃəŋ6	
剪	tʃin3	
副	fo6	
割	kwoit8	
劈	pʰe5	
力	ɡək8	
勸	hon5	
辦	pɛŋ6	
動	toŋ6	
勁	kəŋ6	
勤	kʰɐn2	
勺	ʃek8	
勻	wɐn2	
包	pau1	
化	fa5	
北	pak7	
匠	tʃiu6	
匹	pʰak7	
區	kʰui1	
十	ʃɔk8	
升	ʃəŋ1	
半	pon6	
華	wa2	
協	hit8	
卒	tʃak7	
單	tɛŋ1	
賣	bai6	
南	daŋ2	
占	tʃin5	
衛	woe6	
印	jɐn6	
危	ɡoe2	
卷	kon3	
廠	tʃʰɔŋ3	
廳	tʰiu1	
历	ɡək8	
厭	jin5	
厚	hau6	
原	jon2	
去	hui5	
縣	jon6	
参	ʃɐm1	
及	kʰɔk8	
雙	ʃiu1	
反	fɛŋ3	
发	fe5	
叔	ʃok7	
取	tʃʰui3	
變	pin6	
口	hau3	
古	kwo3	
句	kui6	
叫	kiu6	
可	ho3	
台	tʰui2	
右	jau5	
葉	jit8	
號	hɐu6	
吃	ɡak7	
各	kɔ5	
吉	kak7	
名	biu2	
名	bəŋ2	
后	hau6	
向	høŋ5	
吕	ɡui5	
吞	tʰɐm1	
含	hɐm2	
听	tʰiu1	
听	tʰəŋ1	
吴	m̩2	
吸	kʰɔk7	
吹	tʃʰui1	
味	bɐi6	
命	biu6	
命	bəŋ6	
咸	haŋ2	
品	pʰɐn3	
響	hiu3	
啞	ɡa3	
哭	hok7	
脣	ʃɐn2	
唱	tʃʰøŋ5	
善	ʃin6	
喊	haŋ5	
喜	hɐi3	
嘴	tʃui3	
器	hɐi5	
四	ʃɐi5	
回	wɐi2	
園	jon2	
困	kʰwɐn5	
圍	woe2	
國	kwɔ5	
圖	tʰɐu2	
圓	jon2	
圈	hon1	
土	tʰɐu3	
地	tɐi6	
均	kwɐn1	
壞	wai6	
坐	tʃʰo5	
坑	hɛŋ1	
塊	fai5	
墳	fɐn2	
垂	ʃui2	
墊	tin6	
埋	bai2	
城	ʃiu2	
城	ʃəŋ2	
塔	tʰa5	
塞	ʃak7	
墨	bak8	
墩	tɐn1	
壁	pək7	
壯	tʃɔŋ6	
聲	ʃiu1	
聲	ʃəŋ1	
殼	hɔ5	
殼	hɔk8	
壺	fo2	
夏	ha6	
外	wɐi6	
多	to1	
夜	je6	
够	kau6	
大	tai6	
天	tʰin1	
失	ʃak7	
頭	tʰau2	
夾	ka6	
奪	toit8	
契	kʰoe5	
女	dui5	
奴	dɐu2	
奸	kɛŋ1	
好	hɐu3	
如	ji2	
婦	pʰɐu5	
婦	fo6	
妹	bui6	
姐	tʃe3	
姓	ʃəŋ5	
姜	kiu1	
姨	ji2	
娘	diu2	
婆	pʰo2	
婚	fun1	
嫁	ka5	
嫂	ʃɐu3	
嫌	hin2	
嫩	don6	
子	tʃɐi3	
孔	kʰoŋ3	
字	tʃɐi6	
孫	ʃon1	
孝	hau6	
季	kwoe6	
學	hɔk8	
孽	jit8	
安	won1	
宋	ʃoŋ5	
完	jon2	
官	kwon1	
定	təŋ6	
寶	pɐu3	
實	ʃak8	
客	he5	
宮	koŋ1	
害	fɐi6	
容	joŋ2	
寬	fon1	
宿	ʃok7	
寄	kɐi5	
密	bak8	
富	fo6	
寸	tʃʰon5	
對	tui6	
寺	tʃɐi6	
尋	tʃʰɐm2	
壽	ʃau6	
封	foŋ1	
射	ʃe6	
小	ʃiu3	
尖	tʃin1	
嘗	ʃiu2	
尺	tʃʰe5	
尾	bɐi5	
局	kʰok8	
屁	pʰɐi5	
層	tʃʰɐn2	
屋	ɡok7	
屬	ʃok8	
山	ʃɛŋ1	
歲	ʃui6	
岩	ɡaŋ2	
岸	won6	
州	tʃau1	
左	tʃo3	
幣	poe6	
市	ʃi5	
布	pɐu5	
師	ʃi1	
希	hɐi1	
帶	tai5	
席	tʃek8	
席	tʃək8	
幫	pɔŋ1	
帽	bɐu6	
平	pʰiu2	
平	pʰəŋ2	
年	din2	
幼	jau6	
慶	həŋ5	
牀	tʃʰɔŋ2	
店	tin6	
廟	biu6	
府	fo3	
延	jin2	
建	kon5	
開	fui1	
弄	ɡoŋ6	
式	ʃək7	
引	jɐn5	
弟	toe6	
張	tʃøŋ1	
彎	wɛŋ1	
弱	jek8	
彈	tʰɛŋ2	
形	jəŋ2	
影	jəŋ3	
律	ɡak8	
徐	tʃʰui2	
得	tak7	
心	ʃɐm1	
忙	bɔŋ2	
快	fai5	
念	din6	
懷	wai2	
急	kɔk7	
怪	kwai5	
恨	hɐn6	
恩	jɐn1	
恭	koŋ1	
息	ʃək7	
恶	ɡɔ5	
惜	ʃək7	
慣	kwɛŋ5	
想	ʃiu3	
愁	ʃau2	
意	ji5	
感	kaŋ3	
慌	fɔŋ1	
慢	bɛŋ6	
憋	pit8	
懂	toŋ3	
