#漢字	音標	解釋
□	jɔi2	(质量)差
□	nœŋ3	[nɔŋ31]~:知了
□	li2	~☐[li55]:二胡
□	pʰɐu2	~☐[lɐu31]:量词，箩
□	nɔŋ2	~蚭:蜻蜓
□	ʃi3	~样:怎样
□	ŋai5	~虱:脏
□	tɔk8	~包剪:石头剪子布
□	tʰəŋ9a	~日:明天
□	ʃəŋ9a	~日:明天
□	lɐu2	☐[pʰɐu31]~:量词，箩
□	li9a	☐[li31]~:二胡
□	nin9a	乳房、乳汁
□	ʔm4	即~:时间副词，快
□	tʰœ2	吐(口水)
□	na9a	向
□	ʃi9a	哪(里)，~处:什么地方
□	tʰɔŋ5	宽~:宽敞
□	təŋ1	屎肚饱~休:肚子饱饱的
□	tʃʰau5	带(小孩)
□	ma1	张(嘴)
□	kʰʷɔŋ2	怕
□	pʰɛ9a	扑克
□	ŋɔ5	打喊~:打哈欠
□	mək7	掰
□	mɛk8	摔
□	pʰak8	摸(头或物品)
□	pʰɛŋ5	有不饱满的，~谷:秕谷
□	ha1	欺负
□	lɔŋ4	洗
□	kʰʷak7	牛头~:短裤
□	tʃɐn1	特~:故意
□	ʃɔk7	生~，陌生
□	kʰak7	硬~:(骨头)硬
□	kit8	苦，苦涩
□	toŋ1	蹲
□	kʰau2	躲
□	pʰɐu2	量词，处
□	ʃi5	闭(眼)
□	nɔk7	闭(嘴)
□	pʰut7	香~:很香
□	nɐn1	𤶸~:疤
㫰	lɔŋ5	
燶	noŋ4	(饭)烧糊
㷮	tʃau1	干
一	jak7	
丁	təŋ1	
七	tʃʰak7	
万	mɛŋ5	
丈	tʃœŋ5	
三	ʃaŋ1	
上	ʃœŋ5	~山
上	ʃœŋ5	~面
下	ha5	~降
下	ha5	~面
不	pak7	
与	jy4	
丐	kʰʷi5	
丑	tʃʰau3	~陋
丑	tʃʰau3	子~寅卯
專	tʃɵn1	
且	tʃʰœ3	
丕	pʰɐi9a	
世	ʃɔi5	
丘	hau1	
丙	pəŋ3	
業	jit8	
叢	tʃʰoŋ2	
東	toŋ1	
絲	ʃɐi1	
丞	ʃəŋ2	
兩	lœŋ4	~个
兩	lœŋ3	斤~
嚴	jin2	
喪	ʃɔŋ5	~失
喪	ʃɔŋ1	婚~
个	kɔ5	
丫	ŋa1	
中	tʃoŋ1	~秋
中	tʃoŋ5	射~
丰	foŋ1	
串	tʃʰɵn5	
臨	lɐm2	
丸	jɵn9b	
丹	tɛŋ1	
爲	wɔi5	~什么
爲	wɔi2	行~
主	tʃy3	
麗	lɔi5	
舉	kɵ3	
乃	nai4	
久	kau3	
義	ji5	
之	tʃi1	
烏	wu1	
乎	fu2	
乏	fɛk8	
樂	lɔk8	快~
樂	ŋɔk8	音~
喬	kʰiu2	
乖	kʷai1	
乘	ʃəŋ2	
乙	jɵt8	
九	kau3	
乞	hak7	
也	ja4	
習	tʃɔk8	
鄉	hœŋ1	
書	ʃy1	
買	mai4	
亂	lɵn5	
乳	jɵ4	
乾	kʰɵn2	~坤
了	liu4	
爭	tʃɛŋ1	
事	ʃɐi5	
二	ji5	
于	jy1	在~
于	jy1	姓氏
虧	kʰʷɔi1	
