#漢字	音標	解釋
一	jɐt7	
七	tʃʰɐt7	
万	ban6	
三	ɬan1	
上	ʃøŋ4	
下	ha4	
世	ʃei5	
業	jit8	
東	toŋ1	
絲	ɬɐi1	
丢	tiu1	
兩	løŋ3	
嚴	jin2	
个	kɔ5	
中	tʃoŋ1	
丰	foŋ1	
主	tʃy3	
舉	køy3	
義	ji6	
烏	wu1	
九	kɐu3	
習	tʃʰap8	
書	ʃy1	
買	bai4	
亂	lyn6	
爭	tʃaŋ1	
事	ɬɐi6	
二	ji6	
虧	kʰei1	
雲	wɐn2	
五	n̩4	
井	tʃeŋ3	
交	kau1	
產	tʃʰan3	
亮	løŋ6	
親	tʃʰɐn1	
人	jɐn2	
倉	tʃʰɔŋ1	
付	fu6	
件	kʰin6	
任	jam6	
休	jɐu1	
優	jɐu1	
會	wøy6	
傘	ɬan5	
傳	tʃʰyn2	
傳	tʃyn5	
傷	ʃøŋ1	
位	wɐi6	
低	tei1	
住	tʃʰy6	
余	jy2	
佛	fɐt8	
作	tʃɔk8	
使	ʃɐi3	
使	ʃi3	
侄	tʃʰɐt8	
側	tʃək7	
便	pʰin6	
俊	tʃɐn5	
修	ɬɐu1	
借	tʃɛ5	
假	ka3	
做	tʃɐu5	
停	tʰəŋ2	
健	kyn6	
偷	tʰau1	
像	tʃʰøŋ6	
僧	tʃəŋ1	
兒	ji2	
兄	həŋ1	
充	tʃʰoŋ1	
先	ɬin1	
光	kɔŋ1	
黨	tɔŋ3	
入	jap8	
全	tʃʰyn2	
八	pat7	
公	koŋ1	
六	lok8	
蘭	lan2	
共	kʰoŋ6	
關	kan1	
興	həŋ5	
兵	pəŋ1	
典	tin3	
寫	ɬɛ3	
軍	kɐn1	
冤	jyn1	
冬	toŋ1	
冰	pəŋ1	
冲	tʃʰoŋ1	
決	kʰyt8	
冷	laŋ4	
凍	toŋ5	
準	tʃɐn3	
減	kan3	
湊	tʃau5	
几	ki3	
几	kɐi3	
鳳	foŋ6	
凳	təŋ5	
凶	hoŋ1	
出	tʃʰɐt7	
擊	kək7	
刀	tau1	
分	fɐn1	
切	tʃʰit8	
划	wak8	
列	lit8	
初	tʃʰɔ1	
判	pʰun6	
别	pʰit8	
刮	kat7	
制	tʃei5	
刷	tʃʰat7@	
刺	tʃʰei5	
刻	hɐt7	
剃	tʰei5	
削	ɬøk7	
前	tʃʰin2	
劍	kin5	
剝	bɔk7	
劇	kʰek8	
剩	ʃəŋ6	
剪	tʃin3	
副	fu5	
副	fu6	
割	kut7	
劈	pʰek8	
力	lək8	
勸	hyn5	
辦	pʰan6	
動	tʰoŋ6	
勁	kəŋ5	
勤	kʰɐn2	
勺	ʃøk8	
勻	wɐn2	
包	pau1	
化	fa5	
北	pək7	
匠	tʃʰøŋ6	
匹	pʰɐt7	
區	kʰøy1	
十	ʃap8	
升	ʃəŋ1	
半	pun5	
華	wa2	
協	hit8	
卒	tʃɐt7	
單	tan1	
賣	bai6	
南	dan2	
占	tʃin5	
衛	wɐi6	
印	jɐn6	
危	ɡei2	
卷	kyn3	
廠	tʃʰɔŋ3	
廳	tʰeŋ1	
历	lək8	
厭	jin5	
厚	hau4	
原	jyn2	
去	høy5	
縣	jyn6	
参	ʃam1	
及	kʰap8	
雙	ʃøŋ1	
反	fan3	
发	fat7	
叔	ʃok7	
取	tʃʰøy3	
變	pin5	
口	hau3	
古	ku3	
句	køy5	
叫	kiu5	
可	hɔ3	
台	tʰøy2	
右	jɐu6	
葉	jit8	
號	hau6	
吃	ɡɐt7	
各	kɔk8	
吉	kɐt7	
名	beŋ5	
名	bəŋ2	
后	hau6	
向	høŋ5	
吕	løy4	
吞	tʰɐn1	
含	ham2	
听	tʰeŋ1	
吴	n̩2	
吸	kʰap7	
吹	tʃʰøy1	
味	bɐi6	
命	beŋ6	
咸	han2	
品	pʰɐn3	
響	høŋ3	
啞	a3	
哭	hok7	
脣	ʃɐn2	
唱	tʃʰøŋ5	
善	ʃin6	
喊	han5	
喜	hɐi3	
嘴	tʃøy5	
器	hɐi5	
四	ɬɐi5	
回	wøy2	
園	jyn2	
困	kʰɐn6	
圍	wɐi2	
國	kɔk8	
圖	tʰɐu2	
圓	jyn2	
圈	hyn1	
土	tʰɐu3	
地	tʰɐi6	
均	kɐn1	
壞	wai6	
坐	tʃʰɔ4	
坑	haŋ1	
塊	fai5	
墳	fɐn2	
垂	ʃøy2	
墊	tin6	
埋	bøy2	
埋	bai2	
城	ʃəŋ2	
塔	tʰat7	
塞	ɬək7	
墨	bək8	
墩	tɐn1	
壁	pək7	
壯	tʃɔŋ5	
聲	ʃeŋ1	
聲	ʃəŋ1	
殼	hɔk7	
壺	fu2	
夏	ha6	
外	wøy6	
多	tɔ1	
夜	jɛ6	
够	kau5	
大	tʰai6	
天	tʰin1	
失	ʃɐt7	
頭	tʰau2	
夾	kat8	
奪	tyt8	
契	kʰei5	
女	døy4	
奴	dɐu2	
奸	kan1	
好	hau3	
如	jy2	
婦	pʰɐu4	
婦	fu6	
妹	bøy6	
姐	tʃɛ3	
姓	ɬeŋ5	
姜	køŋ1	
姨	ji2	
娘	døŋ2	
婆	pʰɔ2	
婚	fun1	
嫁	ka5	
嫂	ɬau3	
嫌	hin2	
嫩	dyn6	
子	tʃɐi3	
孔	hoŋ3	
字	tʃʰɐi6	
孫	ɬyn1	
孝	hau5	
季	kɐi5	
學	hɔk8	
孽	jit8	
安	wun1	
宋	ɬoŋ5	
完	jyn2	
官	kun1	
定	tʰəŋ6	
寶	pau3	
實	ʃɐt8	
客	hak7	
宮	koŋ1	
害	føy6	
容	joŋ2	
寬	fun1	
宿	ɬok7	
寄	kɐi5	
密	bɐt8	
富	fu6	
寸	tʃʰyn5	
對	tøy5	
寺	tʃʰei6	
尋	tʃʰam2	
壽	ʃɐu6	
封	foŋ1	
射	ʃɛ6	
小	ɬiu3	
尖	tʃin1	
嘗	ʃøŋ2	
尺	tʃʰek7	
尾	bɐi4	
局	kʰok8	
屁	pʰɐi5	
層	tʃʰəŋ2	
屋	ok7	
屬	ʃok8	
山	ʃan1	
歲	ɬøy5	
岩	ɡan2	
岸	wun6	
州	tʃɐu1	
左	tʃɔ3	
幣	pei6	
市	ʃi4	
布	pɐu5	
師	ʃi1	
希	hɐi1	
帶	tai5	
席	tʃʰek8	
席	tʃʰək8	
幫	pɔŋ1	
帽	bau6	
平	pʰeŋ2	
平	pʰəŋ2	
年	din2	
幼	jɐu5	
慶	həŋ5	
牀	tʃʰɔŋ2	
店	tin5	
廟	biu6	
府	fu3	
延	jin2	
建	kyn5	
開	føy1	
弄	loŋ6	
式	ʃək7	
引	jɐn4	
弟	tʰei6	
張	tʃøŋ1	
彎	wan1	
弱	jøk8	
彈	tʰan2	
形	jəŋ2	
影	jəŋ3	
律	lɐt8	
徐	tʃʰøy2	
得	tək7	
心	ɬam1	
忙	bɔŋ2	
快	fai5	
念	lin6	
懷	wai2	
急	kap7	
怪	kai5	
怪	kai6	
恨	hɐn6	
恩	jɐn1	
恭	koŋ1	
息	ɬək7	
恶	ɔk7	
惜	ɬək7	
慣	kan5	
想	ɬøŋ3	
愁	ʃɐu2	
意	ji5	
感	kan3	
慌	fɔŋ1	
慢	ban6	
憋	pei6	
懂	toŋ3	
懶	lan4	
戲	hɐi5	
戒	kai5	
或	wak8	
戰	tʃin5	
截	tʃʰit8	
戶	fu6	
房	fɔŋ2	
所	ʃɔ3	
扁	pin3	
扇	ʃin5	
手	ʃɐu3	
扎	tʃat8	
打	ta3	
托	tʰɔk8	
扮	pʰan6	
找	tʃau3	
抄	tʃʰau1	
把	pa3	
抓	tʃa1	
