#漢字	音標	解釋
一	jak7a	
七	tʃʰak7a	
三	ʃaŋ1a	
上	ʃœŋ1a	
下	ha6	
世	ʃai5	
丢	tiu5@	
中	tʃoŋ1a	
主	tʃy3	
九	kau3	
亂	lyn6	
事	ʃəi6	
二	ji6	
五	m1a	
井	tʃiəŋ3	
井	tʃəŋ3	
交	kiau1a	
亮	lœŋ6	
人	jan2	
付	fu6	
件	kin6	
任	jan6	
休	hau1a	
休	jau1a	
位	wai6	
低	tai1a	
住	tʃy6	
佛	fak8	
作	tʃɔk7b	
使	ʃai3	
使	ʃi3	
侄	tʃak8	
來	lɔi2	
便	pin6	
俊	tʃan5	
修	ʃau1b	
倉	tʃʰɔŋ1a	
個	ko5	
借	tʃe5	
假	ka3	
做	tʃou5	
停	tʰəŋ2	
健	kyn5	
側	tʃak7a	
偷	tʰau1a	
傑	kit7b	
傘	ʃiaŋ5	
傳	tʃʰyn2/tʃyn5	
傷	ʃœŋ1a	
像	tʃœŋ6	
僧	tʃan1b	
優	jau1a	
兄	həŋ1a	
充	tʃʰoŋ1a	
先	ʃin1a	
光	kɔŋ1a	
兒	ji2	
入	jak8	
全	tʃʰyn2	
兩	lœŋ3	
八	piak7b	
公	koŋ1a	
六	lok8	
共	koŋ6	
兵	pəŋ1a	
典	tin3	
冤	jyn1a	
冬	toŋ1a	
冰	pəŋ1a	
冷	liaŋ1a	
准	tʃan3	
凍	toŋ5	
凳	tan5	
凶	hoŋ1a	
出	tʃʰak7a	
刀	tou1a	
分	fan1a	
切	tʃʰit7b	
列	lit8	
初	tʃʰo1a	
判	pʰoŋ5	
别	pit8	
刮	kwiak7b	
制	tʃai5	
刷	tʃʰiak7b@	
刺	tʃʰi5	
刻	hak7a	
剃	tʰai5	
削	ʃœk7b	
前	tʃʰin2	
剝	bɔk7a	
剩	ʃəŋ6	
剪	tʃin3	
副	fu6	
割	kok7b	
劃	wiak8	
劇	kʰiək8	
劈	pʰiək7b	
劍	kin5	
力	lək8	
勁	kəŋ5	
動	toŋ6	
勤	kʰan2	
勸	hyn5	
勺	tʃœk7b	
匀	wan2	
包	piau1b	
化	fa5	
北	pak7a	
匠	tʃœŋ6	
匹	pʰak7a	
區	kʰɔi1b	
十	ʃak8	
升	ʃəŋ1a	
半	poŋ5	
卒	tʃak7a	
協	hyt7b	
南	laŋ2	
占	tʃin5	
印	jan5	
危	ɡai2	
卷	kyn3	
厚	hau1a	
原	jyn2	
厭	jin5	
去	hɔi5	
參	ʃan1a	
及	kʰak8	
反	fiaŋ3	
叔	ʃok7a	
取	tʃʰɔi3	
口	hau3	
古	ku3	
句	kɔi5	
叫	kiu5	
可	ho3	
台	tʰɔi2	
右	jau6	
吃	hiak7b	
各	kɔk7b	
吉	kak7a	
名	biəŋ3	
名	bəŋ2	
向	hœŋ5	
吞	tʰan1a	
含	ham2	
吳	m̩2	
吸	kʰak7a	
吹	tʃʰɔi1a	
呂	lɔi1a	
味	bəi6	
命	biəŋ6	
命	bəŋ6	
品	pʰan3	
哭	hok7a	
唱	tʃʰœŋ5	
問	ban6	
啞	a3	
善	ʃin6	
喊	haŋ5	
喜	həi3	
單	tiaŋ1b	
嘗	ʃœŋ2	
嘴	tʃɔi3	
器	həi5	
嚴	jin2	
四	ʃəi5	
回	wɔi2	
困	kʰwan5	
圈	hyn1b	
國	kɔk7b	
圍	wai2	
園	jyn2	
圓	jyn2	
圖	tʰou2	
土	tʰou3	
地	təi6	
均	kwan1a	
坐	tʃʰo1a	
坐	tʃo6	
坑	hiaŋ1a	
垂	ʃɔi2	
埋	ba2	
城	ʃəŋ2	
塊	fa5	
塔	tʰak7b	
塞	ʃak7a	
墊	tin6	
墨	bak8	
墩	tan1a	
墳	fan2	
壁	pək7a	
壞	wa6	
壯	tʃɔŋ5	
壺	fu2	
壽	ʃau6	
夏	ha6	
外	wɔi6	
多	to1a	
夜	je6	
够	kau5	
夢	boŋ6	
大	ta6	
天	tʰin1a	
失	ʃak7a	
夾	kak7b	
契	kʰai1a	
奪	tyt8	
女	lɔi1a	
奴	lou2	
奸	kiaŋ1a	
好	hou3	
如	jy2	
妹	bɔi6	
姐	tʃe3	
姓	ʃəŋ5	
姨	ji2	
娘	lœŋ2	
婆	pʰo2	
婚	fan1a	
婦	pʰou1a	
婦	fu6	
嫁	ka5	
嫂	ʃou3	
嫌	hin2	
嫩	lyn6	
子	tʃəi3	
孔	kʰoŋ3	
字	tʃəi6	
孝	hiau5	
季	kwai5	
孫	ʃyn1a	
學	hɔk8	
孽	jit8	
安	woŋ1b	
宋	ʃoŋ1a	
宋	ʃoŋ5	
完	jyn2	
官	koŋ1b	
定	tiəŋ6	
定	təŋ6	
客	hiak7b	
宮	koŋ1a	
害	fɔi6	
容	joŋ2	
宿	ʃok7a	
寄	kəi5	
密	bak8	
富	fu6	
實	ʃak8	
寫	ʃe3	
寬	foŋ1b	
寶	pou3	
寸	tʃʰyn5	
寺	tʃəi6	
封	foŋ1a	
射	ʃe6	
尋	tʃʰan2	
對	tɔi5	
小	ʃiu3	
尖	tʃin1b	
尺	tʃʰiək7b	
尾	bəi1a	
局	kʰok8	
屁	pʰəi5	
屋	ok7a	
層	tʃʰan2	
屬	ʃok8	
山	ʃiaŋ1a	
巖	ɡaŋ2	
岸	woŋ6	
州	tʃau1a	
左	tʃo3	
市	ʃi1a	
布	pou5	
希	həi1b	
師	ʃi1b	
席	tʃiək8	
席	tʃək8	
帶	ta5	
帽	bou6	
幣	pai6	
幫	pɔŋ1a	
平	pʰiəŋ2	
平	pʰəŋ2	
年	lin2	
幼	jau5	
幾	kəi3	
牀	tʃʰɔŋ2	
店	tin5	
府	fu3	
廟	biu6	
廠	tʃʰɔŋ3	
廳	tʰiəŋ1a	
延	jin2	
建	kyn5	
弄	loŋ6	
式	ʃək7a	
引	jan1a	
弟	tai6	
弱	jœk8	
張	tʃœŋ1a	
彈	tʰiaŋ2	
彎	wiaŋ1a	
彎	wiaŋ1b	
形	jəŋ2	
影	jəŋ3	
律	lak8	
後	hau6	
徐	tʃʰɔi2	
得	tak7a	
心	ʃan1a	
忙	bɔŋ2	
快	fa5	
念	lin6	
急	kak7a	
怪	ka5	
恨	han6	
恩	jan1a	
恭	koŋ1a	
息	ʃək7a	
惜	ʃək7a	
惡	ɔk7b	
想	ʃœŋ3	
愁	ʃau2	
意	ji5	
愛	wɔi5	
感	kaŋ3	
慌	fɔŋ1a	
慢	biaŋ6	
慣	kwiaŋ5	
慶	həŋ1a	
慶	həŋ5	
憋	pit8	
懂	toŋ3	
懶	liaŋ1a	
懷	wa2	
戒	ka5	
或	wiak8	
截	tʃit8	
戰	tʃin5	
戲	həi5	
户	fu5	
房	fɔŋ2	
所	ʃo3	
扁	pin3	
扇	ʃin5	
手	ʃau3	
打	ta3	
托	tʰɔk7b	
扮	piaŋ6	
找	tʃiau3	
抄	tʃʰiau1b	
把	pa3	
抓	tʃa1a	
抓	tʃa1b	
抖	tau3	
折	tʃit7b	
抱	pʰou1a	
抽	tʃʰau1a	
拆	tʃʰiak7b	
拉	la1a	
拉	la1b	
拍	pʰiak7b	
拐	kwa3	
拖	tʰo1a	
拜	pa5	
指	tʃi3	
挖	wiak7b	
挺	tʰəŋ3	
捏	lit7a	
排	pʰa2	
掛	kʰwa1b	
接	tʃit7b	
插	tʃʰak7b	
換	woŋ6	
握	iak7b	
握	iak7a	
摇	jiu2	
搬	poŋ1a	
搭	tak7b	
搶	tʃʰœŋ3	
摘	tʃiak7b	
摸	bo1b	
摸	bo3	
撞	tʃɔŋ6	
撤	tʃʰit7b	
撥	pok8	
擁	joŋ3	
擇	tɔk8	
擇	tʃiak8	
擊	kək7a	
擦	tʃʰiak7b	
擺	pa3	
改	kɔi3	
放	fɔŋ5	
敗	pa6	
敢	kaŋ3	
敲	hiau1a	
整	tʃəŋ3	
數	ʃou3/ʃou5	
料	liu6	
斜	tʃʰe2	
新	ʃan1a	
斷	tʰyn1a	
斷	tyn6	
方	fɔŋ1a	
族	tʃok8	
日	jak8	
早	tʃou3	
旺	wɔŋ6	
明	bəŋ2	
星	ʃiəŋ1a	
星	ʃəŋ1a	
春	tʃʰan1a	
時	ʃi2	
晚	biaŋ1a	
暖	lyn1a	
暗	aŋ5	
曆	lək8	
曬	ʃa5	
曲	kʰok7a	
更	kiaŋ1b	
書	ʃy1a	
會	wɔi6	
月	jyt8	
有	jau1a	
朋	pʰiaŋ2	
服	fok8	
朝	tʃʰiu2	
木	bok8	
末	bok8	
本	poŋ3	
杉	tʃʰaŋ3	
李	ləi1a	
村	tʃʰyn1a	
杜	tou6	
杯	pɔi1a	
東	toŋ1a	
松	ʃoŋ1a/tʃʰoŋ2	
板	piaŋ3	
林	lan2	
果	ko3	
柄	piəŋ5	
染	jin1a	
柱	tʃʰy1a	
柴	tʃʰa2	
柿	ʃai2	
栗	lak8	
校	hiau6	
根	kan1a	
格	kiak7b	
桂	kwai5	
桃	tʰou2	
桌	tʃœk7b	
桶	tʰoŋ3	
梗	kʰiaŋ3	
梗	kiaŋ3	
梗	kan3	
條	tʰiu2	
梨	ləi2	
梯	tʰai1a	
棉	bin2	
棋	kʰəi2	
棒	pʰiaŋ1a	
棚	pʰiaŋ2	
業	jit8	
極	kək8	
榮	jəŋ2	
樁	tʃɔŋ1a	
樓	lau2	
樣	jœŋ6	
樹	ʃy6	
橋	kʰiu2	
橘	kak7a	
橫	wiaŋ2	
櫃	kwai6	
權	kʰyn2	
欠	hyn5	
歇	hit7b	
歌	ko1b	
歡	foŋ1b	
正	tʃiəŋ5	
正	tʃəŋ5	
步	pou6	
武	bou1a	
歪	wai3	
歲	ʃɔi5	
死	ʃəi3	
殺	ʃiak7b	
殼	hɔk7b	
母	bou1a	
毒	tok8	
比	pəi3	
毛	bou2	
毯	tʃin1b@	
民	ban2	
氣	həi5	
水	ʃɔi3	
永	wəŋ1a	
汁	tʃak7a	
汗	foŋ6	
江	kɔŋ1a	
池	tʃʰi2	
決	kʰyt7b	
沉	tʃʰan2	
沖	tʃʰoŋ1a	
沙	ʃa1a	
河	ho2	
油	jau2	
治	tʃi6	
法	fiak7b	
泥	lai2	
洗	ʃai3	
洞	toŋ6	
活	wok8	
派	pʰa5	
流	lau2	
浪	lɔŋ6	
浮	pʰou2	
浮	fau2	
浴	jok8	
海	fɔi3	
浸	tʃan5	
淡	tʰaŋ1a	
淡	taŋ6	
深	ʃan1a	
淺	tʃʰin3	
添	tʰin1a	
清	tʃʰəŋ1a	
減	kaŋ3	
渠	kʰɔi2	
測	tʃʰak7a	
渴	fok7b	
渴	hok7b	
湊	tʃʰau5	
湯	tʰɔŋ1a	
溪	kʰai1a	
溫	wan1a	
滅	bit8	
滑	wiak8	
滚	kwan3	
滿	boŋ1a	
漢	foŋ6	
漿	tʃœŋ1a	
潑	pʰok7b	
潭	tʰaŋ2	
濃	loŋ2	
火	fo3	
灰	fɔi1a	
灶	tʃou5	
炎	jin2	
炭	tʰiaŋ5	
炮	pʰiau5	
烏	wu1a	
烘	hoŋ5	
焦	tʃiu1a	
煙	jin1a	
煤	bɔi2	
照	tʃiu5	
熊	joŋ2	
熏	fan1a	
熟	ʃok8	
熬	ɡa2@	
熱	jit8	
燈	tan1a	
燈	tan1b	
燒	ʃiu1a	
營	jəŋ2	
燭	tʃok7a	
爛	liaŋ6	
爬	pʰa2	
爭	tʃiaŋ1a	
父	fu6	
爺	je2	
片	pʰin5	
牌	pʰa2	
牙	ɡa2	
牛	ɡau2	
物	bak8	
特	tak8	
牽	hin1a	
犁	lai2	
犯	fiaŋ6	
狂	kʰɔŋ2	
狗	kau3	
猛	biaŋ1a	
玉	jok8	
王	wɔŋ2	
班	piaŋ1b	
現	hin6	
球	kʰau2	
琴	kʰan2	
瓜	kwa1b	
瓦	ɡa1a	
瓶	pʰəŋ2	
甘	kaŋ1b	
甜	tʰin2	
