#漢字	音標	解釋
□	sa1	~木头，锯开
□	ˀɲiɛ1	~~头，儿语，食品
□	ˀle1	~堆，内心烦闷
□	to1	~lo2,冷言讽刺
□	ˀn̩1	~奶，祖母
□	ˀmæ̃1	~酒，小口饮
□	tʰæ̃1	~锣，小锣
□	tsʰiæ̃1	~冷水，摻
□	tsʰɒ̃1	~忒，多余或浪费
□	tʰɐŋ1	~头势，模样
□	zɔ2	~一把，扶
□	tsa3	~手，手有病
□	pʰæ̃3	~~千，小钹
□	ɡa4	~進去，擠入
□	ne4	~泰。深色衣服不易脏
□	a5	~模样，时间差不多
□	pɔ5	~芽
□	tsʰɔ5	~牌，洗牌
□	kuɐŋ5	~脓，溃疡
□	tsʰoŋ5	~手，扒手
□	oŋ5	~中，受骗上当
□	la6	~子，菜叶上的小虫
□	ŋɛ6	~傲，羡妒
□	ŋɔ6	~好戏，自找苦吃
□	tsaʔ7	~點水，略灑
□	ˀlɒʔ7	~买，怡然自得
□	ioʔ7	~肉，用酒或醬油等浸藏魚肉
□	βæʔ8	~垃圾，傾倒
□	zaʔ8	~出来，凸出
□	bəʔ8	~石头，搬
□	ˀmi1	乳汁，~~
□	tʰa3	从容，~三
□	ŋa4	仰面
□	tsʰɛ3	倾斜
□	iɐŋ1	偷看
□	ɡu2	儿语，睡觉
□	pʰæ̃5	凑数，戳出~齐头
□	iɪʔ7	凹陷
□	βoŋ6	创面溃疡而红肿
□	tsæ̃5	刺入皮肤内的小刺，触~
□	tsʰiʌʔ7	勒紧
□	ɦæ̃6	反诘语气
□	ɡɒʔ8	喫~頭
□	ˀlɔ3	在脸上摸一把
□	ɡoŋ2	孩语，雷鸣
□	kæ̃3	尿~
□	nøʔ8	尿布
□	æ̃1	应对语气，表同意
□	ˀŋaʔ7	弯折
□	siɐŋ3	很多，吃出~
□	ɦɒ̃2	忍受，~一记，~得落
□	iæʔ7	手，招手
□	kʰo1	把食物投入口中
□	ɡuɛ4	把衣服、毛巾搁在绳上
□	tsʰiaʔ7	掠过
□	tsʰɛ1	推之使倒
□	ˀɲiɒʔ7	推推搡搡
□	ɦæ̃2	搀扶
□	ziɔ6	搅动
□	da2	摇晃
□	kʰæ̃1	摩擦以止痒
□	sø3	撒少量的粉末
□	lɯ4	撩拨，~火棒
□	cioŋ5	斥孩子坐
□	ziɪʔ8	旋转
□	ɟiɯ6	晦气
□	tʰoʔ7	水沸
□	mo2	泡沫
□	koŋ5	渗透;瓜果碰撞后腐烂的状态
□	liɯ6	灵活
□	zɛ6	焦急
□	tsia1	用小火煎烤
□	pe1	用力拽
□	ɡa2	用盐腌，~落苏
□	ɡɐŋ2	用力，~仔~仔
□	tʰɛ3	用火燎，~茅柴
□	pɛ5	用力摔物
□	piʌʔ7	用旺火炙干
□	zu2	疲劳
□	ke5	痂，~头
□	kuɒ̃5	皮肤上的爪痕;暗中摸索
□	ɡɒ̃6	硌着小石子作痛，~痛;~臂膊，两臂撞击的游戏
□	hæ̃1	神气
□	bæ̃2	积攒
□	tʰoŋ3	移动位置
□	lø2	笼络，~拍
□	lɛ6	系住
□	pɐŋ3	给予
□	zæʔ8	绽出
□	poʔ7	翘起，屁股~出
□	kʰɐŋ1	翻检，~抽斗，翻抽屉
□	ɸaʔ7	翻书页声
□	kʰɐŋ1	老~，积垢
□	ˀnɐŋ5	脚尖踮起，身体上下颤动
□	pʰiɪʔ7	脚往外斜
□	kæ̃1	脾气犟
□	ɡɐŋ4	脾气执拗
□	he1	舀起
□	ɸæ̃5	花钱超过计划
□	ɸæ̃1	蛮横无礼
□	de4	衣服上重叠部分
□	o5	西瓜的一角，约1/12
□	te1	试水温
□	βɔ2	语气词，征询口吻
□	læʔ8	豁~，缝隙
□	ɦɒ̃6	赌东道
□	ɟioʔ8	赞美之词
□	ˀli1	路滑，滑~
□	ɡo4	身体衰老
□	tsɛ5	躺下小歇
□	ɡuæʔ8	轧住
□	biʌʔ8	重拳击
□	dɒ̃4	量词，一~毛巾
□	tsaʔ7	钩子，~钩
□	kʰuæ̃3	锵锵~~，玩具铙钹
□	doŋ2	镶套在一起
□	ŋɒ̃6	~板，架在椽子间的薄砖
㑚	na6	实~，你们
㒼	me2	~裆裤
㕐	sia5	
㕶	n̩4	~奴，我，第一人称单数
㗿	hø5	怒責
㜺	tsɛ3	
㥢	ziɯ2	凶悍
㧦	çyø1	重击
㨄	diɔ2	~米浆
㩝	ɦɔ6	估量
㩭	ziɔ6	瞎~，捣乱
㪬	zɒʔ8	戳
㫰	lɒ̃6	
㱟	pʰi1	
㲀	tsɐŋ1	塞紧
㶒	tʰɐŋ3	~發~發，蕩漾
㷈	əʔ7	~火為種
㹂	tsʰi1	
㼑	li6	瓜~
㼭	di6	
㽘	ɦɒ̃4	
㽹	ɸɛ5	胃部不舒服想吐
㾔	tsɿ1	
㾭	ɟiɯ2	蜷缩
㿭	tsʰaʔ7	
㿯	tæʔ7	宽~~，皮松
㿳	tsɿ1	黑~~
䀫	kæʔ7	眨眼
䀰	koʔ7	眼睛一~，張大
䂻	zæ̃2	塞-
䃙	loʔ8	~砖
䅴	səʔ7	稻~头
䈆	da4	竹器，似筛而孔稍大
䈬	bu2	竹網
䈳	dæʔ8	窗~
䉬	ɸi5	芦~
䐈	tsɿ1	黏
䐥	oŋ5	~臭
䖆	ɲiæ̃6	
䚭	çyø1	挥角~人
䛀	ɸɛ5	言語反復
䞁	i5	比，~长短
䞳	poʔ7	合~
䞳	boʔ8	合~
䞷	ɟyøʔ8	~出去，含怒而去
䟒	ɟyø2	走路身曲
䠡	zu2	
䠰	ɟyø2	背不直
䠷	diɔ2	长~子
䢚	ɡæ̃2	推挤
䥛	ciɪʔ7	~子
䩍	liɔ2	面白
䫘	ɟiɪʔ8	
䫜	ɔ1	
䫲	he1	浮肿
䬵	ɡe4	饱嗝
䱗	tsʰø1	~条鱼
䵑	ɲiɐŋ6	韧性
䶕	bo6	~牙齿
一	iɪʔ7	
丁	tiɐŋ1	
七	tsʰiɪʔ7	
七	tsʰia1	~八岁，七八岁
万	mɛ6-	
万	βɛ6=	
万	mʌʔ8	~俟[ɟi˧˩]
丈	zæ̃4	
三	sɛ1	
上	zɒ̃4-	
上	zæ̃6=	
下	ɦia4=	
下	ɦɔ4-	~放
下	çia5=	~面子，丢脸
不	pəʔ7=	
与	ɦy2	
丏	mi4	
丐	ke5	
丑	tsʰɯ3	
專	tse1	
且	tsʰi1	
丕	pʰe1	
世	sɿ5	
丘	cʰiɯ1	
丙	piɐŋ3	
業	ɲiɪʔ8	
叢	zoŋ2	
東	toŋ1	
絲	sɿ1	
丞	zɐŋ2	
丟	tiɯ1	
兩	liæ̃4	
嚴	ɲi2	
並	biɐŋ4	
喪	sɒ̃5	~失
喪	sɒ̃1	奔~
个	kɯ5	
丫	o1-	
丫	ia1=	
中	tsoŋ1	~央
中	tsoŋ5	~的
丰	ɸoŋ1	
串	tsʰe5	
臨	liɐŋ2	
丸	βe2	
丹	tɛ1	
爲	βe2	
爲	βi6	
爲	βe6	
爲	βi2	行~
主	tsy3	
麗	li6	
舉	cy3	
乃	ˀne3	
久	ciɯ3	
義	ɲi6	
之	tsɿ3	
烏	u1	
乍	zo6	
乎	βu2	
乏	βæʔ8	
樂	lɒʔ8	快~
樂	ɦiaʔ8	音~
乒	pʰiɐŋ1	
乓	pʰæ̃1	
喬	ɟiɔ2	
乖	kua1-	
乖	kuɛ1=	
乘	zɐŋ2	~法
乘	tsʰɐŋ5	~船
乘	zɐŋ6	车~
乙	iɪʔ7	
九	ciɯ3	
乞	cʰiʌʔ7	
也	ɦa4-	
也	ɦia4-	~妙[ˀmɔ˧˩]弄
也	iɛ3=	~是园，茶馆
習	ziɪʔ8	
鄕	çiæ̃1	
書	sy1	
乩	ci1	
買	ma4	
亂	lø6	
乳	zy4	
乾	ɟi2	
了	liɔ4	~结
予	ɦy2	
爭	tsæ̃1-	
爭	tsɐŋ1=	
事	zɿ6	
二	ɲi6-	
二	əl6=	
于	ɦy2	
虧	cʰy1-	
虧	kʰue1=	
雲	ɦioŋ2	
互	ŋu6	
五	ŋ̍4-	
五	u3=	
井	tsiɐŋ3	
亘	kɐŋ5	
亞	ia3	
些	si3	
亟	ciʌʔ7	
亡	mɒ̃2-	关~
亢	kʰɒ̃1	
交	kɔ1-	
交	ciɔ1=	
亥	ɦe4	
亦	ɦiʌʔ8	
產	tsʰɛ3	
亨	hɐŋ1=	
亨	hæ̃1-	~通
亨	hæ̃5-	大~
畝	m̩4-	
畝	mɯ4=	
享	çiæ̃5	
京	ciɐŋ1	
亭	diɐŋ2	
亮	liæ̃6	
親	tsʰiɐŋ1	
亳	bɒʔ8	
褻	siʌʔ7	
亶	dɛ2	
人	ɲiɐŋ2-	
人	zɐŋ2=	
億	iʌʔ7	
什	səʔ7	~么
什	zəʔ8	~物
仁	ɲiɐŋ2-	
仁	zɐŋ2=	
仄	tsʌʔ7	
僅	ɟiɐŋ4	
仆	bɒʔ8	~人
仆	pʰoʔ7	合~，俯卧
仇	zɯ2	~恨
仇	ɟiɯ2	姓
今	ciɐŋ1	
介	ka5-	
介	cia5=	
仍	ɲiɐŋ2-	
仍	zɐŋ2=	
从	tsʰoŋ1	~容
从	zoŋ2	跟~
仑	lɐŋ2	
倉	tsʰɒ̃1	
仔	tsɿ3	
仔	tsɛ3	
仕	zɿ6	
他	tʰa1	
仗	tsæ̃5	
付	ɸu5	
仙	si1	
仝	doŋ2	
仞	zɐŋ6	
仟	tsʰi1	
代	de6	
令	liɐŋ6	
以	i1	
儀	ɲi2	
們	mɐŋ2	
仰	ˀɲiæ̃3	
仲	zoŋ6	
仵	ŋ̍4	
件	ɟi4	
價	ka5-	
價	cia5=	
任	ɲiɐŋ6-	
任	zɐŋ2=	
任	zɐŋ6=	责~
份	βɐŋ6	
仿	ɸɒ̃3	
企	cʰi5	
伉	kʰɒ̃3	
伊	ɦi2	
伍	ŋ̍4-	
伍	βu4	队~
伎	ɟi6	
伏	βoʔ8	
伏	bu6	蹲下
伐	βæʔ8	
休	çiɯ1	
衆	tsoŋ5	
優	iɯ1	
伙	ɸu3	
會	βi6	
會	βe6	
會	kue3	~稽
會	kʰue3	~计
會	ue5	能够
傴	ɯ5	弯腰
傘	sɛ5	
偉	βi2	
偉	βe2	
傳	ze2	~说
傳	ze6	~记
傷	sɒ̃1	
倀	tsʰæ̃5	
倫	lɐŋ2	
傖	tsʰɒ̃1	
僞	ŋue6	
佇	zy4	
伯	paʔ7	
估	ku3	
伲	ɲi6	
伴	be6	
伶	liɐŋ6	
伸	sɐŋ1	
伺	tsʰɿ5	
伺	zɿ6	
似	zɿ6	
伽	ka1-	
佃	di2	
但	dɛ4	
位	βi6	
位	βe6	
低	ti1	
住	zy6	
佐	tsu5	
佑	ɦiɯ6	
體	tʰi3	
佔	tse5	
何	βu2	
佗	du2	
佘	zo2	
余	ɦy2	
佚	ɦiʌʔ8	
佛	βəʔ8	
佛	ɸəʔ7	仿~
作	tsɒʔ7	
佝	kɯ1	偻~,手指伸不直
佞	ɲiɐŋ6	
佟	doŋ2	
你	ˀni3	
佣	ɦioŋ6	
僉	tsʰi1	
佩	be6	
佬	lɔ4	
佮	kəʔ7	
佯	ɦiæ̃2	
佳	cia1	
倂	piɐŋ5	
佻	tʰiɔ1	
佼	ciɔ3	
使	sɿ3	~者
使	sɿ5	出~
侃	kʰø1	
