#漢字	音標	解釋
□	xou1	~走
□	maŋ1	~实
□	mo3	~坡儿
□	kʰa3	人很狂妄,这是一个~孩子。
□	kʰuɤ1	动词,敲、打义,用棍子~。
□	nuei1	动词,倒塌,那个墙~了
□	pʰau1	动词,吹嘘说大话,他是个~天猴。
□	niou1	动词,逮住,~住那只小鸡
□	tsaŋ1	动词,同砸,把锁~开
□	nəŋ1	动词,踮脚,~~脚就够到了。
□	ləŋ1	动词,踮脚,~~脚就够到了。
□	syɤ2	动词,用勺子搅拌,~一下锅
□	ɕyɤ3	动词,塞,~满布袋。
□	kʰai3	动词,欺负,他老是~其他小孩儿。
□	na3	化开,他把奶粉放嘴里~吃了
□	ly5	同“打”,~他一顿
□	kʰuɤ3	干脆~利
□	tɕʰyɤ3	折
□	tiɔ5	拟声词,水流的~~。
□	pa3	摔了碗
□	tʂaŋ5	放:~点儿盐
□	lya3	用铲子铲除干净,把那些东西~走
□	kʰo5	用刀劈开,~开这个西瓜。
㧅	tau1	~蹬
㽹	fa3	吵架,天天~,没完没了的。【揚子·方言】㽹,惡也。南楚凡人殘罵謂之鉗,又謂之㽹,癡騃也。
㾹	tʂʰai2	
䙡	kʰuei5	
䣹	fɔ2	一~子人
一	iəʔ7	
丁	tiŋ1	
七	tsʰiəʔ7	
万	va5	
三	sa1	
上	ʂaŋ3	
下	ɕiɔ5	
下	ɕiɤ5	
不	pəʔ7	
丐	kai5	
丑	tʂʰou3	
專	tʂua1	
且	tsʰiɤ3	
世	ʂʅ5	
丘	tsʰiou1	
業	iɐʔ7	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丢	tiou1	
兩	liaŋ3	
嚴	ia2	
喪	saŋ5	~失
喪	saŋ1	出~
个	ko5	
中	tʂuŋ1	
中	tʂuŋ5	
丰	fəŋ1	
串	tʂʰua5	
臨	liŋ2	
丸	va2	
丹	ta1	
爲	vei2	
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	nai3	
久	tɕiou3	
義	i5	
乎	xu1	
乏	fɔ2	
乒	pʰiŋ1	
喬	tɕʰiau2	
乖	kuai1	
乙	iəʔ7	
九	tɕiou3	
也	iɤ3	
習	siəʔ7	
鄉	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	lua5	
乳	ʐu3	
了	liau3	
爭	tʂəŋ1	
于	y2	
虧	kʰuei1	
云	yŋ2	
互	xu5	
五	u3	
井	tsiŋ3	
亞	iɔ5	
些	siɤ1	
亡	vaŋ2	
交	tɕiau1	
亦	iəʔ7	
產	tʂʰa3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tsʰiŋ1	
人	ʐəŋ2	
仁	ʐəŋ2	
僅	tɕiŋ3	
仇	tʂʰou2	
今	tɕiŋ1	
介	tɕiɤ5	
从	tsʰuŋ2	
倉	tsʰaŋ1	
他	tʰɐʔ7	
仗	tʂaŋ5	
付	fu5	
仙	sia1	
代	tai5	
令	liŋ5	
仨	sɔ1	
儀	i2	
仰	iaŋ2	
價	tɕiɔ5	
