#漢字	音標	解釋
□	pa1	~耳:扇耳光
□	ma1	~爪:六指
□	pe1	~虫:臭虫
□	te1	~惯:娇惯
□	pɐu1	~鸡毛:拔鸡毛
□	tʃʰim1	~尾=刀:屠刀
□	tʃam1	~~:直勾勾
□	kʰɐm1	~用:耐用
□	kʰiɐm1	~眉:刘海
□	iɐm1	~产:打胎
□	tʃʰyn1	~睡:打瞌睡
□	tʰɐn1	~头:光头
□	teŋ1	~功=:特地
□	loŋ1	~背
□	ta2	~□kɔ²⁴:芦苇
□	ŋo2	~酒:制酒
□	pui2	~时:倒霉
□	pɐu2	~粥蚊虫:苍蝇
□	kɐm2	~蜍:蟾蜍
□	pɐn2	~水:口水
□	mɐn2	~多:挺多
□	leŋ2	~米:碾米
□	pi3	~底:背后
□	pʰi3	~鼠:蝙蝠
□	fi3	~眼:眯眼
□	tʃi3	~样:怎样
□	θi3	~勿=:什么
□	ma3	~拐=:青蛙
□	la3	~子:哑巴
□	ŋa3	~~，时间副词，指经常
□	me3	~名:最后一名
□	liau3	~被:踢被
□	liu3	~脚:盘腿
□	liu3	~面:转脸
□	nun3	~~:慢吞吞
□	tan3	~汗毛:绞脸毛
□	lɐn3	~个:整个
□	ŋuen3	~龙:蚯蚓
□	niŋ3	~脚:踮脚
□	nuŋ3	~~:磨磨蹭蹭
□	ŋɛŋ3	~~□ŋiok⁵⁵□ŋiok⁵⁵:嬉皮笑脸
□	tʃe4	~~虫:知了
□	θo4	~~:直瞪瞪
□	tim4	~脚:跺脚
□	tʃam4	~~:直勾勾
□	θy5	~尿:把尿
□	me5	~眼:闭眼
□	mɐi5	~花生:剥花生
□	θau5	~牙:龅牙
□	mɐn5	~水:泉水
□	teŋ5	~被:缝被窝
□	me6	~水:潜水
□	fe6	~~:贱
□	nɐm6	~~:湿漉漉
□	kup7	~嘴:闭嘴
□	xup7	~药:敷药
□	tʰɐp7	~纽:按扣
□	fit7	~~风:微风
□	tʃʰyt7	~~□tʃʰøt⁵⁵□tʃʰøt⁵⁵:乱说一通
□	yt7	~屎:遗屎
□	nɐk7	~□ni⁵³底:腋下
□	nɐk7	~~:涩巴巴
