#漢字	音標	解釋
一	i7	
丁	tæ1	
七	tɕʰi7	
万	ŋɔŋ6	
丈	tsaŋ6	
三	sɔŋ1	
上	saŋ3	
上	saŋ6	
下	fua6	
不	pu2	
与	y3	
丑	tsəu3	
專	tsəɯ1	
世	sɿ5	
丘	tɕʰiəu1	
丙	pæ3	
叢	tsɔŋ2	
東	tua1	
絲	sɿ1	
丞	tsən6	
丢	tiəu1	
兩	liaŋ3	
嚴	iei2	
並	pin5	
喪	saŋ1	
喪	saŋ5	
个	kɤ5	
丫	ŋɔ1	
中	tsɔŋ1	
中	tsɔŋ5	
丰	fua1	
串	tsʰəɯ5	
臨	lin2	
丸	uɛn6	
丹	tan2	
爲	uei2	
爲	uei6	
主	tsu3	
麗	li5	
舉	tɕy3	
久	tɕiəu3	
義	i5	
之	tsɿ2	
烏	u1	
樂	lua6	
樂	iɔ6	
乒	pin2	
乓	paŋ2	
喬	tɕiɤ2	
乖	kua1	
乘	tsən2	
乙	i7	
九	tɕiəu3	
也	a3	
習	ɕi2	
鄉	ɕiaŋ1	
書	su1	
買	ma3	
亂	ləɯ6	
乳	y3	
乾	tɕʰiɛn6	
了	liɤ3	
爭	tsən1	
事	sɿ6	
二	i6	
于	y2	
虧	kʰuei1	
云	yn2	
互	fu5	
五	ŋ̍3	
井	tsæ3	
些	ti2	
亡	uaŋ2	
交	tɕiɤ1	
亦	i5	
產	tsʰɔŋ3	
亨	xən1	
畝	məu3	
享	ɕiaŋ3	
京	kæ1	
亭	tæ2	
亮	liaŋ6	
親	tɕʰin1	
親	tɕʰin5	
人	ŋ̍2	
億	i5	
什	sɿ5	
仁	in2	
僅	tɕin3	
仆	pʰu6	
仇	tsəu2	
仇	tsəɯ2	
今	tɕin1	
介	ka5	
仍	in2	
从	tsɔŋ2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰua1	
仗	tsaŋ5	
仗	tsaŋ6	
付	fu5	
付	tsən5	
仙	sei1	
代	tie6	
令	læ6	
以	i3	
儀	i2	
們	mən2	
仰	iaŋ3	
仲	tsɔŋ5	
件	kei6	
價	kuɔ5	
任	in5	
份	fən6	
仿	faŋ3	
伍	ŋ̍3	
伏	fu2	
伐	fa6	
休	ɕiəu1	
衆	tsɔŋ5	
優	iəu1	
伙	xɤ3	
會	kʰua5	
會	fei6	
傘	sɔŋ3	
偉	uei7	
傳	tsuɛn5	
傳	tsʰuɛn6	
傷	saŋ1	
倫	lən2	
僞	uei6	
伯	pa7	
估	ku1	
伴	pəɯ6	
伸	sən1	
伺	sɿ5	
但	tan5	
位	uei6	
低	ti1	
住	tsu6	
佐	tsəɯ5	
體	tʰi3	
佔	tsei5	
何	xɤ2	
余	y2	
佛	fu2	
作	tsuɔ5	
作	tsua6	
你	li3	
佩	pʰei5	
佳	tɕia2	
使	sɿ3	
侄	tɕi2	
例	li6	
供	kɔŋ5	
依	i1	
偵	tsən1	
側	tsɔŋ2	
僑	tɕiɤ2	
侮	u7	
便	pei2	
便	pei6	
係	ɕi5	
促	tsu6	
俄	ɤ6	
俊	tsuən5	
俏	tɕʰiɤ1	
俘	fu1	
保	pau3	
信	ɕin5	
倆	liaŋ3	
儉	kei3	
修	ɕiəu1	
俯	fu3	
俱	tɕy5	
俸	fɔŋ5	
倍	pei6	
倒	tau3	
倒	tau5	
倔	tɕye6	
倘	tʰaŋ3	
候	xa6	
倚	i5	
借	tɕia5	
倡	tsʰaŋ5	
倣	faŋ3	
倪	li2	
債	tsai5	
值	tsæ2	
傾	tɕʰyn3	
假	kuɔ3	
偏	pʰei1	
偏	pʰei5	
做	tsəɯ5	
停	tæ2	
健	tɕiɛn5	
偶	ŋa3	
偶	ŋəu3	
偷	tʰa1	
償	saŋ3	
傀	kuei3	
傅	fu6	
傢	kuɔ1	
催	tsʰei1	
傲	ŋau5	
傻	fua3	
像	tɕiaŋ5	
僕	pʰu6	
僚	liau6	
僧	tsən1	
僵	tɕiaŋ1	
僻	pi2	
儒	y2	
儘	tɕin5	
儡	lei3	
儽	lei6	
兒	ei3	
允	yn3	
元	iəɯ2	
兄	ɕiɔŋ1	
充	tsʰɔŋ1	
兆	tsau6	
兇	ɕiɔŋ1	
先	sei1	
光	kuaŋ1	
克	kʰa7	
免	min3	
兑	tei5	
兔	tʰu5	
黨	taŋ3	
兜	ta1	
入	yu2	
全	tɕʰye2	
八	pua7	
公	kɔ1	
六	liəu7	
蘭	lɔŋ2	
共	kɔŋ6	
關	kua1	
興	ɕin1	
興	ɕin5	
兵	pæ1	
其	tɕʰi1	
具	tɕy5	
典	tei3	
養	iaŋ3	
獸	səu6	
内	lei6	
岡	kaŋ1	
册	sɿ3	
册	tsʰa7	
再	tsæ5	
冒	mau6	
寫	ɕia3	
軍	tɕyn1	
農	lɔŋ2	
冠	kɤ1	
冤	iəɯ1	
冬	tua1	
馮	fɔŋ2	
冰	pin1	
冲	tsʰɔŋ1	
決	tɕye6	
况	kuaŋ5	
冷	luɔ3	
凍	tua5	
淨	tsæ6	
準	tɕyn3	
涼	liaŋ2	
凌	lin2	
減	kɔŋ3	
湊	tsʰa5	
凝	li2	
几	tɕi3	
凡	fan6	
鳳	fua6	
凭	pæ2	
凰	uaŋ2	
凳	tæ5	
凶	ɕiɔŋ1	
凸	tu2	
出	tsʰu7	
擊	tɕi2	
鑿	tsau2	
刀	tau1	
刁	tiɤ1	
刃	in5	
分	fən1	
分	fən6	
切	tsʰei7	
刊	kʰan3	
刑	ɕin2	
划	fa2	
列	lei2	
劉	liəu2	
剛	kaŋ1	
創	tsʰuaŋ3	
創	tsʰuaŋ5	
初	tsʰu1	
删	sɔŋ1	
判	pʰəɯ5	
刨	pʰau2	
利	li6	
别	pie6	
刮	kua7	
到	tau5	
制	tsɿ5	
刷	sua7	
券	tɕyɛn5	
刺	tsʰɿ5	
刻	kʰa7	
劊	kʰua5	
刴	təɯ5	
剃	tʰi5	
削	suɔ2	
削	ɕiɤ7	
前	tsei2	
劍	tsei5	
剔	tʰi5	
剖	pʰəɯ5	
剝	pau7	
劇	tɕy5	
剩	sæ6	
剪	tsei3	
副	fu5	
割	kɤ7	
剿	tɕiɤ3	
劃	fa2	
劈	pʰi1	
力	læ7	
勸	kʰei5	
辦	pɔŋ6	
功	kɔ1	
加	kuɔ1	
務	u6	
劣	lie6	
動	tua3	
助	tsu5	
努	lu3	
勵	li6	
勁	tɕin5	
勞	lau2	
勢	sɿ5	
勇	iɔŋ3	
勉	min3	
勳	suən1	
勤	tɕin2	
勥	tɕʰiaŋ3	
勺	sau1	
勾	ka1	
勾	ka6	
勿	u2	
匀	tɕyn1	
包	pau1	
匆	tsʰɔ1	
匈	ɕiɔŋ1	
化	fa5	
北	pæ7	
匙	sɿ5	
匠	tɕiaŋ6	
匡	kuaŋ1	
匪	fei3	
匯	fei6	
匹	pi2	
區	tɕʰy1	
醫	i1	
十	sɿ5	
千	tsʰei1	
升	saŋ1	
午	u3	
半	pəɯ5	
華	fa2	
協	ɕi7	
卑	pei1	
卒	tsu1	
單	tɔŋ1	
賣	ma6	
南	lɔŋ2	
博	pua6	
卜	pʰu6	
卡	kʰa3	
卤	lu3	
卦	kua5	
臥	ɤ5	
衛	uei6	
卯	mau3	
印	in5	
危	uei2	
即	tɕi7	
卷	kɤ3	
卸	ɕie5	
卿	tɕʰin2	
廠	tsʰaŋ3	
廳	tʰin2	
历	li7	
厲	li6	
壓	uɔ7	
厭	xei6	
廁	sɿ2	
厘	li2	
厚	xa3	
原	iəɯ2	
廂	ɕiaŋ1	
廚	tsu2	
厮	sɿ2	
去	tɕʰy5	
縣	xei6	
参	tsʰɔŋ1	
参	sən2	
又	iəu6	
叉	tɕʰiɔ1	
及	tɕi2	
友	iəu3	
雙	suaŋ1	
反	fɔŋ3	
发	fua7	
叔	sɔ7	
取	tɕʰy3	
受	səu6	
變	pei5	
叛	pʰan5	
口	kʰa3	
古	ku3	
句	tɕy5	
另	lin6	
叩	kəu5	
只	tsɿ3	
叫	tɕiɤ5	
召	tsau5	
召	tsau6	
可	kʰɤ3	
台	tie2	
史	sɿ7	
右	iəu6	
葉	i7	
號	xau6	
司	sɿ1	
嘰	tɕi1	
吃	tɕʰie7	
各	kau7	
合	xɤ2	
合	xɤ6	
吉	tɕi6	
吊	tiɤ5	
同	tua2	
名	mæ2	
