#漢字	音標	解釋
一	i7	
丁	taŋ1	
七	tsʰai7	
万	uo5	
丈	tʰy5	
三	so5	
上	sy5	~山
上	ɕy5	~面
下	hau5	
不	pu7	
与	y3	
丐	kʰua5	
丑	tɕʰiou3	
專	tsy1	
且	tsʰei3	
丕	pʰei3	
世	sai5	
丘	kʰiou1	
丙	paŋ3	
業	ȵie7	
叢	tsʰoi3	
東	toi1	
絲	si1	
兩	ly5	
嚴	ȵie2	
喪	soŋ1	
个	ka3	
丫	au1	
中	tsoi3	
中	tsoi5	~华
丰	foi1	
串	tsʰy1	
臨	lin3	
爲	uei2	
主	tsy3	
麗	lai5	
舉	kau3	
乃	na3	
久	kiou3	
麽	iau3	~二三
義	ŋai5	
之	tsi1	
烏	au1	
乎	fu2	
乏	fa2	
喬	kʰiau2	
乖	kua1	
乘	saŋ3	
乙	ye7	
九	kiou3	
也	ie1	
習	sai7	
鄉	ɕy1	
書	sy1	
買	ma5	
亂	lu3	
乳	ȵi5	
乾	ki3	
了	liau5	~结
爭	tsei1	
事	si5	
二	ŋai3	
于	y3	
虧	kʰuei1	
云	iaŋ3	
互	fu5	
五	ŋau3	
井	tsei3	
亞	au1	
些	sei3	
亡	moŋ3	
交	ko1	
亥	fa5	
亦	ia7	
產	tɕʰi3	
亨	hen5	
畝	mei3	
享	sy3	
京	kaŋ1	
亭	tei5	
亮	lye5	
親	tɕʰin1	
人	ȵin3	
什	si5	
仁	in3	
僅	kin3	
仆	poi7	
仇	ɕiou3	
今	kin1	
介	kai3	
仍	ȵi3	
从	tsʰoi3	
倉	tsʰoŋ1	
仕	si5	
他	tʰa5	文
仗	tʰy5	
付	fu5	
代	tua3	
以	i5	
儀	ŋai3	
仰	ȵy3	
仲	tsʰoi5	
件	ki5	
價	kau3	
任	in3	
份	fuan3	
仿	foŋ3	
企	kʰai5	
伊	i3	
伍	ŋau3	
伏	foi7	
休	ɕiou1	
衆	tsoi3	
優	iou5	
會	fuei5	
傘	so3	
偉	uei3	
傳	tsʰye2	
伢	ŋau1	
傷	sy1	
倫	laŋ3	
僞	uei5	
伯	pei7	
估	ku2	
伴	pʰo3	
伶	laŋ5	
伸	saŋ1	
伺	si3	
似	tsi5	
佃	ti5	
位	uei5	
低	tai1	
住	tau3	
佐	tsau3	
體	tʰai3	
何	hau3	
佘	sei3	
余	y2	
佛	fu7	
作	tsuo2	工~,~坊
你	ȵi3	
佩	pʰuei5	
佳	kai1	
使	si3	
侄	tsʰi7	
侈	tsʰi3	
侉	kʰuau1	
例	lai5	
供	kaŋ3	
依	ai5	
僥	kiau3	
偵	tsen3	
側	tsei7	
僑	kʰiau2	
儂	noi3	
侮	fu5	
侯	hei5	
侵	tɕʰin5	
便	pi3	~宜
便	pi3	方~
促	tsʰoi7	
俄	ŋau3	
俊	tsaŋ5	
俗	soi7	
俘	fu5	
保	po3	
俟	si5	
信	sin5	
儉	kʰei5	
修	ɕiou1	
俯	fu3	
俱	kau3	
俸	foi3	
俾	pʰai3	
倍	pua5	
倔	u3	
倘	tʰoŋ3	
候	hei2	
倚	ai3	
倡	tsʰy5	
倦	kie3	
倪	ŋai5	
倭	uau5	
債	tsai5	
傾	kʰen3	
假	kau5	放~
假	kau3	真~
偏	pʰi1	
做	tsau5	
停	taŋ3	
健	ki3	
偶	ŋai3	
偷	tʰai1	
償	sy3	
傀	kʰuei3	
傅	fu5	
傍	poŋ3	
儲	tsʰy2	
催	tsʰuei1	
傲	ŋo5	
傻	so5	
像	ɕy3	
僧	tsei1	
僵	ky1	
僻	pʰai7	
儒	y5	
儡	luei3	
允	aŋ3	
元	ye3	
兄	hei1	
充	tsʰoi1	
兆	tɕʰiau3	
先	ɕi1	
光	kuoŋ1	
克	kʰei7	
免	mi3	
兑	tuei3	
兔	tʰau5	
黨	toŋ3	
兜	tai1	
入	ŋai1	
全	tɕʰy2	
八	pa7	
公	koi1	
六	la1	
兮	kʰai5	
共	kʰaŋ3	
關	ko1	
興	haŋ5	~旺
興	haŋ3	高~
兵	paŋ1	
其	kʰai3	
具	kau3	
典	ti3	
兹	tsʰi3	
兼	ki1	
獸	tɕʰiou3	
冀	kai5	
内	nuei5	
岡	koŋ1	
册	tsʰei7	
再	tsua3	
寫	sei3	
軍	kaŋ1	
農	noi3	
冠	ko3	~军
冠	ko1	衣~
冢	tsʰoi3	
冤	y1	
冬	toi1	
冰	paŋ1	
冲	tsʰoi1	
決	kie7	
冷	lei3	
凍	toi7	
淨	tsʰei5	
準	tsaŋ3	
涼	ly3	
凌	lin3	
減	ki3	
凝	ŋai3	
几	kai1	
几	ki3	
鳳	foi3	
凭	paŋ3	
凱	kʰua3	
凳	tei5	
凶	haŋ1	
出	tsʰau5	
擊	kai7	
函	ho3	
鑿	tsʰoŋ1	
刁	tiau1	
刃	ȵin5	
分	fuan1	
切	tɕʰie7	
刈	ŋa5	
刊	lie7	
刑	haŋ3	
划	pau2	
划	uo7	
劉	liou3	
則	tsei7	
剛	koŋ1	
創	tsʰoŋ3	
初	tsʰau5	
删	sei1	
判	pʰo5	
刨	pʰo1	
刨	po3	
利	lai5	
别	pie7	
刮	kua2	
制	tsai5	
刷	tsʰua7	
券	kʰy3	
刺	tsʰi5	
刻	kʰei7	
劊	kʰua3	
刴	tau5	
劑	tsai3	
剃	tʰai5	
削	ɕie7	
前	tɕʰi3	
剮	kuau3	
劍	ki5	
剔	tʰei7	
剖	pʰau5	
剝	po7	
劇	kʰia7	
剩	saŋ3	
剪	tɕi1	
副	fu5	
割	ka2	
剿	tɕiau3	
劈	pʰia7	
勸	kʰy3	
辦	po3	
功	koi1	
加	kau1	
務	mau3	
劣	lie2	
動	toi3	
助	tsʰau3	
努	nau5	
劫	kie7	
勵	lai5	
勁	kin3	
勢	sai5	
勇	joi3	
勉	mi3	
勒	lei5	
勘	kʰo5	
募	mau3	
勤	kʰaŋ3	
勺	sau7	
勺	sua7	~子
勾	kai5	
勾	kai5	~当
勿	uei7	
匀	iaŋ3	
包	po1	
化	fau5	
北	pei7	
匙	si5	
匠	tɕʰy3	
匡	kʰoŋ1	
匣	ha1	
匪	fuei3	
匹	pʰai7	
區	kʰau1	
醫	ai5	
匾	pi3	
匿	ie7	
十	si1	
千	tɕʰi1	
升	saŋ1	
午	ŋau5	
半	po5	
華	fau2	
協	ɕie5	
卑	pai5	
卒	tsau2	
賣	ma3	
南	nou3	
博	po2	
卜	poi7	
占	tɕi1	~卜
占	tɕi5	~领
卦	kau3	
衛	uei5	
卯	mo5	
印	en3	
危	uei3	
即	tsie7	
卻	kʰie7	
卵	loi1	
卷	kie3	
卷	hoŋ3	小~
卸	sei5	
卿	kʰen1	
廠	tsʰy3	
历	lei5	
厲	lai3	
壓	a7	
厭	i5	
廁	tsʰi5	
厘	lai3	
厚	hei5	
原	ye3	
廂	ɕy1	
厦	hau5	~门
厦	hau3	偏~
廚	tau5	
厮	si3	
去	hau5	
縣	y3	
参	tsʰo1	~差
参	tsʰou1	~加
参	sei1	人~
叉	tsʰau5	
及	kʰai7	
友	iou5	
雙	soŋ1	
反	fo3	
叔	soi7	
取	tsʰau3	
變	pi3	
敍	tsʰau5	
叛	pʰo5	
叟	sai5	
疊	tie5	
口	kʰai3	
古	ku2	
句	kai3	
句	ku3	
叩	kʰai5	
只	tsi5	
只	tsei7	
召	tɕiau5	
台	tʰua2	
史	si3	
葉	ie1	
號	ho5	
司	si1	
各	ko2	
吆	iau3	
合	ha1	
合	ha7	十分之一升
吉	kai7	
吊	tiau5	
同	toi3	
名	mei5	
后	hei5	
吐	tʰau3	
吐	tʰau5	呕~
向	ɕy3	
嚇	hei7	恐~
呂	lau5	
君	kaŋ1	
吝	min3	
吟	kʰin3	
吠	pua5	
否	fau3	
含	ho3	
聽	tʰei3	
啓	kʰai3	
吳	ŋau2	
吵	tsʰo3	
吸	kʰai7	
吹	tsʰuei1	
吼	kʰoi3	
吾	ŋau2	
吾	m̩5	
呆	tai3	
呈	tsʰaŋ3	
告	ko5	
員	ye3	
周	tɕiou1	
味	uei5	
命	mei5	
和	hau3	
咎	kʰiou3	
詠	iaŋ3	
咒	tɕiou3	
咬	ŋo3	
咳	kʰei5	
咸	ho3	
哀	ŋai5	
品	pʰin3	
哄	hoi3	
哈	hau1	
響	sy3	
啞	au3	
哪	mo5	
哭	hoi7	
哲	tɕie7	
哽	kie1	
唆	sau5	
脣	saŋ3	
唐	toŋ3	
嘮	lau1	
喚	fo3	
售	ɕiou3	
唯	uei2	
唱	tsʰy5	
啄	toi7	
商	sy1	
嗇	sei7	
啼	tai3	
善	ɕi5	
喉	hei3	
喊	ko3	
喘	tsʰy1	
喜	hai3	
喝	ho2	~采
喝	ho5	~水
喧	ɕy1	
噴	pʰen3	
喻	y5	
嗅	ɕiou3	
嗜	si5	
嗣	si5	
嗤	tsʰi3	
嘉	kau1	
嘘	hau1	
囑	tsoi7	
嘴	tsau3	
噎	ie7	
器	kʰai3	
囂	ɕiau5	
嚷	ȵie3	
四	sai5	
回	fa2	
因	en1	
团	tu3	
囤	taŋ5	
園	u3	
困	kʰuan5	
囱	tʰoi1	
圍	uei2	
固	ku3	
圖	tau2	
圓	ye3	
圈	kʰy1	圆~
圈	kʰy1	猪~
土	tʰau3	
聖	saŋ3	
在	tsʰua2	
圭	kʰuei2	
地	tai5	
場	tɕʰy3	
址	tsi3	
均	kaŋ1	
坎	kʰo3	
壞	fa5	
坐	tsʰau5	
坑	hei1	
塊	kʰua3	
堅	ki1	
壩	pau3	
塢	au1	
墳	fuan3	
墜	suei3	
坡	pau1	
坤	kʰuan1	
坪	pei3	
坯	pua3	
坳	ho2	
垂	suei3	
壠	loi3	
型	haŋ3	
垜	tei5	
墾	kʰen3	
墊	tʰi5	
埂	kie1	
埃	ŋai5	
埋	ma2	
城	sei3	
域	ye7	
埠	pʰu1	
培	pua3	
基	kai5	
堂	toŋ3	
堆	tuei1	
堡	po3	
堤	tai2	
堪	kʰo3	
堵	tau3	
塌	tʰa7	
塑	so5	
塔	tʰa7	
塘	toŋ3	
塞	sei5	
填	ti3	
墓	mau3	
牆	tɕʰy5	
增	tsei1	
墟	hau1	
墨	mei1	
墩	taŋ3	
壁	pei7	
壕	ho3	
壤	ȵie3	
士	si5	
壬	in3	
壯	tsoŋ3	
聲	sei1	
殼	kʰo7	
壺	fu2	
處	tsʰy5	
備	pai5	
复	foi5	
复	foi7	
夏	hau5	
夕	tsa7	
外	ua5	
多	tau1	
夜	iau3	
够	kai3	
夥	fu3	
大	ta5	
天	tʰi1	
太	tʰa3	
夫	fu1	
央	y1	
失	si7	
頭	tai2	
夷	i3	
夸	kʰua1	
夾	kʰie7	
奇	kʰai2	
奈	na3	
奉	foi3	
奮	fuan3	
奎	kʰuei2	
契	kʰai5	
奔	paŋ1	
獎	tɕy3	
奚	kʰai5	
奠	ti3	
奢	tsʰei1	
女	nau3	
奴	nau2	
奶	mai5	
奸	ki1	
好	ho3	~坏
好	ho5	喜~
如	y3	
妃	fuei1	
妄	moŋ3	
婦	fu1	
媽	ma3	
妒	tau5	
妓	kʰai1	
妖	iau5	
妗	kʰin1	
妙	miau3	
妥	tʰau3	
妨	foŋ1	
妹	mua5	
妻	tsʰai1	
妾	tɕʰie7	
姊	tsai3	
始	tsʰi3	
姐	tsai3	
姑	ku1	
姓	sei5	
委	uei3	
姘	pʰin3	
姚	iau2	
姜	ky1	
姨	i3	
姻	en1	
威	uei1	
嬌	kiau1	
娘	ȵi3	
娠	sen1	
娩	mi3	
娶	tsʰau3	
婆	pau3	
婚	kʰuan1	
嬰	i1	
嬸	sen5	
婿	sai3	
媒	mua2	
媚	mai2	
媳	sai7	
嫁	kau3	
嫂	so5	
嫌	ɕi1	
嫖	pʰiau1	
嫡	tei7	
嫩	naŋ3	
嬉	hi3	
孀	soŋ1	
子	tsi3	
孔	kʰoi3	
孕	in3	
存	tsʰaŋ3	
孫	saŋ1	
孝	ho5	
孟	moi3	
孤	ku1	
學	ho7	
孩	ha3	
孵	pu5	
孽	ȵie7	
寧	len3	
宅	tsʰei7	
宇	y5	
守	ɕiou3	
宋	soi3	
完	uo3	
宏	hoi3	
宗	tsoi1	
官	ko1	
宙	tɕʰiou3	
定	taŋ3	
宛	uo3	
宜	ŋai3	
寶	po3	
實	si7	
寵	tsʰoi3	
審	sen3	
客	kʰie7	
宣	ɕy1	
宦	fo3	
宪	ɕi3	
宮	koi1	
宰	tsua3	
害	ha5	
宴	i5	
宵	ɕiau5	
家	kau1	
容	joi3	
寬	kʰo1	
賓	paŋ1	
宿	soi7	~命
宿	soi5	星~
寄	kai3	
寅	in3	
密	mai1	
寇	kʰai5	
富	fu5	
寐	mai2	
寒	ho3	
寓	ŋai3	
寢	tɕʰin3	
寞	mo2	
寡	kuau3	
寥	liau5	
寨	tsʰua5	
寸	tsʰaŋ3	
對	tuei3	
寺	si5	
尋	tei2	
壽	ɕiou5	
封	foi1	
射	sai5	
射	sei5	
將	tɕy1	~来
將	tɕy3	大~
尊	tsaŋ1	
小	ɕiau3	
少	ɕiau5	~年
少	ɕiau3	多~
尖	tɕi1	
塵	sen3	
尚	ɕy5	
嘗	sy3	
尤	iou3	
堯	ȵiau2	
尬	kai3	
就	tɕʰiou5	
屍	si5	
尹	aŋ3	
尺	tsʰei7	
尼	nai2	
尽	tɕʰin3	
尾	muei3	
尿	ȵiau3	
局	kʰa7	
屁	pʰai5	
層	tsʰei3	
居	kau1	
屈	u3	
屆	kai3	
屋	oi7	
屎	si3	
屐	kʰia7	
屑	ɕie7	
展	tsen3	
屬	soi7	
屠	tau2	
屢	lai3	
履	lai3	
屯	taŋ3	
歲	soi5	
豈	hai3	
岐	kʰai5	
岑	tɕin3	
岔	tsʰau5	
崗	koŋ1	
巖	ŋo3	
嶺	lei3	
岳	ŋo7	
岸	ŋo3	
峽	ha7	
峰	foi1	
崇	tsʰoi3	
崔	tsʰuei1	
崖	ŋau2	
崩	paŋ1	
嵩	soi5	
川	tsʰy1	
州	tɕiou1	
巡	saŋ2	
巢	tsʰo2	
工	koi1	
左	tsau3	
巨	kau3	
鞏	koi1	
巫	mo3	
差	tsʰa1	~别
差	tsʰai1	出~
差	tsʰa5	参~
己	kai3	
巳	tsʰi3	
巴	pau5	
巾	ken1	
幣	pai5	
市	si5	
布	pau3	
布	po3	
帥	sa3	
希	hai1	
帳	tsy5	
帕	pau5	
帖	tʰie7	
帘	li5	
帚	tɕiou5	
帝	tai5	
帶	ta5	
帶	ta7	带子
席	sa7	
幫	poŋ1	
常	sy3	
帽	mo5	
幅	foi7	
幔	mo3	
幕	mo2	
干	ko5	
平	pei3	
年	ȵi3	
并	pin5	
幸	haŋ1	
幻	fo3	
幼	iou5	
幽	iou5	
廣	kuoŋ3	
莊	tsoŋ1	
慶	kʰaŋ3	
庇	pai3	
牀	tsʰoŋ3	
序	tsʰau5	
廬	lau2	
庫	kʰu3	
應	aŋ3	
底	tai3	
店	ti5	
廟	miau5	
庚	kie3	
府	fu3	
龐	poŋ5	
廢	fuei5	
度	tau5	
座	tsʰau5	
庭	taŋ3	
庶	sy5	
康	kʰoŋ1	
廉	li5	
廊	loŋ3	
廓	kʰo7	
廖	liau3	
延	i3	
廷	taŋ3	
建	ki3	
開	kʰua1	
异	ai3	
弃	hai5	
弄	loi3	
弊	pai5	
式	sa7	
弓	kaŋ1	
引	in3	
弟	tai5	
弟	tʰai5	
張	ty1	
弦	ɕi2	
彎	uo1	
弱	ȵie5	
强	kʰy3	
弼	pei5	
歸	kuei1	
當	toŋ1	~时
當	toŋ5	~作
录	loi7	
形	haŋ3	
彩	tsʰua3	
彪	piau1	
彬	paŋ1	
彭	paŋ3	
影	in3	
彷	foŋ3	
役	ye5	
徹	tɕʰie7	
彼	pʰai3	
往	uoŋ3	
征	tsaŋ1	
徑	ken3	
待	tua5	
待	si5	
很	hen3	
律	lie7	
徐	tsʰau2	
徒	tau2	
得	tei7	
徙	sai3	
御	y2	
循	saŋ2	
德	tei7	
徽	fuei5	
心	sen1	
必	pai7	
忌	kai5	
