#漢字	音標	解釋
□	ɡoŋ2	~~响:撞击声
□	fɔ3	“弗好”的合音
□	ɡã4	“吃”的贬称
□	ɡã6	妨碍
□	nã2	抬头,挺胸
□	te3	拉,扯
□	liəʔ8	拧干
□	toʔ7	拼接;修补
□	dzã6	挤过去
□	pʰaʔ7	掰
□	ɡoʔ8	搁浅;卡住
□	huã3	斗殴
□	pʰe3	用手翻找、挖取
□	uɔ̃3	表面不错但内里坏了
□	ɡəŋ4	门虚掩
□	ɦuã6	顺便看望
㒼	mø2	包裹:~裆裤
㔶	kəŋ3	盖
㠮	pʰoŋ1	膨胀
㧾	huaʔ7	甩
㸆	kʰɔ1	
㽘	ɡɔ̃4	
㽘	ɡɔ̃9	田垄
㾹	za6	瘦
㿺	boʔ8	蚊叮后的包
䂻	sã1	往缝隙里塞
䐥	oŋ1	
䐬	zɔ6	肚里油水少
䖳	zɔ̃2	海蜇
䞁	ie1	比长短高矮
䥛	tɕie9	一种小镰刀
䶕	bo6	~牙
一	iəʔ7	
丁	tiəŋ1	
七	tɕʰiəʔ7	
万	vɛ6	
丈	dʑiã4	
三	sɛ1	
上	zɔ̃4	动词
上	zɔ̃6	方位名词
下	o3	
下	ho3	把挂着的东西取下来
与	ɦy6	
丑	tɕʰiəu3	
專	tsø1	
且	tɕʰia3	
丕	pʰi1	
世	ɕi1	
丘	tɕʰiəu1	
丙	piəŋ3	
業	ȵiəʔ8	
叢	zoŋ2	
東	toŋ1	
絲	sɿ1	
丞	ʑiəŋ2	
兩	liã3	斤~
嚴	ȵie2	
喪	sɔ̃1	
个	kaʔ7	助词,的;量词
个	kie9	助词,的;量词
丫	o1	
中	tsoŋ1	
丰	foŋ1	
串	tsʰø1	
臨	liəŋ2	
丸	ɦue2	
丹	tɛ1	
爲	ɦue6	
主	tsʮ3	
麗	li6	
舉	ky3	
乃	na3	
久	tɕiəu3	
義	ȵi6	
之	tsɿ1	
烏	u1	
乏	vaʔ8	
樂	ŋoʔ8	~清
樂	loʔ8	快~
乒	pʰiəŋ1	
乓	pʰã1	
乓	pʰã9	
喬	dʑiɔ2	
乘	tsʰəŋ1	
乙	iəʔ7	
九	tɕiəu3	
也	ia3	
習	ʑiəʔ8	
鄉	ɕiã1	
書	sʮ1	
買	ma3	
亂	lø6	
乳	zʮ4	
乾	dʑie2	
了	liɔ3	
爭	tsã1	
事	zɿ6	
二	n̩6	
于	ɦy2	
虧	kʰue1	
云	ɦioŋ2	
互	ɦu6	
五	ŋ̍3	
亞	o1	
亞	ia3	
些	ɕiəʔ7	
亡	vɔ̃2	
交	kɔ1	
亥	e3	
亦	ɦiəʔ8	
產	tsʰɛ3	
亨	hã1	
畝	m̩3	
享	ɕiã3	
京	tɕiəŋ1	
亭	diəŋ2	
亮	liã6	
親	tsʰəŋ1	
人	zəŋ2	
人	ȵiəŋ2	
億	i1	
仁	zəŋ2	
仄	tsaʔ7	
仆	pʰoʔ7	
仇	dʑiəu2	
今	tɕiəŋ1	
介	ka1	
仍	ȵiəŋ2	
从	zoŋ2	
仑	ləŋ2	
倉	tsʰɔ̃1	
他	tʰa1	
仗	tɕiã1	
付	fu1	
仙	ɕie1	
代	de6	
令	liəŋ6	
以	i3	
儀	ȵi2	
仰	ȵiã3	
件	dʑie4	
價	ko1	
任	zəŋ6	~务
任	ȵiəŋ6	姓
份	vəŋ6	
仿	fɔ̃3	
企	tɕʰi3	
伍	u3	
伏	voʔ8	
伏	bu6	孵
伐	vaʔ8	
休	ɕiəu1	
衆	tsoŋ1	
優	iəu1	
伙	hu3	
會	ɦue6	
會	kue1	~计
傘	sɛ3	
傘	sɛ9	
偉	ɦue6	
傳	dzø2	动词
傳	dzø6	自~
傷	ɕiã1	
倫	ləŋ2	
伯	paʔ7	
估	kʰu1	
伴	bø2	
伶	liəŋ2	
伸	səŋ1	
似	zɿ4	
但	dɛ6	
位	ɦue6	
位	ɦy6	旧读
低	ti1	
住	dzʮ6	
佐	tsəu3	
佑	ɦiəu6	
體	tʰi3	
何	ɦu2	
余	ɦy2	
作	tsoʔ7	
佝	hio1	
你	n̩3	
佣	ɦioŋ6	
佩	be6	
佳	ko1	
使	sɿ3	
侄	dʑiəʔ8	
供	kioŋ1	
依	i1	
侶	ly3	
偵	tsəŋ1	
側	tsʰaʔ7	
側	tɕiəʔ7	
僑	dʑiɔ2	
侯	ɦio2	
侵	tɕʰiəŋ1	
便	bie4	~宜
便	bie6	方~
促	tsʰoʔ7	
俄	ŋəu2	
俊	tsoŋ1	
俗	zoʔ8	
保	pɔ3	
俞	ɦy2	
信	səŋ1	
儉	dʑie2	
修	ɕiəu1	
倍	be4	
倒	tɔ1	~水
倒	tɔ3	~下
倘	tʰɔ̃3	
候	ɦio6	
借	tɕia1	
倡	tɕʰiã1	
倡	tsʰɔ̃1	
倦	kyø1	
倦	ɡyø6	
倩	tɕʰie1	
倪	ȵi2	
債	tsa1	
值	dʑiəʔ8	
傾	tsʰoŋ1	
假	ko1	暑~
假	ko3	真~
偏	pʰie1	
做	tsəu1	
停	diəŋ2	
健	dʑie6	
偶	ȵio3	
偷	tʰio1	
償	zɔ̃2	
傀	kʰue3	
傅	fu1	姓
儲	dzʮ2	
催	tsʰe1	
傲	ŋɔ6	
傻	sa1	
像	ʑiã4	
僧	səŋ1	
僵	tɕiã1	
儆	dʑiəŋ6	保养
儇	huɛ1	乖巧
儡	le3	
兒	n̩2	
允	ioŋ3	
元	ȵyø2	
兄	hioŋ1	
充	tsʰoŋ1	
兆	dʑiɔ4	
先	ɕie1	
光	kuɔ̃1	
克	kʰaʔ7	
免	mie3	
兑	de6	
兔	tʰəu1	
黨	tɔ̃3	
兜	tio9	
入	ʑiəʔ8	
全	zø2	
八	paʔ7	
公	koŋ1	
六	loʔ8	
兮	ɦi2	
蘭	lɛ2	
共	ɡioŋ6	
關	kuɛ1	
興	ɕiəŋ1	
兵	piəŋ1	
其	dʑi2	
具	ɡy6	
典	tie3	
兹	zɿ2	
養	iã3	
兼	tɕie1	
獸	ɕiəu1	
冀	tɕi1	
内	ne6	
岡	kɔ̃1	
册	tsʰaʔ7	
再	tse1	
冒	mɔ6	
寫	ɕia3	
軍	kioŋ1	
農	noŋ2	
冠	kue1	
冤	yø1	
冥	miəŋ3	
冬	toŋ1	
馮	voŋ2	
冰	piəŋ1	
冲	tsʰoŋ1	打盹儿
決	kyoʔ7	
况	hiɔ̃1	
况	huɔ̃1	
冶	ia3	
冷	lã3	
凍	toŋ1	
準	tsoŋ3	
涼	liã2	
凌	liəŋ2	
減	kiɛ3	
湊	tɕʰio1	
凝	ȵiəŋ2	
几	tɕi3	~斤
几	tɕi1	茶~
凡	vɛ2	
鳳	voŋ6	
凭	biəŋ2	
凱	kʰie3	
凰	ɦuɔ̃2	
凳	təŋ1	
凶	ɕioŋ1	
凸	tʰaʔ7	
凹	ɔ1	
出	tsʰoʔ7	
擊	tɕiəʔ7	
函	ɦɛ2	
鑿	zoʔ8	
刀	tɔ1	
刁	tiɔ1	
刃	ȵiəŋ6	
分	fəŋ1	
切	tɕʰiəʔ7	
刊	kʰiɛ1	
刎	vəŋ4	
