#漢字	音標	解釋
□	tsɔ6	(房子)下陷
□	li3	ləp44ləp44~:萤火虫
□	tse1	me21~:乳房
□	tsø3	mø21~:急性
□	kɪŋ6	mən33屎共~:蜣螂
□	nəŋ5	na55~:连带
□	keŋ6	nɪŋ53~:怎么(做)
□	pʰɪŋ1	pʰuŋ33~:是非
□	na2	pui24~:家婆
□	pəi2	pɔŋ21~:蜻蜓
□	pet8b	pɔ21~炉:风箱
□	kʰa1	~拉头:苤蓝
□	ha1	~人:欺负人
□	pəi1	~脚佬:瘸子
□	ui1	~儿:水坑
□	məu1	~心:糠心
□	nəm1	~眼:眨眼
□	ŋəm1	~腰:弯腰
□	jən1	~水:凉水
□	pui2	~na24:家婆
□	pɔŋ2	~pəi21:蜻蜓
□	wɔ3	~奶:小孩吐奶
□	kəi3	~处:这里
□	əu3	~血:淤血
□	təm3	~手印:按手印|~一拳:打一拳
□	mən3	~屎共kɪŋ21:蜣螂
□	fen3	~膊:换肩
□	tsʰəŋ3	~箕:粪箕
□	ȵɔŋ3	~堆:草堆儿
□	pʰuŋ3	~pʰɪŋ55:是非
□	kiu4	~羹:羹匙
□	sən4	~崽:二百五
□	si5	~的棍:文明棍
□	la5	~喉:烟、酒等对喉咙刺激的感觉
□	pe5	~手儿:岔指儿
□	kʰeu5	~脚:足抬高
□	ɬəŋ5	~极:玩耍
□	nɪŋ5	~keŋ21:怎么(做)
□	ka6	~肋:咯吱窝
□	me6	~tse55:乳房
□	mø6	~tsø33:急性
□	nø6	~崽:小黄蚁
□	pɔ6	~pet21炉:风箱
□	təm6	~脚:跺脚
□	təp7a	~起身:码起来
□	ləp7a	~~li33:萤火虫
□	kʰəp7a	~斗:倒闭
□	həp7a	~人:欺负人
□	lət7a	~头毛:掉头发
□	kət8a	~路:滚蛋
□	kak8a	~瘾:吊胃口
□	ŋak8a	~头:点头
□	wak8a	~手:招手
□	kʰuak7a	~地:锄地
□	lək7a	~耳屎:掏耳朵
□	ŋək7a	~睡:打盹儿
□	wək7a	~耳屎:掏耳朵
□	kɪk8a	~气:憋气
□	lap7b	~做堆:收拢成堆
□	tsap7b	~落去:掖进去
□	sap7b	~气:费神
□	təp8b	~蒜:捣蒜
□	ɬat8b	~ɬui33:撒尿
□	tet8b	~起身:躲藏起来
□	mɔt7b	~牙佬:豁牙子
□	lɔt7b	~膊:脱臼
□	pɔk8b	~子:柚子
□	pʰø1	一~竹:一丛竹子
□	pʰaŋ3	一~:一庹
□	nam5	一~:一拃
□	pɔŋ6	一~酒:一坛酒
□	ȵɔp7a	一~毛:一撮毛
□	ni1	个~:这些
□	lɔ3	买
□	kəm4	仆~睡:趴着睡
□	ləŋ2	侧~睡:侧身睡
□	tən5	倒~:倒过来头朝下
□	ɬø4	像
□	mut7b	切(细)
□	mət7a	剥(皮)
□	ləŋ3	半~kʰəŋ33:一半;半途中
□	my5	厌烦:住~|吃~
□	ha1	发~:喉咙干涩
□	ȵən3	发~:发抖
□	net7b	叮咬
□	tsəm2	吟~:呻吟
□	lɔp7a	哄(小孩)
□	len1	喉咙想吐的感觉
□	kun2	圆
□	lɔm5	坍塌
□	ɬai1	夭折
□	tuk7a	头~:后脑勺
□	səŋ5	尿骚味
□	tsəm2	层
□	luk7a	山坳
□	kuən4	崴:~着脚
□	nau2	很~:热闹
□	tsan3	悭~:吝啬
□	lɪŋ6	打~:闪电
□	fət7a	打~狗:翻跟斗
□	ŋət7a	打~睡:打瞌睡
□	fəŋ5	扔;甩
□	kun2	扛
□	lap7b	扫视
□	kʰuet7b	抓划:~伤
□	pʰen1	拨开
□	men1	拨开
□	kʰuək7a	挖(地);锄头
□	kəm6	挨鬼~:被鬼按压住
□	ȵəp7a	捡(起来)
□	kʰin1	掀揭,掀开
□	lən5	掉落
□	lɔm1	掏摸:~衫袋
□	tət7a	掐:~喉咙
□	uŋ3	推
□	wət8a	搅拌
□	kua2	搲(伤)
□	pɔp7a	摔砸
□	ŋak7b	摩擦;蹭
□	tən3	撞~出:脱肛
□	jək8a	撩逗,引逗
□	la3	收集,聚拢
□	ɔp7a	敷(药)
□	wuəŋ6	日头带~:日晕
□	keŋ3	木~:树的根须
□	ȵuŋ1	松~:松针
□	lyt8b	水~:水渠
□	ek7b	汤圆~:汤圆
□	lən3	沾上,染上
□	lən4	溢出
□	len5	滚压,碾
□	kʰan5	烟劲大
□	luk7a	烫
□	nat7b	烫
□	hɔk8a	热(天)
□	pan2	爬
□	ŋeŋ2	牙~:牙垢
□	lui1	牛~:牛笼嘴
□	nem5	牛~:牛虻
□	kʰuɪŋ5	牛羊用角左右击打或挑
□	tse1	狗~:男阴
□	ŋe3	独~车:独轮车
□	mun1	猪~泥:猪拱泥
□	tsʰɔn1	玩耍,游逛
□	ŋɔm4	用牙龈咬
□	kət7a	用针扎
□	fɪk7a	甩动
□	tsʰɔt8b	男阴
□	tø1	疙瘩
□	hən2	痒
□	nem1	白~佬:扒手
□	kʰəm3	盖:~被|~住
□	təŋ6	相称,平衡
□	kəŋ4	硌
□	hɔm3	碰撞
□	tsat8b	磨:~牙齿
□	kʰuək7a	突出
□	ləu1	米~鱼:泥鳅
□	mək7a	米~:量米筒
□	pʰuŋ1	粉而面
□	muŋ1	粉而面
□	ȵap7b	粗糙,不光滑
□	na1	粘贴
□	neu1	粘
□	min1	细
□	nən1	绳子搓得紧
□	jai3	绳索搓绞得太松
□	ŋəi1	缠磨,哀求
□	sau1	缩~:打退堂鼓
□	me2	老~:老太婆
□	puŋ6	聚集在……上
□	sak7b	肋~骨:肋骨
□	jəi2	能力差;质量次
□	lɪk7a	能干
