#漢字	音標	解釋
一	ɐt7a	
七	tʃɐt7a	
万	man6	
三	ɬam1	
上	ʃɐŋ4	
下	ha6	
世	ʃɐi5	
業	nip8	
東	toŋ1	
絲	ɬi1	
丢	tiu1	
兩	lɛŋ4	
嚴	nim2	
个	kɔ5	
中	tʃoŋ1	
丰	foŋ1	
主	tʃy3	
舉	ky3	
義	ȵi6	
烏	u1	
九	kɐu3	
習	tʃɐp8	
書	ʃy1	
買	mai4	
亂	lun6	
爭	tʃaŋ1	
事	ʃɐi6	
二	ȵi6	
虧	kʰuɐi1	
云	uɐn2	
五	ŋ̍4	
井	tʃeŋ3	
交	kau1	
產	tʃʰan3	
亮	lɛŋ6	
親	tʃʰɐn1	
人	ȵiɐn2	
倉	tʃʰaŋ1	
付	fɔu5	
件	kin4	
任	ȵiɐm6	
休	iɐu1	
優	iɐu1	
會	hui6	
傘	ɬan5	
傳	tʃʰyn2	
傳	tʃyn6	
傷	ʃɛŋ1	
位	uɐi6	
低	tɐi1	
住	tʃɔi6	
余	hy2	
佛	fɐt8	
作	tʃak7b	
使	ʃɐi3	
侄	tʃɐt8	
側	tʃʰɐk7a	
便	pin6	
俊	tʃɐn2	
修	ɬɐu1	
借	tʃi5	
假	ka3	
做	tʃɔu5	
停	tʰeŋ2	
健	kin6	
偷	tʰɐu1	
像	tʃɛŋ4	
僧	ɬɐŋ1	
兒	ȵi2	
兄	heŋ1	
充	tʃʰoŋ1	
先	ɬin1	
光	kɔŋ1	
黨	taŋ3	
入	ȵiɐp8	
全	tʃʰyn2	
八	pat7b	
公	koŋ1	
六	lok8	
蘭	lan2	
共	koŋ6	
關	kuan1	
興	heŋ5	
兵	peŋ1	
典	tim3	
寫	ɬi3	
軍	kuɐn1	
冤	yn1	
冬	toŋ1	
冰	peŋ1	
冲	tʃʰoŋ1	
決	kʰyt7b	
冷	laŋ3	
凍	toŋ5	
準	tʃɐn3	
減	kam3	
湊	tʃʰɐu5	
几	ki3	
鳳	foŋ6	
凳	tɐŋ5	
凶	ioŋ1	
出	tʃʰɐt7a	
擊	kek7a	
刀	tɔu1	
分	fɐn1	
切	tʃʰit7b	
划	uak8	
列	lit8	
初	tʃʰu1	
判	pʰun5	
别	pit8	
刮	kuat7b	
制	tʃɐi5	
刷	tʃʰat7b	
刺	tʃʰɛk7a	
刻	kɐk7a	
剃	tʰɐi5	
削	ɬɛk7b	
前	tʃʰin2	
劍	kim5	
剝	pɔk7b	
劇	kek8	
剩	ʃeŋ6	
剪	tʃin3	
副	fɐu5	
割	kɔt7b	
