#漢字	音標	解釋
□	tsʰaŋ5	(毛髮等)豎立
□	pʰiak8	2用手打耳光
□	san1	ban22~:菜市場
□	keŋ5	bɔk8~:湯鍋
□	kak8	hak4~:丟掉
□	leŋ1	ka1~:八哥
□	liŋ2	kek4~囝:印度人
□	ian3	kai1~:廣告
□	ti1	lo22~:roti，麵包
□	piaŋ5	piŋ22piŋ44~~:撞擊聲
□	naĩ1	sai22~:撒嬌
□	tɔŋ1	ting22~:形容一個人瘋瘋癲癲的樣子
□	to2	thit8~:玩耍
□	tʰe1	~椅:躺椅
□	la1	~~:一種貝類
□	lu1	~塗骹:拖地板;~予別人:推給別人
□	kai1	~ian3:廣告
□	sau1	~聲:聲音沙啞
□	kiã1	~日:今天，今囝的合音
□	piŋ1	~~piaŋ22piaŋ44:撞擊聲
□	la2	~蜈:蜘蛛
□	tʰu2	~時間:拖延時間
□	pom2	~~:「洗澡」的兒語說法
□	oĩ2	~~:睡覺的兒語說法
□	ma3	~有:mana，怎麼
□	hu3	~著:沾到
□	au3	~ta3:印度語借詞，水準低，品質不好
□	kaup3	~一:九十一
□	to5	~蜀個:哪一個
□	ĩ5	~ɔ̃22，說話不清楚
□	tɛ̃5	~恬:裝傻不說話
□	haĩ5	~韆鞦:盪鞦韆
□	kau6	~蚓:蚯蚓
□	kau6	~椅:椅子
□	kʰau6	~羹:湯匙
□	tim6	~湯:燉湯
□	tsʰɔm6	~~著:形容匆匆忙忙的樣子
□	ban6	~san44:菜市場
□	tsʰaŋ6	~茅:香茅
□	hã6	~過:跨過
□	huã6	~車，開車
□	tik7	~tiak4鉛筆:自動鉛筆
□	piap7	~一:八十一
□	tsʰiap7	~一:七十一
□	tʰit7	~to5:玩耍
□	tsit7	~peŋ13:這邊
□	hit7	~peŋ13:那邊，也讀hat1
□	hat7	~peŋ13:那邊，也讀hit1
□	kek7	~liŋ22囝:印度人
□	tuʔ7	~ku44:打瞌睡
□	tsʰŋʔ7	~鼻:擤鼻涕
□	sŋʔ7	~鼻:擤鼻涕
□	hŋʔ7	~鼻:擤鼻涕
□	sap8	~著風:受風寒
□	kap8	~siau13~phĩ22:指說三道四、道人長短，貶義詞
□	siap8	~一:四十一
□	tsut8	~手:吮手指
□	bɔk8	~keŋ5:湯鍋
□	kʰɔk8	~著:敲到
□	ɛʔ8	~~:髒，兒語
□	kaʔ8	~tsuaʔ4:蟑螂
□	ɛ̃ʔ8	~~叫:用來比喻小孩撒嬌所發出的聲音
□	nãʔ8	~著衫:(污垢)沾到衣服
□	nãk8	~衫:搓洗衣服
□	ŋɔʔ8	~~:愣愣的樣子
□	ɔ̃5	ĩ44~，說話不清楚
□	uẽʔ7	ĩ44~:使椅子用兩腳支撐並前後搖晃
□	ɡɔp6	□一:五十一
□	tsɛ6	一下，蜀下的合音
□	tsʰek8	上下搖晃
□	mian3	不用，勿免的合音
□	hmʔ8	不屑或不滿的語氣詞
□	hŋʔ8	不屑或不滿的語氣詞
□	mã6	也，我~愛
□	miaŋ1	何~:什麼人，物儂的合音
□	uaĩʔ7	使椅子以後兩腳往後傾時的聲音，狀聲詞
□	iaũʔ7	使椅子以後兩腳往後傾時的聲音，狀聲詞
□	iẽʔ7	使椅子以前兩腳往前傾時的聲音，狀聲詞
□	iauʔ7	倒頭~:倒頭栽
□	maŋ6	切勿，毋通的合音
□	tsɔp8	印度語借詞，祈使暫停
□	hɔŋ6	原調可能為陰平、陽平或陽去，~教堂:地名
□	nã6?	原調可能為上或陽去，~喉:喉嚨
□	ko2	又黏又稠
□	tsʰeʔ8	反胃的感覺
□	nãʔ7	句首發語詞，用於遞東西給別人時
□	hut7	同㧾，擊打
□	tsŋ2	吮
□	kaŋ6?	和人一起，合儂的合音
□	kʰɛ̃ʔ7	咳嗽的聲音，狀聲詞
