#漢字	音標	解釋
一	i2	
丁	tin1	
七	tɕʰi2	
万	uan6	
丈	tsaŋ6	
三	san1	
上	saŋ3	
上	saŋ6	
下	ɕia6	
下	xa6	一~子
不	pu2	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tɕyɛn1	
且	tɕʰiɛ3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵiɛ2	
叢	tsʰoŋ6	
東	toŋ1	
絲	sɿ1	
丞	tsʰən2	
兩	liaŋ3	
嚴	ȵiɛn2	
並	pin6	
喪	saŋ1	
喪	saŋ5	
个	ko5	
丫	ia1	
中	tsoŋ1	
中	tsoŋ5	
丰	foŋ1	
串	tɕʰyɛn5	
丸	uan2	
丹	tan1	
爲	uei2	
爲	uei6	
主	tɕy3	
麗	li6	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
麽	iau1	
麽	mo3	
義	ȵi6	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
乏	fa2	
樂	lo2	
樂	io2	
乒	pʰin1	
乓	pʰaŋ1	
喬	tɕʰiau2	
乖	kuai1	
乘	tsʰən2	
乙	i2	
九	tɕiəu3	
乞	tɕʰi2	
也	iɛ3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	lan6	
乳	y3	
了	liau3	
爭	tsən1	
二	ə6	
于	y2	
虧	kʰuei1	
互	xu6	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕiɛ1	
亡	uaŋ2	
交	tɕiau1	
亥	xai6	
亦	i2	
產	tsʰan3	
亨	xən1	
畝	məu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ6	
親	tɕʰin1	
親	tɕʰin5	
人	lən2	
什	sɿ2	
什	sən5	
仁	lən2	
仄	tsɤ2	
僅	tɕin3	
仆	pʰu2	
仇	tsʰəu2	
今	tɕin1	
介	kai5	
仍	lən2	
从	tsʰoŋ6	
仑	lən2	
倉	tsʰaŋ1	
仔	tsɿ3	
他	tʰa1	
仗	tsaŋ6	
付	fu5	
仙	ɕiɛn1	
代	tai6	
令	lin6	
以	i3	
儀	i2	
們	mən2	
仰	ȵiaŋ3	
仲	tsoŋ5	
件	tɕiɛn5	
價	tɕia5	
任	lən6	
份	fən6	
仿	faŋ3	
企	tɕʰi5	
伊	i1	
伏	fu2	
伏	pʰu6	
伐	fa2	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	kʰuai5	
會	xuei6	
傘	san3	
偉	uei3	
傳	tɕʰyɛn2	
傳	tɕyɛn6	
伢	ŋa2	
傷	saŋ1	
倫	lən2	
伯	pɤ2	
估	ku3	
伴	pan6	
伶	lin2	
伸	sən1	
伺	tsʰɿ6	
似	sɿ6	
佃	tiɛn6	
但	tan5	
位	uei6	
低	ti1	
住	tɕy6	
佑	iəu6	
體	tʰi3	
余	y2	
余	sɤ2	
佛	fu2	
作	tso2	
佝	kəu1	
佣	ioŋ6	
佧	kʰa3	
佩	pʰei5	
佬	lau3	
佯	tɕʰiaŋ2	
佳	tɕia1	
使	sɿ3	
侃	kʰan3	
侄	tsɿ2	
侈	tsʰɿ3	
例	li6	
侗	toŋ6	
供	koŋ1	
供	koŋ6	
依	i1	
俠	ɕia2	
偵	tsən1	
側	tsʰɤ2	
僑	tɕʰiau2	
儈	kʰuai5	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pʰiɛn2	
便	piɛn6	
促	tsʰəu2	
俄	ŋo2	
俊	tɕin5	
俊	tɕyn5	
俏	tɕʰiau5	
俗	səu2	
俘	fu1	
保	pau3	
儉	tɕiɛn3	
修	ɕiəu1	
俯	fu3	
俱	tɕy6	
倍	pi6	
倍	pei6	
倒	tau3	
倒	tau5	
倔	tɕyɛ2	
倘	tʰaŋ3	
候	xəu6	
借	tɕiɛ5	
倡	tsʰaŋ5	
倦	tɕyɛn6	
倪	li2	
債	tsai5	
傾	tɕʰin3	
假	tɕia3	
偎	uei1	
偏	pʰiɛn1	
做	tsəu5	
停	tʰin2	
健	tɕiɛn5	
偶	ŋəu3	
偷	tʰəu1	
償	saŋ3	
傅	fu5	
傍	paŋ6	
傣	tai3	
儲	tɕʰy2	
催	tsʰei1	
傲	ŋau6	
傻	sa3	
像	tɕʰiaŋ5	
像	tɕiaŋ6	
像	ɕiaŋ6	
僚	liau2	
僵	tɕiaŋ1	
僻	pʰi2	
儒	y2	
兒	ə2	
元	yɛn2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau6	
先	ɕiɛn1	
光	kuaŋ1	
克	kʰɤ2	
免	miɛn3	
兑	ti5	
兑	tei5	
兔	tʰəu5	
黨	taŋ3	
兜	təu1	
兢	tɕin5	
入	y2	
全	tɕʰiɛn2	
八	pa2	
公	koŋ1	
六	ləu2	
蘭	lan2	
共	koŋ6	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tɕy6	
典	tiɛn3	
養	iaŋ3	
兼	tɕiɛn1	
獸	səu5	
内	li6	
内	lei6	
岡	kaŋ1	
冉	lan3	
册	tsʰɤ2	
再	tsai5	
冒	mau6	
冕	miɛn3	
寫	ɕiɛ3	
軍	tɕyn1	
農	loŋ2	
冠	kuan1	
冠	kuan5	
冤	yɛn1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冲	tsʰoŋ1	
冲	tsʰoŋ5	
決	tɕyɛ2	
况	kʰuaŋ5	
冶	iɛ3	
冷	lən3	
凍	toŋ5	
冽	liɛ2	
淨	tɕin6	
凄	tɕʰi1	
準	tɕyn3	
涼	liaŋ2	
凋	tiau1	
凌	lin2	
凌	lin6	
減	tɕiɛn3	
湊	tsʰəu5	
凝	lin2	
几	tɕi1	
几	tɕi3	
凡	fan2	
鳳	foŋ6	
鳧	fu2	
凭	pʰin2	
凱	kai3	
凰	xuaŋ2	
凳	tən1	
凳	tən5	
凶	ɕioŋ1	
凸	tʰəu2	
凹	ua5	
出	tɕʰy2	
擊	tɕi2	
函	xan2	
鑿	tso2	
刀	tau1	
刁	tiau1	
刃	lən3	
分	fən1	
分	fən6	
切	tɕʰiɛ2	
刈	i5	
刊	kʰan1	
刎	uən3	
刑	ɕin2	
划	xua2	
划	xua6	
列	liɛ2	
則	tsɤ2	
剛	kaŋ1	
創	tsʰaŋ5	
初	tsʰəu1	
删	san1	
判	pʰan5	
刨	pʰau2	
刨	pau6	
利	li6	
别	piɛ2	
刮	kua2	
到	tau5	
