#漢字	音標	解釋
□	xᴀ1	~人:挠别人痒痒
□	xɛ1	~:动词，用粗棍使劲抽打
□	tʂuɛ1	~子:手有残疾的人
□	xuɛ1	~:翻找
□	tsʰei1	~咚~:石头剪子布
□	pʰɑŋ1	~:浮在水面上
□	lɑŋ1	~:耷拉
□	lə̃1	~~:将就
□	sɿ2	~:形容人很拽
□	tʂʰuɛ2	~:①臃肿②做事拖沓
□	ɕiy2	~:吸
□	pʰei3	~:动词，用小力掰
□	kʰɑŋ3	~:咸肉变质
□	kʰõ3	~:动词，盖
□	pᴀ5	~~意:故意
□	tʂʰuɛ5	~屁:坚强
□	sɔ5	~:速度快
□	kə̃5	冷~:①冷颤②淤青
□	xʊ1	动词，奉承
□	pʰiᶽ3	动词，用大力掰
□	kᴀ2	喝~:小孩语，茶水
□	kʰə̃5	垢
丁	tĩ1	
七	tɕʰieʔ7	
万	uã5	
丈	tsɑŋ5	
三	sã1	
下	xᴀ5-	
下	ɕiᴀ5=	
与	yᶽ3	
丐	kɛ5	
丑	tɕʰiy3	
專	tsõ1-	
專	tʂuã1=	
丕	pʰei1	
世	sɿ5	
丘	tɕʰiy1	
丙	pĩ3	
業	ieʔ7	
叢	tsʰə̃2	
東	tə̃1	
絲	sɿ1	
丞	tsʰə̃2	
丢	tiy1	
兩	liɑŋ3	
嚴	ŋã2-	
嚴	iẽ2=	
喪	sɑŋ1	
喪	sɑŋ5	
个	kʊ5	
丫	ŋᴀ1	
中	tʂuə̃1	
中	tʂuə̃5	
丰	fə̃1	
串	tsʰõ5-	
串	tʂʰuã5=	
臨	lĩ2	
丸	õ2-	
丸	uã2=	
丹	tã1	
爲	uei2	
爲	uei5	
主	tɕyᶽ3	
麗	liᶽ5	
舉	tɕyᶽ3	
乃	lɛ3	
久	tɕiy3	
之	tsɿ1	
烏	u̜1	
乍	tsᴀ5	
乏	fᴀʔ7	
樂	yeʔ7	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰə̃2	
乙	ieʔ7	
九	tɕiy3	
乞	tɕʰieʔ7	
習	ɕieʔ7	
鄉	ɕiɑŋ1	
書	ɕyᶽ1	
買	mɛ3	
亂	lõ5-	
亂	luã5=	
乳	yᶽ3	
乾	tɕʰiẽ2	
了	liɔ3	
爭	tsə̃1	
事	sɿ5	
二	ŋɚ5	
于	yᶽ2	
虧	kʰuei1	
云	ʐuə̃2-	中派
云	yə̃2-	老派
互	xu̜5	
五	u̜3	
井	tɕĩ3	
亞	iᴀ5	
些	ɕiᶽ3	
亡	uɑŋ2	
交	tɕiɔ1	
亥	xɛ5	
亦	ieʔ7	
畝	mu̜3	
享	ɕiɑŋ3	
京	tɕĩ1	
亮	liɑŋ5	
親	tɕʰĩ1	
親	tɕʰĩ5	
僅	tɕĩ3	
今	kə̃1-	
今	tɕĩ1	
介	tɕiɛ5	
从	tsʰə̃2	
仑	lə̃2	
倉	tsʰɑŋ1	
仔	tsɿ3	
仕	sɿ5	
他	tʰᴀ1	
仗	tsɑŋ5	
付	fu̜5	
仙	ɕiẽ1	
代	tɛ5	
令	lĩ5	
以	iᶽ3	
儀	iᶽ2	
仰	liɑŋ3	
仲	tʂuə̃5	
件	tɕiẽ5	
價	tɕiᴀ5	
份	fə̃5	
仿	fɑŋ3	
企	tɕʰiᶽ3	
伊	iᶽ1	
伍	u̜3	
伐	fᴀʔ7	
休	ɕiy1	
衆	tʂuə̃5	
優	iy1	
伙	xʊ3	
會	kʰuɛ5	
會	xuei5	
傘	sã3	
偉	uei3	
傳	tsõ5-	
傳	tsʰõ2-	
傳	tʂuã5=	
傳	tʂʰuã2=	
伢	ŋᴀ2	小~:小孩
傷	sɑŋ1	
倫	lə̃2	
僞	uei3	
估	ku̜3	
伴	põ5-	
伴	pã5=	
伶	lĩ2	
伸	sə̃1	
似	sɿ5	
佃	tiẽ5	
但	tã5	
低	tɕiᶽ1	
佐	tsʊ3	
佑	iy5	
體	tɕʰiᶽ3	
何	xʊ2	
余	yᶽ2	
你	liᶽ3	
佣	ʐuə̃5-	中派
佣	yə̃5-	老派
佩	pʰei5	
佬	lɔ3	
佯	iɑŋ2	
佳	tɕiᴀ1	
使	sɿ3	
侃	kʰã3	
侉	kʰuᴀ3	
例	liᶽ5	
供	kuə̃5	
依	iᶽ1	
僥	tɕiɔ3	
偵	tsə̃1	
僑	tɕʰiɔ2	
侯	xiy2	
侵	tɕʰĩ1	
便	pʰiẽ2	
便	piẽ5	
促	tsʰəʔ7	
俄	ʊ2	
俊	tɕyə̃5	
俏	tɕʰiɔ5	
俗	ʂuəʔ7	
保	pɔ3	
信	ɕĩ5	
儉	tɕiẽ3	
修	ɕiy1	
