#漢字	音標	解釋
一	io1	
七	tʰuo1	
三	san1	
上	ɕiaŋ4	
下	ia6	
世	ɕi5	
中	tsoŋ1	
中	loŋ1	
主	tɕy3	
九	tʃiɑo3	
亂	loẽ6	
事	ʃi6	
二	ȵi6	
五	ŋ̍4	
井	tẽ3	
交	kiæ1	
亮	liaŋ6	
人	in2	
人	ȵioẽ2	
付	xu5	
件	kẽ4	
任	ȵioẽ6	
休	sɑo1	
位	uẽ6	
低	loẽ1	
住	ɕy6	
余	y2	
佛	puo6	
作	tøæ5	
使	ʃoẽ3	
侄	tɕio6	
來	lø2	
便	piẽ6	
俊	tɑŋ5	
修	sɑo1	
倉	tʰøɑŋ1	
借	tiɛ5	
假	ka3	
做	tu5	
停	tẽ2	
健	kẽ6	
側	tʃiɑo1	
偸	tʰɑo1	
傑	kiɛ1	
傘	san5	
傳	ʃyẽ2	
傷	ɕiaŋ1	
像	siaŋ4	
僧	ɕiaŋ1	
兄	fẽ1	
充	tʃʰioŋ1	
兇	ʃioŋ1	
先	sẽ1	
光	kuɑŋ1	
入	ȵio6	
全	suẽ2	
全	tɕʰyẽ2	
兩	liaŋ3	
八	pa5	
公	koŋ1	
六	luo6	
共	koŋ6	
共	tʃioŋ6	
兵	pẽ1	
典	lẽ3	
典	tẽ3	
冤	yẽ1	
冬	loŋ1	
冰	pin3	
冷	liaŋ4	
準	tɕyn3	
凍	toŋ6	
凳	lɑŋ5	
出	tɕʰio1	
刀	luo1	
分	foẽ1	
分	poẽ1	
切	tʰiɛ1	
列	la6	
初	tɕʰø1	
判	pʰan5	
別	piɛ6	
刮	kua5	
制	tɕi5	
刷	ʃø5	
刺	tʃʰi5	
刺	lɑo6	
刻	xɑo1	
剃	tʰoẽ5	
削	siəu1	
前	sẽ2	
剝	po2	
剩	ʃiẽ6	
剪	tiẽ3	
副	fu5	
割	kø5	
劃	fa5	
劈	pʰoẽ1	
劍	tiẽ5	
力	lɛ6	
動	toŋ4	
勤	tɕyẽ2	
勸	ɕyẽ5	
勻	ioẽ2	
包	piæ1	
化	xua5	
北	puo1	
匠	tiaŋ5	
匹	pi2	
區	kʰy5	
十	ɕyo6	
升	ʃioẽ1	
半	poẽ5	
卒	tʃio1	
協	ɕiɛ6	
南	nan2	
占	tɕiẽ5	
印	ioẽ5	
危	uẽ2	
卷	kyẽ3	
厚	ɑo4	
原	yẽ2	
厭	iẽ5	
去	xy5	
參	ɕiaŋ1	
及	tiɛ1	
反	fan3	
叔	ʃio1	
取	tɕʰy3	
口	xɑo3	
古	ku3	
句	ky5	
可	kʰoẽ3	
台	tø2	
右	iɑo6	
吃	xɛ1	
各	køæ5	
吉	tɕyo1	
名	mẽ2	
向	ʃiaŋ5	
吞	tʰuẽ1	
含	uẽ2	
吳	u2	
吸	ki2	
吹	tsʰuẽ1	
呂	ly4	
味	mi6	
命	mẽ6	
品	pʰoẽ2	
哭	xo1	
脣	ʃioẽ2	
唱	tɕʰiaŋ5	
問	moẽ6	
啞	ŋa3	
善	sẽ4	
喜	xi3	
單	lan1	
嘗	ɕiaŋ2	
嘴	tuẽ3	
器	xi5	
嚴	iẽ2	
四	si5	
困	kʰuẽ5	
圈	kʰyẽ1	
國	kuo1	
圍	uẽ2	
園	yẽ2	
圓	yẽ2	
圖	tu2	
土	tʰu3	
地	ti6	
均	kyn3	
坐	sø6	
坑	xiaŋ1	
埋	mai2	
城	ʃiẽ2	
塊	fuæ5	
塔	tʰa5	
墊	tiẽ6	
墨	mɑo6	
墩	luẽ1	
墳	poẽ2	
壁	pɛ1	
壞	uæ1	
壯	tɕøɑŋ6	
壺	u2	
壽	ʃiɑo6	
夏	a5	
外	muẽ6	
多	lø1	
夜	iɛ6	
夠	kɑo5	
夢	moŋ6	
大	tai6	
天	tʰiẽ1	
失	ɕiɛ6	
夾	ka6	
契	xi5	
女	ȵy4	
奴	nu2	
奸	kan1	
好	xuo3	
如	y2	
妹	muẽ6	
姐	tai6	
姓	sẽ5	
姨	i2	
娘	ȵiaŋ2	
娘	næ6	
婆	puo2	
婚	xuẽ1	
婦	fu5	
嫁	ka5	
嫂	suo3	
嫌	iẽ2	
嫩	nuẽ6	
子	ti3	
孔	kʰoŋ3	
孔	koŋ5	
字	si6	
字	lpatone	
孝	xiæ5	
季	ki5	
孫	suẽ1	
學	øæ6	
孽	ȵiɛ6	
安	ŋø1	
安	ŋan3	
宋	soŋ5	
完	yẽ2	
官	koẽ1	
官	kuan3	
定	tẽ6	
客	xiæ5	
宮	koŋ1	
害	xø6	
容	ioŋ2	
宿	suo1	
寄	ki5	
密	mi2	
密	muo6	
富	fu5	
實	sɿ2	
實	ɕyo6	
寫	siɛ3	
寬	fuo1	
寶	puo3	
寸	tʰuẽ5	
寺	si6	
封	xoŋ1	
射	ɕiɛ6	
尋	soẽ2	
對	luẽ5	
小	siəu3	
小	nuo5	
尖	tiẽ1	
尺	tsʰɛ1	
尾	mi4	
局	ky2	
屁	pʰi5	
屋	o1	
層	sɑŋ2	
屬	suo1	
山	ʃian1	
巖	ŋan2	
岸	ŋø5	
州	tʃiɑo1	
左	tø5	
市	si6	
市	sɿ6	
布	pu5	
師	si1	
席	si2	
席	sɛ6	
帶	lai5	
帽	muo6	
幫	pøɑŋ1	
平	pẽ2	
年	ȵiẽ2	
幼	iɑo5	
幾	ki3	
牀	ɕøɑŋ2	
店	tiẽ6	
府	xu3	
廟	miəu6	
廠	tɕʰiaŋ3	
廳	tʰẽ1	
延	iẽ2	
建	kẽ5	
弄	loŋ6	
式	ʃi5	
引	ioẽ4	
弟	toẽ4	
張	tɕiaŋ1	
張	tsɑŋ3	
彈	tan2	
彎	uan3	
形	ŋẽ2	
影	ŋẽ3	
律	ly2	
後	ɑo6	
徐	ɕy2	
得	lɑo1	
心	soẽ1	
忙	møɑŋ2	
快	fuæ5	
念	ȵiẽ6	
急	kɛ6	
怪	kuæ5	
恨	xuẽ6	
恩	ŋuẽ1	
恭	koŋ1	
息	sɛ1	
惜	sɛ1	
惡	øæ5	
想	siaŋ3	
愁	ʃiɑo2	
意	i5	
愛	ø5	
愛	ȵø6	
感	kø3	
慌	fɑŋ1	
慢	man6	
慣	kuan5	
慶	kʰẽ6	
憋	poẽ5	
懂	toŋ3	
懶	lan4	
懷	uæ2	
戒	kai5	
截	tiɛ1	
戲	xi5	
戶	u4	
房	pɑŋ2	
所	sø3	
扁	piẽ3	
扇	san5	
手	ʃiɑo3	
打	kyɛ1	
托	tʰøæ5	
找	tʰoẽ3	
抄	tɕʰiæ1	
把	poẽ5	
抓	tɕøæ5	
折	tɕiɛ1	
抱	puo4	
抽	tsʰɑo1	
拆	tɕʰiæ5	
拉	løæ5	
拍	pʰiæ5	
拐	kuæ3	
拖	tʰø1	
拜	pai5	
指	tɕi3	
挖	ua5	
捏	ȵiẽ3	
排	pai2	
掛	kua5	
接	tiɛ1	
插	tʃʰia5	
握	ŋuo2	
搖	ȵiəu2	
搬	pan1	
搭	la5	
搶	tʰiaŋ3	
摘	tɕiæ5	
摸	mø1	
撞	tɕʰøɑŋ5	
撤	tʰiɛ1	
撥	pa1	
擁	ioŋ3	
擇	tsə2	
擇	tɕiæ5	
擦	tʰa5	
擺	pai3	
改	kø3	
放	poŋ5	
敗	pai6	
敢	kan3	
敲	kʰiæ1	
整	tsẽ3	
整	kuẽ3	
數	ɕy3	
數	ɕy5	
料	liəu6	
斜	siɛ2	
斜	tʰiɛ5	
新	suẽ1	
斷	toẽ6	
方	fɑŋ1	
族	tsuo1	
日	i2	
日	ȵio6	
早	tuo3	
旺	uɑŋ6	
明	min2	
明	mẽ2	
星	sẽ1	
春	tʃʰioẽ1	
時	ʃi2	
晚	uan3	
暖	noẽ4	
暗	uẽ5	
曆	lɛ6	
曬	ɕiæ5	
更	kiaŋ1	
書	ɕy1	
會	uẽ6	
月	yɛ2	
月	ȵiɛ6	
有	iɑo4	
朋	poŋ2	
服	puo6	
朝	ʃiəu2	
木	muo6	
末	mi4	
本	puẽ3	
杉	ʃia1	
李	li3	
村	tʰuẽ1	
杜	tu6	
杯	puẽ1	
東	loŋ1	
松	soŋ1	
松	soŋ2	
板	pan3	
林	loẽ2	
果	kuo3	
柄	pẽ5	
染	ȵiẽ4	
柱	ɕy6	
柴	ɕiæ2	
栗	luo6	
校	ɕiɑo6	
根	kuẽ1	
格	kiæ5	
桂	kuẽ5	
桃	tuo2	
桶	tʰoŋ3	
梗	køɑŋ3	
條	tʰiɑo2	
條	tiəu2	
梨	li2	
梯	tʰoẽ1	
棉	miẽ2	
棉	poẽ6	
棋	ki2	
棒	pɑŋ6	
棚	poŋ2	
業	ȵiɛ6	
極	kɐɛ6	
榮	ioŋ2	
樁	tɕøɑŋ1	
樓	lɑo2	
樣	iaŋ6	
橋	kiəu2	
橘	ky2	
橫	viaŋ2	
櫃	kuẽ6	
權	kyẽ2	
欠	ʃiẽ5	
歌	kø1	
歡	foẽ1	
正	tsɛ1	
正	tsẽ5	
步	pu6	
武	mu4	
歲	suẽ5	
死	si3	
殺	ʃia5	
殼	xøæ5	
母	mu4	
毒	tuo6	
比	pi3	
毛	miæ2	
毛	muo2	
毯	tʰan3	
民	min2	
民	mẽ2	
氣	xi5	
水	ʃyɛ3	
永	yn3	
汗	ŋø6	
江	køɑŋ1	
江	kiaŋ3	
決	tɕyɛ1	
沉	ɕyẽ2	
沖	tʃʰoŋ1	
沙	ʃia1	
河	ø2	
油	iɑo2	
治	tɕi5	
法	xua5	
泥	noẽ2	
洗	soẽ3	
洞	toŋ6	
活	uo6	
派	pʰai5	
流	lɑo2	
浪	løɑŋ6	
浮	pɑo2	
海	xø3	
浸	toẽ5	
淡	tan4	
深	ʃioẽ1	
淺	tʰiẽ3	
添	tʰiẽ1	
淸	tʰẽ1	
減	kan3	
湊	tʰɑo5	
湯	tʰøɑŋ1	
溫	uẽ3	
滅	miɛ6	
滑	ua6	
滾	kuẽ3	
滿	moẽ4	
漢	ŋø5	
漿	tiaŋ5	
潑	pʰo1	
潭	tøɑŋ2	
濃	noŋ2	
火	xuo3	
灰	xuẽ1	
竈	tuo5	
炎	ȵiɛ6	
炭	tʰan5	
炮	pʰiæ5	
烏	u1	
焦	tiəu1	
煙	iẽ1	
煤	muẽ2	
照	tʃiəu5	
熊	ʃioŋ2	
熏	fuẽ1	
熟	ʃio6	
熬	ŋuo6	
熱	iɛ2	
熱	ȵiɛ6	
燈	lɑŋ1	
燒	ʃiəu1	
營	yn2	
營	uẽ2	
燭	tʃio1	
爛	lan6	
爬	pa2	
爭	tɕiaŋ1	
爭	tsẽ33	
父	xu5	
爺	iɛ1	
片	pʰiẽ5	
牌	pai2	
牙	ŋa2	
牛	ŋɑo2	
物	muo6	
特	tʰə2	
牽	xẽ1	
犁	loẽ2	
犯	pan4	
狗	kɑo3	
猛	moŋ3	
玉	y6	
王	uɑŋ2	
班	pan1	
現	ɕiẽ6	
球	tʃiɑo2	
琴	tʃioẽ2	
瓜	kua1	
瓦	ŋa4	
甁	pẽ2	
甘	kø1	
甜	tiẽ2	
生	ʃiaŋ1	
產	tsʰan3	
用	ioŋ5	
田	tiẽ2	
甲	ka5	
畜	tʃʰio1	
畫	ua2	
畫	ua6	
病	pẽ6	
痛	tʰoŋ5	
瘡	tɕʰøɑŋ1	
瘦	ʃiɑo5	
癢	oẽ2	
發	fa5	
白	piæ6	
百	piæ5	
皮	pi2	
盆	puẽ2	
益	i2	
盒	uo6	
監	kan5	
盤	poẽ2	
目	muo6	
直	ʃɐɛ6	
省	ʃiaŋ3	
眉	muẽ2	
看	xø5	
眼	ŋan4	
瞎	xa5	
知	tʃi1	
短	loẽ3	
矮	ŋai3	
石	sɿ2	
石	ʃiɛ6	
破	pʰø5	
硬	ŋiaŋ6	
碎	suẽ5	
碑	puẽ1	
碗	uẽ3	
碟	tiɛ6	
磚	tʃyẽ1	
磨	mø2	
磨	mø6	
神	ʃioẽ2	
祠	si2	
票	pʰiəu5	
禍	uo6	
福	xuo1	
租	tu1	
秤	tsʰẽ1	
秤	tsʰẽ5	
