#漢字	音標	解釋
一	iəʔ7	
丁	tin1	
七	tɕʰiəʔ7	
万	væ̃5	
丈	tsɑ̃ŋ5	
三	sæ̃1	
上	sɑ̃ŋ5	
下	ɕia5	
不	pəʔ7	
与	y5	
丐	kæ̃i5	
丑	tsʰʌu3	
專	tsuæ̃1	
且	tɕʰiɛ1	
丙	pin3	
業	iɑʔ7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丢	tiʌu1	
兩	liɑ̃ŋ3	
喪	sɑ̃ŋ1	
个	kɤ5	
丫	ia1	
中	tsoŋ1	
丰	foŋ2	
串	tsʰuæ̃5	
臨	lin2	
丸	væ̃2	
丹	tæ̃1	
主	tsu3	
麗	li5	
久	kiʌu3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu2	
乏	fa2	
樂	yɑʔ7	
喬	tɕʰiɑo2	
乖	kuæ̃i1	
乘	tsʰin5	
乙	i2	
九	kiʌu3	
也	iɛ3	
習	ɕiəʔ7	
鄉	ɕiɑ̃ŋ1	
書	su1	
買	mæ̃i3	
亂	luæ̃5	
乳	zu3	
乾	kʰiɛ2	
了	liɑo2	
爭	tsɑ̃ŋ1	
事	sɿ5	
二	ər5	
于	y5	
虧	kʰuɛe1	
雲	yn2	
互	xu5	
五	u3	
井	tɕin3	
亞	ia3	
些	ɕiɛ1	
亡	vɑ̃ŋ2	
交	tɕiɑo2	
亥	xæ̃i5	
產	tsʰæ̃3	
亨	xɑ̃ŋ1	
畝	moŋ3	
享	ɕiɑ̃ŋ3	
京	kin1	
亭	tʰin1	
亮	liɑ̃ŋ5	
人	zin2	
億	i5	
什	sin2	
什	səʔ7	
仁	zin2	
仇	tsʰʌu2	~恨
今	kin1	
介	tɕiɛ5	
仍	zin1	
从	tsʰoŋ2	
倉	tsʰɑ̃ŋ1	
他	tʰa1	
仗	tsɑ̃ŋ5	
付	fu5	
仙	ɕiɛ1	
代	tæ̃i5	
令	lin5	
以	i3	
儀	i5	
仰	iɑ̃ŋ3	
仲	tsoŋ3	
件	kiɛ5	
價	kia5	
任	zin5	~务
份	fɑ̃ŋ5	
仿	fɑ̃ŋ1	
企	kʰi2	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiʌu1	
衆	tsoŋ5	
優	iʌu3	
伙	xuo3	
會	kʰuæ̃i5	~计
會	xuɛe5	开~
傘	sæ̃3	
偉	vɛe3	
傳	tsʰuæ̃2	~达
傳	tsuæ̃5	~记
傷	sɑ̃ŋ1	
倫	luɑ̃ŋ2	
僞	vɛe2	
伯	po2	
估	ku3	
伴	pæ̃5	
伶	lin2	
伸	sin1	
似	sɿ5	
但	tæ̃5	
位	vɛe5	
低	ti1	
佐	tsuo1	
體	tʰi3	
何	xɤ2	
余	y2	
作	tsuɑʔ7	
你	ȵi3	
佩	pʰɛe1	
佳	tɕia5	
侈	tsʰɿ5	
例	li5	
供	koŋ5	
依	i1	
僥	tɕiɑo2	
側	tsʰɑʔ7	
僑	tɕʰiɑo2	
儂	noŋ2	
侮	u3	
侯	xʌu2	
侵	tsʰin1	
便	pʰiɛ2	~宜
便	piɛ5	方~
促	tsʰuəʔ7	
俄	ɤ2	
俊	tɕyn5	
俘	fu2	
保	pɑo3	
信	sin1	
儉	tɕiɛ3	
修	ɕiʌu1	
俯	fu3	
倍	pɛe5	~数
倒	tɑo3	
倔	tɕyɛ5	
候	xʌu2	
借	tɕiɛ5	
倡	tsʰɑ̃ŋ3	
倦	tɕyɛ5	
債	tsæ̃i5	
值	tsəʔ7	
傾	tɕʰin1	
假	kia3	
假	kia5	~期
偏	pʰiɛ1	
停	tʰin1	
健	kiɛ5	
偶	ɣʌu3	
偷	tʰʌu1	
償	tsʰɑ̃ŋ2	
傅	fu3	
傍	pɑ̃ŋ5	
儲	tsʰu2	
催	tsʰuɛe1	
傲	ɑo5	
傻	sa3	
像	ɕiɑ̃ŋ5	
僚	liɑo2	
僵	kiɑ̃ŋ1	
僻	pʰi5	
儒	zu2	
兒	ər2	
元	yɛ2	
兄	ɕyŋ1	
充	tsʰoŋ1	
兆	tsɑo5	
先	ɕiɛ1	
光	kuɑ̃ŋ1	
克	kʰɑʔ7	
免	miɛ3	
兑	tuɛe5	
兔	tʰu5	
黨	tɑ̃ŋ1	
全	tɕʰyɛ2	
八	pɑʔ7	
公	koŋ1	
六	liʌu5	
蘭	læ̃2	
共	koŋ5	
關	kuæ̃1	
興	ɕin1	~旺
興	ɕin5	高~
兵	pin1	
其	kʰi2	
具	tɕy5	
典	tiɛ3	
養	iɑ̃ŋ3	
兼	tɕʰiɛ1	
獸	sʌu5	
冀	ki5	
内	nɛe5	
冉	zæ̃2	
册	tsʰəʔ7	
再	tsæ̃i5	
冒	mɑo5	
寫	ɕiɛ3	
軍	kyn1	
農	noŋ2	
冠	kuæ̃5	~军
冤	yɛ1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ3	
決	tɕyɛ2	
况	kʰuɑ̃ŋ5	
冷	lɑ̃ŋ3	
凍	toŋ5	
淨	tɕin5	
凄	tɕʰi1	
準	tsuɑ̃ŋ3	
涼	liɑ̃ŋ2	
凌	lin2	
減	kiɛ3	
湊	tsʰʌu5	
凝	ȵin2	
几	ki3	
凡	fæ̃2	
鳳	foŋ5	
凭	pʰin2	
凱	kʰæ̃i3	
凰	xuɑ̃ŋ2	
凳	tɑ̃ŋ5	
凶	ɕyŋ2	
出	tsʰuəʔ7	
擊	kiəʔ7	
函	xæ̃2	
鑿	tsuo2	
刀	tɑo1	
刁	tiɑo1	
刃	zin5	
分	fɑ̃ŋ1	
切	tɕʰiɑʔ7	
刊	kʰæ̃1	
刑	ɕin2	
划	xua2	
列	liɑʔ7	
劉	liʌu2	
則	tsɑʔ7	
剛	kɑ̃ŋ1	
創	tsʰuɑ̃ŋ5	
初	tsʰu1	
删	sæ̃1	
判	pʰæ̃5	
刨	pɑo1	
利	li5	
别	piɛ2	
刮	kuɑʔ7	
到	tɑo5	
制	tsɿ5	
券	tɕyɛ5	
刺	tsʰɿ5	
刻	kʰɑʔ7	
刴	tuo5	
劑	tɕi5	
剃	tʰi5	
削	ɕyɑʔ7	
前	tɕʰiɛ2	
劍	tɕiɛ5	
剔	tʰiəʔ7	
剖	pʰɑo1	
剝	pɑʔ7	
劇	ky5	
剩	sin5	
剪	tɕiɛ3	
副	fu5	
割	kɑʔ7	
劈	pʰiəʔ7	
力	liəʔ7	
勸	tɕʰyɛ5	
辦	pæ̃5	
功	koŋ1	
加	kia1	
務	u5	
動	toŋ5	
助	tsu5	
努	noŋ3	
劫	tɕiɛ2	
勵	li5	
勁	tɕin3	
勁	kin5	
勞	lɑo2	
勢	sɿ5	
勃	po2	
勇	yŋ3	
勉	miɛ3	
勳	ɕyn1	
勒	ləʔ7	
勘	kʰæ̃3	
勤	tɕʰin2	
勺	sɤ2	
勾	kʌu1	
匀	yn2	
包	pɑo1	
匆	tsʰoŋ1	
匈	ɕyŋ1	
化	xua5	
匠	tɕiɑ̃ŋ5	
匣	ɕia2	
匪	fɛe1	
匹	pʰi1	
區	tɕʰy2	
醫	i1	
匾	piɛ3	
匿	ȵi5	
十	səʔ7	
千	tɕʰiɛ1	
升	sin1	
午	u3	
半	pæ̃5	
華	xua1	
協	ɕiɛ2	
卑	pɛe1	
單	tæ̃1	
賣	mæ̃i5	
南	næ̃2	
博	po2	
占	tsæ̃5	~领
卡	kʰa3	
盧	lu2	
卤	lu2	
卦	kua5	
臥	uo5	
衛	vɛe5	
印	in5	
危	vɛe3	
即	tɕiəʔ7	
卻	tɕʰyɛ5	
卵	luæ̃2	
卷	tɕyɛ5	
卸	ɕiɛ5	
卿	tɕʰin2	
廠	tsʰɑ̃ŋ3	
廳	tʰin1	
历	li5	
厲	li5	
壓	ia2	
厭	iɛ5	
厘	li2	
厚	xʌu5	
原	yɛ2	
廂	ɕiɑ̃ŋ1	
厦	sa5	
厦	ɕia5	
廚	tsʰu2	
去	tɕʰy5	
縣	ɕiɛ5	
参	tsʰæ̃2	~加
又	iʌu5	
叉	tsʰa1	
及	tɕiəʔ7	
友	iʌu3	
雙	suɑ̃ŋ1	
反	fæ̃1	
发	fɑʔ7	
取	tɕʰy3	
受	sʌu5	
變	piɛ5	
敍	ɕy5	
叛	pʰæ̃5	
疊	tiɛ2	
口	kʰʌu2	
古	ku3	
句	tɕy5	
另	lin5	
叨	tɑo1	
叩	kʰʌu5	
叫	kiɑo5	
叫	tɕiɑo5	
召	tsɑo1	
可	kʰɤ1	
台	tʰæ̃i2	
史	sɿ3	
右	iʌu5	
葉	iɑʔ7	
號	xɑo5	
司	sɿ1	
嘆	tʰæ̃5	
吃	tsʰəʔ7	
各	kɑʔ7	
合	xɤ2	
吊	tiɑo5	
同	tʰoŋ2	
名	min2	
后	xʌu5	
吐	tʰu3	
向	ɕiɑ̃ŋ5	
嚇	ɕia5	
呂	ly3	
君	kyn1	
吞	tʰuɑ̃ŋ1	
吟	in2	
否	fɑo2	
吩	fɑ̃ŋ1	
含	xæ̃2	
聽	tʰin1	
啓	tɕʰi3	
吳	u2	
吵	tsʰɑo3	
吸	ɕiəʔ7	
吹	tsʰuɛe1	
吼	xʌu2	
呆	tæ̃i3	
呈	tsʰin2	
告	kɑo5	
嘔	ɣʌu1	
員	yɛ2	
周	tsʌu2	
味	vɛe5	
呼	xu1	
命	min5	
和	xuo2	~面
詠	yŋ3	
咐	fu3	
咒	tsʌu5	
咬	iɑo3	
咸	ɕiɛ2	
品	pʰin1	
哈	xa1	
響	ɕiɑ̃ŋ3	
啞	ia3	
哥	kɤ1	
哪	na1	
哭	kʰuəʔ7	
哲	tsɑʔ7	
哼	xɑ̃ŋ1	
哽	kɑ̃ŋ5	
唆	suo1	
脣	tsʰuɑ̃ŋ2	
唐	tʰɑ̃ŋ2	
嘮	lɑo2	
喚	xuæ̃5	
售	sʌu5	
唱	tsʰɑ̃ŋ5	
唾	tʰuo5	
啃	kʰɑ̃ŋ3	
啄	tsuo2	
商	sɑ̃ŋ1	
囉	luo2	
善	sæ̃5	
喉	xʌu2	
喊	xæ̃3	
喘	tsʰuæ̃3	
喜	ɕi3	
喧	ɕyɛ1	
喻	y2	
嗅	ɕiʌu5	
嗓	sɑ̃ŋ1	
嗽	sʌu5	
嘉	kia1	
嘘	ɕy1	
囑	tsuəʔ7	
嘲	tsʰɑo2	
嘴	tsuɛe3	
嘹	liɑo2	
噎	iɑʔ7	
器	tɕʰi5	
嚎	xɑo2	
嚏	tʰi2	
嚷	zɑ̃ŋ3	
嚼	tɕyɛ2	
囊	nɑ̃ŋ2	
囚	tɕʰiʌu1	
回	xuɛe2	
因	in1	
团	tʰuæ̃2	
囤	tʰuɑ̃ŋ2	
園	yɛ2	
困	kʰuɑ̃ŋ5	
固	ku5	
國	kuəʔ7	
圖	tʰu2	
圃	pʰu3	
圓	yɛ2	
圈	tɕʰyɛ1	
圈	tɕyɛ5	~养
土	tʰu3	
聖	sin5	
在	tsæ̃i5	
地	ti5	
址	tsɿ3	
均	kyn1	
坎	kʰæ̃3	
壞	xuæ̃i5	
坐	tsuo5	
坑	kʰɑ̃ŋ1	
塊	kʰuæ̃i5	
堅	kiɛ1	
坛	tʰæ̃2	
壩	pa5	
墳	fɑ̃ŋ2	
墜	tsuɛe5	
坡	pʰo1	
坤	kʰuɑ̃ŋ1	
坦	tʰæ̃3	
坪	pʰin2	
坷	kʰɤ3	
垂	tsʰuɛe2	
型	ɕin2	
垢	kʌu5	
墊	tiɛ3	
垮	kʰua5	
埂	kɑ̃ŋ3	
埃	ɣæ̃i1	
埋	mæ̃i2	
城	tsʰin2	
域	y5	
培	pʰɛe1	
基	ki1	
堂	tʰɑ̃ŋ2	
堆	tuɛe1	
墮	tuo5	
堪	kʰæ̃3	
堵	tu3	
塌	tʰa1	
塑	su5	
塔	tʰa3	
塘	tʰɑ̃ŋ2	
塞	səʔ7	
境	kin5	
墓	mu5	
墓	moŋ5	
牆	tɕʰiɑ̃ŋ2	
增	tsɑ̃ŋ1	
