#漢字	音標	解釋
□	kʰuei7	(眼眶陷下去)
□	xa1	~人:搔痒痒
□	xan1	~予:跟猫一样的
□	ȵiaŋ3	推推~~
□	tɕyẽ2	牛~:牛鞭
□	iaŋ1	花~了:花凋谢了
㛯	ɸan2	分娩,猪~崽崽:一般用于动物
一	i7	
一	ɣau7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	zaŋ2	
三	san1	
上	zaŋ2-	~山
上	zaŋ7=	~面
下	dʑia6	
不	pu7	
丐	kai7	
丑	tsʰəu3	
專	tɕyẽ1	
且	tɕʰie3	
且	ɣau7	
世	sɿ2	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie7	
叢	zəŋ2	
東	təŋ1	
絲	sɿ1	
丢	tiəu1	
兩	liaŋ3	
嚴	ȵiẽ2	
並	pin7	
喪	saŋ1	
喪	saŋ7	
个	ko2	
丫	ia1	
中	tsəŋ1	
中	tsəŋ2	
丰	ɸəŋ1	
串	tɕʰyẽ2	
臨	lin2	
丸	yẽ2	
丹	tan1	
爲	uei2	
主	tɕy3	
麗	li7	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
義	ȵi6	
之	tsɿ1	
烏	u1	
乎	ɸu1	
乏	ɸan7	
樂	lo7	
樂	io7	
乖	kuai1	
乘	zən2	
乙	ie7	
九	tɕiəu3	
乞	tɕʰi7	
也	ia3	
習	ɕi7	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	luə̃6-	
亂	luə̃7=	
乳	y2	
乾	dʑiẽ2	
了	liau3	
爭	tsən1	
事	zɿ6	
二	ə6	
于	y2	
虧	kʰuei1	
云	yn2	
互	bu7	
五	u3	
井	tɕin3	
亞	ia6	
些	ɕi7	
亡	uaŋ2	
交	tɕiau1	
亥	xai2	
亦	i7	
產	tsʰan3	
亨	xən1	
畝	miau3	
享	ɕiaŋ3	
京	tɕin1	
亭	din2	
亮	liaŋ6	
親	tɕʰin1	
人	in2	
億	i7	
什	sɿ7	~么
仁	in2	
僅	tɕin3	
