#漢字	音標	解釋
□	ɕi1	~该:应该
□	nu1	~□tɕi0骨:膝盖骨
□	kʰu1	~腰带:系腰带
□	kʰu1	~叶:茶叶
□	pɑ1	~~□tɕiou55:髻
□	uɑ1	~牌:抓牌
□	mo1	~□tsʰuo53:皲裂
□	tuo1	~天:仰天
□	tsʰuo1	~□zuɛe55:蚯蚓
□	suo1	~刀:砍刀
□	uo1	~□tsʰuo212:裸体
□	ɕiɐ1	~猪:杀猪
□	tɛe1	~犬崽:蝼蛄
□	piᴇ1	~□nẽ212骨:肋骨
□	piᴇ1	~虫:臭虫
□	xuɛe1	~~媳妇:童养媳
□	pʰɔu1	~□tsɑŋ212:背篓
□	pʰɔu1	~薪:茅草类的柴火
□	niɔu1	~犬:公狗
□	tɕʰiẽ1	~□tɛe55:海带
□	ɕiẽ1	~猪:种公猪
□	ɕiẽ1	~□tsɛe0:火铲
□	ɕiẽ1	~书师傅:私塾先生
□	təŋ1	~脑牯:头顶
□	moŋ1	~□nəŋ0:目翳
□	noŋ1	~□tʰẽ55:连枷
□	vu2	~蟆:青蛙
□	tsɑ2	~薪:块状的柴火
□	tsʰuɑ2	~睡:打盹儿
□	nuo2	~□mẽ35:蚂蚁
□	nuo2	~豆:黄豆
□	kuo2	~舅:舅舅
□	uo2	~□sɿ35:阿姨
□	tɕyo2	~□sɿ35崽:板栗
□	dɛe2	~□tsɛe53:钱
□	nɔu2	~□dziɐ53:鸬鹚
□	nɔu2	~饭:做饭
□	tɕiɔu2	~□ȵiɑŋ35:蜻蜓
□	dʑiou2	~□niou212:口水
□	ȵiou2	~崽:里子
□	zɑŋ2	~口xɑŋ53:别人
□	vəŋ2	~三朝:回门
□	zəŋ2	~□po53:篱笆
□	zəŋ2	~□pi35豆:鱼篓
□	bi3	~饭:稀饭
□	xɑ3	~□zɿ0:弟弟
□	tɕyᴇ3	~□ti55:结巴
□	nɔu3	~疮崽:疥疮
□	niɛ̃3	~□tʰiɛ̃0:脾
□	kʰɑŋ3	~□xɑŋ0:地方
□	ȵiɑŋ3	~朵:耳朵
□	dzoŋ3	~□kuo53:蝗虫
□	i5	~亮:熄灯
□	mu5	~鹰:老鹰
□	pʰɑ5	~邋:不干净
□	tɑ5	~□ti0:到了
□	xɑ5	~□nɐ55:玩儿
□	kʰuo5	~□tɕiou0:昨天
□	pɛe5	~□dzɑŋ33:诽谤
□	zʌɯ5	~得:要得
□	kʌɯ5	~进去:钻进去
□	xʌɯ5	~汁:溃脓
□	tɔu5	~阿□pu33:曾祖父
□	zɔu5	~崽:蝴蝶
□	kʰɔu5	~崽:刀鞘
□	ɔu5	~长短:量长短
□	pəŋ5	~年:拜年
□	tsʰəŋ5	~□tsuo35:作揖
□	dzəŋ5	~月:十二月
□	pʰoŋ5	~手腕:扳手腕
□	sɿ7	~个时候:什么时候
□	mu7	~□ni0:蚊子，苍蝇
□	tsʰu7	~棉花:轧棉花
□	su7	~米:糯米
□	nɑ7	~痒:蹭痒痒
□	tsɤ7	~□fɑ0:可怜
□	tuo7	~早:趁早
□	tsuo7	~□ku0□pʌɯ212:腋下
□	uo7	~~:叔叔
□	kɛe7	~的:整个的
□	uɛe7	~断:折断
□	tʌɯ7	~钻:钻，名词
□	nəɯ7	~履底:纳鞋底
□	tɕiou7	~口:涩嘴
□	ȵiẽ7	~头:里头
□	pɑŋ7	~~:小的野生的棘胸蛙
□	kuɑŋ7	~棍:拐杖
□	dzəɯ9	~雨:下雨
□	dzɔu9	~面:擀面
□	dzɔu9	~早:趁早
□	koŋ7	“各人”的合音
□	zɿ0	□xɑ35~:弟弟
□	tɕi0	□tsɐ55~崽:膝盖;□nu55~骨:膝盖骨
□	ku0	□tsuo53~□pʌɯ212:腋下
□	fɑ0	□tsy53~:可怜
□	tsɛe0	□ɕiẽ55~:火铲
□	tɕiou0	□kʰuo33~:昨天
□	tʰiɛ̃0	□niɛ̃35~:脾，人体器官
□	xɑŋ0	□kʰɑŋ35~:地方
□	nəŋ0	□moŋ55~:目翳
□	ti1	□tɕyᴇ35~:结巴
□	tɛe1	□tɕʰiẽ55~:海带
□	zuɛe1	□tsʰuo55~:蚯蚓
□	tɕiou1	□pɑ55□pɑ55~:髻
□	tʰẽ1	□noŋ55~:连枷
□	tsʰuo2	□uo55~:裸体
□	tuei2	□kʰuɑ35~:打夯
□	pʌɯ2	□tsuo53□ku0~:腋下
□	niou2	□dʑiou212~:口水
□	nẽ2	□piᴇ55~骨:肋骨
□	tsɑŋ2	□pʰɔu55~:背篓
□	əŋ2	□mo35~:虹
□	sɿ3	□uo212~:阿姨
□	sɿ3	□tɕyo212~崽:板栗
□	tsuo3	□tsʰəŋ33~:作揖
□	tsɛe3	□kʰuɑ35~:打仗
□	mẽ3	□nuo212~:蚂蚁
□	ȵiɑŋ3	□tɕiou212~:蜻蜓
□	bu5	□kʰuɑ35~鼾:打鼾
□	tɐ5	□kʰuɑ35~:打赌
□	pɑŋ5	□mɐ55~:乳房
□	dzɑŋ5	□pɛe33~:诽谤
□	po7	□zəŋ212~:篱笆
□	tsʰuo7	□mo55~:皲裂
□	kuo7	□dzoŋ35~:蝗虫
□	tsɛe7	□dɛe212~:钱
□	xɑŋ7	□zɑŋ212~:别人
□	pɐ7	一~米:一粒米
□	kɤ7	不~:不合
□	tsuo3	两，一~三:一二三
□	mɐ1	乳房，乳汁
□	zɤ5	他
□	bo3	伏，趴
□	sɿ0	伢~:伢子，小孩
□	tʰiᴇ1	伸
□	pʰu3	偷看
□	ni5	兔~崽:兔子
□	dzɔu9	六~三:六减三
□	kɑŋ7	凌~:冰、冰块
□	tsʰu5	剁
□	kuo7	剪
□	tɤ5	动词，给
□	kʰuo1	勒
□	dʑiᴇ9	勤~:勤快
□	tɐ0	历nyo53~:日历
□	pʰɑŋ3	发抖
□	tʰuɑ1	吞
□	ɡɐ5	呆，傻
□	kʰoŋ3	咳嗽
□	uɛe5	咽
□	kuɑŋ7	啄木~:啄木鸟
□	du2	坑坑~~:坑坑洼洼
□	bʌɯ5	埋葬
□	sɛe7	天~:天气
□	kuo1	女婿
□	tiɔu2	姑~:姑父
□	tɤ5	嫁
□	bu7	寡~□nɐ55:鳏夫
□	ȵiɑŋ2	小
□	kʰɔu5	履~崽:鞋拔子
□	tɑŋ5	岩~:台阶
□	nɛe5	帐~:蚊帐
□	tiɐ7	戳
□	nɐ5	房~:房间
□	kʰuɑ3	打
□	vu3	扔，甩
□	nu3	找，寻
□	tʰəɯ7	抖动
□	kɐ1	拴
□	uɑ1	挠
