#漢字	音標	解釋
□	tiɛʔ8	
□	i2	niaŋ2niaŋ2~:知了
□	tsʰai1	~䁐:后悔
□	kau1	~䘆:蚯蚓
□	kaŋ1	~得:宁可
□	kʰai3	~年:去年
□	niaŋ3	~~□i2:知了
□	lou5	~亲眷:走亲戚
□	nəŋ5	~:软
□	kʰɛ6	~蚤:跳蚤
□	muo6	~手:扫把
□	pu6	~流:水瓢
□	lou6	~□piɪʔ7□tøy3:麻雀
□	kʰiɛʔ8	~厝:盖房子
□	niɪʔ8	~□tɕiəu3:烟
□	tɕiəu3	□niɪʔ8~:烟
□	tøy3	□lou6□piɪʔ7~:麻雀
□	lu6	□nɔi2~:精液
□	piɪʔ7	□lou6~□tøy3:麻雀
□	tɔi2	一块钱
□	mai5	不好
□	lai3	丢
□	tsʰɔi3	丢掉
□	təʔ0	你奶~喀:他妈的
□	lou2	你姐~:他妈的
□	ka1	假装
□	ly6	做月~:坐月子
□	lei6	凊~:着凉
□	hei3	勤快
□	ta6	压制
□	ŋ̍3	叔伯~:妯娌
□	uo6	吠
□	taŋ5	吵架
□	piɪʔ7	告诉
□	kie2	和
□	ɕiaŋ2	哄小孩
□	ma5	唔~:不用
□	kaŋ2	噎
□	tsøy3	囊~:阴茎
□	taŋ6	坛
□	tai2	埋
□	a6	大
□	niɛʔ7	夹菜
□	pai3	姕~:女阴
□	tɕʰiɛʔ7	尿~:老式马桶
□	lai3	很
□	lai6	忘记
□	nia1	抓
□	kʰəŋ5	投掷
□	ləʔ7	抽~:抽屉
□	ɕia5	拍~:打哈欠
□	kʰɛʔ7	拾捡;收拾
□	lu3	捞
□	na2	排泄
□	kuaŋ6	提
□	pa2	撕
□	lai2	擀
□	nie2	擤
□	kiau3	擦
□	pəŋ6	棵
□	kyɪʔ8	浓稠
□	tsʰəŋ6	熏,~蚊子
□	tɔi2	猜
□	nia3	皱
□	nie3	眨眼
□	pa5	睁眼
□	tsʰyeŋ3	瞌睡
□	mai6	破
□	haŋ5	给
□	sou3	翼~:翅膀
□	suei5	胖
□	lɛ5	舔舐
□	tʰɛʔ7	藏
□	kʰəŋ3	虹
□	pau2	蚊子包
□	tei0	认识
□	kʰɔi1	谜语
□	fɛʔ8	跨过
□	tøy6	路
□	liɪʔ7	跳
□	liɪʔ8	追
□	pʰəŋ1	闻
□	nɔi2	阴茎
□	kau2	集~:为什么
□	ie6	飞~:蝴蝶
㘓	laŋ2	口水
㯱	pʰau1	柚子
㸆	kʰou5	
䁐	ŋo5	tshai1~:后悔
䁐	ŋo2	看
䘆	ho3	□kau1~:蚯蚓
䘼	uɔi3	袖子
䥈	mo2	~鐤:锅
䥛	kɛʔ7	镰刀
䭕	tɕiaŋ3	味淡
一	iɪʔ7	
七	tɕʰiɪʔ7	
万	uaŋ6	
三	saŋ1	
上	ɕio6	
下	a6	
下	ha6	
專	tɕye1	
世	sei5	
業	niɪʔ8	
東	təŋ1	
絲	ɕi1	
丢	tiəu1	
兩	lo6	~个
兩	lio3	单位
嚴	nie2	
个	kɔi5	
中	təŋ1	
中	tsəŋ1	
丰	fəŋ1	
臨	lieŋ2	
丸	uɔi2	
主	tsøy3	
舉	ky3	
乇	nou5	东西
義	ni6	
之	tsei1	
烏	ou1	
乖	kau5	
乜	m̩8	何~:什么
九	kau3	
乞	kiɛʔ7	
也	ia6	
習	ɕiɪʔ8	
鄉	ɕio1	
