#漢字	音標	解釋
七	tsʰi1	
万	uã1	
丈	tɕʰɔ̃3	
三	sã1	
上	ɕɔ̃5	
下	xᴀ3	
丑	tɕʰiu3	
世	sɿ5	
丘	tɕʰiu1	
丙	pĩ3	
業	iɛ̃1	
叢	tsʰə̃2	
東	tə̃1	
絲	sɿ1	
丢	tiu1	
兩	liɔ̃3	
嚴	ĩ2	
喪	sɔ̃5	
个	kɐ5	
中	tə̃1	
丰	xə̃1	
串	tɕʰyĩ1	
爲	ue2	
主	tɕʅ3	
舉	tɕʅ3	
麽	iɐ1	
烏	u1	
乏	fᴀ5	
乖	kua1	
乙	iɛ5	
乞	tɕʰʅ1	
也	iᴀ3	
習	si1	
書	ɕʅ1	
買	ma3	
亂	lɔ̃1	
乳	ʅ3	
乾	tɕʰĩ2	
了	liɐ3	
爭	tsẽ1=	
爭	tsõ1-	
事	sɿ1	
二	æ1	
虧	kʰue1	
云	yĩ2	
互	fu1	
五	u3	
井	tsĩ3=	
井	tsiɔ̃3-	
亞	iᴀ1	
些	si1	
亥	xa5	
產	tsʰã3	
亨	xẽ1	
畝	miɐ3	
亭	tʰĩ2	
亮	liɔ̃1	
親	tsʰĩ1	
人	n̩2=	
人	ĩ2-	
億	ʅ5	
僅	tɕʰĩ1	
仆	pʰu1	
仇	tɕʰiu2	
仍	ĩ2	
从	tsʰə̃2	
倉	tsʰɔ̃1	
仗	tɕɔ̃5	
仙	sĩ1	
令	lĩ5	
仰	iɔ̃2	
仲	tɕʰə̃1	
件	tɕʰĩ1	
份	fẽ5	
企	tɕʰʅ3	
休	ɕiu1	
衆	tɕə̃5	
優	iu1	
會	kʰua5	
會	xue1	
傘	sã3	
傳	tɕʰyĩ2	
傷	ɕɔ̃1	
伴	pʰɔ3	
伺	sɿ1	
但	tʰã1	
位	ue1	
低	ti1	
住	tɕʅ5	
體	tʰi3	
余	ʅ2	
佛	fu1	
作	tso5	
你	n̩3	
使	sɿ3	
侈	tsʰɿ3	
侍	sɿ1	
供	kə̃5	
偵	tɕĩ1	
側	tsʰe5	
儘	tsĩ3	
侵	tsʰĩ1	
便	pʰĩ2	
便	pʰĩ1	
係	ɕʅ5	
促	tsʰu1	
俊	tsĩ5	
俗	su5	
信	sĩ5	
儉	tɕʰĩ1	
修	siu1	
倍	pʰe1	
倒	tɐ5	
候	xe1	
借	tsiᴀ5	
倦	tɕʰyĩ1	
債	tsa5	
傾	tɕʰyĩ1	
假	tɕiᴀ3	
偏	pʰĩ1	
做	tsu5	
健	tɕʰĩ1	
偶	liɐ3	
偷	tʰe1	
傀	kʰue3	
傅	fu5	
催	tsʰe1	
傲	kɐ1	
傻	xᴀ3	
像	tsʰiɔ̃1	
僧	sẽ1	
僻	pʰi1	
兒	æ2	
允	yĩ3	
元	yĩ2	
兄	ɕə̃1	
充	tɕʰə̃1	
先	sĩ1	
光	kũ1	
免	mĩ3	
兑	te5	
兔	tʰu5	
兜	te1	
入	ʅ5	
全	tsʰĩ2	
八	pᴀ1	
公	kə̃1	
六	liu5	
共	kʰə̃1=	
共	tɕʰə̃1-	
關	kuã1	
興	ɕĩ1	
興	ɕĩ5	
兵	pĩ1	
具	tɕʰʅ1	
典	tĩ3	
兼	tɕʰĩ1	
獸	ɕiu5	
内	le1	
再	tsa5	
寫	siᴀ3	
軍	tɕyĩ1	
農	lə̃2	
冤	yĩ1	
冬	tə̃1	
冰	pĩ1	
冲	tɕʰə̃1	
決	tɕyɛ5	
况	kʰũ5	
凍	tə̃5	
淨	tsʰĩ1	
準	tɕyĩ3	
涼	liɔ̃2	
減	kã3	
湊	tsʰe5	
凝	n̩2	
几	tɕʅ3	
凡	xuã2	
鳳	fə̃5	
凭	pʰĩ2	
凳	tẽ5	
凶	ɕə̃1	
出	tɕʰʅ1	
刀	tɐ1	
分	xuẽ1	
切	tsʰiɛ1	
划	xuᴀ1	
划	xuᴀ5	
則	tse1	
創	tsʰɔ̃5	
初	tsʰu1	
删	sã1	
判	pʰɔ̃5	
刨	pʰɐ2	
别	pʰi5	
刮	kuᴀ1	
到	tɐ5	
制	tsɿ5	
刷	sᴀ1	
刻	kʰe1	
刴	to5	
劑	tsi5	
削	siɐ1	
前	tsʰĩ2	
剮	kuᴀ3	
劍	tɕĩ5	
剖	pʰo5	
剝	po1	
劇	tɕʅ5	
剩	ɕĩ1	
剪	tsĩ3	
副	fu5	
割	ko1	
劈	pʰiᴀ1	
力	li5	
勸	tɕʰyĩ5	
劣	liɛ5	
動	tʰə̃5	
助	tsʰu1	
劫	tɕɛ1	
勁	tɕĩ5	
勃	po5	
勒	le5	
勘	kʰã1	
勺	ɕo5	
匀	yĩ2	
包	pɐ1	
化	xuᴀ5	
北	pe1	
匙	sɿ1	
匠	tsʰiɔ̃1	
匡	tɕʰɔ1=	
匡	kʰũ1-	
匣	ɕᴀ5	
匪	xue3	
匹	pʰi5	
區	tɕʰʅ1	
醫	ʅ1	
十	ɕʅ5	
千	tsʰĩ1	
升	ɕĩ1	
半	pɔ̃5	
協	ɕɛ5	
卒	tsʰu5	
單	tã1	
賣	ma1	
博	po5	
卜	pʰu1	
占	tɕĩ5	
卦	kuᴀ5	
臥	o5	
衛	ue5	
卯	mɐ3	
印	ĩ5	
危	ue2	
卻	tɕʰo1	
卵	lɔ̃3	
卷	tɕyĩ3	
廠	tɕʰɔ̃3	
历	li1	
厲	li1	
厭	ĩ5	
廁	tsʰe5	
厦	ɕᴀ5	
廚	tɕʰʅ2	
去	tɕʰʅ5	
縣	ɕyĩ1	
参	tsʰã1	
参	sĩ1	
及	tɕʰʅ5	
雙	sɔ̃1	
反	xuã3	
发	xuᴀ1	
叔	su1	
受	ɕiu1	
變	pĩ5	
叛	pʰɔ̃5	
叟	se3	
口	kʰe3	
句	tɕʅ5	
叫	tɕɐ5	
召	tɕʰɐ1	
可	kʰo3	
右	iu1	
葉	iɛ5	
號	xɐ1	
吃	tɕʰᴀ1	
各	ko1	
吉	tɕɛ5	
名	mĩ2	
后	xe1	
向	ɕɔ̃5	
呂	liu3	
吝	lĩ1	
吞	tʰẽ1	
吟	ĩ2	
否	fe3	
含	xã2	
聽	tʰĩ1=	
聽	tʰã1-	
啓	tɕʰʅ3	
吳	u2	
吸	tɕʅ1	
吹	tɕʰʅ1	
吻	u2	
吼	xiɐ3	
告	kɐ5	
嘔	iɐ3	
周	tɕiu1	
味	ue1	
呼	fu1	
命	mĩ1=	
命	miɔ̃1-	
咀	tsiu3	
和	xo2	
咒	tɕiu5	
咬	kɐ3	
咸	xã2	
品	pʰĩ3	
響	ɕɔ̃3	
啞	ᴀ3	
哪	lᴀ3	
哭	kʰu1	
哲	tɕɛ5	
脣	ɕyĩ2	
喚	ũ5	
唱	tɕʰɔ5	
唾	tʰo5	
善	ɕĩ5	
喊	xã3	
喘	tɕʰyĩ3	
喜	ɕʅ3	
喝	xo1	
噴	pʰẽ5	
嗅	ɕiə̃5	
嗅	ɕə̃5	
嗉	si9	
嗓	sɔ̃3	
嗽	su5	
嘴	tsiu3	
噍	tsʰiɐ2	
噎	iɛ1	
器	tɕʰʅ5	
嚇	xᴀ1	
嚼	tɕʰiɐ5	
囊	lɔ̃2	
囚	tɕʰiu2	
四	sɿ5	
回	ue2	
团	tʰɔ̃2	
困	kʰuẽ5	
圍	ue2	
國	kyɛ1	
圓	yĩ2	
圈	tɕʰyĩ1	
土	tʰu3	
聖	ɕĩ5	
在	tsʰa5	
地	tʰi1	
均	tɕyĩ1	
坍	tʰã1	
壞	xua1	
坐	tsʰo3	
坑	kʰõ1	
塊	kʰua5	
墳	fẽ2	
坡	pʰo1	
坤	kʰuẽ1	
坦	tʰã3	
坯	pʰe1	
坳	kɐ5	
垂	tɕʰʅ2	
壠	lə̃3	
垒	le3	
垮	kʰuᴀ3	
埂	kʰuɔ̃1	
埋	ma2	
城	tɕʰĩ2	
域	ʅ1	
基	tɕi1	
堆	te1	
塌	tʰᴀ1	
塞	se1	
墅	ɕʅ1	
墓	mə̃5	
牆	tsʰiɔ̃2	
墟	ɕʅ1	
墨	me5	
墩	tẽ1	
壁	pi1=	
壁	piᴀ1-	
壤	iɔ̃3	
壬	ĩ2	
壯	tsɔ̃5	
聲	ɕĩ1=	
聲	ɕɔ̃1-	
壺	fu2	
處	tɕʰʅ3	
复	fu1	
夏	ɕiᴀ1	
外	ue1	
多	to1	
夜	iᴀ1	
够	ke5	
大	xa1	
大	tʰa1	~夫
天	tʰĩ1	
太	tʰa5	
夫	fu1	
夯	xɔ̃1	
頭	tʰe2	
夾	kᴀ1	
奪	to5	
奈	la1	
奉	xə̃5	
契	tɕʰʅ1	
奔	pẽ5	
套	tʰɐ5	
奤	tʰa3	
奧	ɐ5	
女	ʅ3	
奶	la3	
奸	kã1	
好	xɐ3	
如	ʅ2	
婦	fu1	
妬	tu1	
妹	me1	
妻	tsʰi1	
妾	tsʰiɛ1	
姊	tsɿ3	
始	sɿ3	
姐	tsiɛ3=	
姐	tsiᴀ3-	
姓	sĩ5	
委	ue3	
姜	tɕɔ̃1	
姨	ʅ2	
姪	tɕʰʅ1	
姻	ĩ1	
威	ue1	
嬌	tɕɐ1	
娘	iɔ̃2	
娛	ʅ2	
娶	tsʰiu3	
婆	pʰo2	
婚	xuẽ1	
嬸	ɕĩ3	
媒	me2	
嫁	tɕiᴀ5=	
嫁	kᴀ5-	
嫂	sɐ3	
嫌	ɕĩ2	
嫩	lẽ1	
子	tsɿ3	
孕	ĩ2	
字	tsʰɿ1	
存	tsʰẽ2	
孫	sẽ1	
孝	ɕiɐ5=	
孝	xɐ5-	
孟	mə̃1	
季	tɕʅ5	
學	ɕo5=	
學	xo5-	
孩	xa2	
孽	liɛ1	
寧	n̩2	
宋	sə5	
完	uã2	
宏	xə̃2	
宗	tsə̃1	
宙	tɕʰiu1	
定	tʰĩ1	
宜	n̩2	
寶	pɐ3	
實	ɕʅ5	
