#漢字	音標	解釋
□	kʰiau4	~瓦:歪扭的瓦
□	pʰæk7	一块地叫一~地
□	ɬu2	不平滑
□	mei2	不要
□	fɐi5	不正经
□	pɐi6	不妙
□	kɐu6	不高兴地看人
□	nɐm6	不爱说话
□	pʰiɐŋ1	两手伸直的长度
□	tuŋ1	举起
□	piau5	乖，漂亮
□	ɬun2	乱跑
□	ŋap7	乱说
□	tʃi1	乳房
□	ha2	亚~儿:小孩
□	tɛ4	亲热、亲昵
□	tʃʰɔn3	人走路头部向前
□	tʰɔn3	从斜坡上坐地往下滑
□	ŋɐŋ3	伤心，痛惜
□	pʰiau3	倒，弄倒
□	ɬam3	做饼撒芝麻叫~上芝麻
□	mɐŋ5	健壮，茁壮
□	ŋæk8	傻子叫~仔
□	tʃɐŋ6	僵持
□	vɐn5	关押
□	jɐn1	冷
□	ŋɐŋ1	冷的感觉
□	ŋɐu5	凑拢
□	mɐŋ4	刀不快
□	ȵui1	刺穿
□	nɐm5	刺，戮
□	mɐi1	削
□	nɐm1	动作慢
□	ɬiaŋ3	动物被抓住而挣扎
□	ŋɐŋ6	动物不适应环境而长得慢
□	mian5	勉强够
□	pʰet7	危险处的边沿
□	la5	变味
□	vi3	吃腻
□	pʰi5	吐
□	pʰet8	吐(舌头)
□	nɔt7	吸吮
□	ȵai5	咀嚼
□	nɐp8	响声不清脆
□	ŋian3	啃咬
□	ŋat8	啃咬
□	ŋɐm1	商量
□	fian6	喝多了有醉意
□	ŋəu1	嗅
□	ŋəu5	嗅
□	kʰoŋ1	器皿穿了
□	pʰian3	器皿浅
□	ɬian4	器皿崩缺
□	tʃʰi3	回去
□	ȵɐŋ5	坚韧不折
□	mian2	大腹便便叫肚~~
□	pɐŋ5	宽敞
□	kʰɐn5	将液体倒掉
□	ŋun1	小孩讨要东西的哼唧声
□	kʰvɐt8	尖利物变钝
□	tɐm5	尽头
□	pʰai4	山野小路
□	lɐm5	崩塌
□	jɐi6	差，次
□	tok7	底部
□	lau4	开玩笑叫~笑
□	pɐi3	引水
□	lɐn1	念叨
□	niaŋ6	怎样
□	ȵun1	恶心
□	pʰi1	手、脚向两边分开
□	kʰɐt7	扬起
□	lam1	把物体从火焰上晃过
□	kʰəu2	把谷物等聚拢或拨开
□	mɐn3	把裤脚、衣袖挽起
□	tɐp7	把两物体挪近
□	ȵɐu1	抓
□	tɐu4	抓住
□	ɔm1	抱
□	kʰɐk8	抱
□	pʰiaŋ4	拍去衣服上的灰尘
□	piɐŋ1	拔(草)
□	tɐm3	拦截
□	tiɐŋ3	拿
□	ȵɐp7	拿，抓
□	ɬian2	按压手脚有刺处的感觉
□	peŋ3	挑水时水在桶里晃动
□	tʰian3	挣扎逃脱
□	tʰɐn4	挣扎
□	ŋi5	挤
□	ŋɛ5	挤
□	jiaŋ6	挥手驱赶
□	nai5	挨近
□	pian3	捆绑
□	lɔm3	捋(袖子或裤脚等)
□	loŋ3	掏
□	kʰɐm2	探望
□	tuŋ6	插竹竿使直立
□	mi1	揹
□	ŋok8	摇动使松脱
□	liau1	摘(果子)
□	kʰiaŋ6	攀爬
□	lɐm6	整齐地码起来
□	kʰiaŋ3	晃动热水使之快凉
□	man1	晾晒东西的竹编具
□	niau2	有弹性
□	fɐi4	木板干后扭曲不平直
□	li1	来
□	kep7	杮子生涩的味道
□	mɐu1	松软不实
□	tiɐŋ5	果蒂
□	nun1	植物的新芽
□	tʰun5	植物长新芽
□	ȵat7	欠债不还
□	tʰɐm5	欺骗
□	mi3	歪斜
□	ʃai3	歪、不正
□	miau3	歪斜
□	miaŋ1	水渠
□	nɐu2	水混浊
□	lui5	注意
□	kʰɐt8	浓稠
□	tiɐŋ6	液体溢出
□	kiu3	渔具
□	lɐi1	游玩
□	ɬɐu2	游荡
□	kʰɔm4	牙齿不好，慢慢咀嚼
□	lui1	牛嘴罩叫牛嘴~
□	ŋat7	狐臊气味
□	miau5	猪拱土
□	jəu1	玩笑
□	mai1	瓢
□	tʃʰian3	用工具把表皮分开
□	tʰiɐŋ6	用脚蹬被子
□	tʰɐp7	用刀斩断
□	ləp7	用手把散碎物聚拢
□	nɐt7	用筷子把食物分开
□	tɐp8	用重物压住
□	lɐt7	甩
□	tʃʰɔt8	男阴
□	fɐŋ6	疯玩，挥霍
□	hɔt8	疲劳
□	het8	疲劳
□	ȵəu5	病态，不精神
□	ȵau1	痒
□	hɐn2	痒
□	ȵap7	痒
□	ȵian1	皮肉翻露
□	ʃau6	看，瞅
□	ʃɔm6	看
□	jap7	眨
□	mɐi5	眼困
□	kʰɐŋ3	硌
□	hɔm3	碰撞
