#漢字	音標	解釋
㛐	sɔ3	
㛮	sɔ3	
㞙	niɔ5	名詞。
㞡	tsã3	
㨨	tsʰəu1	
㬉	nuã3	
㭰	tsei3	
㮤	xoŋ1	松樹。
㵣	kʰuɤ7	
㸣	iɛ7	
䆫	tsʰuɑ̃1	
䐗	tsu1	
䒱	tsə̃1	
䔖	liɪ̃2	
䘇	βə̃2	
䨮	ɕiɛ7	
䯳	soŋ1	鬆緊。
䰞	tsu3	
䱒	iɛ̃1	
一	i7	
七	tɕʰi7	
丈	tsɑ̃5	
三	sã1	
下	ɕia5	下面。
世	sɿ5	
丹	tã1	
主	tsu3	
九	tɕiəu3	
事	sɿ5	
二	ʌ5	
人	zə̃2	
件	tɕiɛ̃5	
任	zə̃5	任務。
休	ɕiəu1	
伱	ni3	
位	βei5	
余	y2	節余。
使	sɿ3	
使	sʌ3	
來	lai2	
俊	tɕyɪ̃5	
俗	su7	
保	pɔ3	
借	tɕiɛ5	借用。
偉	βei3	
傑	tɕiɛ7	
傘	sã3	
傳	tsʰuã2	宣傳。
傻	sa3	
像	ɕiɑ̃5	
儁	tɕyɪ̃5	
兄	ɕyoŋ1	
充	tsʰoŋ1	
先	ɕyɛ̃1	
光	kuɑ̃1	
兒	ə2	
入	zu7	
公	koŋ1	
六	lu7	
共	koŋ5	
兵	piɪ̃1	
典	tiɛ̃3	
冫	piɪ̃1	
冬	toŋ1	
冰	piɪ̃1	
冷	lə̃3	
凡	xã2	
凷	kʰuai5	
出	tsʰu7	
刀	tɔ1	
分	xuə̃1	分開。
初	tsʰuɤ1	
刮	kua7	
制	tsɿ5	
刷	sua7	
刺	tsʰɿ5	
刻	kʰʌ7	
刾	tsʰɿ5	
剝	pɤ7	
劔	tɕiɛ̃5	
力	li7	
動	toŋ5	
勻	yɪ̃2	
北	pʌ7	
十	sɿ7	
升	sə̃1	
南	nã2	
危	βei2	
厚	xəu5	
原	yɛ̃2	
去	tɕʰy5	
參	tsʰã1	參加。
參	sã1	
反	xuã3	
口	kʰəu3	
古	ku3	
句	tɕy5	
叫	tɕiɔ5	
吃	tsʰɿ7	
各	kɤ7	
君	tɕyɪ̃1	
吞	tʰə̃1	
含	xã2	
吹	tsʰei1	
呂	ly3	
周	tsəu1	
咸	ɕiɛ̃2	
品	piɪ̃3	
哭	kʰu7	
哲	tsʌ7	
唐	tʰɑ̃2	
啞	ia3	
啺	tʰɑ̃2	
善	sã5	
喆	tsʌ7	
喊	xã3	
喜	ɕi3	
嚂	xã3	
嚞	tsʌ7	
嚼	tɕyɤ7	
因	iɪ̃1	
國	kuɤ7	
圓	yɛ̃2	
圜	yɛ̃2	
土	tʰu3	
在	tsai5	
地	ti5	
均	tɕyɪ̃1	
坎	kʰã3	
坐	tsuɤ5	
坑	kʰə̃1	
垕	xəu5	
域	y7	
基	tɕi1	
埿	ni2	
堖	nɔ3	
塊	kʰuai5	
塔	tʰa7	
墓	mu5	
增	tsə̃1	
墬	ti5	
墳	xuə̃2	
壁	pi7	
壞	xuai5	
多	tuɤ1	
夜	iɛ5	
大	ta5	
太	tʰai5	
失	sɿ7	
夾	tɕia7	夾袄。
女	ny3	
好	xɔ3	好壞。
如	zu2	
妹	mei5	
妻	tɕi1	
姦	tɕiɛ̃1	
姨	i2	
娘	niɑ̃2	
婆	pʰɤ2	
婚	xuə̃1	
婦	ɸu5	
嫂	sɔ3	
嫌	ɕiɛ̃2	
字	tsɿ5	
宏	xoŋ2	
官	kuã1	
客	kʰʌ7	
宣	ɕyɛ̃1	
害	xai5	
家	tɕia1	
富	ɸu5	
寒	xã2	
寫	ɕyɛ3	
寫	ɕiɛ3	
寬	kʰuã1	
寰	ɕiɛ̃5	
寺	sɿ5	
小	ɕiɔ3	
尖	tɕiɛ̃1	
尾	βei3	
尾	i3	
尿	niɔ5	名詞。
局	tɕy7	
居	tɕy1	
屋	u7	
屎	sɿ3	
展	tsã3	
屯	tʰə̃2	
山	sã1	
巢	tsʰɔ2	
布	pu5	
師	sɿ1	
幣	pi5	
幫	pɑ̃1	
年	niɛ̃2	
幼	iəu5	
牀	tsʰuɑ̃2	
庿	miɔ5	
廟	miɔ5	
廠	tsʰɑ̃3	
建	tɕiɛ̃5	
弌	i7	
弍	ʌ5	
弎	sã1	
弓	koŋ1	
弟	ti5	
弱	zuɤ7	
張	tsɑ̃1	
強	tɕʰiɑ̃2	強壯。
彎	βã1	
彪	piɔ1	
彭	pʰoŋ2	
律	ly7	
徐	ɕy2	
循	ɕyɪ̃2	
德	tʌ7	
徽	xuei1	
心	ɕiɪ̃1	
忙	mɑ̃2	
快	kʰuai5	
念	niɛ̃5	
怒	nu5	
急	tɕi7	
怪	kuai5	
恠	kuai5	
恩	ɣə̃1	
恭	koŋ1	
息	ɕi7	
恾	mɑ̃2	
悊	tsʌ7	
惡	uɤ7	惡人。
惪	tʌ7	
愁	tsʰəu2	
愛	ɣai5	
感	kã3	
慢	mã5	
慧	xuei5	
憑	pʰiɪ̃2	
或	xuɤ7	
房	xuɑ̃2	
扁	piɛ̃3	
打	ta3	
抓	tsua1	
抽	tsʰəu1	
拔	pa7	
招	tsɔ1	
拜	pai5	
挂	kua5	
捉	tsuɤ7	
排	pʰai2	
掛	kua5	
接	tɕiɛ7	
插	tsʰa7	
搖	iɔ2	
摘	tsʌ7	
攃	tsʰa7	
支	tsɿ1	
改	kai3	
敗	pai5	
敢	kã3	
敲	tɕʰiɔ1	
敶	tsʰə̃2	
數	su3	數一遍。
料	liɔ5	
斤	tɕiɪ̃1	
斧	ɸu3	
斬	tsã3	
新	ɕiɪ̃1	
方	xuɑ̃1	
族	tsʰu7	
日	zɿ7	
昇	sə̃1	
昋	kuei5	
星	ɕiɪ̃1	
春	tsʰuə̃1	
暖	nuã3	
曉	ɕiɔ3	
曐	ɕiɪ̃1	
書	su1	
最	tsei5	
會	xuei5	
月	yɛ7	
朋	pʰoŋ2	
木	mu7	
末	mɤ7	
本	pə̃3	
朵	tuɤ3	
朶	tuɤ3	
李	li3	
村	tsʰə̃1	
杭	xɑ̃2	
松	xoŋ1	松樹。
林	liɪ̃2	
柈	pʰã2	
柱	tsu5	
柳	liəu3	
柴	tsʰai2	
桂	kuei5	
桌	tsuɤ7	
桑	sɑ̃1	
桒	sɑ̃1	
條	tʰiɔ2	
梯	tʰi1	
棉	miɛ̃2	
棚	pʰoŋ2	
椀	βã3	
椅	i3	
業	iɛ7	
極	tɕi7	
榮	yoŋ2	
槃	pʰã2	
槍	tɕʰiɑ̃1	
橋	tɕʰiɔ2	
橘	tɕy7	橘子。
橫	xoŋ5	横竪。
權	tɕʰyɛ̃2	
欱	xuɤ7	喝水。
歇	ɕiɛ7	
歉	tɕʰiɛ̃5	
歌	kuɤ1	
正	tsə̃1	正月。
步	pu5	
武	βu3	
死	sɿ3	
殺	sa7	
毀	xuei3	
毉	i1	
毒	tu7	
比	pi3	
氣	tɕʰi5	
水	sei3	
汪	βɑ̃1	
沃	lu7	
沈	tsʰə̃2	
沉	tsʰə̃2	
沙	sa1	
河	xuɤ2	
油	iəu2	
治	tsɿ5	
泉	tɕʰyɛ̃2	
法	xua7	
泥	ni2	
洒	ɕi3	
洗	ɕi3	
活	xuɤ7	
浪	nɑ̃5	
浴	y7	
海	xai3	
涉	sʌ7	
淚	lei5	
深	tsʰə̃1	
清	tɕʰiɪ̃1	
減	tɕiɛ̃3	
渴	kʰuɤ7	
滅	miɛ7	
滑	xua7	
滿	mã3	
漏	nəu5	
濃	noŋ2	
灋	xua7	
火	xuɤ3	
灮	kuɑ̃1	
灰	xuei1	
炁	tɕʰi5	
炅	kuei5	
炔	kuei5	
炮	pʰɔ5	
烝	tsə̃1	
焦	tɕiɔ1	
然	zã2	
煑	tsu3	
煖	nuã3	
煗	nuã3	
熟	su7	
熱	zʌ7	
燒	sɔ1	
燭	tsuɤ7	
爬	pʰa2	
父	ɸu5	
牀	tsʰuɑ̃2	
牌	pʰai2	
牎	tsʰuɑ̃1	
犂	li2	
犧	ɕi1	
犬	tɕʰyɛ̃1	
狂	kʰuɑ̃2	
狗	kəu3	
狨	zoŋ2	
狹	ɕia7	狹窄。
猛	moŋ3	
豬	tsu1	
獲	xuɤ7	
王	βɑ̃2	
班	pã1	
瓜	kua1	
瓤	zɑ̃2	
瓦	βa3	
瓶	pʰiɪ̃2	
甎	tsuã1	
甜	tʰiɛ̃2	
生	sə̃1	
產	tsʰã3	
用	yoŋ5	
甲	tɕia7	
界	tɕiɛ5	
畞	mu3	
畫	xua5	
畮	mu3	
疫	i7	
病	piɪ̃5	
瘂	ia3	
發	xua7	發達。
白	pʌ7	
百	pʌ7	
皮	pʰi2	
盌	βã3	
