#漢字	音標	解釋
□	luã5	(粥等)黏稠:~乎
□	ɳʅ1	~呐,赞应语
□	mu1	~牙,没牙齿的老人咀嚼食物
□	ly1	~唇:被条状物打过留下的伤痕
□	fã1	~~,批评(小孩儿)
□	uɑu1	~,狗叫声
□	yɛ1	~~,贬指人说话不清
□	ɳei1	~养,养育
□	tən1	~ləɳ꜋,赘肉下垂貌
□	xən1	~睹,怒视
□	tɕiən1	~张,催促
□	ɳəŋ1	~~,脚尖触地站立
□	sɒ2	~摸,寻觅
□	tsʰiɒ2	~~,小镲
□	ʂuɒ2	~一遍,挑选
□	ʂɑu2	~打
□	suo2	~气,小气
□	tʂuei2	~~,锥形物
□	lən2	~təɳ꜋,见于人名
□	tsiɛ3	~在,使用时小心
□	mei3	~列,摆放,排列
□	tʂʰã5	~子,用来盛猪食的用具
□	uɑu5	~子,民间为死者打印纸钱儿的工具
□	tsʰuəŋ5	~管,任凭
□	ʂei1	“是不欸”三字合音,向人陈说某个事情后探问对方态度时的问询语
□	tɕiɛ3	“几个”二字合音
□	tʂʰuəŋ1	一~牌,一副牌
□	tiou3	一~儿,少量
□	luən3	一~子
□	tʰuã3	劝使同意;怂恿
□	tʂʰou0	动词后缀儿:锯~,弄~
□	ã3	发现感到惊异或存疑不敢肯定的事情时的用语:~,你还没走啊?
□	tsɿ1	只、仅:~你一个人知道
□	ɕiəŋ1	器具用材单薄而不坚固
□	iəŋ0	固~,蠕动
□	lɑŋ1	坑骗
□	tɕʰiã5	坟~儿,坟地
□	u5	对~,故意
□	ɳuəŋ1	将就,凑合
□	tɕʰy2	小气
□	lã2	干~里,只
□	əŋ1	应答语
□	əŋ5	应答语
□	tɕʰiɑu2	很(多用于臭、酸等令人厌恶的气味)
□	ɑŋ3	恳求别人答应自己要求时的探询语(多见于妇女与小儿)
□	tɕʰiou1	成色差
□	tʰai3	打~,一种游戏
□	ʂɑu2	投,扔
□	piɒ1	拍击声
□	pʰiɒ1	拍击声
□	kʰuai1	拍打
□	piɑŋ1	拍击声
□	pʰiɑŋ1	拍击声
□	ku1	拨动:~拉
□	tʰou5	掉落
□	tʰiou5	掉落
□	kʰən2	棒状物表层的横向沟槽儿
□	fã5	湿疹
□	ɕi5	煮饭溢出
□	tʂou1	牛马等踢
□	ɳai1	甜古~里
□	uai1	用木棍等把中间的东西拨出
□	ləŋ1	用棍子打
□	ʂou3	用干物擦拭或碾压使干净
□	tsʰou1	疾掠声
□	sɑu2	瞥,~见
□	ɕiəŋ5	砌砖一层叫一~
□	tsei1	窥视
□	tɕʰiou3	米饭煮熟后继续文火使变得更加黏稠
□	lɑŋ1	细长物体吊挂貌
□	ȵiɑŋ5	胀痛
□	pɑŋ2	葱~~,葱的花梗
□	xuɒ0	虚~儿,娇气
□	tɕiɑŋ3	虫类蠕动
□	miã1	衣服肥大部分叠衬在里面并缝住
□	yã1	衣物肥大部分叠衬在里面或从外面卷起
□	ʐʅ1	象声词,物体迅速掠过发出的声音
□	xuɒ1	超越:~过去了
□	puo3	蹦蹦~儿,玩具
□	uɒ2	身体虚弱
□	ʐəŋ1	飞速闪过貌
㓦	pai1	~划,安排
㓱	tʰou2	用细物穿入使孔洞通畅
㞎	pɒ3	~~,屎
㞘	tu1	蜜蜂、蝎子等的尾部
㞞	suəŋ2	
擓	kʰuai3	~痒痒
擓	kʰuai3	挎
㪗	tʰou2	把用肥皂洗过的衣物放入清水中涮去脏物
㬤	tɕʰi1	湮湿
殨	xuei5	~脓
瞜	lou0	眍~
䃰	tsʰɒ1	礓~儿,《深县方言志》
襬	pai3	《深县方言志》
䜺	tʂʰai1	豆~子
䝼	tsʰiəŋ2	~受
鐯	tʂuɑu1	~棒子
一	i1	
丁	tiəŋ1	
七	tsʰi1	
万	uã5	
丈	tʂɑŋ5	
三	sã1	
上	ʂɑŋ5	~去
上	ʂɑŋ3	平~去入
下	ɕiɒ5	
不	pu1	单用及在上声前
不	pu3	在阴平阳平去声前
与	y3	
丐	kai5	
丑	tʂʰou3	
專	tʂuã1	
且	tsʰiɛ3	~完不了事儿
且	tsʰiɛ1	而~
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piəŋ3	
業	iɛ5	~障
東	tuəŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丢	tiou1	
丢	tiou0	咕~,蹲貌
丢	tiou0	摸~,溜达
兩	liɑŋ3	
嚴	iã2	
喪	sɑŋ5	~气
喪	sɑŋ1	报~
个	kɤ5	
丫	iɒ1	
中	tʂuəŋ1	~心
中	tʂuəŋ5	~弹
丰	fəŋ1	
串	tʂʰuã5	
臨	liən2	
丸	uã2	
丹	tã1	
爲	uei5	~何
爲	uei2	年轻有~
主	tʂu3	
麗	li5	
舉	tɕy3	选~
乃	ɳai3	
久	tɕiou3	
麽	muo0	这~,哈~,那么
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂɒ2	
乎	xu1	
乎	xu0	屁~;啼~
乎	xu0	黧~,厉害
乏	fɒ2	
樂	lɤ5	快~
樂	iɑu5-	音~
樂	yɛ5=	音~
乒	piəŋ1	~乓球
乒	pʰiəŋ1	~乓球
乓	pɑŋ1	乒~球
乓	pʰɑŋ1	乒~球
喬	tɕʰiɑu2	姓~
乖	kuai1	
乘	tʂʰəŋ2	~除
乙	i3	
九	tɕiou3	
乞	tɕʰi1	
乞	tɕʰi3	
也	iɛ3	
習	si2	
鄉	ɕiɑŋ1	
書	ʂu1	
買	mai3	
亂	luã5	
乳	ʐu3	
乾	tɕʰiã2	~坤
了	liɑu3	~解
了	lã0	动态助词;语气词
予	y5	
爭	tʂəŋ1	
事	ʂʅ5	
二	ɭʅ5	
于	y2	
虧	kʰuei1	
云	yən2	
互	xu5	
五	u3	
井	tsiəŋ3	
亘	kən5	~古
亞	iɒ5	
些	siɛ1	
些	sɿ1-	些个:这~人
亡	uɑŋ2	
亢	kʰɑŋ5	
交	tɕiɑu1	
亥	xai5	
亦	i1	
產	tʂʰã3	
亨	xəŋ1	
畝	mu3	
享	ɕiɑŋ3	
京	tɕiəŋ1	
亭	tʰiəŋ2	
亮	liɑŋ5	
親	tsʰiən1	
親	tsʰiəŋ5	~家
人	ʐən2	
億	i5	
什	ʂʅ2	
什	ʂou3-	~么
什	ʂən3=	~么
仁	ʐən2	
