#漢字	音標	解釋
□	tsuẽ3	(一)蕊:個~花
□	sio1	khio21~:蜘蛛
□	iã6	liu55~:一種小的蛤蜊
□	ka3	sɿ21~:蘆葦
□	lã2	tshã21~:螳螂
□	le1	~~蟲:蛞蝓
□	tiŋ1	~心:摘心
□	lo2	~鴉仔:烏鴉
□	kʰio2	~sio33:蜘蛛
□	tʰɵ2	~櫥:抽屜
□	ŋau2	~頭:回頭
□	lã2	~鹽:抹鹽
□	tsʰã2	~lã21:螳螂
□	ŋ̍2	~個多:這樣多
□	to3	~膣:媾和
□	pã3	~開:撥開
□	ŋɛ̃3	~頭:點頭
□	tʰu5	~细so21:生孩子
□	kʰo5	~khe33:胯下
□	kʰã5	~~好:剛剛好
□	kuẽ5	~菜:空心菜
□	io6	~食:貪吃
□	tsʰe6	~嬌:耍賴
□	liu6	~iã55:一種小的蛤蜊
□	kʰəŋ6	~~顫:發抖
□	leʔ7	~仔:釦子
□	taʔ7	下~:下巴
□	e6	丟
□	ho1	個~:一粒
□	ma1	做~逃:捉迷藏
□	kʰəŋ3	傾倒
□	kʰɛ̃2	凝結
□	so2	別~:別人
□	kaʔ7	動物咬
□	sau5	包仔~:餡
□	tsau1	口~:口乾
□	lue2	吐舌頭
□	tu6	呃咕~:間歇性打嗝
□	kau5	寶物
□	la6	就~:只有
□	tsʰã3	忽而跳
□	tsʰɵ1	戳
□	pʰuẽ3	披覆
□	pe1	拔
□	tʰo6	招~來:入贅
□	he6	持續體,又讀陰平
□	tiŋ5	捅、推擊
□	mɵ1	捧
□	kua3	搧(耳光)
□	pʰiẽ3	搧(耳光)
□	mia1	摸
□	fia5	撒播
□	hue2	放~:培土培肥
□	kã5	有~:有效
□	tiŋ3	樹~:樹墩
□	tʰi2	毋~:不要
□	tʰi2	毋~嚇:不怕打
□	kiaʔ7	澀
□	hɛ̃2	火猛
□	se1	牛樵~:牛鞭子
□	mã3	瓣
□	fiẽ5	甩
□	pʰoŋ6	田~:高的田坎
□	tsʰau2	發燒
□	lɛ̃5	睜眼
□	liã6	睡個~:睡一下
□	tʰɵ2	耳~:耳垂
□	tsʰi6	耳~:耳釘
□	tiŋ1	脧liŋ33~:(男孩)光著下體
□	liŋ1	脧~tiŋ33:(男孩)光著下體
□	liʔ7	脫皮
□	ã5	自家,咱
□	liã5	舔
□	kʰəŋ1	蝦~:蝦子
□	vi6	蟬蟬~:知了
□	tsʰo5	跌落
□	kʰiã6	跨
□	tʰã1	踮腳
□	nã5	踮腳
□	liã5	踮腳
□	pu1	蹲
□	ku1	蹲
□	te6	這(tsa31)~:這些
□	ve1	那
□	maʔ7	酒~:酒窩
□	kʰaʔ7	醜陋
□	kʰe2	陡;崎~:崎嶇
□	sia5	雷公~:蜈蚣
□	kaʔ7	青~:青蛙
□	lo2	頭~:腦袋
□	foʔ7	鬆開
□	tsʰa6	黃~:蟑螂
㬹	tsã1	
䀴	ŋiã5	
䁐	ŋiã5	
䌈	tʰiaʔ7	綁
䘆	kʰiẽ3	
钁	kioʔ7	
䧘	tsʰuẽ1	戶~:門檻
䭕	tsʰiẽ3	味道淡
一	iʔ7	又
一	ieʔ7	第~名
丁	tɛ̃1	
七	tsʰiʔ7	
丈	tsʰoŋ6	一~
丈	tsʰoŋ3	姑~
三	sã1	
上	soŋ3	上山
上	soŋ6	上面
下	ho3	
下	ho6	~水
丐	kue5	
丑	tsʰiu3	
且	tsʰia3	
丕	pʰi1	
世	se5-	
世	sɿ5=	
丘	kʰiu1	
丙	piŋ3	
丞	tsʰiŋ2	
並	piŋ5	
中	tsəŋ5	射中
中	tsəŋ1	當中
丸	iẽ2	
丹	tuẽ1	
主	tsi3	
久	kiu3	
么	iau1	
乏	faʔ7	
乙	ieʔ7	
九	kiu3	
也	ia3	
乳	i3	
乾	kuẽ1	
乾	tsʰiẽ2	乾坤
亂	luẽ6	
了	lau3-	
了	liau3=	
事	sɿ6=	
事	sai6-	做~
二	ŋi6	
于	i2	
互	fu6	
五	ŋ̍3	
五	əŋ3	又
井	tsiã3	
亞	o5	
亡	moŋ2	
交	kau1	
亥	hue6	
享	soŋ3	
京	kiŋ1	
亭	tʰiŋ2	
人	ŋiŋ2	
仁	ŋiŋ2	
仁	iŋ2	又
仇	tsʰiu2	
今	kiŋ1	
介	kai5	
仔	tsai3	
仗	tsoŋ5	
付	fu5	
仙	siẽ1	
代	tʰue6-	
代	tai5=	交~
令	liŋ6	
以	i3	
仰	ioŋ3	
仲	tsəŋ5	
件	kʰiẽ6	
任	iŋ6	
份	fiŋ6	
仿	foŋ3	
企	kʰi6	
伍	ŋ̍3	
伍	əŋ3	又
伏	pʰu6	
伐	foʔ7	
休	siu1	
伯	poʔ7	伯伯;老~:大哥
估	ku3	
伴	pʰuẽ5	
伴	pʰuẽ6	又
伶	lɛ̃2	
伸	tsʰiẽ1	
佃	tʰiẽ6	
但	tʰã6	
佈	pu5	
位	vi6	
低	ti1	
住	tsʰi6	
佐	tsɵ3	
佔	tsoŋ5	
何	hɤ2	
何	hɵ2	
余	i2	
佛	fɵ6=	~祖
佛	fi6-	拜~
作	tsɵʔ7	
你	lai3	第二人稱
佢	kʰe3	第三人稱
佩	pʰi5	
佳	ko1	
併	piŋ5	
使	se3-	
使	sɿ3=	
來	li2-	
來	lai2=	將~
例	le6	
侍	sɿ6	
供	kʰiəŋ6	供養
供	kəŋ1=	提~
供	kiəŋ1-	餵養
侯	hai2	
侵	tsʰiŋ1	
便	pʰɛ̃2	
便	pʰiẽ6	
係	si6	
促	tsʰuʔ7	
俄	ŋɤ2	
俄	ŋɵ2	
俊	tsiŋ5	
俗	suʔ7	
俘	fu6	
保	pau3	
信	siŋ5	
修	siu1	
俱	kʰi1	
俸	fəŋ6	
倉	tsʰoŋ1	
個	ki5-	~隻:一隻
個	ka5=	~人:一個人
倌	kuẽ1	阿~:公公
倍	pi5	
倒	tau3	
倔	keʔ7	
倗	pʰɛ̃6	
候	hai6	
借	tsia5	
倡	tsʰoŋ5	
倫	luĩ2	
倫	liŋ2	又
值	tsʰɿ6	
假	ko3	
假	ko3	放~
偉	vi3	
偋	pʰiã6	藏
偏	pʰiẽ1	
做	tsɿ5	
停	tʰiŋ2	
健	kʰiẽ6	
側	tsʰeʔ7	
偵	tsiŋ1	
偷	tʰai1	
傍	poŋ3	~飯:下飯
傑	keʔ7	
傘	suẽ3	
備	pʰi6	
催	tsʰui1	
傲	ŋau6	
傳	tsʰiẽ2	
傳	tsuẽ5	傳記
債	tsue5	
傷	soŋ1	
傾	kʰiŋ3	
僆	luẽ6	雞~:小母雞
像	sioŋ5	
僑	kʰiau2	
僵	kioŋ1	
價	ko5	
僻	pʰi6	又
僻	pʰiʔ7	孤~
儀	ŋi6	
億	i5	
儒	lu2	
儘	tsiŋ3	一直
償	soŋ3	
優	iu1	
允	iŋ3	
元	iẽ2	
兄	siəŋ1	
充	tsʰəŋ1	
兆	tsau5	
兇	siəŋ1	
先	siẽ1	
光	koŋ1	
克	kʰeʔ7	
免	miẽ3	
兒	e2	
兔	tʰu5	
兜	tai1	
入	ŋi6	
内	lui6=	~科
内	lue6-	腹~
全	tsʰiẽ2	
兩	lioŋ3	兩個
兩	lioŋ3	幾兩
八	paʔ7	
公	kəŋ1	
六	liu6	
共	kʰiəŋ6	
兵	piŋ1	
其	kʰi2	
具	kʰi6	
典	tiẽ3	
兼	kã1-	
兼	kiẽ1=	
册	tsʰeʔ7	
再	tsai5	
冒	mau6	
冠	kuẽ5	
冤	iẽ1	
冬	təŋ1	
冰	pɛ̃1	
冷	lɛ̃3	
准	tsiŋ3	
凌	lɛ̃2	
凍	təŋ5	
凡	fã2	
凭	pʰɛ̃6	
凱	kʰai3	
凳	tɛ̃5	
凶	siəŋ1	
出	tsʰeʔ7	
函	huẽ2	
刀	tau1	
刁	tiau1	
分	piŋ1-	
分	fiŋ1=	
切	tsʰeʔ7	
刊	kʰoŋ1	
刑	siŋ2	
划	fo2	
列	le6	
初	tsʰu1	
判	pʰuẽ5	
别	pʰe6=	
别	pʰi6-	~so21:別人
刨	pʰau2	
利	li6	
删	sã1	
刮	kuaʔ7	
到	tau5	
制	tsɿ5	
刷	siʔ7	
券	kʰiẽ5	
刺	tsʰɿ5	
刻	kʰeʔ7	
刴	tɵ5	
剃	tʰe5	
則	tseʔ7	
削	sioʔ7	
前	tsʰiẽ2=	
前	tsʰã2-	~暝:昨天
刹	saʔ7	
剝	pioʔ7	
剪	tsiẽ3	
副	fu5	
割	kuaʔ7	
創	tsʰiẽ5	~造
剿	tsiau3	
劂	keʔ7	閹割
劃	fo5	
劇	kiʔ7	劇烈
劇	kʰiuʔ7	戲劇
劈	pʰeʔ7-	
劈	pʰiaʔ7=	
劉	liu2	
劊	kʰai5	
劍	tsiẽ5	
劑	tsi5	
力	le6	
功	kəŋ1	
加	ko1	
劣	le6	
助	tsʰu6	
努	lu3	
劫	keʔ7	
勁	kiŋ5	~敵
勇	iəŋ3	
勉	miẽ3	
動	tʰəŋ3	
勝	siŋ6	
勞	lau2	
募	mu6	
勢	sɿ5	
勤	kʰiẽ2	
勳	siŋ1	
勵	li6	
勸	kʰiẽ5	
匀	ŋɛ̃2	
勾	kai1	
包	pau1	
匏	pʰu2	瓠
化	fo5	
北	peʔ7	
匙	se2	
匠	tsʰioŋ6	
匡	kʰoŋ1	
匪	fi3	
匯	fi6	
匹	pʰiʔ7	
匾	piẽ3	
區	kʰi1	
十	sɿ6	
千	tsʰiẽ1	
升	siŋ1	
午	ŋ̍3	
午	əŋ3	又
半	puẽ5	
卑	pi1	
卒	tsiʔ7	
卓	tsɵʔ7	
協	se6	
南	nã2	
博	pɵʔ7	
卜	pʰu3	
卦	kua5	
卯	mau3	
印	iŋ5	
危	vi2	
即	tsiʔ7	
卵	luẽ3	
卷	kiẽ5	
厚	hai3-	
厚	hai6=	
厝	tsʰɵ5	房子
原	iẽ2	
厭	iẽ5	
厲	li6	
去	kʰu5-	
去	kʰi5=	過~
參	tsʰã1	
參	sɛ̃1	
又	iu6	
叉	tsʰo1	
及	kʰi6	
友	iu3	
反	fã3	
叔	siuʔ7	
受	siu6	
叛	pʰã5	
叢	tsʰəŋ2	
口	kʰai3	
古	ku3	
句	ki5	
另	liŋ6	
叩	kʰai5	
叫	kiau5	
召	tsau1	
可	kʰɤ3	
可	kʰɵ3	
史	sɿ3	
右	iu6	
司	sɿ1	
吂	mã2	不曾
各	kɵʔ7	
合	ho6	~算
