#漢字	音標	解釋
□	tsʰa1	~湿
□	ta3	~春:立春
□	tɕiaŋ1	婴儿:奶毛~子
□	pʰaŋ3	手~:指甲
□	pʰi2	打~寒:发疟疾
□	lɛ1	现在
□	tsan3	现在
□	tsʰan1	白~:白鲦鱼
□	tən1	积滞
□	lian2	踅子
□	iɛ1	阉公的猪
□	pʰo1	风~:扇车
䍉	tsai2	残缺损伤的痕迹
膞	tɕʯan1	鸟类的胃
䖳	tsʰa1	
䝼	tɕʰin2	坐享其成,等着
䥛	tɕʰiɛ1	镰刀
一	i1	
丁	tin1	
七	tɕʰi1	
万	uan5	
丈	tsaŋ5	
三	san1	
上	saŋ5	~去
上	saŋ5	~面
下	ɕia5	~降
下	ɕia5	底~
不	pu1	
与	ʯ5	
丐	kai5	
丑	tsʰəu3	
專	tsuan1	
且	tɕʰiɛ1	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	iɛ1	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
絲	sɿ3	
丞	tsʰən2	
丢	tiəu1	
兩	liaŋ3	~斤
兩	liaŋ3	几~
嚴	ȵian2	
喪	saŋ1	
喪	saŋ5	
个	kuo5	
丫	ia1	
中	tsoŋ5	射~
中	tsoŋ1	当~
丰	fən1	
串	tɕʰʯan5	
臨	lin2	
丸	uan2	
丹	tan1	
爲	uei5	~什么
爲	uei5	作~
主	tɕʯ3	
麗	li5	
舉	tɕʯ3	
乃	lai3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
乏	fa2	
樂	luo1	
樂	ʯo1	
喬	tɕʰiɑu2	
乖	kʰuai1	
乘	tsʰən2	
乙	i3	
九	tɕiəu3	
乞	tɕʰi3	
也	iɛ3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ɕʯ1	
買	mai3	
亂	lan5	
乳	zu3	
乾	tɕʰian2	
了	liɑu3	
爭	tsən1	
事	sɿ5	
二	ɚ5	
于	ʯ2	
虧	kʰuei1	
云	ʯn2	
互	fu5	1
互	xu5	2
五	u3	
井	tɕin3	
些	ɕiɛ3	
亡	uaŋ2	
交	tɕiɑu1	
亥	xai5	
亦	i5	
產	tsʰan3	
亨	xən2	
畝	mu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
親	tɕʰin5	~家
人	zən2	
億	i5	
什	sɿ2	~物
仁	zən2	
僅	tɕin3	
仆	pʰu1	~倒
仇	tsʰəu2	
