#漢字	音標	解釋
一	iəʔ7	
七	tɕʰiəʔ7	
万	væn5	
三	sæn1	
上	ʂɑ̃5	
下	ɕia5	
世	sɿ5	
業	iɐʔ7	
東	tuŋ1	
絲	sɿ1	
丢	tiou1	
兩	liɑ̃3	
嚴	ie2	
个	kɤ5	
中	tʂuŋ1	
丰	fəŋ1	
主	tʂu3	
舉	tɕy3	
義	i5	
烏	u1	
九	tɕiou3	
習	ɕiəʔ7	
書	fu1	白
書	ʂu1	文
買	mɛ3	
亂	luæn5	
爭	tʂəŋ1	
事	sɿ5	
二	ɭə5	
虧	kʰuei1	
云	yẽ2	
五	u3	
井	tɕiəŋ3	
交	tɕiɔ1	
產	tʂʰæn3	
亮	liɑ̃5	
親	tɕʰĩ1	
人	ʐẽ2	
倉	tsʰɑ̃1	
付	fu5	
件	tɕie5	
任	ʐẽ5	
休	ɕiou1	
優	iou1	
會	xuei5	
傘	sæn3	
傳	tʂʰuæn2	
傳	tʂuæn5	
傷	sɑ̃1	
位	uei5	
低	ti1	
住	tʂu5	
余	y2	
佛	fu2	
作	tʂuʌʔ7	
使	ʂʅ3	
侄	tʂʅ2	
側	tsʰɐʔ7	
側	tʂɐʔ7	~棱
便	pie5	
俊	tɕyẽ5	
修	ɕiou1	
借	tɕiɛ5	
假	tɕia3	
做	tʂuʌʔ7	
做	tsou5	~活，~饭
停	tʰiəŋ2	
健	tɕie5	
偷	tʰou1	
像	ɕiɑ̃5	
僧	ʂəŋ1	
兒	ɭə2	
兄	ɕyŋ1	
充	tʂʰuŋ1	
先	ɕie1	
光	kuɑ̃1	
黨	tɑ̃3	
入	vəʔ7	
全	tɕʰye2	
八	pʌʔ7	
公	kuŋ1	
六	luəʔ7	白
六	liou5	文
蘭	læn2	
共	kuŋ5	
關	kuæn1	
興	ɕiəŋ5	
兵	piəŋ1	
典	tie3	
寫	ɕiɛ3	
軍	tɕyẽ1	
冤	ye1	
冬	tuŋ1	
冰	piəŋ1	
冲	tsʰuŋ1	~锋
冲	tʂʰuŋ5	脾气~
決	tɕyɐʔ7	
冷	ləŋ3	
凍	tuŋ5	
準	tʂuẽ3	
減	tɕie3	
湊	tsʰou5	
几	tɕi3	
鳳	fəŋ5	
凳	təŋ5	
凶	ɕyŋ1	
出	tʂʰuəʔ7	
擊	tɕiəʔ7	
刀	tɔ1	
分	fẽ1	
切	tɕʰiɐʔ7	
划	xua5	
列	liɐʔ7	
初	tʂʰu1	
判	pʰæn5	
别	piɛ2	
刮	kuʌʔ7	~风
刮	kua3	~胡
制	tʂʅ5	
刷	fʌʔ7	
刺	tsʰɿ5	
刻	kʰʌʔ7	
剃	tʰi5	
削	ɕyɐʔ7	剥~
削	ɕiɔ1	~笔
前	tɕʰie2	
劍	tɕie5	
