#漢字	音標	解釋
□	pa3	~得:不怕得
□	xa1	抓
□	tʰuaⁿ3	拉拢
□	muᶹ5	指思维迟纯
□	pʰa1	软
一	i1	
丁	tin1	
七	tɕʰi1	
万	uaⁿ5	
三	saⁿ1	
上	sɑᵑ5	
下	ɕia5	
下	xa1	白
下	xa5	白
不	puᶹ1	
与	y3	
丑	tsʰəu3	
專	tsuaⁿ1	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丢	tiəu1	
兩	niɑᵑ3	
个	ko5	
丫	ia1	
中	tsoŋ1	~间
中	tsoŋ5	~弹
串	tsʰuaⁿ5	
臨	nin2	
丹	taⁿ1	
爲	uei2	作~
爲	uei5	因~
主	tsuᶹ3	
麗	y3	
麗	ni5	
舉	tɕy3	
乃	nae3	
久	tɕiəu3	
之	tsɿ1	
烏	vuᶹ1	
乏	fa1	
樂	no1	快~
樂	io1	音~
喬	tɕʰiɑo2	
乖	kuae1	
乘	sein2	
乙	i1	
九	tɕiəu3	
乞	tɕʰi1	
也	ie3	
習	ɕi1	
鄉	ɕiɑᵑ1	
書	suᶹ1	
買	mae3	
亂	nuaⁿ5	
乳	zuᶹ3	
了	a3	
了	niɑo3	~结
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
云	yn2	
互	fuᶹ5	
五	vuᶹ3	
井	tɕin3	
亞	ia5	
些	ɕie1	
些	se1	白
亡	uɑᵑ2	
交	tɕiɑo1	
亦	i1	
產	tsʰaⁿ3	
畝	moŋ3	
享	ɕiɑᵑ3	
京	tɕin1	
亭	tʰin2	
親	tɕʰin1	
人	zein2	
億	i5	
仁	zein2	
僅	tɕin3	
仆	pʰuᶹ1	
仇	tsʰəu2	
仇	tɕʰiəu2	姓
今	tɕin1	
介	tɕie5	
仍	zein1	
仍	zein5	
从	tsʰoŋ2	
仑	nein2	
倉	tsʰɑᵑ1	
他	tʰa1	
付	fuᶹ5	
仙	ɕiɛⁿ1	
令	nin5	
以	i3	
仲	tsoŋ5	
件	tɕiɛⁿ5	
價	tɕia1	
任	zein2	姓
任	zein5	责~
仿	fɑᵑ3	
企	tɕʰi5	
伍	vuᶹ3	
伏	fuᶹ1	
伐	fa1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	xuei5	
會	kʰuae5	~计
傘	saⁿ3	
偉	uei3	
傳	tsʰuaⁿ2	~达
傳	tsuaⁿ5	~记
傷	sɑᵑ1	
倫	nein2	
僞	uei5	
伯	pae1	
估	kuᶹ3	
似	sɿ5	
但	taⁿ5	
位	uei5	
低	ti1	
住	tsuᶹ5	
體	ɕiəu1	
體	tʰi3	
何	xo2	
余	y2	
佛	fuᶹ1	
作	tso1	
你	ȵi3	
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	tsɿ1	
例	ni5	
供	koŋ1	~不起
供	koŋ5	~养
依	i1	
側	tsʰae1	
僑	tɕʰiɑo2	
侯	xəu2	
便	piɛⁿ5	
促	tsʰuᶹ1	
俊	tɕyn5	
俗	suᶹ1	
保	pɑo3	
信	ɕin5	
修	ɕiəu1	
俯	fuᶹ3	
倒	tɑo3	~塌
倒	tɑo5	~水
倚	i3	
借	tɕie5	
值	tsɿ1	
傾	tɕʰyn1	
假	tɕia3	
停	tʰin2	
偶	ŋəu3	
偷	tʰəu1	
償	sɑᵑ2	
傅	fuᶹ5	
催	tsʰuei1	
傲	ŋɑo5	
傻	sa3	
傻	xa3	俗
像	ɕiɑᵑ5	文
像	tɕʰiɑᵑ5	白
僕	pʰuᶹ1	
僻	pʰi1	
儒	zuᶹ3	
兒	ɚ2	
允	yn3	
元	yɛⁿ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
先	ɕiɛⁿ1	
光	kuɑᵑ1	
光	kuɑᵑ5	口
克	kʰe1	
免	miɛⁿ3	
兑	tei5	
兔	tʰuᶹ5	
黨	tɑᵑ3	
兜	təu1	
入	zuᶹ1	
全	tɕʰyɛⁿ2	
八	pa1	
公	koŋ1	
六	nuᶹ1	
蘭	naⁿ2	
共	koŋ5	
關	kuaⁿ1	
興	ɕin1	~旺
興	ɕin5	高~
兵	pin1	
其	tɕʰi2	
具	tɕy5	
養	iɑᵑ3	
獸	səu5	
内	nuei5	
岡	kɑᵑ1	
册	tsʰae1	
再	tsae5	
冒	mɑo5	
寫	ɕie3	
軍	tɕyn1	
農	noŋ2	
冤	yɛⁿ1	
冬	toŋ1	
冰	pin1	
冲	tsʰoŋ1	~锋
決	tɕye1	
况	kʰuɑᵑ5	
冷	nein3	
凍	toŋ5	
淨	tɕin5	
凄	tɕʰi1	
準	tsuein3	
涼	niɑᵑ2	
涼	niɑᵑ5	口
凌	nin2	
減	tɕiɛⁿ3	
几	tɕi3	~个
几	tɕi1	茶~,~乎
凡	faⁿ2	
鳳	foŋ5	
凳	tein5	
凶	ɕioŋ1	
凹	ua5	凹下
出	tsʰuᶹ1	
擊	tɕi1	
刀	tɑo1	
刁	tiɑo1	
刃	zein3	
分	fein1	
切	tɕʰie1	
刊	kʰaⁿ1	
刑	ɕin2	
划	xua2	~船
划	xua5	计~
列	nie1	
劉	niəu2	
則	tsae1	
剛	kɑᵑ1	
剛	tɕiɑᵑ1	白
創	tsʰuɑᵑ5	
創	tsʰuɑᵑ3	~伤
初	tsʰuᶹ1	
删	suaⁿ1	
判	pʰaⁿ5	
刨	pʰɑo2	
利	ni5	
别	pie1	
别	pi1	口
别	pʰie1	白,~针,门~~
刮	kua1	
到	tɑo5	
制	tsɿ5	
刷	sua1	
刺	tsʰɿ5	
刻	kʰe1	
劑	tɕi5	
剃	tʰi5	
削	ɕye1	
前	tɕʰiɛⁿ2	
劍	tɕiɛⁿ5	
剔	tʰi1	
剖	pʰo1	
剖	pʰo5	
剝	po1	
劇	tɕy5	
剩	sein5	
副	fuᶹ5	
割	ko1	
劈	pʰi1	
力	ni1	
勸	tɕʰyɛⁿ5	
辦	paⁿ5	
功	koŋ1	
