#漢字	音標	解釋
□	laŋ3	aŋ3~:不明事理
□	tsak7	ak7~:因地方狹小或天氣悶熱而感到煩躁
□	nɛ̃ʔ8	beʔ7~:要幹什麼
□	uãi1	ĩ6~:木門開關聲、不直;行ĩ6~仔:不直
□	tsui1	ka1~:斑鳩
□	tsuaʔ8	ka1~:蟑螂
□	kãi3	niãu3~:面容狹小而醜
□	lo3	o1~:讚美
□	pɔk8	piʔ4~:火聲
□	lun1	tʰun1~:不整潔
□	kin3	tɔ6~:蚯蚓
□	ta1	~肘:形容孩子自立能力強
□	ka1	~睡
□	tsʰɔ1	~屎:大糞
□	sɔ1	~腰:背稍彎
□	o1	~lo3:讚美
□	tse1	~落去:蔫
□	pʰue1	~死命
□	tai1	~仔:黍
□	ai1	~甜:太甜
□	kuai1	~仔魚:河豚
□	ɡim1	~坎仔:臺階
□	tʰun1	~lun1:不整潔
□	kun1	~~:冬筍炒未熟的澀味
□	ban1	~~:無效果
□	uan1	~螉:寄生蜂
□	tsʰi2	~~:微濕
□	kua2	~腳:歇腳
□	kʰe2	~~:涎著臉要
□	ɡe2	~~:懷疑;厭惡
□	dziau2	~仔魚
□	ɡiau2	~疑:懷疑
□	tsʰim2	~鑔:銅鈸打擊之聲
□	lin2	~~哢哢:東西撞擊之聲
□	tsɔŋ2	~桸:漁具，撈田螺用
□	ŋĩ2	~~蟯蟯:心裏不踏實
□	tsiɔ̃2	~蜍:蟾蜍
□	tsʰɛ̃2	~仔:鐃鈸
□	tse3	~泄:不悅之狀
□	sɛ3	~好
□	lau3	~紙:將整刀紙散開
□	tsʰiau3	~仃仃
□	tsʰim3	~骹行:一腳一腳地拖行
□	tsam3	~鬼:畫符
□	lun3	~~:膽怯
□	tsun3	~節:掌握不使過分
□	pan3	~帶:束馬屁股之帶
□	ban3	~面:女子絞臉上汗毛
□	tʰan3	~直:平而直
□	tsiŋ3	~甲:指甲
□	tʰaŋ3	~貢:杜撰
□	aŋ3	~laŋ3:不明事理
□	iɔ̃3	~仔:平瓦
□	pʰu5	~藥:吹藥末入患處
□	ku5	~燒~冷
□	pʰui5	~面
□	tim5	~重:較重
□	lim5	~者:小睡一會兒
□	kʰin5	~彩:隨便
□	kun5	~桶:乖巧之人
□	kʰian5	~芳:炒菜前爆香薑蒜
□	tʰiŋ5	~仔:椅的斜足
□	tsʰiŋ5	~飯:燜飯
□	tsaŋ5	~~:狼藉
□	pʰɔŋ5	~風:肚子脹氣
□	kɛ̃5	~楹:層架之組成
□	niãu5	~kãi3:面容狹小而醜;~鼻
□	lu6	~倒:滑倒
□	kʰu6	~~tsun1:發抖
□	pʰa6	~~顛
□	ia6	~種:撒播種子
□	tɔ6	~猴:螻蛄
□	lai6	~鴞:老鷹
□	kʰam6	~嗽:咳嗽
□	ham6	~眠:說夢話
□	tʰɔm6	~肥仔:因肥胖而笨重
□	suan6	~石:鑽石
□	sŋ6	~~:呆呆，不說話
□	tsʰiŋ6	~著:碰到、遇到
□	tʰaŋ6	~將:笨人;抽~:行為被動
□	tsʰiaŋ6	~~滾:沸騰狀
□	pɔŋ6	~米芳:爆米花
□	pʰɔŋ6	~~轟:塵土飛揚
□	ĩ6	~uãi1:門開關聲
□	iã6	~一下:在火上略烤
□	piʔ7	~手䘼:挽袖子
□	biʔ7	~水:小兒欲哭的表情
□	siʔ7	~~sut7sut7:私下說話
□	tʰaʔ7	~開:撥拉
□	kʰaʔ7	~仔:裝魚、鳥的竹具
□	haʔ7	~尾:詈詞，壞，不像樣
□	tsʰuaʔ7	~慶:易衝動
□	soʔ7	~竹篙:順竿爬
□	pɛʔ7	~腹:掛心、焦慮
□	tsɛʔ7	~~:糟透
□	pŋʔ7	~~叫:很有能耐
□	nĩʔ7	~目:眨眼
□	sãʔ7	~~叫:形容急切的心態;撲上去抓住，~鳥鼠:抓老鼠
□	sãuʔ7	~~:食物脆且多汁
□	ŋiãuʔ7	~啊~:動彈;~~:死了
□	ip7	~仔:漁具
□	tʰap7	~衫:為死人穿衣
□	sap7	~氣:小氣
□	liap7	~襇:縫合衣服時其中的一片布在特定的位置，疊起來以達到某種效果
□	siap7	~空
□	iap7	~角仔:旮旯
□	tsʰit7	~佗:玩耍
□	but7	~仔魚
□	hut7	~了了:吃光
□	tak7	~喙鼓:本地傳統民間曲藝
□	ak7	~tsak7:因地方狹小或天氣悶熱而感到煩躁
□	piak7	~開:爆裂
□	tʰɔk7	~鼎:民間幼兒遊戲
□	piʔ8	~pɔk8:火聲
□	pʰiʔ8	~pʰɔk8:火聲
□	pʰuʔ8	~~飛
□	pʰiaʔ8	~仔:一種磚
□	loʔ8	~索:抬重物的套繩
□	tsoʔ8	~喙䫌:摑耳光
□	dzioʔ8	~~:皺而軟
□	dzioʔ8	~身:喻情況嚴重
□	kɛʔ8	~~死:聲音大
□	tsiuʔ8	~~叫:小雞、鳥叫聲
□	pauʔ8	~~:吃半熟穀類的感覺
□	kauʔ8	~~念:嘮叨
□	kauʔ8	~~碾:滾動
□	kʰauʔ8	~~掉:哆嗦
□	hmʔ8	~~:不說話、不出聲
□	kŋʔ8	~~叫:鼾聲等
□	suãiʔ8	~~叫:不平物摩擦聲;吱物聲
□	ɡip8	~~:眾聲繁雜
□	hɔp8	~阿~:魚以口呼吸
□	bit8	~尾:淹沒
□	lut8	~~叫:說話流暢
□	tat8	~仔魚
□	lik8	~手䘼:捋起袖子
□	baŋ1	“毋通”合音，不可
□	bɔŋ1	“勿用”合音
□	kãi2	“交圇”合音，~個，整個
□	kʰɛ3	“起來”合音
□	pʰaŋ3	“拍毋”合音，~見，丟失
□	bɔŋ5	“勿用”合音
□	mãi5	“勿愛”合音
□	kaŋ6	“共儂”的合音
□	bɔŋ6	“勿用”合音
□	pu2	一~尿:一泡尿
□	tsɛ5	一下”合音
□	taŋ6	一種類似甕的瓦罐
□	pi1	上級訓斥下級
□	sim5	上下晃悠
□	tsʰik8	上下振動、跳躍
□	tsʰe6	下沉，~清，~落去
□	pʰu3	不明
□	kun2	久煮，~肉
□	kʰɔk8	久煮，~肉
□	mã6	也，~好
□	mɔ̃ʔ7	乾癟
□	tsʰau1	亂~~
□	dzian1	亂~:說謊
□	dzi2	亂
□	ko1	井仔~
□	tsui1	交~:榛子
□	in1	他們
□	uĩ3	以手挽物，~草
□	ip7	以少量的水燜煮，~米糕
□	siap8	以菅草占卦
□	kʰap7	仰面翻扣，碗~下
□	lam6	伴~:陪同，伴同
□	lun2	伸~:伸懶腰
□	laŋ5	使間隔，~一空
□	tiam1	修鞋，~皮鞋
□	lo5	個子高
□	mĩ6	個頭，大~蠔:大型的牡蠣
□	kʰãi1	倥~:死掉
□	kʰam3	倥~:神經質
□	pau2	假~:冒充
□	tɛ̃5	假裝，~笑
□	pu2	做~:在一起
□	mɔ̃ʔ7	偷偷取去
□	tʰuʔ8	傻，~~
□	hiã5	傾，~倒
□	bauʔ8	全包、全買，~龍眼
□	hio1	兩棒相擊，使一棒拋遠
□	kʰaʔ8	兩物靠住或粘住
□	kau2	六~:骰子
□	koʔ7	再、又，~來
□	tsun1	冷而發抖
□	pʰiaʔ8	出~:麻疹
□	ui1	刀等用舊磨損
□	tsʰiam3	刀叉，~仔;刺，~一空:小空洞
□	pʰut7	刀砍
□	siat8	刀削聲，~~叫
□	suat8	刀割聲
□	lik8	刀削剖，~肉油
□	pʰuĩ1	制棺材的小斧
□	pʰɔ6	制糖作坊
□	tsak8	刺，~落去
□	lan2	削
□	pʰuaʔ7	削，~岸、~草
□	tsʰun1	剩餘，出~
□	tsʰun6	剩餘，有~
□	kʰe1	割掉
□	laʔ8	割裂，~開
□	lɛʔ8	割破，~一空
□	ko5	劃，~船
□	lɛ5	加~骹:擱腳
□	mãi6	勉力
□	ŋãi3	動物咬
□	kʰɔk7	動物腿部，雞~槌:雞的大腿，豬骹~仔:豬腳趾端的角質物
□	tsau1	勘~:前額突出
□	kʰut8	半~仔:半長大衣
□	piaŋ1	卟~槌仔:彈棉被用的吊槌
□	ɡin6	厭惡
□	sian6	厭倦、疲倦;病
□	tsʰu6	又，~倒:滑倒
□	pak8	又，包~:壟斷
□	liak8	又
□	kʰɔp7	反扣上
□	ɡim6	取、拿
□	hiãʔ7	取軟物，~衫
□	bu6	口中噴出
□	mãuʔ7	口中無牙，乜~
□	am6	吃，兒語
□	kãuʔ7	吃硬物聲，~~叫
□	sut7	吃
□	sut8	吃的聲音
□	kʰeʔ7	合眼，放~
□	kʰe5	吐
□	tʰɛ̃2	向上舉
□	ke3	向目標投擲
□	lui6	向下拋石頭
□	ãuʔ7	吚~仔:發音不清的人
□	tɔp7	吞，私~
□	laŋ1	吧~:魚名
□	soʔ7	吮吸
□	tsiauʔ7	吱吱~~:嘰嘰喳喳
□	tsiauʔ8	吱吱~~:嘰嘰喳喳
□	tʰŋ6	呆傻狀;不動不走
□	tsu1	呼雞聲
□	e3	呼人詞
□	e5	呼人詞
□	nãu3	咀嚼
□	tsɔp8	咀嚼，~~叫:咀物聲
□	kãi2	咬~:勉強作為
□	dziat7	咬斷，剪斷
□	ai5	咽~:腮腺炎
□	ãu3	咿~
□	tsiat7	哈喇
□	taʔ7	哪，去~
□	nuã6	唾液
□	kʰam3	商店數量單位
□	ɡian5	喜好、嗜好成癮，~薰
□	kuʔ8	喝水聲
□	pan3	嘔吐
□	kiauʔ8	嘰嘰~~:嘰裏呱啦
□	pit7	器物裂痕
□	lɛ6	噱~~:口澀感
□	hiu5	噴灑，~水
□	pʰuʔ7	噴粉狀藥，~嚨喉
□	ɡai1	嚴~
□	ɡam1	嚴~~:很吻合
□	tsik7	因猛力而受傷
□	pɔ2	圓~
□	lian5	圓~~:圓滾滾
□	sɔm2	土裏土氣
□	kɛʔ7	土~:堅硬土層
□	kat7	土~:未燒的土坯
□	tio6	在，佇~:在
□	tio6	在鍋裏小煮一陣
□	nã6	在火上烘一下
□	nãʔ7	在火上烤一下即移開
□	hauʔ8	在開水中略煮
□	tsʰɔp8	在水裏蕩一蕩
□	pʰu3	地~，鼠婦
□	dzi6	地~:一種小蟲
□	tam5	垂頭;垂老體態
□	kuã6	垂手提物
□	tsʰiʔ7	垂下，頭~~
□	kʰɔ1	塊
□	u1	塌~:凹陷處
□	nɛ̃1	塍~:蜻蜓
□	tsʰaŋ5	塞進當中去，~被空
□	tʰun6	填，~地岸
□	kue3	墊，~高
□	tsu6	墊襯，尿~
□	tʰiam6	增加投入，~本錢
□	tsʰĩ6	墨~仔:墨鬥之筆
□	bai3	壞
□	kʰiap7	壞、差，車~去、~勢:不漂亮
□	nĩ1	多~:桃金娘
□	tse6	多
□	iã1	大~:農具
□	mãu1	大，大~
□	tiau2	大~仔:手鋸
□	taŋ2	大腿骨
□	kɔŋ5	大~:大炮
□	tʰuĩ6	大~:粗大
□	luaʔ7	大吃，~一頓
□	sɔp8	大口快吃，一喙~落去
□	kɔk8	大口快喝，~落去
□	tsaʔ7	夾帶，~雨傘
□	tsɔŋ2	奔走
□	lɔp7	套，~頭衫
□	suan1	奚落
□	bai1	女陰
□	ɡɛ1	好，真~
□	tʰã6	妝~:化妝
□	lo1	姣~:女人輕浮
□	tsʰua6	娶;引，~路
□	kan3	婢女
□	pʰau5	嬰兒胖，~奶
□	ɡu6	嬰~:幼雅
□	kʰut8	孤~:孤僻、~~:孤單
□	sim6	安而不動，~~
