#漢字	音標	解釋
□	ɡiau1	
㪗	tʰau3	
䀁	hui2	陶瓷
䋎	tʰĩ5	縫
䨀	tia6	
䭕	tsiã3	
一	eʔ7	
七	tsʰeʔ7	
丈	tiũ6	
三	sã1	
上	tsŋ̍6	
下	e6	
世	si5	
中	tsoŋ1	
主	tsi3	做主
主	tsi3	主席
久	ku3	
乖	kuai1	
乘	siŋ2	
九	kau3	
乞	kʰeʔ7	
亂	luaŋ6	
事	su6	
事	/	
二	li1	
互	hu6	
五	ɡu6	
井	tsẽ3	
交	kiau1	
京	kiã1	
人	ɡiŋ2	
仁	ɡiŋ2	
仇	tsʰiu2	
今	kaĩ1	
介	kai5	
仙	siaŋ1	
代	tai6	
代	/	
件	kiã6	
任	ɡiŋ6	
份	hoŋ6	
伯	pa7	
伴	pʰuã6	
伸	tsʰoŋ1	
位	ɡui1	
佔	tsiaŋ5	
佛	hoʔ8	
作	tsoʔ7	
你	li3	
來	lie2	
侵	tsʰiaŋ1	
便	paŋ2	便宜
便	piaŋ6	方便
保	pau3	
信	siŋ5	
修	siu1	
倉	tsʰŋ̍1	
個	kai5	
倍	puɪ6	
倒	tɤ5	
倚	ua3	閩南西片少用「倚」字，一般常用的是「靠」
借	tsiɤ7	
假	ke3	
偉	ɡui3	
偏	pʰiaŋ1	
做	tsɤ5	
停	tʰiŋ2	
健	kiaŋ6	
偷	tʰau1	
傅	hu6	
傑	kiaʔ8	
傘	suã5	
備	pi6	
傲	ŋaũ5	
傳	tsʰuaŋ2	
債	/	
傷	suaŋ1	
像	tsʰŋ̍6	
價	ke5	
儂	laŋ2	
億	eʔ7	
儉	kʰiaŋ6	
優	ɡiu1	
兄	hiã1	
充	tsʰoŋ1	
先	sĩ1	
光	kuĩ1	
兔	tʰu5	
入	liaʔ8	
入	/	
内	lai6	
内	/	
全	tsʰuaŋ2	
全	/	
兩	nŋ̍6	兩個
兩	niũ3	幾兩
八	pie7	
公	kaŋ1	
六	laʔ8	
共	koŋ6	
共	/	
兵	piŋ1	
典	tiaŋ3	
册	tsʰe7	
冠	kuaŋ5	
冤	ɡiaŋ1	
冬	taŋ1	
冰	piŋ1	
冷	liŋ3	
凡	huaŋ2	
凶	hioŋ1	
出	tsʰeʔ7	
刀	tɤ1	
分	poŋ1	動詞
分	hoŋ1	分數
切	tsʰie7	
切	/	
初	tsʰuɪ1	初一
初	tsʰui1	初中
判	pʰuã5	
别	piaʔ8	
利	lai1	刀利
利	li6	利益
刺	tsʰi5	
削	sia7	
前	tsĩ2	
剪	tsĩ3	
副	hu5	
割	kua7	
劉	lau2	
劍	kiaŋ5	
力	laʔ8	出力
力	leʔ8	力量
功	koŋ1	
加	ke1	
助	tsu6	
努	nũ3	
勇	ɡioŋ3	
勉	biaŋ3	
動	taŋ6	動詞
動	toŋ6	運動
勞	lau2	
勤	kʰiŋ2	
勵	lie6	
勸	kʰuĩ5	
勾	kau1	
包	pau1	
北	paʔ7	
匠	tsʰiũ5	
匪	hui3	
匯	huɪ6	
區	kʰi1	
十	tsiaʔ8	
千	tsʰĩ1	
升	siŋ1	
午	ɡu3	
半	puã5	
卒	tsoʔ7	
南	laŋ2	
博	pʰoʔ7	
印	iŋ5	
危	ɡui2	
卵	nuĩ6	
卷	kuĩ5	
厚	kau6	
厝	tsʰi5	
原	ɡien2	
厭	ɡiaŋ5	
厲	li6	
去	kʰi5	
參	tsʰaŋ1	
友	ɡiu3	
反	huaŋ3	
叔	/	
受	siu6	
口	kʰau3	
古	ku3	
句	ki5	
可	kʰɤ3	
史	su3	
右	ɡiu6	
司	si1	
司	su1	
合	haʔ8	
吉	keʔ7	
名	miã2	
吐	tʰu5	
向	hiaŋ5	
君	kiŋ1	
吞	tʰoŋ1	
吠	pui1	
吵	tsʰa3	
吹	tsʰuɪ1	
告	kɤ5	
周	tsiu1	
味	bi1	
命	miã1	生命
命	bin6	革命
和	huɪ2	
品	pʰin3	
員	ɡiaŋ2	
哲	tət7	
唱	tsʰaŋ5	
問	muĩ5	
問	/	
啞	e3	
善	siaŋ6	
喉	au2	
喘	tsʰuaŋ3	
喜	hi3	
單	tuã1	被單
單	taŋ1	單獨
嗽	sau5	
噴	pʰoŋ5	
嚇	he7	
嚴	ɡiaŋ2	
四	si5	
囝	iã3	
因	iŋ1	
囥	kʰŋ̍5	
國	koʔ7	
園	ɡui2	
園	huĩ2	菜園
園	ɡiaŋ2	西園鎮
園	ɡiaŋ2	公園
圓	ĩ2	
圖	tu2	
團	tʰuaŋ2	
土	tʰu3	
地	ti6	
均	kiŋ1	
坐	tsie6	
坑	kʰẽ1	
坪	pʰiŋ2	
城	sã2	
基	ki1	
堂	tŋ̍2	
堂	tʰaŋ2	食堂
報	pɤ5	
場	tiũ2	
塍	tsʰaŋ2	田
塔	tʰa7	
墓	bu5	
增	tsiŋ1	
墟	hi1	
墨	baʔ8	
壁	pia7	
壓	aʔ7	
壩	pa5	
壺	hu2	
壽	siu6	
外	ɡua1	
外	/	
多	tɤ1	
够	kau5	
夢	baŋ5	
大	tua1	
天	tʰĩ1	
太	tʰai5	
太	/	
央	ɡiaŋ1	
失	seʔ7	
奇	kʰi2	
奉	hoŋ6	
套	tʰɤ5	
女	nĩ3	婦女
奸	kaŋ1	
好	hɤ3	
妗	/	嬸嬸
妹	muĩ5	
姆	ŋ̍3	嬸嬸
姑	ku1	
姓	sẽ5	
委	ɡui3	
姨	i2	
威	ɡui1	
娘	liaŋ2	
娶	tsʰua5	
婆	pɤ2	
婚	hoŋ1	
婦	pu6	媳婦
婦	hu6	婦女
婿	sai5	女婿
嫁	ke5	
嫂	sɤ3	
嫌	hiaŋ2	
嬰	ŋiã1	
嬴	ŋiã2	
子	tsi3	種子
子	tsu3	君子
字	tsi1	
孝	ha5	
孝	/	
季	kui5	
孫	soŋ1	
學	ɤ6	動詞
學	hiaʔ8	學習
守	siu3	
安	aŋ1	
宗	tsoŋ1	
官	kuã1	
定	tin6	
客	kʰe7	
室	seʔ7	
宮	kioŋ2	
害	hai1	
家	ke1	
容	ɡioŋ2	
寄	kia5	
密	baʔ8	
富	hu5	
寒	kuã2	
察	tsaʔ7	
實	seʔ8	
寫	sia3	
寶	pɤ3	
寸	tsʰoŋ5	
封	hoŋ1	
射	sa1	
將	tsiaŋ1	
專	tsuaŋ1	
尊	tsoŋ1	
小	siɤ3	
少	tsɤ3	
尖	tsiaŋ1	
尚	sŋ̍1	
尺	tsʰɯ7	
尾	buɪ3	
尿	liɤ1	
局	kioʔ8	
屁	pʰui5	
屈	kʰoʔ7	
屋	oʔ7	
屎	sai3	
屐	kʰia6	
展	tsaŋ3	
層	tsaŋ5	
山	suã1	
島	tau3	
崎	kiau6	
巖	nã2	
州	tsiu1	
工	koŋ1	
巧	kʰiau3	
巧	/	
差	tsʰa1	
差	tsʰai1	出差
己	ki3	
巷	haŋ5	
巾	kiŋ1	
市	tsʰi6	
布	pu5	
希	hi1	
帖	tʰiaʔ7	
帚	tsʰiu3	
帝	tie5	
師	sai1	師傅
師	su1	老師
席	seʔ8	
席	tsʰɤ6	草席
帳	tiũ5	
帶	tua5	
帶	/	
帽	bɤ1	
幣	pi6	
幫	paŋ1	
平	pẽ2	很平
平	pʰin2	平安
年	nĩ2	
幸	hiŋ6	
幼	ɡiu5	
幾	kui3	
底	tie3	
店	tiaŋ5	
府	hu3	
庵	aŋ1	
康	kʰaŋ1	
厦	e6	
廚	ti2	
廠	tsʰŋ̍3	
廣	kuaŋ3	
廳	tʰiã1	
建	kiaŋ5	
引	in3	
弟	ti6	
張	tiũ1	
強	kʰiaŋ2	
彈	tuã2	
形	hiŋ2	
彩	tsʰai3	
彭	pʰẽ2	
影	ŋiã3	電影
影	ŋ̍3	影子
律	lio8	
後	au6	
得	teʔ7	
得	/	記得
得	/	得獎
徙	sua3	
徛	kʰiau6	站
徵	tsiŋ1	
德	teʔ7	
心	siaŋ1	
忍	loŋ3	
忍	/	
志	tsi5	
忙	baŋ2	
忠	tsoŋ1	
快	kʰuai5	
思	su1	
急	keʔ7	
怨	ɡiaŋ5	
怪	kʰuai5	
恨	hiŋ6	
恩	iŋ1	
恭	kioŋ1	
息	seʔ7	
悔	hue3	
悲	puɪ1	
情	tsʰiŋ2	
情	/	人情
情	/	情況
惜	seʔ7	
惡	oʔ7	
惱	naũ3	
想	siũ6	
愁	tsʰiu2	
愁	/	
意	i5	
愛	ai5	
感	kaŋ3	
態	tʰai5	
慘	tsʰaŋ3	
慣	kuaŋ5	
慶	kʰiŋ5	
憂	ɡiu1	
憐	liaŋ2	
應	iŋ1	
懸	kuĩ2	
戀	luaŋ6	
戍	tsʰi5	
成	tsʰiŋ2	
我	ɡua3	
戒	kai5	
戰	tsiaŋ5	
戲	hi5	
戴	ti5	
戴	/	
户	hu6	
房	paŋ2	
房	/	
所	sɤ3	
扁	pĩ3	扁扁
扁	piaŋ3	扁食
扇	sĩ5	
手	tsʰiu3	
才	tsai2	
扣	kʰau5	
批	pʰie1	
抄	tsʰau1	
把	pe3	
抱	pʰɤ6	
抽	tʰiu1	
拆	tʰia7	
拍	pʰa7	
拖	tʰɤ1	
招	tsiɤ1	
拜	pai5	
拳	koŋ2	
指	tsai3	
挽	baŋ3	
捐	kiaŋ2	
捲	kuĩ3	
捷	tsiaʔ8	
掀	hiaŋ1	
掃	sau5	
掌	tsaŋ3	
排	pai2	
掘	koʔ8	
掛	kue5	
接	tsi7	
插	tsʰa7	
換	ŋuã1	
損	soŋ3	
摇	ɡiɤ2	
搬	puã1	
搶	tsʰiũ3	
摺	tsi7	
擔	tã1	
擘	pe7	
攝	hiaʔ7	
攪	kiau3	
支	ki1	
收	siu1	
改	kai3	
放	paŋ5	
放	/	藏
放	/	
政	tsiŋ5	
故	ku5	
效	hiau6	
救	kiu5	
敗	pai6	
教	ka5	動詞
