#漢字	音標	解釋
□	lua5	ku[1]~,形容物体被揉在一起
□	tuŋ5	ku[1]~,不懂事
□	tʂʰʅə5	lie[2]~,整齐
□	tʂəŋ1	tei ~,刚刚
□	tʂəŋ5	tei~,将就
□	tsʰɿ1	~楞,形容人反应慢
□	ku1	~lua[5],形容物体被揉在一起
□	ku1	~tuŋ[5],不懂事。有时也读[2]调
□	kʰɯ1	~laŋ,胸部
□	tɔ1	~会儿,过会儿
□	tɕyʌ1	~ti,地板
□	ŋɒ1	~ tsɒ[5],不整洁
□	məŋ1	~蝇,一种飞虫
□	lie2	~ tʂʰʅə[5],整齐
□	ɕie2	~xuʌ[5],吵
□	muŋ2	~雨,急雨
□	tei5	~ tʂəŋ[1],刚刚
□	tei5	~ tʂəŋ[5],将就
□	tʂʰəŋ5	~是,本来就
□	tsɒ5	ŋɒ[1]~,不整洁
□	xuʌ5	ɕie[2]~,吵
□	kʰɚ1	一种类似背心的衣服
□	fɔ2	一~,同辈
□	xou1	不要
□	tsəŋ5	使累
□	tei2	冲撞
□	ia5	到某时
□	kʰuai1	动词,用胳膊提篮子
□	ʂuaŋ1	动词,到狭小或者封闭的空间中
□	pi5	动词,使某物无法移动
□	kei5	动词,脖子向前伸
□	tsɒ5	厉害
□	tiɔ1	合音词,底下
□	niɔ1	合音词,人家
□	miəu1	合音词,没有
□	tsʰie2	合音词,七个
□	pɔ2	合音词,八个
□	ʂʅə2	合音词,十个
□	uʌ2	合音词,五个
□	luʌ2	合音词,六个
□	tɕyʌ2	合音词,几个
□	yʌ2	合音词,一个
□	suʌ5	合音词,四个
□	ʂa1	吹牛
□	ʂa5	吹牛
□	tɕyʌ2	咒骂,批评,程度较轻
□	va2	唠叨
□	iai1	头向后仰
□	kʰa1	寄养
□	pʰi1	形容食物脱水后的口感
□	tɕʰyʌ1	形容胶状物质在别的物体上固化后难以去除的状态
□	tʂuai1	形容人觉得自己很厉害
□	ɕiei5	形容汤因为被搅动的过多固体成分沉淀的现象
□	ɕiai5	形容汤被搅拌后固体沉淀的状态,同□ɕiei
□	liɒ5	形容走路动作轻浮,轻微贬义
□	li2	心~,形容吃了过甜的食物后心脏不适的感觉
□	ia5	扶着东西走
□	ɕyŋ2	批评
□	ʐou1	把纸或者其他类似纸的物体揉成团
□	sou1	抖
□	syʌ5	抱怨
□	zɿ1	拟声词
□	piɔ1	拟声词
□	pʰiɔ1	拟声词
□	pai1	挑食
□	ŋei1	挨在一起
□	uŋ1	推
□	ŋa1	摔倒
□	liɒ5	放弃
□	ka1	旁边
□	lɚ1	构词后缀,这~
□	tu5	构词后缀,骨~,指~
□	xaŋ5	构词后缀,放在疑问词以后,句中读轻声
□	tsəŋ1	欠
□	li5	毛圪~,松鼠
□	tɔ5	没瓤~水,形容人不识眼色
□	y1	浮肿
□	ʐɔ2	渑东口音,合音词,人家
□	ʂai1	火~馍,一种烧饼
□	sai1	烦~,烦人
□	iei1	照顾孩子
□	tsʰɒ5	生气
□	tuʌ2	疑问词,多少?
□	tsʰuei1	看~,听~…,清楚
□	kʰuʌ1	砍伐比树更细的植物
□	tsei1	硌
□	ʐou5	磨叽
□	tɕʰiŋ5	粘稠的液体凝固
□	tsai5	缝纫
□	tsei5	耳~,陶铁制器皿的装饰
□	pʰai1	聊天
□	naŋ1	背着,通常指被大量的包裹。也可以引申为携带大量物品
□	tai5	胡~,胡乱
□	ŋou5	菜糊了
□	tɕʰie1	语气词,表示不屑
□	ɒ2	语气词,表示答应
□	aŋ2	语气词,表示答应或附和
□	ai3	语气词
□	iai3	语气词,表示惊讶
□	tɕʰi1	较~,稍微
□	mɚ2	门前
□	kəŋ5	闲得慌,贬义
□	kua5	难道
□	kʰaŋ1	靠
□	tɒ1	骗人
㨎	ʐuɔ1	
一	i1	
丁	tiŋ1	
七	tsʰi1	
万	va5	
丈	tʂaŋ5	
三	sa1	
上	ʂaŋ1	
上	ʂaŋ5	
下	ɕiɔ5	
下	xɔ5	南村乡口音
不	pu1	
不	pu2	
与	y1	
丑	tʂʰou1	
專	tʂua1	
且	tsʰie1	
丘	tɕʰiəu1	
丙	piŋ1	
業	ie1	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丢	tiəu1	
丢	tiəu2	
兩	liaŋ2	
嚴	ia2	
喪	saŋ1	
喪	saŋ5	
个	kɤʌ5	
个	kuʌ5	
丫	iɔ1	
中	tʂuŋ1	
中	tʂuŋ5	
丰	fuŋ1	
串	tʂʰua5	
臨	liei2	
丸	ua2	
丹	ta1	
爲	uei2	
爲	uei5	
主	tʂʯ1	
麗	li5	
舉	tɕy1	
乃	nai1	
久	tɕiəu1	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsɔ5	
乏	fɔ2	
樂	lɤʌ5	
乒	pʰiŋ1	
乖	kuai1	
乘	tʂʰəŋ2	
九	tɕiəu1	
乞	tɕʰi1	
也	ie1	
習	si2	
鄉	ɕiɑŋ1	
書	ʂʯ1	
買	mai1	
亂	lua5	
乳	ʐʯ1	
了	liɒ1	
了	lɒ5	
了	la5	
爭	tsəŋ1	
事	sɿ5	
二	ɚ5	
于	y1	
虧	kʰuei1	
云	yei2	
互	xu5	
五	u1	
井	tsiŋ1	
亞	iɔ5	
些	sie1	
些	ɕiai1	
亡	vaŋ2	
交	tɕiɒ1	
亥	xai5	
亦	i5	
產	tsʰa1	
亨	xəŋ1	
畝	mu1	
享	ɕiɑŋ1	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tsʰiei1	
親	tɕʰiei5	
人	ʐei2	
億	i5	
仁	ʐei2	
仄	tsai5	
仆	pʰu1	
仆	pʰu2	
仇	tʂʰou2	
今	tɕiei1	
介	tɕiai5	
仍	ʐəŋ2	
从	tsʰuŋ2	
倉	tsʰaŋ1	
他	tʰɔ1	
仗	tʂaŋ5	
付	fu1	
付	fu5	
仙	sia1	
代	tai5	
令	liŋ5	
以	i1	
仨	sɔ2	
儀	i2	
們	mei5	
仰	iaŋ1	
仰	liaŋ2	地名中
任	ʐei2	
任	tsai2	
仿	faŋ1	
伍	u1	
伐	fɔ2	
休	ɕiəu1	
優	iəu1	
伙	xuʌ1	
會	xuei5	
會	kʰuai5	
傘	sa1	
傳	tʂʰua2	
傳	tʂua5	
傷	ʂaŋ1	
倫	luei2	
僞	uei1	
伯	pai2	
估	ku1	
伴	pa5	
伸	tʂʰei1	
伺	tsʰɿ5	
但	ta5	
位	uei5	
低	ti1	
住	tʂʯ5	
佐	tsuʌ1	
佑	iəu5	
體	tʰi1	
何	xɤʌ2	
余	y2	
佛	fuʌ2	
作	tsuʌ1	
你	ni1	
佩	pʰei5	
使	sɿ1	
侃	kʰa1	
侄	tʂʅ2	
侈	tʂʰʅ5	
例	li5	
供	kuŋ5	
依	i1	
侶	ly1	
侯	xou2	
侵	tsʰiei1	
便	pʰia2	
