#漢字	音標	解釋
一	i1	
七	tɕʰi1	
万	uã5	
三	sã1	
上	ʂɑŋ5	
下	ɕiɑ5	
世	ʂʅ5	
業	iə5	
東	toŋ1	
絲	sɿ1	
丢	tiɤɯ1	
兩	liɑŋ3	
嚴	iã2	
个	kuə5	
中	tʂoŋ1	
丰	fəŋ1	
主	tʂu3	
舉	tɕy1	
義	i5	
烏	u1	
九	tɕiɤɯ3	
習	ɕi2	
書	ʂu1	
買	mɛ3	
亂	luã5	
爭	tʂəŋ1	
事	ʂʅ5	
二	ɐr5	
虧	kʰuei1	
云	yẽ2	
五	u3	
井	tɕiŋ3	
交	tɕiɔ1	
產	tʂʰã3	
亮	liɑŋ5	
親	tɕʰiẽ1	
人	ʐẽ2	
倉	tsʰɑŋ1	
付	fu5	
件	tɕiã5	
任	ʐẽ5	
休	ɕiɤɯ1	
優	iɤɯ1	
會	xuei5	
傘	sã3	
傳	tʂʰuã2	
傳	tʂuã5	
傷	ʂɑŋ1	
位	uei5	
低	ti1	
住	tʂu5	
余	y2	
佛	fə2	
作	tsuə5	
使	ʂʅ3	
侄	tʂʅ2	
側	tʂei1	白
側	tsʰə5	文
便	piã5	
俊	tɕyẽ5	
修	ɕiɤɯ1	
借	tɕiə5	
假	tɕiɑ3	
做	tsɤɯ5	又
做	tsuə5	又
停	tʰiŋ3	
健	tɕiã5	
偷	tʰɤɯ1	
像	ɕiɑŋ5	
僧	səŋ1	
兒	ɐr2	
兄	ɕyŋ1	
充	tʂʰoŋ1	
先	ɕiã1	
光	kuɑŋ1	
黨	tɑŋ3	
入	ʐu5	
全	tɕʰyã2	
八	pɑ1	
公	koŋ1	
六	liɤɯ5	
蘭	lã2	
共	koŋ5	
關	kuã1	
興	ɕiŋ5	
兵	piŋ1	
典	tiã3	
寫	ɕiə3	
軍	tɕyẽ1	
冤	yã1	
冬	toŋ1	
冰	piŋ1	
冲	tʂʰoŋ1	
決	tɕyə2	
冷	ləŋ3	
凍	toŋ5	
準	tʂuẽ3	
減	tɕiã3	
湊	tsʰɤɯ5	
几	tɕi3	
鳳	fəŋ5	
凳	təŋ5	
凶	ɕyŋ1	
出	tʂʰu1	
擊	tɕi1	
刀	tɔ1	
分	fẽ1	
切	tɕʰiə1	
划	xuɑ5	
列	liə5	
初	tʂʰu1	
判	pʰã5	
别	piə2	
刮	kʰuɑ1	又,~皮
刮	kuɑ1	又,~风
制	tʂʅ5	
刷	ʂuɑ1	
刺	tsʰɿ5	
刻	kʰei1	白
刻	kʰə1	文
剃	tʰi5	
削	ɕyə1	
前	tɕʰiã2	
劍	tɕiã5	
剝	pɑ1	又,~皮
剝	pə1	又,~削
劇	tɕy5	
剩	ʂəŋ5	
剪	tɕiã3	
副	fu5	
割	kɑ1	
劈	pʰi3	
力	li5	
勸	tɕʰyã5	
辦	pã5	
動	toŋ5	
勁	tɕiẽ5	
勤	tɕʰiẽ2	
勺	ʂuə2	
匀	yẽ2	
包	pɔ1	
化	xuɑ5	
北	pei1	
匠	tɕiɑŋ5	
匹	pʰi1	
區	tɕʰy1	
十	ʂʅ2	
升	ʂəŋ1	
半	pã5	
華	xuɑ2	
協	ɕiə2	
卒	tsu2	
單	tã1	
賣	mɛ5	
南	nã2	
占	tʂã5	
衛	uei3	
印	iẽ5	
危	uei1	
卷	tɕyã3	
廠	tʂʰɑŋ3	
廳	tʰiŋ1	
历	li5	
厭	iã5	
厚	xɤɯ5	
原	yã2	
去	tɕʰy5	
縣	ɕiã5	
参	ʂẽ1	
及	tɕi5	
雙	ʂuɑŋ1	又,量词
雙	ʂuɑŋ5	又,~起来,一对~子
反	fã3	
发	fɑ5	
叔	ʂu1	
取	tɕʰy1	
變	piã5	
口	kʰɤɯ3	
古	ku3	
句	tɕy5	
叫	tɕiɔ5	
可	kʰuə3	
台	tʰɛ2	
右	ʐɤɯ5	又
右	iɤɯ5	又
葉	iə5	
號	xɔ5	
吃	tʂʰʅ1	
各	kuə1	
吉	tɕi1	
名	miŋ2	
后	xɤɯ5	
向	ɕiɑŋ5	
呂	ly3	
吞	tʰuẽ1	
含	xã2	
聽	tʰiŋ1	
吳	u2	
吸	ɕi1	
吹	tʂʰuei1	
味	uei5	
命	miŋ5	
咸	ɕiã2	
品	pʰẽ3	
響	ɕiɑŋ3	
啞	iɑ1	
哭	kʰu1	
脣	tʂʰuẽ2	
唱	tʂʰɑŋ5	
善	ʂã5	
喊	xã3	
喜	ɕi3	
嘴	tsuei1	
器	tɕʰi5	
四	sɿ5	
回	xuei2	
園	yã2	
困	kʰuẽ5	
圍	uei2	
國	kuə1	
圖	tʰu2	
圓	yã2	
圈	tɕʰyã1	
土	tʰu3	
地	ti5	
均	tɕyẽ1	
壞	xuɛ5	
坐	tsuə5	
坑	kʰəŋ1	
塊	kʰuɛ5	
墳	fẽ2	
垂	tʂʰuei2	
墊	tiã5	
埋	mɛ2	
城	tʂʰəŋ2	
塔	tʰɑ1	
塞	sei1	白
塞	sɛ1	文
墨	mei5	又,~汁
墨	mi5	又,即~
墩	tuẽ1	
壁	pi5	
壯	tʂuɑŋ5	
聲	ʂəŋ1	
殼	kʰuə1	又,蛋~
殼	tɕʰyə1	又,屎~郎子
壺	xu2	
夏	ɕiɑ5	
外	uɛ5	
多	tuə1	
夜	iə5	
够	kɤɯ5	
大	tɑ5	
天	tʰiã1	
失	ʂʅ1	
頭	tʰɤɯ2	
夾	tɕiɑ1	
奪	tuə2	
契	tɕʰi5	
女	ȵy3	
奴	nu2	
奸	tɕiã1	
好	xɔ3	
如	ʐu2	
婦	fu5	
妹	mei5	
姐	tɕiə3	
姓	ɕiŋ5	
姜	tɕiɑŋ1	
姨	i2	
娘	ȵiɑŋ2	
婆	pʰə2	
婚	xuẽ1	
嫁	tɕiɑ5	
嫂	sɔ3	
嫌	ɕiã2	
嫩	luẽ5	
子	tsɿ3	
孔	kʰoŋ3	
字	tsɿ5	
孫	suẽ1	
孝	ɕiɔ5	
季	tɕi5	
學	ɕyə2	
孽	ȵiə5	
安	ŋã1	
宋	soŋ5	
完	uã2	
官	kuã1	
定	tiŋ5	
寶	pɔ3	
實	ʂʅ2	
客	kʰei1	白
客	kʰuə5	文
宮	koŋ1	
害	xɛ5	
容	ʐoŋ2	
寬	kʰuã1	
宿	ɕy1	
寄	tɕi5	
密	mi5	
富	fu5	
寸	tsʰuẽ5	
對	tuei5	
寺	sɿ5	
尋	ɕyẽ2	
壽	ʂɤɯ5	
封	fəŋ1	
射	ʂə5	
小	ɕiɔ3	
尖	tɕiã1	
嘗	tʂʰɑŋ2	
尺	tʂʰʅ1	
尾	i3	又,~巴
尾	uei3	又,末~
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
屋	u1	
屬	ʂu3	
山	ʂã1	
歲	suei5	
巖	iã2	
岸	ŋã5	
州	tʂɤɯ1	
左	tsuə5	
幣	pi5	
