#漢字	音標	解釋
□	tsʰei7	(罵人)亂走動:~到哪裏去
□	pʰu2	一綹:一~
□	ma1	不愛整潔:~稀
□	ɕin3	做事沖動不聰明:~頭
□	lin1	偷偷地:~噠出去
□	ma3	偷走東西:~起走
□	po5	兒語:蛋~~
□	tsɿ1	內心像抓撓般難受:心裏~
□	ȵie7	凹陷
□	tsʰan2	刺:~人，~眼睛
□	læ7	刺:鱼~
□	ʂa6	口水等流出:~涎(饞)
□	tie7	口語詞這裡:~~在箇里咧
□	fan3	吵罵:就聽他~嘅
□	xo1	哄小孩:~細伢唧
□	maŋ5	因小而鼓脹:衣服~爛噠
□	tsei7	塞:~得口袋裏
□	ŋən3	委屈:受~
□	lo3	將食物用舌頭揉搓:咬不動，~下子算了
□	tʂʰʅ6	小孩頑皮而執拗:~孽
□	tsʰa6	小灌木叢，荊棘叢:~子
□	ȵie7	小孩特別頑劣:好~
□	kʰuaŋ3	常形容食物不結實致密:~瀉嘅
□	ŋa1	張開嘴:~口
□	xo1	形容很嫩:~嫩嘅
□	ma5	形容很舊:~舊
□	tɕia5	形容很濕:衣服打的~濕嘅
□	tɕya5	形容泼皮大叫:~~叫
□	kuaŋ5	形容很綠:~綠嘅
□	la6	形容粗:~粗的
□	kʰua6	形容人沒精神:~泄嘅，沒勁
□	tɕie6	形容皮膚接觸很粗糙:~手
□	lo7	往上放:~得樓上
□	tɕia7	很:這小孩~細起就是娭毑帶噠
□	miẽ5	拉扯:~長
□	ɕiau1	掀:~桌子、~被子
□	tʂʰʅ3	搭理:莫~他
□	kʰuaŋ6	撞着或碰着:騎車莫~噠人
□	kua3	沒能孵出小雞的蛋:~雞蛋
□	lai1	無精打采:~起~起
□	liəu6	熟悉:玩~噠
□	lia2	爬(通常指不太高的地方):~上去噠
□	po3	物品很次:你這鞋太~了
□	tsʰən3	物品老舊而易碎:棉絮~噠嘅
□	ɕai6	理睬:不~你
□	təŋ7	用力往下壓:~藕煤
□	tɕiəu5	留、剩下:~点唧咯
□	tʂaŋ1	盛飯:~飯
□	təŋ7	相信別人對自己誇大其詞的贊揚而請客顯擺等:莫信別個~
□	tɕiəu7	空間狹小而沒伸展:紙~壞了
□	ɕyẽ3	罵(多指長輩責備):~人
□	ŋau2	老年人身體好:~實
□	tɕia7	脾氣倔強:發~
□	uan3	舀:~湯
□	tɕiau1	衣服汗濕了:~潤嘅
□	ŋaŋ3	被硬物頂住:~腳
□	kʰaŋ3	谷物等壞了:米~了
□	i3	這兒:~唧
□	kei7	這:~邊
□	kən7	這麽:~多
□	lai2	遺忘:~杀噠
□	ʂo5	醜:樣子~;智障:~愚伢唧
□	in5	量:~米
□	ləu1	鐵銹:~鐵
□	taŋ5	頂端:~頭
㐄	kʰa6	量詞，用手指量從拇指尖到中指尖或者兩腳跨一步之間的距離都叫一~;動詞，跨:~過去
㓟	pʰi1	削下
㔶	kʰo5	(存疑)蓋在上面、壓在上面:~腳
㝩	kʰaŋ1	
㞎	pa3	大便
㞞	səŋ2	吝嗇
㦿	tɕʰiẽ5=	
㩧	pʰia3	(擬聲)扇嘴巴:~爾兩嘴巴子
㩳	tsʰəŋ3	同搡
㪕	tsʰo7	
㪗	tʰəu3	同敨
㫰	laŋ6	晾曬:~衣褲
㯋	in3	
㰍	ləŋ2	
㲃	tɕiəu5	擰幹水或掐人:~被窩、~瓶蓋
㲪	tiẽ1	
㷈	o7	藏火
㷮	tsau1	花生、瓜子等炒得很脆:炩~
㿗	tʰei2	
㿸	man6	皮膚污垢:~痂子
䀙	tɕʰi5	偷看、仔細看:爾好生~一下
䀙	tɕʰi7	近視:近~子
䀦	ku3	
䁊	ua7	凹陷
䂎	tsʰõ3	~爛
䅺	piau1	抽穗:禾~線
䆉	pa5	
䊳	mie1	很爛:~爛的
䋎	tsan5	用針線縫釘:~扣子
䏆	tsʰau2	
䏧	ȵia5	好、漂亮:~腮
䐬	tsʰau2	餓:肚子~
䙚	ȵiau3	
䞀	xei2	貪心，對財物等想占為己有，~心重
䠀	tʰaŋ3	
䪊	ləŋ2	
䵋	fei3	(小孩)吐:~奶
一	i7	
丁	tiaŋ1-	
丁	tin1=	
七	tɕʰi7	
丈	tʂʰaŋ6	
三	san1	
上	ʂaŋ6	
下	ɕia6=	
下	xa6-	下面:~哩;都:~有份
下	ɕia5	為人摳門又品行不好:為人~
不	pu7	
丐	kai5	
丑	tʂʰəu3	
且	tɕʰie3	
丕	pʰei1	
世	ʂʅ5	
丘	tɕʰiəu1	一~田
丙	pin3	
丞	tʂʰən2	
丟	tiəu1	
並	pin5	
丫	ŋa1	
丫	ia1	~頭
中	tʂəŋ1	~間
中	tʂəŋ5	~標
串	tɕʰyẽ5	
丸	yẽ2	
丹	tan1	
主	tɕy3	
舉	tɕy3	
乂	ȵi5	
乃	lai3	
久	tɕiəu3	
之	tʂʅ1	
乍	tsa5	
乎	fu1	
乏	fa7	
乒	pʰin3	
乓	pʰaŋ1	
乖	kuai1	
乘	tʂʰən2	
乘	ʂən2	
乙	ie7	
乜	ma2	(存疑)什么:~哩人、~哩家伙
乜	man2	(存疑)什么:~人
九	tɕiəu3	
乞	tɕʰi7	
也	ia3	
乳	y3	
乾	tɕʰiẽ2	
乾	kan1	~濕
亂	lẽ6-	
亂	lõ6	
了	liau3	~解
予	y3	
事	sɿ6-	
二	æ6	
于	y2	
互	fu6-	
互	fu5	
五	u3	
井	tɕiaŋ3	
亘	kən5	
亙	kiẽ3	
