#漢字	音標	解釋
□	tsɿ1	~梗:脖子
□	pi1	~骨:肋骨
□	pu1	~□tɕie0:蝗虫
□	tsʰa1	~尿:把尿
□	kʰa1	~水:排水
□	a1	~□sa35:垃圾
□	kʰɯ1	~叶:茶叶
□	bai1	~雪:鹅毛雪
□	tai1	~□kɯ0:女婿
□	nɛi1	~□xa0:丈夫
□	au1	~□bɤ0:男性老人
□	põ1	~场:赶场
□	põ1	~□tsoŋ:板凳
□	u2	~□mau35:青蛙
□	ta2	~~:姑姑
□	ɣa2	~:我们
□	ɕie2	~菜:素菜
□	nɤ2	~豆:黄豆
□	ɤ2	~□sɿ35:姨妈
□	ɕyɤ2	~□sæ35:蜥蜴
□	sai2	~子:植物的茎
□	lau2	~饭:煮饭
□	tsoŋ2	~机:织布机
□	sɤ3	~扫帚:竹扫把
□	mai3	~~:叔母
□	taŋ3	~□xaŋ0:底下
□	ɕy5	~孙:重孙
□	tʰa5	~火:发脾气
□	tɕia5	~脑□ku0:回头
□	dʑia5	~□mẽ0:怎么
□	dzɤ5	~人:丢人
□	mɛi5	~□xa0:妻子
□	tsuɛi5	~水:放凉的开水
□	mei5	~鹞:老鹰
□	məu5	~天了:阴天了
□	dʑiəu5	~娘:蜻蜓
□	dzoŋ5	~月:腊月
□	tsʰɿ7	~药:涂药
□	dzu7	~雨:下雨
□	su7	~米:糯米
□	nəu7	~~:弟弟
□	dzəu7	~出去:撵出去
□	kẽ7	~年:整年
□	sa1	□a35~:垃圾
□	mau1	□u35~:青蛙
□	bɯ7	□au35~:祖父
□	poŋ2	一~墙:一堵墙
□	pʰẽ5	一~门:一扇门
□	pʰo3	两手平伸的长度
□	dʑyɤ3	中~:拇指与中指张开的长度
□	tsɤ3	二
□	tyɤ1	亲~:岳父
□	zei5	他
□	luai3	倒下
□	bu3	凹
□	ɣɤ2	叔
□	tu2	含
□	lo1	圆
□	a1	夜~子:蟋蟀
□	sɿ2	大~:大家
□	maŋ2	奶
□	ȵiaŋ2	小
□	toŋ1	庵
□	tɕi7	房屋
□	kʰo3	打
□	vu3	扔
□	nɯ3	找
□	liau1	把菜放开水里烫烫
□	pʰai3	抖动
□	dzɤ3	拔
□	tɕia5	拨
□	ka1	拴
□	tɤ1	拿
□	tʰɤ5	按
□	kʰa1	挠
□	tʰɯ7	散
□	kẽ1	望~:看见
□	tɕʰiɯ5	歪
□	ie1	测量
□	bia3	涂掉
□	liɯ2	涎水
□	tɕiɯ7	涩
□	ɛi1	溅
□	tsʰõ1	炒菜的锅子
□	tɕʰiɯ5	煮饭用的锅子
□	tɕiẽ1	甘~:甘蔗
□	sẽ5	生锈
□	tɕʰia1	短
□	tsʰoŋ2	磕
□	tʰai1	窝
□	pu3	窥视
□	su1	箩~
□	tsʰẽ1	糠
□	kʰəu5	累
□	tsẽ2	结
□	dza2	羡慕
□	xo5	耍
□	pʰei1	萝卜
□	mi7	落枕
□	tɕʰi5	蒸
□	zuai3	蚯蚓
□	koŋ1	蛋
□	tʰɛi1	蜂~:蜂窝
□	tso2	踢
□	du2	蹲
□	tsai2	蹲
□	tɕʰyɤ5	躲
□	bi1	软
□	tɕyɤ5	迁就
□	dia5	选
□	sau3	道路
□	dʑia5	野老~:野鸭
□	pa3	量词
□	da3	量长短
□	tsau5	钓鱼钩
□	sɤ3	骂
□	bæ̃5	骗
□	tsɯ5	高粱
□	sẽ1	鳞
□	toŋ1	龛
䨨	tiɯ1	雷
一	i2	
丁	tõ1	
七	tɕʰi7	
万	mɛi5	
丈	tʰioŋ3	
三	sɤ1	
三	soŋ1	~十
上	tsʰoŋ3	
下	ɣɤ3	
不	pa2	
丑	dʑiɯ5	
世	sɿ2	
丘	tsʰa1	
丙	piẽ7	
東	tɛi1	
絲	sa1	
嚴	ȵiæ̃5	
喪	ɕioŋ1	
个	kɯ5	
丫	ɤ1	
中	tyɤ1	
丰	foŋ5	
串	tsʰuɛi5	
丸	ye2	
爲	uɛi5	
主	tsa3	
久	tɕia3	
義	ȵi3	
烏	u1	
樂	io5	音~
乖	ko1	
乘	tɕʰiẽ2	
乙	i5	
九	tɕia3	
也	ia3	
鄉	ɕioŋ1	
書	tɕiɯ1	
亂	dzoŋ5	
了	liau3	
爭	tsõ1	
事	tsa5	
二	ŋ̍5	
虧	kʰuei1	
雲	ye2	
互	xu3	
五	ŋ̍3	
井	tsʰẽ3	
亞	ɤ3	
交	tɕiau1	
亥	xai3	
產	tsʰæ̃7	
畝	məu7	
享	ɕioŋ3	
京	tɕie1	
亭	dẽ5	
亮	ȵioŋ5	
親	tɕʰie1	
人	ŋ̍1	
億	i2	
仇	dʑiɯ5	
今	tɕiaŋ2	
今	tɕi1	~年
介	kai2	
从	dyɤ2	
倉	tsʰoŋ1	
仙	ɕiæ̃1	
代	tʰɛi7	
件	tɕʰie3	
價	kɤ5	
企	tɕi3	
伍	ŋ̍3	
伏	fu2	
休	ɕiɯ1	
優	iɯ1	
會	kʰuai2	~计
會	xa3	不~
會	xuei3	开~
傘	soŋ3	
伢	ŋɤ1	
傷	soŋ1	
伯	pɤ7	
估	ku3	
伸	tʰie1	
位	uei3	
住	tiɯ5	
佐	tsɯ7	
何	xɤ1	
佛	fei2	
你	ȵi3	
佩	pʰei2	
使	sa3	
侄	tʰi1	
侍	sa1	
依	i1	
側	tsai2	
侯	ɣa2	
便	pie2	~宜
便	pʰie1	方~
俗	su5	
保	pau3	
信	ɕie5	
倍	pei3	
倒	tau3	
倒	təu5	~水
倔	tɕye5	
借	tɕi3	
值	tʰiɯ1	
假	kɤ3	
偏	pʰie1	
做	tsei5	
停	dõ5	
偷	dəu5	
催	tsʰo1	
傲	ŋəu5	
像	dʑia5	
僧	sẽ1	
元	yæ̃5	
兄	foŋ1	
充	tsʰoŋ1	
先	ɕie1	
光	kuaŋ1	原文调值作“213”，疑为误记
兌	to5	
兔	tʰu5	
黨	taŋ7	
兜	tɛi5	
入	zu2	
全	dʑyæ̃5	
八	po7	
公	kɛi1	
六	lia7	
蘭	nõ1	
共	tɕyɤ3	
共	tsai3	
其	dʑi5	
典	tiæ̃7	
養	zoŋ3	
內	lai3	
再	tsai2	
冒	məu5	
寫	ɕyɤ3	
軍	tɕye1	
冤	yæ̃1	
冬	tɛi1	
冰	piẽ1	
冲	tsʰɛi1	
決	tɕye5	
凍	tɛi5	
準	tsuai1	
減	ka3	
几	tɕi3	
几	tɕi7	
凡	fæ̃5	
凭	biẽ2	
凶	ɕyɤ1	
出	tsʰu7	
鑿	tsʰɯ1	
刀	tau1	
分	fai1	
切	tɕʰi7	
划	fo7	
划	bɤ2	~船
劉	liɯ5	
剛	tɕiaŋ1	
初	tsʰei1	
刨	bau2	
刨	pʰau3	
利	li5	
别	pʰi1	~针
别	pie2	区~
刮	ko3	
到	təu5	
制	tsɿ2	
刷	so7	
刺	tɕʰi5	
剃	tʰa5	
削	ɕiau2	
前	dʑie2	
劍	tɕiæ̃7	
剔	tʰi1	
剖	pʰei1	
剝	pəu7	
剩	zɛi5	
割	kɯ5	
割	ɡɯ5	
劈	pʰei5	
力	liɯ7	
勸	tɕʰye5	
辦	pæ̃3	
功	koŋ1	
加	kɤ1	
務	vu3	
動	dzai3	
勞	ləu5	
勺	dzɯ5	
勾	ka1	
勻	zuai2	
包	pau1	
化	o5	
北	pei7	
匠	dʑioŋ3	
匹	bi1	
醫	i1	
匾	piæ̃7	
十	tsʰɿ1	
千	tsʰai1	
升	tsɛi1	
半	poŋ5	
單	tõ1	
賣	mæ̃5	
南	lõ1	
博	po2	
占	tsõ1	
卡	kʰɤ2	
盧	lu3	
卤	lu7	
衛	uei3	
印	ie5	
危	uei5	
卻	tɕʰio5	
卷	tɕye3	
廠	tsʰaŋ7	
历	li5	
壓	ɣɤ7	
厭	iæ̃2	
厘	li5	
厚	ɣa3	
原	yæ̃5	
廂	ɕioŋ1	
去	kʰɯ5	
縣	ɕie3	
参	tsʰæ̃1	
又	iɯ3	
叉	tsʰɤ1	
雙	soŋ1	
反	fai3	
取	tsʰa3	
受	ɕiɯ3	
變	pɛi5	
口	kʰa3	
古	ku3	
句	kʰa3	
另	nẽ3	
叩	kʰa1	
只	tɕie2	
只	tsɿ2	只有
叫	kəu5	
召	tsau1	
可	kʰɯ3	
台	to1	
右	za5	
葉	ɕi7	
司	ɕi1	
嘆	tʰæ̃2	
各	kɯ7	
合	ɯ2	
吊	tʰiəu5	
同	dai2	
名	mẽ1	
吐	tʰu5	
向	ɕioŋ5	
吠	fi5	
听	tʰõ1	
吸	tɕi5	
吹	tsʰɯ1	
告	kəu5	
嘔	a1	
周	tsɯ1	
味	vi3	
呼	xu1	
命	mõ5	
和	ɣɯ2	
咒	tɕiɯ2	
咬	za5	
咳	kʰõ3	
咸	dʑiɯ2	
咽	uɛi5	
哄	xai3	
哈	xɤ1	
啞	ɤ3	
哥	kɯ1	
唐	toŋ2	
喚	xõ5	
唯	vi5	
唱	tsʰoŋ5	
囉	lɤ1	
啼	tie2	
善	ɕie1	
喉	ɣa2	
喜	ɕi5	
噴	fɛi5	
嗅	tɕʰioŋ1	
嗦	sɤ1	
嘴	tɕy3	
噎	i7	
器	tɕʰi2	
嚷	zɤ7	
嚼	tɕiau3	
四	ɕi5	
因	iẽ1	
团	tuai1	
团	toŋ2	
園	zoŋ2	
困	kʰuẽ2	
圍	y2	
固	ku2	
國	kuɛi5	
圖	du5	
圈	tɕʰye1	
土	tʰei3-	
土	tʰu7	~匪
在	tɕʰi3	
地	tʰi1=	~方
地	li5	山~
場	dioŋ2	
均	tɕyẽ1	
坎	kʰoŋ3	
壞	fei3-	
壞	xuai3	~人
坐	tsai2	
塊	kʰo2	
堅	tɕiæ̃1	
壩	pɤ5	
墳	fai2	
坡	bɯ1	
坪	fõ2	
坯	pʰei1	
坳	au2	
垒	lai3	
墊	tʰai3	
垮	kʰo7	
埋	mẽ1	
埋	mɤ1	~怨
城	tsʰẽ2	
基	tɕi1	
堂	toŋ2	
堆	tõ1	
堡	pau3	
堵	tu7	
塌	tɤ2	
塑	so5	
塔	tʰɤ7	
塘	doŋ3	
塞	tsɤ7	
填	tai2	
牆	tɕʰioŋ2	
墨	mɤ2-	~鱼
墨	mei7=	~斗
墩	tuai1	
壁	pi7	
壤	zoŋ1	
士	sɿ3	
聲	sẽ1	
殼	kʰəu7	
壺	u2	
處	tsʰu7	
夏	ɕia3	
外	uai3	
多	ti1	
夜	zɤ5	
大	nɯ5	
大	ta3	~□sɿ214:大家
天	tʰai1-	
天	tie1	明~
夯	xoŋ1	
頭	ta2	
頭	la2	高~:上面
夾	kɤ5	
奪	nɯ2	
奇	dʑi5	
契	tɕʰie5	
奔	pɛi5	
獎	tɕiaŋ7	
套	tʰəu5	
女	ȵiɯ3	
奴	lu3	
好	xau3	
如	zu2	
妝	tsoŋ1	
婦	pʰa3	媳~
妖	iau1	
妹	mẽ3	
始	sɿ3	
姐	tɕie1	
姐	tɕi3	
姓	ɕie5	
