#漢字	音標	解釋
□	lei1	
□	ui1	
□	mən2	
□	ta3	
□	tɕye3	
□	poŋ3	
□	loŋ3	
□	lie5	
□	tɕiəɯ5	
□	liɔ1	~腳
□	to2	先
□	tso2	先
□	kɔ2	動
□	oŋ2	否定
□	luan2	圓
□	tɕy2	塞
□	a1	張
□	ye5	彎折
□	oŋ3	我
□	tɕʰye3	折
□	pən5	拉
□	kuai3	挂
□	tsʰoŋ3	推
□	pa5	摔
□	ləɯ1	撓
□	kʰoŋ2	撞擊聲
□	loŋ3	第二人稱複數
□	lai1	耍賴
□	tɕʰye2	肏
□	pei1	虧
□	pʰaŋ3	變質
□	ə5	迴應聲
□	tsə5	這
□	ɡa2	量詞
□	koŋ5	鑽
□	mən1	非常;细微
□	lən1	髒
□	pa1	黏
□	tsua1	點
㔶	koŋ3	
㞎	pie3	
㸊	la2	
㸊	lai5	
㿸	man5	
䞣	tsʰa5	
一	i2	
七	tɕʰi2	
丈	dzaŋ5	~人
丈	tsaŋ3	一~
三	san1	
上	saŋ3	
上	saŋ5	
下	xa3	
下	ɕia5	
丐	kai5	
丑	tsʰəɯ3	
且	tɕʰie3	
世	sɿ5	
丟	tiəɯ1	
丫	a1	
丫	ia1	
中	tsoŋ1	
串	tsʰuan1	
串	tsʰuan5	
主	tsu3	
乃	lei3	
乏	fa2	
乖	kuai1	
乘	sən2	
九	tɕiəɯ3	
也	a3	
也	ie3	
亂	luan5	
事	sɿ5	
二	e5	
五	u3	
井	tɕin3	
些	ɕie1	
亞	ia5	
亡	uaŋ2	
亢	kʰaŋ5	
交	tɕiɔ1	
亨	xən1	
亮	liaŋ5	
人	ən2	
什	sən3	
仁	ən2	
仇	dzəɯ2	
他	tʰa1	
他	xa1	
仗	dzaŋ5	
仗	tsaŋ3	炮~
付	fu5	
仙	ɕin1	
以	i3	
件	tɕin3	量詞
件	dʑin5	量詞
任	ən5	
仿	faŋ3	
伎	tɕi3	
伏	pʰu2	
伐	fa2	
休	ɕiəɯ1	
伯	pa2	
伯	pə2	
伴	tan3	同~
伸	tsʰən1	
似	sɿ3	相~
但	dan5	
位	ui5	
低	ti1	
住	dzu5	
佐	tso5	
余	y2	
佛	fo2	
佛	fu2	
作	tso2	
你	li3	
佳	tɕia1	
使	sɿ3	
侃	kʰan3	
來	lei2	
侯	xəɯ2	
便	bin2	
便	bin5	
俊	tsən5	
俊	tsuən5	
俊	tɕyn5	
修	ɕiəɯ1	
倈	lei3	
倉	tsʰaŋ1	
個	ko5	一~;我~
倍	bei5	
倍	pei3	一~;兩~
借	tɕie5	
假	tɕia3	
做	tso5	
做	tsu5	
停	din2	
健	tɕin5	
側	tsə2	
偸	tʰəɯ1	
傑	dʑie2	
傘	san3	
備	pi3	準~
傲	ɔ5	
傳	dzuan2	
傳	tsuan5	
傳	dzuan5	
傷	saŋ1	
傻	xa3	
傾	kʰuaŋ3	
傾	kʰoŋ5	
像	ɕiaŋ5	
像	ɕiaŋ3	好~;石~
僧	tsən1	
價	tɕia5	
儉	tɕin3	
儒	zu2	
優	iəɯ1	
允	yn3	
兄	ɕioŋ1	
充	tsʰoŋ1	
兇	ɕioŋ1	
先	ɕin1	
光	kuaŋ1	
免	min3	
兒	e2	
兔	tʰu5	
兜	təɯ1	
入	zu2	
全	dʑyn2	
兩	liaŋ3	
八	pa2	
公	koŋ1	
六	lu2	
共	koŋ5	
兵	pin1	
其	tɕʰi2	
內	lei5	
再	tsei5	
冠	kuan1	
冤	yn1	
冬	toŋ1	
冰	pin1	
冷	lən3	
凍	toŋ5	
凡	fan2	
凰	xuaŋ2	
凱	kʰei3	
凳	tən5	
凸	tʰu2	
出	tsʰu2	
函	xan2	
刀	tɔ1	
分	fən1	
切	tɕʰie2	
刊	kʰan1	
列	lie2	
初	tsʰu1	
判	pʰan5	
別	bie2	
刮	kua2	
到	tɔ5	
制	tsɿ5	
刷	sa2	
刷	sua2	
券	tɕʰyn5	
刺	tsɿ5	
刺	tsʰɿ5	
刻	kʰə2	
剁	tuo5	
剃	tʰi5	
削	ɕio2	
前	dʑin2	
剖	pʰo5	
剛	tɕiaŋ1	
剩	sən5	
剪	tɕin3	
副	fu5	
割	ko2	
割	kua2	
創	tsʰuaŋ1	
劃	ba2	
