#漢字	音標	解釋
□	ui1	
□	kʰuaŋ2	
□	tsɘ2	
□	soŋ2	
□	tʰɘ3	
□	tɕyɛ3	
□	tsa4	
□	poŋ4	
□	iaŋ5	
□	kuɛ5	
□	tɕyɛ5	
□	tɕʰin3	~殼:河蚌
□	huaŋ5	~是:總是
□	tɕia1	剛，正
□	kɔ2	動
□	pɘi3	埋
□	yɛ5	彎
□	saŋ2	懶散
□	tɕʰyɛ3	折
□	pa5	摔
□	yɛ2	摺疊
□	tsʰa1	撐開
□	lɘu1	撓
□	ɡɘu2	撓
□	kʰoŋ2	撞擊聲
□	mɘn2	污垢
□	dzuai5	淋
□	lui1	滑
□	iaŋ1	種子
□	tʰaŋ1	第三人稱複數
□	aŋ3	第一人稱複數
□	tsʰɿ1	縫;縫紉
□	pɘi1	虧
□	aŋ2	表示迴應
□	oŋ2	表否定
□	pʰaŋ4	變質
□	liɔ1	踢
□	lai1	躺
□	ɘ5	迴應聲
□	ɡa2	量詞
□	kaŋ5	钻
□	koŋ5	钻
□	mɘn1	非常
□	lɘn1	髒
□	lia1	黏
□	tsua1	點
㔶	koŋ3	
㙲	oŋ1	
㞎	pa3	
㞎	piɛ3	
㩳	tsʰoŋ3	
㸊	la2	
㸊	lai5	
㾪	saŋ3	瘦
㿸	man5	
䞣	tsʰa5	~開腳
䟫	tʰɘn3	
一	i2	
一	y2	~樣
丁	tin1	
七	tɕʰi2	
丈	dzaŋ5	
三	san1	
上	saŋ4	
上	saŋ5	
下	ha4	
下	hia4	
下	a5	
下	hia5	
与	y4	
与	hy4	我~你
丐	kai5	
丑	tsʰɘu3	
且	tɕʰiɛ3	
丕	pʰi3	
世	sɿ5	
丘	tɕʰiɘu1	
丙	pin3	
丞	dzɘn2	
丢	tiɘu1	
並	bin5	
並	pʰin4	不~
丫	a1	
丫	ia1	
中	tsoŋ1	
中	tsoŋ5	
串	tsʰuan1	~串
串	tsʰuan5	串~
丹	tan1	
主	tɕy3	
乃	lɘi4	
久	tɕiɘu3	
乎	hu1	
乎	ho2	
乏	ba2	
乏	hua2	
乒	pʰin1	
乖	kuai1	
乘	sɘn2	
乘	tsʰɘn5	
乙	i3	
乜	mia1	
九	tɕiɘu3	
乞	tɕʰi5	
也	a4-	
也	ia4-	
也	iɛ4	
習	ɕi2	
乳	ly4	
乾	dʑin2	
亂	luan5	
事	sɿ5	
于	y2	
云	yn2	
互	hu5	
五	u4	
井	tɕin3	
