#漢字	音標	解釋
一	i1	
七	tɕʰi1	
万	uæ̃5	
三	sæ̃1	
上	ʂɑ̃5	
下	ɕia5	
世	ʂʅ5	
業	ie5	
東	toŋ1	
絲	sɿ1	
丢	tiou1	
兩	liɑ̃3	
嚴	iæ̃2	
个	kɤ5	
中	tʂoŋ1	
丰	fəŋ1	
主	tʂu3	
舉	tɕy3	
義	i5	
烏	u1	
九	tɕiou3	
習	ɕi2	
書	ʂu1	
買	mɛ3	
亂	luæ̃5	
爭	tʂʰəŋ1	
事	ʂʅ5	
二	əʐ5	
虧	kʰuei1	
云	yən2	
五	u3	
井	tɕiŋ3	
交	tɕiɔ1	
產	tʂʰæ̃3	
亮	liɑ̃5	
親	tɕʰin1	
人	ʐən2	
倉	tsʰɑ̃1	
付	fu5	
件	tɕiæ̃5	
任	ʐən5	
休	ɕiou1	
優	iou1	
會	xuei5	
傘	sæ̃3	
傳	tʂʰuæ̃2	
傳	tʂuæ̃5	
傷	ʂɑ̃1	
位	uei5	
低	ti1	
住	tʂu5	
余	y2	
佛	fuo2	
作	tsuo5	
使	ʂʅ3	
侄	tʂʅ2	
側	tʂɛ1	白读
側	tsʰɤ5	文读
便	piæ̃5	
俊	tsuən5	
修	ɕiou1	
借	tɕie5	
假	tɕia3	
做	tsuo5	
停	tʰiŋ2	
健	tɕiæ̃5	
偷	tʰou1	
像	ɕiɑ̃5	
僧	səŋ1	
兒	əʐ2	
兄	ɕyoŋ1	
充	tʂʰoŋ1	
先	ɕiæ̃1	
光	kuɑ̃1	
黨	tɑ̃3	
入	ʐu5	
全	tɕʰyæ̃2	
八	pa1	
公	koŋ1	
六	liou5	
蘭	læ̃2	
共	koŋ5	
關	kuæ̃1	
興	ɕiŋ5	
兵	piŋ1	
典	tiæ̃3	
寫	ɕie3	
軍	tɕyən1	
冤	yæ̃1	
冬	toŋ1	
冰	piŋ1	
冲	tʂʰoŋ1	动词
冲	tʂʰoŋ5	介词
決	tɕye2	
冷	ləŋ3	
凍	toŋ5	
準	tʂuən3	
減	tɕiæ̃3	
湊	tsʰou5	
几	tɕi3	
鳳	fəŋ5	
凳	təŋ5	
凶	ɕyoŋ1	
出	tʂʰu1	
擊	tɕi1	
刀	tɔ1	
分	fən1	
切	tɕʰie1	
划	xua5	
列	lie5	
初	tʂʰu1	
判	pʰæ̃5	
别	pie2	
刮	kua1	
制	tʂʅ5	
刷	ʂua1	
刺	tsʰɿ5	
刻	kʰei1	白读
刻	kʰɤ5	文读
剃	tʰi5	
削	ɕiɔ1	
前	tɕʰiæ̃2	
劍	tɕiæ̃5	
剝	pɔ1	白读
剝	puo1	文读
劇	tɕy5	
剩	ʂəŋ5	
剪	tɕiæ̃3	
副	fu5	
割	kɤ1	
劈	pʰi1	
力	li5	
勸	tɕʰyæ̃5	
辦	pæ̃5	
動	toŋ5	
勁	tɕin5	
勤	tɕʰin2	
勺	ʂɔ2	
匀	yən2	
包	pɔ1	
化	xua5	
北	pei1	白读
北	pei3	文读
匠	tɕiɑ̃5	
匹	pʰi1	
區	tɕʰy1	
十	ʂʅ2	
升	ʂəŋ1	
半	pæ̃5	
華	xua2	
協	ɕie2	
卒	tsu2	
單	tæ̃1	
賣	mɛ5	
南	næ̃2	
占	tʂæ̃5	
衛	uei5	
印	in5	
危	uei1	
卷	tɕyæ̃3	
廠	tʂʰɑ̃3	
廳	tʰiŋ1	
历	li5	
厭	iæ̃5	
厚	xou5	
原	yæ̃2	
去	tɕʰi5	
縣	ɕiæ̃5	
参	ʂən1	
及	tɕi2	
雙	ʂuɑ̃1	
反	fæ̃3	
发	fa1	又
发	fa5	又
叔	ʂou1	白读
叔	ʂu1	文读
取	tɕʰy3	
變	piæ̃5	
口	kʰou3	
古	ku3	
句	tɕy5	
叫	tɕiɔ5	
可	kʰɤ3	
台	tʰɛ2	
右	iou5	
葉	ie5	
號	xɔ5	
吃	tʂʰʅ1	
各	kɤ3	
吉	tɕi1	白读
吉	tɕi2	文读
名	miŋ2	
后	xou5	
向	ɕiɑ̃5	
呂	ly3	
吞	tʰuən1	
含	xən2	白读
含	xæ̃2	文读
聽	tʰiŋ1	
吳	u2	
吸	ɕi1	
吹	tʂʰuei1	
味	uei5	
命	miŋ5	
咸	ɕiæ̃2	
品	pʰin3	
響	ɕiɑ̃3	
啞	ia3	
哭	kʰu1	
脣	tsʰuən2	白读
脣	tʂʰuən2	文读
唱	tʂʰɑ̃5	
善	ʂæ̃5	
喊	xæ̃3	
喜	ɕi3	
嘴	tsuei3	
器	tɕʰi5	
四	sɿ5	
回	xuei2	
園	yæ̃2	
困	kʰuən5	
圍	uei2	
國	kuo3	
圖	tʰu2	
圓	yæ̃2	
圈	yæ̃2	
土	tʰu3	
地	ti5	
均	tɕyən1	
壞	xuɛ5	
坐	tsuo5	
坑	kʰəŋ1	
塊	kʰuɛ5	
墳	fən2	
垂	tʂʰuei2	
墊	tiæ̃5	
埋	mɛ2	
城	tʂʰəŋ2	
塔	tʰa1	
塞	sei1	
墨	mei5	白读
墨	muo5	文读
墩	tuən1	
壁	pi5	
壯	tʂuɑ̃5	
聲	ʂəŋ1	
殼	tɕʰiɔ5	白读
殼	kʰɤ2	文读
壺	xu2	
夏	ɕia5	
外	uɛ5	
多	tuo1	
夜	ie5	
够	kou5	
大	ta5	
天	tʰiæ̃1	
失	ʂʅ1	
頭	tʰou2	
夾	tɕia1	
奪	tuo2	
契	tɕʰi5	
女	ȵy3	
奴	nu2	
奸	tɕiæ̃1	
好	xɔ3	
如	ʐu2	
婦	fu5	
妹	mei5	
姐	tɕie3	
姓	ɕiŋ5	名词
姓	ɕiŋ2	动词
姜	tɕiɑ̃1	
姨	i2	
娘	ȵiɑ̃2	
婆	pʰuo2	
婚	xuən1	
嫁	tɕia5	
嫂	sɔ3	
嫌	ɕiæ̃2	
嫩	lən5	白读
嫩	nuən5	文读
子	tsɿ3	
孔	kʰoŋ3	
字	tsɿ5	
孫	suən1	
孝	ɕiɔ5	
季	tɕi5	
學	ɕiɔ2	白读
學	ɕye2	文读
孽	ȵie5	
安	næ̃1	
宋	soŋ5	
完	uæ̃2	
官	kuæ̃1	
定	tiŋ5	
寶	pɔ3	
實	ʂʅ2	
客	tɕʰie1	白读
客	kʰɤ5	文读
宮	koŋ1	
害	xɛ5	
容	ʐoŋ2	
寬	kʰuæ̃1	
宿	ɕy1	老
宿	su5	新
寄	tɕi5	
密	mei5	
富	fu5	
寸	tsʰuən5	
對	tuei5	
寺	sɿ5	
尋	ɕyən2	
壽	ʂou5	
封	fəŋ1	
射	ʂʅə5	
小	ɕiɔ3	
尖	tɕiæ̃1	
嘗	tʂʰɑ̃2	
尺	tʂʰʅ1	白读
尺	tʂʰʅ3	文读
尾	uei3	
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
屋	u1	
屬	ʂu2	
山	ʂæ̃1	
歲	suei5	
