#漢字	音標	解釋
㘝	ȵap7	抓取
㙢	mun4	
㚊	kai12	實際調值爲335，「咁閪」的合音
㚊	kʰai12	實際調值爲335，「咁閪」的合音
㜷	mɛ4	
㣺	ɬam1	
㭋	paŋ5	打
㷳	ŋɔn6	文火煮
㾤	kʰoŋ3	～瘕：咳嗽
㿭	tʃʰa2	
䏲	tʰai3	
䓛	wat7	
䛩	wu3	罵
䟸	kʷai4	小腿（因殘疾）彎曲
䠻	kʰoŋ2	
䥑	ma6	
䦯	ti6	
䨙	jam4	
䩼	poŋ4	
䫖	ɬam6	弱，差勁
䬆	lat9	風雨暴疾
䳨	wɔŋ4	
一	jat7	
一	aʔ7	弱讀。～過：難道；～是：抑或
丁	ɗeŋ1	
七	tʰat7	
万	mak9	～俟：複姓
丈	tʃa5	
三	ɬɔm1	
上	ʃa5	～山
上	ʃa6	山～
下	ɔ5	～桩：紮馬步
下	ɔ6	
丌	ki1	
不	ɓat7	
不	fau2	同「否」
丐	kʰɔi3	
丑	tʃʰau2	
且	tʰɛ2	
丕	pʰi1	
世	ʃi3	文讀：～界
世	ʃai3	白讀：一～、出～。
丘	jau1	
丙	ɓeŋ2	
丞	ʃeŋ4	
丟	ɗiu1	
並	peŋ5	
丨	kʷan2	
丫	ɔ1	
丬	pɔn4	
中	tʃoŋ1	～央
中	tʃoŋ3	繫～
丰	foŋ1	
串	tʃʰyn3	
丵	pok9	
丶	tʃy2	
丸	jyn4	
丹	ɗɔn1	
主	tʃy2	
丿	pʰit7	
丿	jai6	
乂	ȵi6	
乃	nɔi5	
久	tʃau2	
乇	tʃʰak7	
之	tʃi1	
乍	tʃɔ3	忽也，猝也
乍	tʃʰɔ12	始，方，纔
乎	wu1	
乎	wu4	
乏	fɔt10	
乒	ɓeŋ1	
乓	ɓaŋ1	
乖	kʷɔi1	
乘	ʃeŋ4	
乘	ʃœŋ4	白讀
乙	jit7	
乜	mat7	方言用字，意爲「甚麼」
乜	mɛ1	～斜，～斜轍
九	kau2	異讀
九	tʃau2	
乞	hat7	
也	jɛ5	
乩	kai1	
乳	ȵui5	白讀：腐～
乳	ʃy5	文：～汁，水～交融
乾	kɔn1	～燥
乾	kin4	～坤
亂	lyn6	
了	liu5	
了	lɛu5	文讀。表示動作或變化已經完成
予	jy5	
事	ʃi6	
二	ȵi6	
亍	tʃʰok7	
于	jy1	
云	wan4	
互	wu6	
亓	ki4	
五	ŋ̍5	
井	ɗeŋ2	
亙	kaŋ3	
些	ɬɛ1	
亞	at8	用於「～公」等稱謂詞首
亞	ɔt8	
亟	kek7	
亠	tau4	
亡	mɔŋ4	
亢	kʰɔŋ3	
交	kɔu1	
交	kɛu1	白讀
亥	ɔi5	
亦	ek9	
亨	ha1	
享	ja2	
京	keŋ1	
亭	teŋ4	
亮	la3	
亮	la6	又讀
亳	pɔk10	
人	ȵan4	
亻	ȵan4	
什	ʃap9	
仁	ȵan4	
仂	lak9	
仃	ɗeŋ1	
仄	tʃak7	
仆	pʰok7	
仇	tʃau4	姓
仉	tʃa2	
今	kam1	異讀
今	tʃam1	
介	kɔi3	
仌	ɓeŋ1	
仍	ŋeŋ4	
仔	ɗai2	牛～
仔	ɗi2	～細
仕	ʃi6	
他	tʰɔ1	
仗	tʃa3	打～
仗	tʃa6	炮～
付	fu3	
付	fu6	～款
仙	ɬin1	
仝	toŋ4	
仞	ȵan6	
仟	tʰin1	
仡	ŋat9	勇壯
仡	kɔt8	～佬族：我國少數民族之一，古稱「獦獠」。
代	tɔi6	
令	leŋ6	
以	ji5	
以	ji4	所～：又讀
仨	ɬɔm1	
仫	mu6	～佬族：我國少數民族之一，南北朝時稱「木籠僚」，元朝稱「木佬」「木婁」「木搖」「狇老」。
仰	ȵa5	
仲	tʃoŋ6	
仳	pʰi2	
仵	ŋ̍5	
件	kin5	白讀
件	kin6	文讀
任	ȵam6	
份	fan6	
仿	fɔŋ2	
企	ki5	
伉	kʰɔŋ3	
伊	ji1	
伍	ŋ̍5	
伏	fok9	
伐	fɔt10	
休	jau1	
伙	wo2	
