#漢字	音標	解釋
一	zit7	
七	tsʰit7	
万	van5	
三	sam1	
上	sɔŋ1	
下	ha5	
世	se5	
業	ȵiap8	
東	toŋ1	
絲	sɿ1	
丢	tiu1	
兩	liɔŋ1	
嚴	ȵiam2	
个	kai5	
中	tsoŋ1	
丰	foŋ1	
主	tsu3	
舉	ki3	
義	ȵi5	
烏	vu1	
九	kiu3	
習	sip8	
書	su1	
買	mai1	
亂	lon5	
爭	tsaŋ1	
事	sɿ5	
二	ȵi5	
虧	kʰui1	
云	zun2	
五	ŋ̍3	
井	tsiaŋ3	
交	kau1	
產	san3	白:生~队
產	tsʰan3	文
亮	liɔŋ5	
親	tsʰin1	
人	ȵin2	
倉	tsʰɔŋ1	
付	fu5	
件	kʰien5	
任	ȵim5	
休	hiu1	
優	ziu1	
會	fui5	
會	voi5	副词
傘	san3	
傳	tsʰon2	
傳	tson5	
傷	sɔŋ1	
位	vui5	
低	te1	
住	tsʰu5	
余	zi2	
佛	fut8	
作	tsɔk7	
使	sɿ3	
侄	tsʰit8	
側	tsʰet7	
便	pʰien5	
俊	tsun5	
修	siu1	
借	tsia5	
假	ka3	
做	tso5	
停	tʰin2	
健	kʰien5	
偷	tʰeu1	
像	siɔŋ5	
僧	tsen1	
兒	zi2	
兄	hioŋ1	
充	tsʰoŋ1	
先	sien1	
光	kuɔŋ1	
黨	tɔŋ3	
入	ȵip8	
全	tsʰon2	
八	pat7	
公	koŋ1	
六	lok7	
蘭	lan2	
共	kʰoŋ5	
關	kuan1	
興	hin5	
兵	pin1	
典	tiam3	
寫	sia3	
軍	kun1	
冤	zen1	
冬	toŋ1	
冰	pen1	
冲	tsʰoŋ1	
決	kiet7	
冷	laŋ1	
凍	toŋ5	
準	tsun3	
減	kam3	
湊	tsʰeu5	
几	ki3	
鳳	foŋ5	
凳	ten5	
凶	hioŋ1	
出	tsʰut7	
擊	kit7	
刀	to1	
分	pun1	给
分	fun1	~开
切	tsʰiet7	
划	vak8	
列	let8	
初	tsʰo1	
判	pʰan5	
别	pʰiet8	
刮	kuat7	
制	tsi5	
刷	sot7	
刻	kʰet7	
剃	tʰe5	白
剃	tʰi5	文
削	siɔk7	
前	tsʰien2	
劍	kiam5	
剝	pɔk7	
劇	kʰiak7	
剩	zin5	白
剩	sin5	文
剪	tsien3	
副	fu5	
割	kot7	
劈	pʰiak7	
力	lit8	
勸	kʰien5	
辦	pʰan5	
動	tʰoŋ5	
勁	kin5	
勤	kʰin2	
勺	sɔk8	
匀	zun2	
包	pau1	
化	fa5	
北	pet7	
匠	tsiɔŋ5	
匹	pʰit7	
區	kʰi1	
十	sip8	
升	sin1	
半	pan5	
華	fa2	
協	hiap8	
卒	tsut7	
單	tan1	
賣	mai5	
南	nam2	
占	tsam5	
衛	vui5	
印	zin5	
危	ŋui2	
卷	kien3	
廠	tsʰɔŋ3	
廳	tʰaŋ1	
历	let8	日~
历	lit8	~史
厭	zam5	
厚	heu5	
原	ȵien2	
去	hi5	白
去	kʰi5	文
縣	zen5	
参	tsʰam1	
及	kʰip8	
雙	soŋ1	
反	fan3	
发	fat7	
叔	sok7	
取	tsʰi3	
變	pien5	
口	heu3	白:海~
口	kʰeu3	文
古	ku3	
句	ki5	
叫	kiau5	
可	kʰo3	
台	tʰoi2	
右	ziu5	
葉	zap8	
號	ho5	
吃	sit8	训读，实为“食”
各	kɔk7	
吉	kit7	
名	miaŋ2	
后	heu5	
向	hiɔŋ5	
呂	li1	
吞	tʰun1	
含	hem2	
聽	tʰaŋ1	
吳	ŋ̍2	
吸	hip7	白
吸	kʰip7	文
吸	kʰep7	文2
吹	tsʰui1	
味	mui5	
命	miaŋ5	白:生~
命	min5	文:~令
咸	ham2	
品	pʰin3	
響	hiɔŋ3	
啞	a3	
哭	kʰok7	
脣	sun2	白
脣	tʰun2	文
唱	tsʰɔŋ5	
善	san5	
喊	hem1	白
喊	ham5	文
喜	hi3	
嘴	tsui3	
器	hi5	
四	si5	
回	fui2	
園	zen2	
困	kʰun5	
圍	vui2	
國	ket7	
圖	tʰu2	
圓	zen2	
圈	kʰien1	
土	tʰu3	
地	tʰi5	
均	kun1	
壞	fai5	
坐	tsʰo1	
坑	haŋ1	
塊	kʰuai5	
墳	fun2	
垂	sui2	
墊	tʰiam5	
埋	mai2	
城	saŋ2	
塔	tʰap7	
塞	set7	
墨	met8	
墩	tun1	
壁	piak7	
壯	tsɔŋ5	
聲	saŋ1	
殼	hɔk7	
壺	fu2	
夏	ha5	
外	ŋoi5	
多	to1	
夜	za5	
够	keu5	
大	tʰai5	
天	tʰien1	
失	sit7	
頭	tʰeu2	
夾	kiap8	
奪	tʰot8	
契	tsʰi5	
女	ŋ̍3	白
女	ȵi3	文
奴	nu2	
奸	kan1	
好	ho3	
如	zu2	
婦	fu5	
妹	moi5	
姐	tse1	
姓	siaŋ5	
姜	kiɔŋ1	
姨	zi2	
娘	ȵiɔŋ2	
婆	pʰo2	
婚	fun1	
嫁	ka5	
嫂	so3	
嫌	hiam2	
嫩	nun5	
子	tsɿ3	
孔	kʰoŋ3	
字	tsɿ5	
孫	sun1	
孝	hau5	
季	kui5	
學	hɔk8	
孽	net8	
安	on1	
宋	soŋ5	
完	van2	
官	kuan1	
定	tʰin5	
寶	po3	
實	sit8	
客	hak7	
宮	koŋ1	
害	hoi5	
容	zoŋ2	
寬	kʰuan1	
宿	sok7	
寄	ki5	
密	met8	
富	fu5	
寸	tsʰun5	
對	tui5	
寺	sɿ5	
尋	tsʰim2	
壽	siu5	
封	foŋ1	
射	sa5	
小	siau3	
尖	tsiam1	
嘗	sɔŋ2	
尺	tsʰak7	
尾	mui1	
局	kʰok8	
屁	pʰi5	
層	tsʰen2	
屋	vok7	
屬	sok8	
山	san1	
歲	soi5	
巖	ŋam2	
岸	ŋan5	
州	tsiu1	
左	tso3	
幣	pi5	
市	sɿ5	
布	pu5	
師	sɿ1	
希	hi1	
帶	tai5	
席	tsʰiak8	草~
席	sip8	毛主~
幫	pɔŋ1	
帽	mo5	
平	pʰiaŋ2	白
平	pʰin2	文:~均
年	ȵien2	
幼	ziu5	
慶	kʰin5	
牀	tsʰɔŋ2	
店	tiam5	
廟	miau5	
府	fu3	
延	zen2	
建	kien5	
開	hoi1	白
開	kʰoi1	文
弄	loŋ5	
式	sit7	
引	zin3	
弟	tʰe1	
張	tsɔŋ1	
彎	van1	
弱	ȵiɔk8	
彈	tʰan2	
形	hin2	
影	zaŋ3	
律	lut8	又
律	lit8	又
徐	tsʰi2	
得	tet7	
心	sim1	
忙	mɔŋ2	
快	kʰuai5	
念	ȵiam5	
懷	fai2	
急	kip7	
怪	kuai5	
恨	hen5	
恩	en1	
恭	koŋ1	
息	sit7	
恶	ɔk7	
惜	siak7	白
惜	sit7	文:可~
慣	kuan5	
想	siɔŋ3	
愁	seu2	
意	zi5	
感	kam3	
慌	fɔŋ1	
慢	man5	
憋	piet7	
懂	toŋ3	
懶	lan1	
戲	hi5	
戒	kai5	
或	fet8	
戰	tsan5	
截	tsiet7	
戶	fu5	
房	fɔŋ2	
所	so3	
扁	pien3	
扇	sen5	
手	siu3	
扎	tsap7	
打	ta3	
托	tʰɔk7	
扮	pan5	
找	tsau3	
抄	tsʰau1	
把	pa3	
抓	tsa1	
抖	teu3	
折	tsap7	
搶	tsʰiɔŋ3	
抱	pau5	
抽	tsʰiu1	
拆	tsʰak7	
拉	lai1	
拍	pʰɔk7	
拐	kuai3	
拖	tʰo1	
拜	pai5	
擁	zoŋ1	
撥	pot7	
擇	tsʰet8	
挂	kua5	
指	tsi3	
挖	vet7	
挺	tʰin3	
捏	net7	
換	von5	
排	pʰai2	
接	tsiap7	
插	tsʰap7	
握	vɔk7	
搬	pan1	
搭	tap7	
摆	pai3	
摇	zau2	
摘	tsak7	
摸	mo1	
撞	tsʰɔŋ5	又
撞	tsɔŋ5	又
撤	tsʰet8	
擦	tsʰat7	
改	koi3	
放	fɔŋ5	
敢	kam3	
數	su3	
數	su5	
敲	kʰau5	
整	tsin3	
料	liau5	
斜	tsʰia2	
斷	tʰon1	
新	sin1	
方	fɔŋ1	
族	tsʰok8	
日	ȵit7	
舊	kʰiu5	
早	tso3	
時	sɿ2	
旺	vɔŋ5	
明	min2	
星	sen1	
春	tsʰun1	
顯	hien3	
曬	sai5	
晚	van3	
暖	non1	
暗	am5	
曲	kʰiok7	
更	kɔŋ1	
月	ȵiet8	
有	ziu1	
朋	pʰen2	
服	fok8	
朝	tsʰau2	
木	mok7	
末	mot8	
本	pun3	
殺	sat7	
雜	tsʰap8	
權	kʰien2	
杉	tsʰam5	
李	li3	
村	tsʰun1	
