#漢字	音標	解釋
一	iɐt7a	
七	tʃʰɐt7a	
万	man2	
三	ɬam1	
上	ʃœŋ5	
下	ha2	
世	ʃɐi5	
業	nip8	
東	toŋ1	
絲	ɬɯ1	
丢	tiu1	
兩	lœŋ3	
嚴	im2	
个	kɔ5	
中	tʃoŋ1	
丰	foŋ1	
主	tʃi3	
舉	ki3	
義	i2	
烏	u1	
九	kɐu3	
習	tʃap8	
書	ʃi1	
買	mai5	
亂	lin2	
爭	tʃɐŋ1	
事	ɬɯ2	
二	i2	
虧	kʰuɐi1	
云	uɐn2	
五	ŋ	
井	tʃiaŋ3	
交	kau1	
產	tʃʰan3	
亮	lœŋ2	
親	tʃʰɐn1	
人	iɐn2	
倉	tʃʰɔŋ1	
付	fu2	
件	kin2	
任	iɐm2	
休	iɐu1	
優	iɐu1	
會	hui2	
傘	ɬan5	
傳	tʃʰin2	
傷	ʃœŋ1	
位	uɐi2	
低	tɐi1	
住	tʃi2	
余	i2	
佛	fɐt8	
作	tʃɔk7b	
使	ʃɐi3	
侄	tʃɐt8	
側	tʃʰɐk7a	
便	pin2	
俊	tʃɐn5	
修	ɬɐu1	
借	tʃe5	
假	ka3	
做	tʃu5	
停	tʰeŋ2	
健	kin2	
偷	tʰɐu1	
像	tʃœŋ2	
僧	tʃɐŋ1	
兒	i2	
兄	heŋ1	
充	tʃʰoŋ1	
先	ɬin1	
光	kɔŋ1	
黨	tɔŋ3	
入	iɐp8	
全	tʃʰin2	
八	pet7b	
公	koŋ1	
六	lok8	
蘭	lan2	
共	koŋ2	
關	kuan1	
興	heŋ5	
兵	peŋ1	
典	tim3	
寫	ɬe3	
軍	kuɐn1	
冤	in1	
冬	toŋ1	
冰	peŋ1	
冲	tʃʰoŋ1	
決	kʰit7b	
冷	laŋ5	
凍	toŋ5	
準	tʃɐn3	
減	kem3	
湊	tʃɐu5	
几	ki3	
鳳	foŋ2	
凳	tɐŋ5	
凶	hoŋ1	
出	tʃʰɐt7a	
擊	kek7a	
刀	tu1	
分	fɐn1	
切	tʃʰit7b	
划	uak8	
列	lit8	
初	tʃʰɔ1	
判	pʰun5	
别	pit8	
刮	kuet7b	
制	tʃɐi5	
刷	tʃʰat7b	
刺	ɬɯ5	
刻	hɐk7a	
剃	tʰɐi5	
削	ɬœk7b	
前	tʃʰin2	
劍	kim5	
剝	pɔk7b	
劇	kʰiak8	
剩	tʃeŋ2	
剪	tʃin3	
副	fu5	
割	kɔt7b	
劈	pʰiak7b	
力	lek8	
勸	hin5	
辦	pan2	
動	toŋ2	
勁	keŋ5	
勤	kʰɐn2	
匀	uɐn2	
包	pau1	
化	fa5	
北	pɐk7a	
匠	tʃœŋ2	
匹	pʰɐt7a	
區	kʰi1	
十	ʃɐp8	
升	ʃeŋ1	
半	pun5	
華	ua2	
協	hip7b	
卒	tʃɐt7a	
單	tan1	
賣	mai2	
南	nam2	
占	tʃim5	
衛	uɐi2	
印	iɐn5	
危	ŋɐi2	
卷	kin3	
廠	tʃʰɔŋ3	
廳	tʰiaŋ1	
历	lek8	
厭	im5	
厚	hɐu5	
原	in2	
去	hi5	
縣	in2	
参	ʃɐm1	
及	kɐp8	
雙	ʃœŋ1	
反	fan3	
发	fat7b	
叔	ʃok7a	
取	tʃʰi3	
變	pin5	
口	hɐu3	
古	ku3	
句	ki5	
叫	kiu5	
可	hɔ3	
台	tʰɔi2	
右	iɐu2	
葉	ip8	
號	hu2	
各	kɔk7b	
吉	kɐt7a	
名	meŋ2	
后	hɐu2	
向	hœŋ5	
呂	li5	
吞	tʰɐn1	
含	ham2	
聽	tʰeŋ5	
吳	ŋ	
吸	kʰɐp7a	
吹	tʃʰui1	
味	mi2	
命	miaŋ2	
咸	ham2	
品	pʰɐn3	
響	hœŋ3	
啞	a3	
哭	hok7a	
脣	ʃɐn2	
唱	tʃʰœŋ5	
善	ʃin2	
喊	ham5	
喜	hi3	
嘴	tʃɔi3	
器	hi5	
四	ɬi5	
回	hui2	
園	in2	
困	kʰuɐn5	
圍	uɐi2	
國	kɔk7b	
圖	tʰu2	
圓	in2	
圈	hin1	
土	tʰu3	
地	ti2	
均	kʰuɐn1	
壞	uai2	
坐	tʃʰɔ5	
坑	hɐŋ1	
塊	fai5	
墳	fɐn2	
垂	tʃʰɔi2	
墊	tim2	
埋	mai2	
城	ʃeŋ2	
塔	tʰap7b	
塞	ɬɐk7a	
墨	mɐk8	
墩	tɐn1	
壁	pek7a	
壯	tʃɔŋ2	
聲	ʃeŋ1	
殼	hɔk7b	
壺	hu2	
夏	ha2	
外	ŋɔi2	
多	tɔ1	
夜	ie2	
够	kɐu5	
大	tai2	
天	tʰin1	
失	ʃɐt7a	
頭	tʰɐu2	
夾	kap7b	
奪	tit8	
契	kʰɐi5	
女	ni5	
奴	nu2	
奸	kan1	
好	hu3	
如	i2	
婦	fu5	
妹	mui3	
姐	tʃe3	
姓	ɬeŋ5	
姜	kœŋ1	
姨	i2	
娘	nœŋ2	
婆	pʰɔ2	
婚	uɐn1	
嫁	ka5	
嫂	ɬu3	
嫌	im2	
嫩	nin2	
子	ɬɯ3	
孔	hoŋ3	
字	ɬɯ2	
孫	ɬin1	
孝	hau5	
季	kuɐi5	
學	hɔk8	
孽	nip8	
安	ɔn1	
宋	ɬoŋ5	
完	in2	
官	kun1	
定	teŋ2	
寶	pu3	
實	ʃɐt8	
客	hak7b	
宮	koŋ1	
害	hɔi2	
容	ioŋ2	
寬	fun1	
宿	ɬok7a	
寄	ki5	
密	mɐt8	
富	fu5	
寸	tʃʰin5	
對	tui5	
寺	tʃʰi2	
尋	tʃʰɐm2	
壽	ʃɐu2	
封	foŋ1	
射	ʃe2	
小	ɬiu3	
尖	tʃim1	
嘗	ʃœŋ2	
尺	tʃʰiak7b	
尾	mi5	
局	kok8	
屁	pʰi5	
層	tʃʰɐŋ2	
屋	ok7a	
屬	ʃok8	
山	ʃan1	
歲	ɬɔi5	
巖	ŋam2	
岸	ŋɔn2	
州	tʃɐu1	
左	tʃɔ3	
幣	pi2	
市	ʃi5	
布	pu5	
師	ɬɯ1	
希	hi1	
帶	tai5	
席	tʃek8	
幫	pɔŋ1	
帽	mu3	
平	pʰeŋ2	
年	nin2	
幼	iɐu5	
慶	heŋ5	
牀	tʃʰɔŋ2	
店	tim5	
廟	miu2	
府	fu3	
延	in2	
建	kin5	
開	hɔi1	
弄	loŋ2	
式	ʃek7a	
引	iɐn5	
弟	tɐi2	
張	tʃœŋ1	
彎	uan1	
弱	iœk8	
彈	tʰan2	
形	ieŋ2	
影	ieŋ3	
律	lɐt8	
徐	tʃʰi2	
得	tɐk7a	
心	ɬɐm1	
忙	mɔŋ2	
快	fai5	
念	nim2	
懷	uai2	
急	kɐp7a	
怪	kuai5	
恨	hɐn2	
恩	iɐn1	
恭	koŋ1	
息	ɬek7a	
恶	ɔk7b	
惜	ɬek7a	
慣	kuan5	
想	ɬœŋ3	
愁	tʃʰɐu2	
意	i5	
感	kam3	
慌	uɔŋ1	
慢	man2	
憋	pit7b	
懂	toŋ3	
懶	lan5	
戲	hi5	
戒	kai5	
或	uak8	
戰	tʃin5	
截	tʃit8	
戶	hu2	
房	fɔŋ2	
所	ɬɔ3	
扁	pen3	
扇	ʃin5	
手	ʃɐu3	
扎	tʃat7b	
打	ta3	
托	tʰɔk7b	
扮	pʰan5	
找	tʃau3	
抄	tʃʰau1	
把	pa3	
抓	tʃa1	
抖	tɐu3	
折	tʃit7b	
搶	tʃʰœŋ3	
抱	pʰu5	
抽	tʃʰɐu1	
拆	tʃʰak7b	
拉	lai1	
拍	pʰak7b	
拐	kuai3	
拖	tʰɔ1	
拜	pai5	
擁	ioŋ3	
撥	put8	
擇	tʃak8	
挂	kua5	
指	tʃi3	
挖	ua1	
挺	tʰeŋ3	
捏	nip7b	
換	un2	
排	pʰai2	
接	tʃip7b	
插	tʃʰap7b	
握	ŋɐk7a	
搬	pun1	
搭	tap7b	
摆	pai3	
摇	iu2	
摘	tʃak8	
摸	mɔ1	
撞	tʃɔŋ2	
撤	tʃʰit7b	
擦	tʃʰat7b	
改	kɔi3	
放	fɔŋ5	
敢	kam3	
數	ʃu5	
敲	hau1	
整	tʃeŋ3	
料	liu2	
斜	tʃʰe2	
斷	tʰin5	
新	ɬɐn1	
方	fɔŋ1	
族	tʃok8	
日	iɐt8	
舊	kɐu2	
早	tʃu3	
時	ʃi2	
旺	uɔŋ2	
明	meŋ2	
星	ɬeŋ1	
春	tʃʰɐn1	
顯	hin3	
曬	ʃai5	
晚	man5	
暖	nin5	
暗	ɐm5	
曲	kʰok7a	
更	kɐŋ1	
月	it8	
有	iɐu5	
朋	pɐŋ2	
服	fok8	
朝	tʃʰiu2	
木	mok8	
末	mut8	
本	pun3	
殺	ʃat7b	
雜	tʃap8	
權	kʰin2	
杉	tʃʰam5	
李	li5	
村	tʃʰin1	
杜	tu2	
條	tʰiu2	
來	lɔi2	
杯	pui1	
杰	kit8	
松	ɬoŋ1	
板	pan3	
極	kek8	
林	lɐm2	
果	kɔ3	
柄	peŋ3	
染	im5	
櫃	kuɐi2	
柱	tʃʰi5	
柴	tʃʰai2	
柿	ʃi2	
樹	ʃi2	
栗	lɐt8	
校	hau2	
樣	iœŋ2	
根	kɐn1	
格	kak7b	
桂	kuɐi5	
桃	tʰu2	
桌	tʃœk7b	
橋	kʰiu2	
樁	tʃɔŋ1	
桶	tʰoŋ3	
梗	kɐŋ3	
夢	moŋ2	
梨	li2	
梯	tʰɐi1	
棉	min2	
棋	kʰi2	
棚	pʰaŋ2	
樓	lɐu2	
橫	uaŋ2	
橘	kɐt7a	
欠	him5	
歡	fun1	
歇	hip7b	
歌	kɔ1	
正	tʃeŋ5	
步	pu2	
武	mu5	
歪	uai1	
死	ɬi3	
母	mu5	
毒	tok8	
比	pi3	
毛	mu2	
毯	tʰan3	
民	mɐn2	
气	hi5	
水	ʃɔi3	
永	ueŋ5	
汁	tʃɐp7a	
漢	hɔn5	
汗	hɔn2	
江	kɔŋ1	
池	tʃʰi2	
湯	tʰɔŋ1	
沉	tʃʰɐm2	
沙	ʃa1	
河	hɔ2	
油	iɐu2	
治	tʃi2	
法	fat7b	
泥	nɐi2	
潑	pʰut7b	
洗	ɬɐi3	
洞	toŋ2	
活	ut8	
派	pʰai5	
流	lɐu2	
淺	tʃʰin3	
漿	tʃœŋ1	
測	tʃʰɐk7a	
濃	noŋ2	
浪	lɔŋ2	
浮	fɐu2	
浴	iok8	
海	hɔi3	
浸	tʃɐm5	
淡	tʰam5	
深	ʃɐm1	
添	tʰim1	
清	tʃʰeŋ1	
渠	ki2	
溫	uɐn1	
渴	hɔt7b	
溪	kʰɐi1	
滑	uet8	
滚	kʰuɐn3	
滿	mun5	
潭	tʰam2	
火	fɔ3	
滅	mit8	
燈	tɐŋ1	
灰	fui1	
竈	tʃu5	
炎	im2	
炭	tʰan5	
炮	pʰau5	
點	tim3	
爛	lan2	
烘	hɔŋ5	
燭	tʃok8	
烟	in1	
燒	ʃiu1	
熱	it8	
焦	tʃiu1	
煤	mui2	
照	tʃiu5	
熊	ioŋ2	
熟	ʃok8	
熬	ŋu2	
爬	pʰa2	
愛	ɔi5	
父	fu2	
爺	ie2	
片	pʰin5	
牌	pʰai2	
牙	ŋa2	
牛	ŋɐu2	
物	mɐt8	
牽	hin1	
特	tɐk8	
犁	lɐi2	
犯	fan2	
狂	kʰɔŋ2	
狗	kɐu3	
猛	maŋ5	
豬	tʃi1	
猫	meu1	
玉	iok8	
王	uɔŋ2	
現	hin2	
班	pan1	
球	kʰɐu2	
琴	kʰɐm2	
瓜	kua1	
瓦	ŋa5	
瓶	pʰeŋ2	
甘	kɐm1	
甜	tʰim2	
生	ʃɐŋ1	
用	ioŋ2	
田	tʰin2	
甲	kap7b	
畫	ua3	
畜	tʃʰok7a	
瘡	tʃʰɔŋ1	
病	piaŋ2	
痛	tʰoŋ5	
瘦	ʃɐu5	
白	pak8	
百	pak7b	
皮	pʰi2	
盆	pʰun2	
益	iek7a	
鹽	im2	
監	kam1	
盒	hɔp8	
盖	kɔi5	
盤	pʰun2	
目	mok8	
直	tʃek8	
省	ʃaŋ3	
眉	mi2	
看	hɔn5	
眼	ŋen5	
着	tʃœk8	
知	tʃi1	
短	tin3	
矮	ɐi3	
石	ʃiak8	
磚	tʃin1	
破	pʰɔ5	
硬	ŋaŋ2	
碎	ɬui5	
碑	pʰi1	
碗	un3	
碟	tip8	
磨	mɔ2	
神	ʃɐn2	
祠	ɬɯ2	
票	pʰiu5	
禍	uɔ2	
福	fok7a	
種	tʃoŋ5	
租	tʃu1	
秤	tʃʰeŋ5	
秧	iœŋ1	
積	tʃek7a	
移	i2	
程	tʃʰeŋ2	
窮	kʰoŋ2	
窄	tʃa5	
窗	tʃʰɔŋ1	
立	lɐp8	
豎	ʃi2	
章	tʃœŋ1	
端	tin1	
竹	tʃok7a	
笋	ɬɐn3	
笑	ɬiu5	
筆	pɐt7a	
笛	tiak8	
等	tɐŋ3	
筋	kɐn1	
筐	kʰuaŋ1	
策	tʃʰak7b	
签	tʃʰim1	
箍	kʰu1	
算	ɬin5	
簫	ɬiu1	
篾	met8	
簿	pu2	
米	mɐi5	
類	lɔi2	
粉	fɐn3	
粥	tʃok7a	
糞	fɐn5	
糉	tʃoŋ5	
糖	tʰɔŋ2	
糙	tʃu2	
糠	hɔŋ1	
系	hɐi2	
索	ɬɔk7b	
緊	kɐn3	
紫	ɬɯ3	
紅	hoŋ2	
約	iœk7b	
純	ɬɐn2	
紙	tʃi3	
紡	fɔŋ3	
線	ɬin5	
織	tʃek7a	
終	tʃoŋ1	
經	keŋ1	
綁	pɔŋ3	
結	kit7b	
繞	iu3	
絶	tʃit8	
統	tʰoŋ3	
繩	tʃʰeŋ2	
綢	tʃʰɐu2	
綠	lok8	
縫	foŋ2	
纏	tʃʰan2	
縮	ʃok7a	
缺	kʰit7b	
网	mɔŋ5	
罰	fɐt8	
罩	tʃau5	
罪	tʃɔi2	
翁	ioŋ1	
翻	fan1	
老	lu5	
耕	kaŋ1	
耳	i5	
聾	loŋ2	
肉	iok8	
肝	kɔn1	
肥	fi2	
肩	kin1	
肯	hɐŋ3	
育	iok7a	
肺	fɐi5	
腫	tʃoŋ3	
胃	uɐi2	
膽	tam3	
背	pui5	
胎	tʰɔi1	
能	nɐŋ2	
腦	nu5	
膿	noŋ2	
脚	kœk7b	
脱	tʰit7b	
