#漢字	音標	解釋
一	it7	
七	tʃʰit7	
万	uan5	
三	ɬam1	
上	ʃɔŋ1	
下	ha1	
世	ʃi5	
業	ȵiap8	
東	tuŋ1	
絲	ɬɯ1	
丢	tiou1	
兩	liɔŋ1	
嚴	ȵiam2	
个	kai5	
中	tʃuŋ1	
丰	fuŋ1	
主	tʃu3	
舉	kʰi3	
義	ȵi5	
烏	u1	
九	kiou3	
習	ɬit7	
書	ʃu1	
買	mai1	
亂	lɔn5	
爭	tʃaŋ1	
事	ɬɯ5	
二	ȵi5	
虧	kʰui1	
雲	iun2	
五	m̩3	
井	tʃiaŋ3	水~
井	tʃin3	~冈山
交	kɑu1	
產	tʃʰan3	
亮	liɔŋ5	
親	tʃʰin1	
人	ȵin2	
倉	tʃʰɔŋ1	
付	fu5	
件	kɛn5	
任	ȵin5	
休	ʃiou1	
優	iou1	
會	fui5	
傘	ɬan3	
傳	tʃʰɔn2	
傳	tʃɔn5	
傷	ʃɔŋ1	
位	ui5	
低	tɛ1	
住	tʃu5	
余	y2	
佛	fɔt7	
作	tʃɔk7	
使	ʃi3	
侄	tʃʰɛt8	
側	tʃʰat7	
便	pʰɛn5	
俊	tʃun5	
修	ɬiou1	
借	tʃia5	
假	ka3	
做	tʃɔ5	
停	tʰin2	
健	kɛn5	
偷	tʰɛu1	
像	ɬiɔŋ5	
僧	tʃun1	
兒	ə2	
兄	ʃiuŋ1	
充	tʃʰuŋ1	
先	ɬɛn1	
光	kɔŋ1	
黨	tɔŋ3	
入	ip8	
全	tʃʰɔn2	
八	pat7	
公	kuŋ1	
六	luk7	
蘭	lam2	
共	kʰuŋ5	
關	kɔn1	
興	ʃin5	
兵	pin1	
典	tiam3	
寫	ɬia3	
軍	kiun1	
冤	iɛn1	
冬	tuŋ1	
冰	pin1	
冲	tʃʰuŋ1	
決	kʰɛt7	
冷	laŋ1	
凍	tʰuŋ5	
準	tʃun3	
減	kam3	
湊	tʃʰiou5	
几	ki3	
鳳	fuŋ5	
凳	tɛn5	
凶	ʃiuŋ1	
出	tʃʰut7	
擊	kit7	
刀	tɑu1	
分	pun1	~本书我
分	fun1	~开
切	tʃʰɛt7	
划	fa5	
列	lɛt7	
初	tʃʰu1	
判	pʰɔn5	
别	pɛt7	
刮	kat7	
制	tʃi5	
刷	ɬat7	
刺	tʃʰɿ5	
刻	kʰat7	
剃	tʰɛ5	
削	ɬɔk7	
前	tʃʰɛn2	
劍	tʃɛn5	
剝	pɔk7	
劇	tʃy5	
剩	in5	~下
剩	ʃin5	~余
剪	tʃɛn3	
副	fu5	
割	kɔt7	
劈	pʰiak7	
力	lit8	
勸	kʰɛn5	
辦	pʰan5	
動	tʰuŋ1	
勁	kin5	
勤	kʰin2	
勺	ʃɔk8	
匀	iun2	
包	pɑu1	
化	fa5	
北	pɛt7	
匠	tʃiɔŋ5	
匹	pʰit7	
區	kʰi1	
十	ʃip8	
升	ʃin1	
半	pan5	
華	hua2	
協	ʃɛt7	
卒	tʃut7	
單	tan1	
賣	mai5	
南	nam2	
占	tʃam5	
衛	ui5	
印	in5	
危	ŋui2	
卷	kɛn3	
廠	tʃʰɔŋ3	
廳	tʰin1	
历	lip8	
厭	ȵiɛn5	
厚	hɛu5	
原	iɛn2	
去	ʃi5	
縣	iɛn5	
参	ɬaŋ1	
及	kip7	
雙	ɬuŋ1	
反	fan3	
发	fat7	
叔	ʃuk8	
取	tʃʰy3	
變	pɛn5	
口	hɛu3	
古	ku3	
句	ki5	
叫	kiɑu5	
可	kʰɔ3	
台	tʰɔi2	
右	iou5	
葉	iap8	
號	hɑu5	
吃	tʃʰit7	
各	kɔk7	
吉	kit7	
名	miaŋ2	~字
名	min2	~胜古迹
后	hɛu5	
向	ʃiɔŋ5	
呂	ly3	
吞	tʰun1	
含	ham2	
聽	tʰiaŋ5	
吳	ŋu2	
吸	kip7	
吹	tʃʰui1	
味	ui5	
命	miaŋ5	算~
命	min5	~令
咸	ham2	
品	piaŋ3	
響	hiɔŋ3	
啞	a3	
哭	kʰuk7	
脣	ʃun2	
唱	tʃʰɔŋ5	
善	ʃan5	
喊	ham5	
喜	ʃi3	
嘴	tʃui3	
器	kʰi5	
四	ɬi5	
回	fui2	
園	iɛn2	
困	kʰun5	
圍	ui2	
國	kɛt7	
圖	tʰu2	
圓	iɛn2	
圈	kʰɛn1	
土	tʰu3	
地	tʰi5	
均	tʃun1	
壞	fai5	
坐	tʃʰɔ1	
坑	kʰən1	
塊	kʰai5	
墳	fun2	
垂	tʃʰui2	
墊	tʰiam5	
埋	mai2	
城	ʃaŋ2	
塔	tʰap7	
塞	ɬɛt7	
墨	mat8	
墩	tun3	
壁	pit7	
壯	tʃɔŋ5	
聲	ʃaŋ1	~音
聲	ʃin1	~明
殼	hɔk7	
壺	fu2	
夏	ha5	
外	ŋɔi5	
多	tɔ1	
夜	ia5	
够	kɛu5	
大	tʰai5	
天	tʰɛn1	
失	ʃit7	
頭	tʰɛu2	
夾	kap7	
奪	tɔt7	
契	kʰɛ5	老契
契	tʃʰi5	契约
女	ȵi3	
奴	nu2	
奸	kɛn1	
好	hɑu3	
如	iu2	
婦	fu5	
妹	mɔi5	
姐	tʃɛ3	
姓	ɬiaŋ5	
姜	kiɔŋ1	
姨	i2	
娘	ȵiɔŋ2	
婆	pʰɔ2	
婚	fun1	
嫁	ka5	
嫂	ɬɑu3	
嫌	hiam2	~弃
嫌	ʃiɛn2	讨~
嫩	nun5	
子	tʃɿ3	
孔	kʰuŋ3	
字	ɬɯ5	
孫	ɬun1	
孝	ʃɑu5	
季	ki5	
學	hɔk8	
孽	ȵiap8	
安	ɔn1	
宋	ɬuŋ5	
完	uɔn2	
官	kɔn1	
定	tʰin5	
寶	pɑu3	
實	ʃit8	
客	hak7	
宮	kuŋ1	
害	hɔi5	
容	iuŋ2	
寬	kʰɔn1	
宿	ɬuk7	
寄	ki5	
密	mit8	
富	fu5	
寸	tʃʰən5	
對	tui5	
寺	tʃʰɿ3	
尋	tʃʰim2	
壽	ʃiou5	
封	fuŋ1	
射	ʃa5	
小	ɬiɑu3	
尖	tʃiam1	
嘗	ʃɔŋ2	
尺	tʃʰak7	
尾	mui1	
局	kʰuk8	
屁	pʰi5	
層	tʃʰun2	
屋	uk7	
屬	ʃuk7	
山	ɬan1	
歲	ɬɔi5	
巖	ŋam2	
岸	ɔn5	
州	tʃiou1	
左	tʃɔ3	
幣	pi5	
市	ʃi5	
布	pu5	
師	ɬɯ1	
希	ʃi1	
帶	tai5	
席	ɬit7	
幫	pɔŋ1	
帽	mɑu5	
平	pʰiaŋ2	很~
平	pʰin2	公~
年	ȵiɛn2	
幼	iou5	
慶	kʰin5	
牀	tʃʰɔŋ2	
店	tiam5	
廟	miɑu5	
府	fu3	
延	iɛn2	
建	kɛn5	
開	hɔi1	
弄	luŋ5	
式	ʃi5	
引	in3	
弟	tʰɛ1	老弟
弟	tʰi5	兄弟
張	tʃɔŋ1	
彎	uan1	
弱	ȵiɔk8	
彈	tʰan2	
形	hin2	
影	iaŋ3	~子
影	in3	电~
律	lit8	
徐	tʃʰy2	
得	tɛt7	
心	ɬim1	
忙	mɔŋ2	
快	kʰai5	
念	ȵiam5	
懷	huai2	
急	kit7	
怪	kuai5	
恨	hɛn5	
恩	ŋən1	
恭	kuŋ1	
息	ɬit7	
恶	ɔk7	
惜	ɬit7	
慣	kɔn5	
想	ɬiɔŋ3	
愁	tʃʰiou2	
意	i5	
感	kam3	
慌	fɔŋ1	
慢	man5	
憋	pɛt7	
懂	tuŋ3	
懶	lan1	
戲	ʃi5	
戒	kai5	
或	hɔ3	
戰	tʃan5	
截	tʃʰɛt7	
戶	fu5	
房	fɔŋ2	
所	ɬɔ3	
扁	pɛn3	
扇	ʃɛn5	
手	ʃiou3	
扎	tʃat7	
打	ta3	
托	tʰɔk7	
扮	pʰan5	
找	tʃɑu3	
抄	tʃʰɑu1	
把	pa3	
抓	tʃa1	
抖	tʰɛu3	
折	tʃɛt7	
搶	tʃʰiɔŋ3	
抱	pɑu1	
抽	tʃʰiou1	
拆	tʃʰak7	
拉	lai1	
拍	pʰak7	
拐	kuai3	
拖	tʰɔ1	
拜	pai5	
擁	iuŋ3	
撥	pɔt7	
擇	tʃʰak8	
挂	kua5	
指	tʃi3	
挖	uat7	
挺	tʰin3	
捏	nɛt7	
換	uɔn5	
排	pʰai2	
接	tʃiap7	
插	tʃʰap7	
握	u2	
搬	pan1	
搭	tap7	
摆	pai3	
摇	iɑu2	
摘	tʃak7	
摸	mɔ1	
撞	tʃʰɔŋ2	
撤	tʃʰat7	
擦	tʃʰat7	
改	kai3	
放	fɔŋ5	
敢	kan3	
數	ɬu5	
敲	kʰɑu1	
整	tʃin3	
料	liɑu5	
斜	tʃʰɛ1	
斷	tʰɔn1	
新	ɬin1	
方	fɔŋ1	
族	tʃʰuk8	
日	ȵit7	
舊	kʰiou5	
早	tʃɑu3	
時	ʃi2	
旺	uɔŋ5	
明	miaŋ2	~年
明	min2	清~
星	ɬin1	
春	tʃʰun1	
顯	ʃɛn3	
曬	ɬai5	
晚	uan3	
暖	nɔn1	
暗	am5	~晡
暗	ɔn5	黑~
曲	kit7	
更	kən1	
月	ȵiɛt8	
有	iou1	
朋	pʰuŋ2	
服	fuk7	
朝	tʃʰɑu2	
木	muk7	
末	mɔt7	
本	pən3	
殺	ɬat7	
雜	tʃʰap8	
權	kʰɛn2	
杉	ɬa1	
李	li3	
村	tʃʰən1	
杜	tu5	
條	tʰiɑu2	
來	lɔi2	
杯	pui1	
杰	kɛt7	
松	ɬuŋ1	
板	pan3	
極	kit7	
林	lim2	
果	kɔ3	
柄	piaŋ5	
染	ȵiam5	
櫃	kʰui5	
柱	tʃʰu5	
柴	tʃʰai2	
柿	ʃi5	
樹	ʃu5	
栗	lit8	
校	ʃɑu5	
樣	iɔŋ5	
根	kin1	
格	kak7	
桂	kui5	
桃	tʰɑu2	
桌	tʃɔk7	
橋	kʰiɑu2	
樁	tʃɔŋ1	
桶	tʰuŋ3	
梗	kən1	
夢	muŋ5	
梨	li2	
梯	tʰɛ1	
棉	mɛn2	
棋	kʰi2	
棒	paŋ5	
棚	pʰuŋ2	
樓	lɛu2	
橫	uaŋ2	
橘	kyt7	
欠	kʰiam5	
歡	hɔn1	
歌	kɔ1	
正	tʃin5	
步	pʰu5	
武	m̩3	
歪	uai1	
死	ɬi3	
母	mu3	
毒	tʰuk8	
比	pi3	
毛	mɑu2	
毯	tʰan3	
民	min2	
气	kʰi5	
水	ʃui3	
永	iun3	
汁	ki5	
漢	hɔn5	
汗	hɔn5	
江	kiɔŋ1	
池	tʃʰi2	
湯	tʰɔŋ1	
沉	tʃʰim2	
沙	ɬa1	
河	hɔ2	
油	iou2	
治	tʃi5	
法	fat8	
泥	nɛ2	
潑	pʰɔt7	
洗	ɬɛ3	
洞	tʰuŋ5	
活	uɔ2	
派	pʰai5	
流	liou2	
淺	tʃʰɛn3	
漿	tʃiɔŋ1	
測	tʃʰat7	
濃	nuŋ2	
浪	lɔŋ5	
浮	fɛu2	
浴	ȵiuk8	
海	hɔi3	
浸	tʃʰim1	
淡	tʰam1	
深	tʃʰim1	
添	tʰɛn1	
清	tʃʰiaŋ1	水~
清	tʃʰin1	小~
渠	ki5	
溫	un1	
渴	hɔt7	
滑	uat8	
滚	kun3	
滿	man3	
潭	tʰan2	
火	fɔ3	
滅	mɛt8	
燈	tɛn1	
灰	fɔi1	
竈	tʃɑu5	
炎	iɛn2	
炭	tʰan5	
炮	pʰɑu5	
點	tiam3	
爛	lan5	
烘	huŋ1	
燭	tʃʰuk7	
烟	ɛn1	
燒	ʃɑu1	
熱	ȵiɛt8	
焦	tʃiɑu1	
煤	mui2	
照	tʃɑu5	
熊	ʃiuŋ2	
熏	ʃun2	
熟	ʃuk8	
熬	ŋɑu2	
爬	pʰa2	
愛	ɔi5	唔~
愛	ŋai5	~情
父	fu5	
爺	ia2	舅爷
爺	iɛ2	天老爷
片	pʰɛn5	
牌	pʰai2	
牙	ŋa2	
牛	ȵiou2	
物	mut8	
牽	kʰɛn1	
特	tʰɛt7	
犁	lɛ2	
犯	fan5	
狂	kʰɔŋ2	
狗	kɛu3	
猛	muŋ3	
豬	tʃu1	
猫	miɑu5	
玉	ȵiuk8	白~
玉	y5	~米
