#漢字	音標	解釋
□	tɕʰi1	~气了,馊的意思
□	tɤ1	~气了:馊
□	ʐʯ2	~草,捆起来铡
□	læ̃1	□[pu35]~:圆的指纹
□	pʰo1	割草
□	xa1	哈腰
□	lyɛ3	把菜放在开水里焯
□	tɕʰyɛ1	蜕:~皮
□	xæ̃1	风~:风箱
㮇	tʰiæ̃3	~笔
丁	tiŋ1	
七	tʰi1	
丈	tʂaŋ5	
三	sæ̃1	
上	ʂaŋ5	~面
上	ʂaŋ5	~山
下	xa5	~来
下	ɕia5	~降
不	pu1	
与	y1	及,给~
丐	kɛ5	乞~
丑	tʂʰou3	
專	tsʮæ̃1	
且	tɕʰiɛ3	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	niɛ1	
叢	tsʰʮŋ1	
東	toŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
兩	liaŋ3	~个
兩	liaŋ3	几斤几~
嚴	niæ̃2	
並	piŋ5	
喪	saŋ1	~事
喪	saŋ5	~失
丫	ia1	~头
中	tʂʯŋ5	射~
中	tsʮŋ1	当~
丰	foŋ1	
串	tsʰʮæ̃1	
臨	liẽ2	
丸	uæ̃2	~子
丹	tæ̃1	
爲	uɛi2	~什么
爲	uɛi2	作~
主	tsʮ3	
麗	li5	美~
舉	tɕy5	
乃	nɛ3	
久	tɕiou3	
義	i5	
之	tsɿ1	
烏	u1	
乎	xu2	
乏	fa2	
樂	luo1	
樂	yɛ1	音~
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tʂʰəŋ2	
乙	ni1	
乙	i1	
九	tɕiou3	
乞	tɕʰi1	
也	iɛ5	
習	ɕi2	
鄉	ɕiaŋ1	
書	sʮ1	
買	mɛ3	
亂	yæ̃5	
乳	ʐʯ5	
乾	kæ̃1	~湿
乾	tɕʰiæ̃2	~坤
了	liɔ3	~结
爭	tsəŋ1	
事	sɿ5	
二	ɚ5	
于	y5	
虧	kʰuɛi1	
云	yẽ2	
互	xu5	
五	u3	
井	tiŋ3	
亞	ia3	
些	siɛ1	
亡	vaŋ2	
交	tɕiɔ1	
亥	xɛ5	
亦	i5	
產	tsʰæ̃3	
亨	xəŋ2	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tʰiẽ1	~家
人	ʐẽ2	
什	ʂʅ2	~物
仁	ʐẽ2	
僅	tɕiẽ3	
仆	pʰu1	~倒
仇	tʂʰou2	
仇	tɕʰiou2	姓
今	tɕiẽ1	
介	tɕiɛ5	
仍	ʐʯŋ2	
从	tsʰʮŋ2	~容
从	tsʰʮŋ2	跟~
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa3	
仗	tʂaŋ5	
付	fu3	
付	fu5	
仙	siæ̃1	
代	tɛ5	
令	liŋ5	
以	i1	
儀	i5	
仰	niaŋ3	
仲	tsʰʮŋ2	
件	tɕʰiæ̃5	
價	tɕia5	
任	ʐẽ5	~务
任	ʐẽ2	姓
份	fẽ5	
仿	faŋ3	~效
仿	faŋ3	~彿
企	tɕʰi1	
伊	i2	
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	tsʮŋ5	
優	iou1	
會	kʰuɛ3	~计
會	xuɛi5	开~,会~不~
傘	sæ̃3	
偉	uɛi3	
傳	tsʰʮæ̃2	~达
傳	tsʮæ̃5	~记
傷	ʂaŋ1	
倫	luɛi2	
僞	uɛi3	
伯	pɛi2	
估	ku1	~計
伴	pæ̃5	
伴	pʰæ̃5	
伶	liŋ2	
伸	ʂẽ1	
伺	sɿ2	
似	sɿ1	
佃	tiæ̃5	
但	tæ̃5	
佈	pu5	
位	uɛi5	
低	ti1	
住	tsʮ5	
佐	tsʮo5	
體	tʰi3	
何	xuo2	
佘	ʂɤ2	
余	y2	
佛	fo2	
佛	fo2	仿~
作	tsou5	
作	tsʮo1	~坊
佞	niŋ2	
你	ni3	
佩	pʰɛi3	
佳	tɕia1	
併	piŋ5	合~
使	sɿ3	
侈	tʂʰʅ1	奢~
例	li5	
侍	sɿ5	
供	koŋ3	~给,~不起
供	koŋ3	上~
依	ni1	
僥	tɕiɔ3	~幸
偵	tʂəŋ1	
側	tsʰɛi1	
僑	tɕʰiɔ2	
儂	loŋ2	
侮	vu3	
侯	xou2	
侵	tʰiẽ1	
便	pʰiæ̃2	~宜
便	piæ̃5	方~
係	ɕi5	
促	tsʰou1	
俄	ŋuo2	
俊	tɕyẽ5	
俏	tɕʰiɔ5	
俗	ɕy2	
俘	fu2	~虏
保	pɔ3	
俟	sɿ2	
信	ɕiẽ5	
儼	iæ̃2	~然
儉	tɕʰiæ̃3	
修	siou1	
俯	fu3	
俱	tɕy5	
俾	pi1	
倍	pʰɛi5	
倒	tɔ5	~水
倒	tɔ3	打~
倔	tɕyɛ2	~强
倘	tʰaŋ2	~使
候	xou1	
倚	ni1	
借	tiɛ5	
倡	tʂʰaŋ3	
倦	tɕyæ̃5	
倪	ni2	
倭	uo1	
債	tsɛ5	
值	tʂʰʅ2	
傾	tɕʰioŋ3	
假	tɕia3	放~
假	tɕia3	真~
偏	pʰiæ̃1	
做	tsou5	
停	tʰiŋ2	
健	tɕiæ̃5	
偶	ŋou3	~然
偶	ŋou3	配~
偷	tʰou1	
償	ʂaŋ3	
傀	kʰuɛi2	~儡
傅	fu1	
傑	tɕiɛ2	
備	pɛi5	
傢	tɕia1	
儲	tsʰʮ2	~蓄
催	tsʰʮɛi1	
傲	ŋɔ3	
傻	ʂa1	
像	siaŋ5	
僕	pʰu2	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi3	
億	i5	
儒	ʐʯ2	
儘	tiẽ5	
儡	lɛi3	傀~
兒	ɚ2	
允	yẽ1	
元	yæ̃2	
兄	ɕioŋ1	
充	tʂʰʯŋ1	
兆	tʂɔ5	
先	siæ̃1	
光	kuaŋ1	
克	kʰɛi1	
免	miæ̃3	
兑	tuɛi5	
兔	tʰu5	
兗	iæ̃1	
黨	taŋ3	共产~
兜	tou3	
全	tɕʰyæ̃2	
八	pa1	
公	koŋ1	
六	liou1	
兮	ɕi1	
共	koŋ5	
關	kuæ̃1	
興	ɕiŋ1	~旺
興	siŋ5	高~
兵	piŋ1	
其	tɕʰi2	
具	tɕy5	
典	tiæ̃3	
兹	tsɿ1	
兼	tɕiæ̃1	
獸	ʂou5	
冀	tɕi5	
内	nɛi5	
岡	kaŋ1	
冉	ʐæ̃3	
册	tsʰɛi1	
再	tsɛ5	
冒	mɔ5	
冗	ʐʯŋ2	~长
寫	siɛ3	
軍	tɕyẽ1	
農	loŋ2	
冠	kuæ̃3	~军
冠	kuæ̃3	衣~
冢	tsʮŋ1	
冤	yæ̃1	
冬	toŋ1	
馮	foŋ2	
冰	piŋ1	
決	tɕyɛ3	
况	kʰuaŋ5	
冷	ləŋ3	
淨	tʰiŋ5	
準	tsʮɛi3	
涼	liaŋ2	
凌	liŋ2	
減	tɕiæ̃3	
湊	tsʰou5	
凝	niŋ2	
几	tɕi1	~乎
几	tɕi3	~个
几	tɕi3	茶~
凡	fæ̃2	
凭	pʰiŋ2	
凱	kʰɛ3	
凳	təŋ3	
凶	ɕioŋ1	~吉
凶	ɕioŋ1	~恶
出	tsʰʮ1	
擊	tɕi1	
函	xæ̃2	
鑿	tsʰʮo2	
刀	tɔ1	
刁	tiɔ1	
刃	ʐẽ5	
分	fẽ1	~开
切	tɕʰiɛ1	~开
刊	kʰæ̃1	
刎	vɛi3	
刑	ɕiŋ2	
划	xua2	~船
列	liɛ1	
劉	liou2	
則	tsɛi1	
剛	kaŋ1	
創	tsʰʮaŋ3	
初	tsʰou1	
删	sæ̃1	
判	pʰæ̃5	
刨	pʰɔ2	~地
刨	pa1	推~
利	li5	
别	piɛ2	区~
别	piɛ2	离~
刮	kua1	
到	tɔ5	
制	tʂʅ5	
刷	sʮa1	
刺	tsʰɿ1	
刻	kʰɛi1	时~
刻	kʰɛi1	用刀~
劊	kʰuɛ3	
刴	tuo5	
剃	tʰi5	
削	ɕyɛ1	
前	tʰiæ̃2	
剮	kua3	
劍	tɕiæ̃5	
剔	tʰi1	
剖	pʰɔ1	
剜	uæ̃1	
剝	po1	
劇	tɕy3	~烈
劇	tɕy3	戏~
剩	ʂəŋ5	
剪	tiæ̃3	
副	fu5	
割	kɤ1	
剿	tɕiɔ3	
劃	xua2	
劄	tsa1	用针~
劈	pʰi3	
劐	xuo1	用刀~开
力	li1	
勸	tɕʰyæ̃5	
辦	pæ̃5	
功	koŋ1	
加	tɕia1	
務	vu5	
劣	lyɛ3	
動	toŋ5	
助	tsʰou5	
努	nou3	
劫	tɕiɛ1	
勵	li5	
勁	tɕiẽ5	~敌
勁	tɕiẽ5	有~
勞	lɔ2	
劵	tɕyæ̃5	
勢	ʂʅ5	
勃	pʰo1	
勃	po1	~土
勇	ioŋ3	
勉	miæ̃3	
勒	lɛi1	
勘	kʰæ̃1	~探
募	mu5	
勤	tɕʰiẽ2	
勳	ɕyẽ2	
勺	sʮo2	~子
勾	kou1	
勾	kou5	~当
勿	vo1	
匀	yẽ2	
包	pɔ1	
匆	tsʰʮŋ1	
化	xua5	
北	pɛi1	
匙	sɿ1	汤~
匠	tʰiaŋ5	
匡	kʰuaŋ1	
匣	xa2	箱~
匪	fɛi3	
匹	pʰi5	一~
區	tɕʰy1	~域
醫	i1	
匾	piæ̃3	
匿	ni3	
十	ʂʅ2	
千	tʰiæ̃1	
升	ʂəŋ1	
午	u3	
半	pæ̃5	
華	xua5	~山
華	xua1	中~
協	ɕiɛ2	
卑	pi1	
卒	tsou2	兵~
卓	tsʮo1	
單	tæ̃1	~独
單	ʂæ̃2	姓
賣	mɛ5	
南	næ̃2	
博	po1	
卜	po1	姓
卜	pʰo1	萝~
占	tʂæ̃1	~ト
卦	kua5	
臥	uo5	
衛	uɛi2	
卯	mɔ3	
印	iẽ5	
危	uɛi1	
即	ti1	
卻	tɕʰyɛ1	
卵	yæ̃3	
卷	tɕyæ̃5	
卷	tɕʰyæ̃1	圆~
卸	siɛ5	
卿	tɕʰiŋ1	
厄	ŋɛi1	
廳	tʰiŋ1	
历	li2	
厲	li5	
壓	nia1	
厭	iæ̃5	
厙	kʰu5	
廁	tsʰɛi1	~所
厚	xou5	
原	yæ̃2	
廂	siaŋ1	
厥	tɕyɛ5	
厦	sa3	偏~,~门
廚	tsʰʮ2	
厮	sɿ1	
去	tɕʰy5	来~
縣	ɕiæ̃5	
参	tsʰæ̃2	
参	tsʰẽ1	~差
参	sẽ1	人~
又	niou5	
叉	tsʰa5	
及	tɕʰi2	
友	iou3	
雙	sʮaŋ1	
雙	sʮaŋ5	~生
反	fæ̃3	
叔	sou1	
取	tɕʰy3	
受	ʂou5	
變	piæ̃5	
敍	ɕy5	
叛	pʰæ̃5	
叟	sou1	
疊	tʰiɛ2	
口	kʰou3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tɔ1	唠~
叩	kʰou5	~头
只	tsɿ1	~有
叫	tɕiɔ5	
召	tʂɔ1	
可	kʰuo3	
台	tʰɛ2	天~
史	sɿ3	
右	iou5	
葉	iɛ1	
號	xɔ5	~数
號	xɔ2	呼~
司	sɿ1	
嘆	tʰæ̃5	
吁	y5	
吃	tʂʰʅ1	
各	kɤ1	
吆	iɔ1	~喝
合	xuo2	
合	xuo2	十~一升
吉	tɕi1	
同	tʰoŋ2	
名	miŋ2	
后	xou5	
吏	li5	
吐	tʰu3	~痰,呕~
向	ɕiaŋ5	
呂	y3	
君	tɕyẽ1	
吝	liẽ5	~啬
吟	iẽ5	
吠	fɛi3	
吣	tʰiẽ1	猫~
否	fu3	
含	xæ̃2	
聽	tʰiŋ3	
聽	tʰiŋ1	~见
啓	tɕʰi3	
吳	u2	
吵	tsʰɔ3	
吸	ɕi1	
吹	tsʰʮɛi1	
吻	vɛi3	
吼	xou3	
吾	u2	
呆	tɛ1	
呈	tʂʰəŋ3	
告	kɔ5	
嘔	ŋou1	~吐
員	yæ̃2	
周	tʂou1	
味	vẽ5	
呼	xu1	
命	miŋ5	
和	xuo2	~面
和	xuo2	~气
咎	tɕiou1	
詠	ioŋ3	
咒	tʂou5	
咨	tsɿ1	
咬	niɔ3	
咳	kʰɤ1	~嗽
咸	ɕiæ̃2	
哀	ŋɛ1	
品	pʰiẽ3	
哄	xoŋ1	
哄	xoŋ3	~騙
啞	ia3	
哥	kɤ1	
哥	kuo2	面称
哪	na3	
哪	a3	~里
哭	kʰu1	
哲	tʂɤ2	
哽	kəŋ3	~咽
唆	sʮo1	啰~
脣	sʮẽ2	
唐	tʰaŋ2	
嘮	lɔ2	~叨
喚	xuæ̃5	
售	ʂou5	
唱	tʂʰaŋ5	
唾	tʰuo5	~液
啄	tsʮo2	
商	ʂaŋ1	
嗇	sɛ1	吝~
啼	tʰi2	
